year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,195990480.0,5.979281772,195990480.0,5.979281772,195990480.0,5.979281772,195990480.0,5.979281772,2.1,596217644.0
1961,201468291.0,5.972050829,201468291.0,5.972050829,201468291.0,5.972050829,201468291.0,5.972050829,2.1,596217644.0
1962,207117533.0,5.952460153,207117533.0,5.952460153,207117533.0,5.952460153,207117533.0,5.952460153,2.1,596217644.0
1963,212913161.0,5.918997219,212913161.0,5.918997219,212913161.0,5.918997219,212913161.0,5.918997219,2.1,596217644.0
1964,218820356.0,5.870980626,218820356.0,5.870980626,218820356.0,5.870980626,218820356.0,5.870980626,2.1,596217644.0
1965,224812280.0,5.807340567,224812280.0,5.807340567,224812280.0,5.807340567,224812280.0,5.807340567,2.1,596217644.0
1966,230880082.0,5.72939327,230880082.0,5.72939327,230880082.0,5.72939327,230880082.0,5.72939327,2.1,596217644.0
1967,237024250.0,5.639395475,237024250.0,5.639395475,237024250.0,5.639395475,237024250.0,5.639395475,2.1,596217644.0
1968,243239384.0,5.541320468,243239384.0,5.541320468,243239384.0,5.541320468,243239384.0,5.541320468,2.1,596217644.0
1969,249522963.0,5.437308211,249522963.0,5.437308211,249522963.0,5.437308211,249522963.0,5.437308211,2.1,596217644.0
1970,255873463.0,5.329678181,255873463.0,5.329678181,255873463.0,5.329678181,255873463.0,5.329678181,2.1,596217644.0
1971,262286392.0,5.22060432,262286392.0,5.22060432,262286392.0,5.22060432,262286392.0,5.22060432,2.1,596217644.0
1972,268760622.0,5.111984075,268760622.0,5.111984075,268760622.0,5.111984075,268760622.0,5.111984075,2.1,596217644.0
1973,275303005.0,5.004705327,275303005.0,5.004705327,275303005.0,5.004705327,275303005.0,5.004705327,2.1,596217644.0
1974,281923578.0,4.900013244,281923578.0,4.900013244,281923578.0,4.900013244,281923578.0,4.900013244,2.1,596217644.0
1975,288629183.0,4.797145474,288629183.0,4.797145474,288629183.0,4.797145474,288629183.0,4.797145474,2.1,596217644.0
1976,295415940.0,4.696134898,295415940.0,4.696134898,295415940.0,4.696134898,295415940.0,4.696134898,2.1,596217644.0
1977,302282486.0,4.594859407,302282486.0,4.594859407,302282486.0,4.594859407,302282486.0,4.594859407,2.1,596217644.0
1978,309241517.0,4.49277801,309241517.0,4.49277801,309241517.0,4.49277801,309241517.0,4.49277801,2.1,596217644.0
1979,316308994.0,4.389882329,316308994.0,4.389882329,316308994.0,4.389882329,316308994.0,4.389882329,2.1,596217644.0
1980,323491986.0,4.285456944,323491986.0,4.285456944,323491986.0,4.285456944,323491986.0,4.285456944,2.1,596217644.0
1981,330793664.0,4.179540473,330793664.0,4.179540473,330793664.0,4.179540473,330793664.0,4.179540473,2.1,596217644.0
1982,338198728.0,4.072712808,338198728.0,4.072712808,338198728.0,4.072712808,338198728.0,4.072712808,2.1,596217644.0
1983,345670337.0,3.965553884,345670337.0,3.965553884,345670337.0,3.965553884,345670337.0,3.965553884,2.1,596217644.0
1984,353161237.0,3.858808517,353161237.0,3.858808517,353161237.0,3.858808517,353161237.0,3.858808517,2.1,596217644.0
1985,360635576.0,3.753530054,360635576.0,3.753530054,360635576.0,3.753530054,360635576.0,3.753530054,2.1,596217644.0
