year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,2120892.0,5.961,2120892.0,5.961,2120892.0,5.961,2120892.0,5.961,2.1,7379358.0
1961,2170340.0,5.964,2170340.0,5.964,2170340.0,5.964,2170340.0,5.964,2.1,7379358.0
1962,2221123.0,5.966,2221123.0,5.966,2221123.0,5.966,2221123.0,5.966,2.1,7379358.0
1963,2273352.0,5.969,2273352.0,5.969,2273352.0,5.969,2273352.0,5.969,2.1,7379358.0
1964,2327137.0,5.971,2327137.0,5.971,2327137.0,5.971,2327137.0,5.971,2.1,7379358.0
1965,2382586.0,5.973,2382586.0,5.973,2382586.0,5.973,2382586.0,5.973,2.1,7379358.0
1966,2439197.0,5.974,2439197.0,5.974,2439197.0,5.974,2439197.0,5.974,2.1,7379358.0
1967,2496927.0,5.973,2496927.0,5.973,2496927.0,5.973,2496927.0,5.973,2.1,7379358.0
1968,2556845.0,5.973,2556845.0,5.973,2556845.0,5.973,2556845.0,5.973,2.1,7379358.0
1969,2620448.0,5.972,2620448.0,5.972,2620448.0,5.972,2620448.0,5.972,2.1,7379358.0
1970,2688429.0,5.974,2688429.0,5.974,2688429.0,5.974,2688429.0,5.974,2.1,7379358.0
1971,2762264.0,5.979,2762264.0,5.979,2762264.0,5.979,2762264.0,5.979,2.1,7379358.0
1972,2840842.0,5.99,2840842.0,5.99,2840842.0,5.99,2840842.0,5.99,2.1,7379358.0
1973,2919288.0,6.006,2919288.0,6.006,2919288.0,6.006,2919288.0,6.006,2.1,7379358.0
1974,2990963.0,6.029,2990963.0,6.029,2990963.0,6.029,2990963.0,6.029,2.1,7379358.0
1975,3051583.0,6.059,3051583.0,6.059,3051583.0,6.059,3051583.0,6.059,2.1,7379358.0
1976,3098962.0,6.096,3098962.0,6.096,3098962.0,6.096,3098962.0,6.096,2.1,7379358.0
1977,3135839.0,6.139,3135839.0,6.139,3135839.0,6.139,3135839.0,6.139,2.1,7379358.0
1978,3168838.0,6.186,3168838.0,6.186,3168838.0,6.186,3168838.0,6.186,2.1,7379358.0
1979,3207331.0,6.233,3207331.0,6.233,3207331.0,6.233,3207331.0,6.233,2.1,7379358.0
1980,3258149.0,6.277,3258149.0,6.277,3258149.0,6.277,3258149.0,6.277,2.1,7379358.0
1981,3323353.0,6.315,3323353.0,6.315,3323353.0,6.315,3323353.0,6.315,2.1,7379358.0
1982,3401193.0,6.345,3401193.0,6.345,3401193.0,6.345,3401193.0,6.345,2.1,7379358.0
1983,3489910.0,6.363,3489910.0,6.363,3489910.0,6.363,3489910.0,6.363,2.1,7379358.0
1984,3586315.0,6.369,3586315.0,6.369,3586315.0,6.369,3586315.0,6.369,2.1,7379358.0
1985,3687889.0,6.361,3687889.0,6.361,3687889.0,6.361,3687889.0,6.361,2.1,7379358.0
1986,3794204.0,6.342,3794204.0,6.342,3794204.0,6.342,3794204.0,6.342,2.1,7379358.0
1987,3905530.0,6.313,3905530.0,6.313,3905530.0,6.313,3905530.0,6.313,2.1,7379358.0
1988,4020817.0,6.274,4020817.0,6.274,4020817.0,6.274,4020817.0,6.274,2.1,7379358.0
