year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,1804935.0,5.739,1804935.0,5.739,1804935.0,5.739,1804935.0,5.739,2.1,6769151.0
1961,1864613.0,5.724,1864613.0,5.724,1864613.0,5.724,1864613.0,5.724,2.1,6769151.0
1962,1925295.0,5.694,1925295.0,5.694,1925295.0,5.694,1925295.0,5.694,2.1,6769151.0
1963,1984999.0,5.647,1984999.0,5.647,1984999.0,5.647,1984999.0,5.647,2.1,6769151.0
1964,2041231.0,5.583,2041231.0,5.583,2041231.0,5.583,2041231.0,5.583,2.1,6769151.0
1965,2092374.0,5.501,2092374.0,5.501,2092374.0,5.501,2092374.0,5.501,2.1,6769151.0
1966,2136617.0,5.403,2136617.0,5.403,2136617.0,5.403,2136617.0,5.403,2.1,6769151.0
1967,2174732.0,5.295,2174732.0,5.295,2174732.0,5.295,2174732.0,5.295,2.1,6769151.0
1968,2210769.0,5.181,2210769.0,5.181,2210769.0,5.181,2210769.0,5.181,2.1,6769151.0
1969,2250454.0,5.064,2250454.0,5.064,2250454.0,5.064,2250454.0,5.064,2.1,6769151.0
1970,2297436.0,4.948,2297436.0,4.948,2297436.0,4.948,2297436.0,4.948,2.1,6769151.0
1971,2354046.0,4.836,2354046.0,4.836,2354046.0,4.836,2354046.0,4.836,2.1,6769151.0
1972,2417837.0,4.73,2417837.0,4.73,2417837.0,4.73,2417837.0,4.73,2.1,6769151.0
1973,2481943.0,4.629,2481943.0,4.629,2481943.0,4.629,2481943.0,4.629,2.1,6769151.0
1974,2536772.0,4.534,2536772.0,4.534,2536772.0,4.534,2536772.0,4.534,2.1,6769151.0
1975,2575746.0,4.443,2575746.0,4.443,2575746.0,4.443,2575746.0,4.443,2.1,6769151.0
1976,2596409.0,4.353,2596409.0,4.353,2596409.0,4.353,2596409.0,4.353,2.1,6769151.0
1977,2601734.0,4.262,2601734.0,4.262,2601734.0,4.262,2601734.0,4.262,2.1,6769151.0
1978,2597202.0,4.168,2597202.0,4.168,2597202.0,4.168,2597202.0,4.168,2.1,6769151.0
1979,2590911.0,4.072,2590911.0,4.072,2590911.0,4.072,2590911.0,4.072,2.1,6769151.0
1980,2588928.0,3.976,2588928.0,3.976,2588928.0,3.976,2588928.0,3.976,2.1,6769151.0
1981,2594299.0,3.885,2594299.0,3.885,2594299.0,3.885,2594299.0,3.885,2.1,6769151.0
1982,2606148.0,3.802,2606148.0,3.802,2606148.0,3.802,2606148.0,3.802,2.1,6769151.0
