year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,1118655.0,6.406,1118655.0,6.406,1118655.0,6.406,1118655.0,6.406,2.1,5180208.0
1961,1142304.0,6.429,1142304.0,6.429,1142304.0,6.429,1142304.0,6.429,2.1,5180208.0
1962,1166651.0,6.453,1166651.0,6.453,1166651.0,6.453,1166651.0,6.453,2.1,5180208.0
1963,1191796.0,6.476,1191796.0,6.476,1191796.0,6.476,1191796.0,6.476,2.1,5180208.0
1964,1217905.0,6.5,1217905.0,6.5,1217905.0,6.5,1217905.0,6.5,2.1,5180208.0
1965,1245104.0,6.524,1245104.0,6.524,1245104.0,6.524,1245104.0,6.524,2.1,5180208.0
1966,1273458.0,6.552,1273458.0,6.552,1273458.0,6.552,1273458.0,6.552,2.1,5180208.0
1967,1303032.0,6.583,1303032.0,6.583,1303032.0,6.583,1303032.0,6.583,2.1,5180208.0
1968,1333980.0,6.617,1333980.0,6.617,1333980.0,6.617,1333980.0,6.617,2.1,5180208.0
1969,1366500.0,6.655,1366500.0,6.655,1366500.0,6.655,1366500.0,6.655,2.1,5180208.0
1970,1400730.0,6.695,1400730.0,6.695,1400730.0,6.695,1400730.0,6.695,2.1,5180208.0
1971,1436740.0,6.736,1436740.0,6.736,1436740.0,6.736,1436740.0,6.736,2.1,5180208.0
1972,1474567.0,6.777,1474567.0,6.777,1474567.0,6.777,1474567.0,6.777,2.1,5180208.0
1973,1514364.0,6.815,1514364.0,6.815,1514364.0,6.815,1514364.0,6.815,2.1,5180208.0
1974,1556288.0,6.849,1556288.0,6.849,1556288.0,6.849,1556288.0,6.849,2.1,5180208.0
1975,1600454.0,6.88,1600454.0,6.88,1600454.0,6.88,1600454.0,6.88,2.1,5180208.0
1976,1645833.0,6.907,1645833.0,6.907,1645833.0,6.907,1645833.0,6.907,2.1,5180208.0
1977,1692155.0,6.93,1692155.0,6.93,1692155.0,6.93,1692155.0,6.93,2.1,5180208.0
1978,1740919.0,6.95,1740919.0,6.95,1740919.0,6.95,1740919.0,6.95,2.1,5180208.0
1979,1794251.0,6.964,1794251.0,6.964,1794251.0,6.964,1794251.0,6.964,2.1,5180208.0
1980,1852991.0,6.973,1852991.0,6.973,1852991.0,6.973,1852991.0,6.973,2.1,5180208.0
1981,1918832.0,6.973,1918832.0,6.973,1918832.0,6.973,1918832.0,6.973,2.1,5180208.0
1982,1989477.0,6.964,1989477.0,6.964,1989477.0,6.964,1989477.0,6.964,2.1,5180208.0
1983,2057232.0,6.946,2057232.0,6.946,2057232.0,6.946,2057232.0,6.946,2.1,5180208.0
1984,2111667.0,6.917,2111667.0,6.917,2111667.0,6.917,2111667.0,6.917,2.1,5180208.0
1985,2145756.0,6.875,2145756.0,6.875,2145756.0,6.875,2145756.0,6.875,2.1,5180208.0
1986,2158434.0,6.82,2158434.0,6.82,2158434.0,6.82,2158434.0,6.82,2.1,5180208.0
1987,2153312.0,6.752,2153312.0,6.752,2153312.0,6.752,2153312.0,6.752,2.1,5180208.0
1988,2134105.0,6.673,2134105.0,6.673,2134105.0,6.673,2134105.0,6.673,2.1,5180208.0
1989,2106429.0,6.587,2106429.0,6.587,2106429.0,6.587,2106429.0,6.587,2.1,5180208.0
1990,2075917.0,6.499,2075917.0,6.499,2075917.0,6.499,2075917.0,6.499,2.1,5180208.0
1991,2040141.0,6.415,2040141.0,6.415,2040141.0,6.415,2040141.0,6.415,2.1,5180208.0
1992,2001612.0,6.337,2001612.0,6.337,2001612.0,6.337,2001612.0,6.337,2.1,5180208.0
1993,1976701.0,6.269,1976701.0,6.269,1976701.0,6.269,1976701.0,6.269,2.1,5180208.0
1994,1986491.0,6.21,1986491.0,6.21,1986491.0,6.21,1986491.0,6.21,2.1,5180208.0
1995,2044657.0,6.158,2044657.0,6.158,2044657.0,6.158,2044657.0,6.158,2.1,5180208.0
1996,2160480.0,6.11,2160480.0,6.11,2160480.0,6.11,2160480.0,6.11,2.1,5180208.0
1997,2326210.0,6.059,2326210.0,6.059,2326210.0,6.059,2326210.0,6.059,2.1,5180208.0
1998,2517472.0,6.003,2517472.0,6.003,2517472.0,6.003,2517472.0,6.003,2.1,5180208.0
1999,2699708.0,5.939,2699708.0,5.939,2699708.0,5.939,2699708.0,5.939,2.1,5180208.0
2000,2848447.0,5.866,2848447.0,5.866,2848447.0,5.866,2848447.0,5.866,2.1,5180208.0
2001,2953928.0,5.785,2953928.0,5.785,2953928.0,5.785,2953928.0,5.785,2.1,5180208.0
2002,3024727.0,5.699,3024727.0,5.699,3024727.0,5.699,3024727.0,5.699,2.1,5180208.0
2003,3077055.0,5.61,3077055.0,5.61,3077055.0,5.61,3077055.0,5.61,2.1,5180208.0
