year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,1448416.0,7.202,1448416.0,7.202,1448416.0,7.202,1448416.0,7.202,2.1,6958538.0
1961,1498076.0,7.243,1498076.0,7.243,1498076.0,7.243,1498076.0,7.243,2.1,6958538.0
1962,1550815.0,7.31,1550815.0,7.31,1550815.0,7.31,1550815.0,7.31,2.1,6958538.0
1963,1607168.0,7.402,1607168.0,7.402,1607168.0,7.402,1607168.0,7.402,2.1,6958538.0
1964,1667822.0,7.517,1667822.0,7.517,1667822.0,7.517,1667822.0,7.517,2.1,6958538.0
1965,1733307.0,7.647,1733307.0,7.647,1733307.0,7.647,1733307.0,7.647,2.1,6958538.0
1966,1803689.0,7.781,1803689.0,7.781,1803689.0,7.781,1803689.0,7.781,2.1,6958538.0
1967,1878869.0,7.905,1878869.0,7.905,1878869.0,7.905,1878869.0,7.905,2.1,6958538.0
1968,1958909.0,8.01,1958909.0,8.01,1958909.0,8.01,1958909.0,8.01,2.1,6958538.0
1969,2043820.0,8.087,2043820.0,8.087,2043820.0,8.087,2043820.0,8.087,2.1,6958538.0
1970,2133527.0,8.132,2133527.0,8.132,2133527.0,8.132,2133527.0,8.132,2.1,6958538.0
1971,2228142.0,8.147,2228142.0,8.147,2228142.0,8.147,2228142.0,8.147,2.1,6958538.0
1972,2327487.0,8.135,2327487.0,8.135,2327487.0,8.135,2327487.0,8.135,2.1,6958538.0
1973,2430754.0,8.102,2430754.0,8.102,2430754.0,8.102,2430754.0,8.102,2.1,6958538.0
1974,2536895.0,8.048,2536895.0,8.048,2536895.0,8.048,2536895.0,8.048,2.1,6958538.0
1975,2645136.0,7.97,2645136.0,7.97,2645136.0,7.97,2645136.0,7.97,2.1,6958538.0
1976,2754698.0,7.866,2754698.0,7.866,2754698.0,7.866,2754698.0,7.866,2.1,6958538.0
1977,2865639.0,7.736,2865639.0,7.736,2865639.0,7.736,2865639.0,7.736,2.1,6958538.0
1978,2979102.0,7.582,2979102.0,7.582,2979102.0,7.582,2979102.0,7.582,2.1,6958538.0
1979,3096724.0,7.408,3096724.0,7.408,3096724.0,7.408,3096724.0,7.408,2.1,6958538.0
1980,3219462.0,7.219,3219462.0,7.219,3219462.0,7.219,3219462.0,7.219,2.1,6958538.0
1981,3347779.0,7.023,3347779.0,7.023,3347779.0,7.023,3347779.0,7.023,2.1,6958538.0
1982,3480443.0,6.826,3480443.0,6.826,3480443.0,6.826,3480443.0,6.826,2.1,6958538.0
1983,3614682.0,6.63,3614682.0,6.63,3614682.0,6.63,3614682.0,6.63,2.1,6958538.0
1984,3746712.0,6.435,3746712.0,6.435,3746712.0,6.435,3746712.0,6.435,2.1,6958538.0
1985,3873781.0,6.236,3873781.0,6.236,3873781.0,6.236,3873781.0,6.236,2.1,6958538.0
1986,3994601.0,6.023,3994601.0,6.023,3994601.0,6.023,3994601.0,6.023,2.1,6958538.0
1987,4109717.0,5.79,4109717.0,5.79,4109717.0,5.79,4109717.0,5.79,2.1,6958538.0
1988,4220451.0,5.533,4220451.0,5.533,4220451.0,5.533,4220451.0,5.533,2.1,6958538.0
1989,4328935.0,5.256,4328935.0,5.256,4328935.0,5.256,4328935.0,5.256,2.1,6958538.0
1990,4436663.0,4.966,4436663.0,4.966,4436663.0,4.966,4436663.0,4.966,2.1,6958538.0
1991,4544245.0,4.67,4544245.0,4.67,4544245.0,4.67,4544245.0,4.67,2.1,6958538.0
1992,4650896.0,4.381,4650896.0,4.381,4650896.0,4.381,4650896.0,4.381,2.1,6958538.0
1993,4755134.0,4.109,4755134.0,4.109,4755134.0,4.109,4755134.0,4.109,2.1,6958538.0
1994,4854871.0,3.859,4854871.0,3.859,4854871.0,3.859,4854871.0,3.859,2.1,6958538.0
1995,4948796.0,3.636,4948796.0,3.636,4948796.0,3.636,4948796.0,3.636,2.1,6958538.0
1996,5036173.0,3.439,5036173.0,3.439,5036173.0,3.439,5036173.0,3.439,2.1,6958538.0
1997,5118008.0,3.265,5118008.0,3.265,5118008.0,3.265,5118008.0,3.265,2.1,6958538.0
1998,5196774.0,3.109,5196774.0,3.109,5196774.0,3.109,5196774.0,3.109,2.1,6958538.0
1999,5275921.0,2.97,5275921.0,2.97,5275921.0,2.97,5275921.0,2.97,2.1,6958538.0
2000,5357893.0,2.851,5357893.0,2.851,5357893.0,2.851,5357893.0,2.851,2.1,6958538.0
2001,5443249.0,2.751,5443249.0,2.751,5443249.0,2.751,5443249.0,2.751,2.1,6958538.0
2002,5531097.0,2.671,5531097.0,2.671,5531097.0,2.671,5531097.0,2.671,2.1,6958538.0
2003,5620545.0,2.609,5620545.0,2.609,5620545.0,2.609,5620545.0,2.609,2.1,6958538.0
2004,5710163.0,2.563,5710163.0,2.563,5710163.0,2.563,5710163.0,2.563,2.1,6958538.0
2005,5798615.0,2.53,5798615.0,2.53,5798615.0,2.53,5798615.0,2.53,2.1,6958538.0
2006,5886874.0,2.509,5886874.0,2.509,5886874.0,2.509,5886874.0,2.509,2.1,6958538.0
2007,5974786.0,2.497,5974786.0,2.497,5974786.0,2.497,5974786.0,2.497,2.1,6958538.0
2008,6058740.0,2.49,6058740.0,2.49,6058740.0,2.49,6058740.0,2.49,2.1,6958538.0
2009,6133987.0,2.485,6133987.0,2.485,6133987.0,2.485,6133987.0,2.485,2.1,6958538.0
2010,6197667.0,2.478,6197667.0,2.478,6197667.0,2.478,6197667.0,2.478,2.1,6958538.0
2011,6247438.0,2.466,6247438.0,2.466,6247438.0,2.466,6247438.0,2.466,2.1,6958538.0
2012,6285751.0,2.447,6285751.0,2.447,6285751.0,2.447,6285751.0,2.447,2.1,6958538.0
2013,6320350.0,2.423,6320350.0,2.423,6320350.0,2.423,6320350.0,2.423,2.1,6958538.0
2014,6362039.0,2.392,6362039.0,2.392,6362039.0,2.392,6362039.0,2.392,2.1,6958538.0
2015,6418315.0,2.356,6418315.0,2.356,6418315.0,2.356,6418315.0,2.356,2.1,6958538.0
2016,6492160.0,2.317,6492160.0,2.317,6492160.0,2.317,6492160.0,2.317,2.1,6958538.0
2017,6580723.0,2.277,6580723.0,2.277,6580723.0,2.277,6580723.0,2.277,2.1,6958538.0
2018,6678565.0,2.24,6678565.0,2.24,6678565.0,2.24,6678565.0,2.24,2.1,6958538.0
2019,6777453.0,2.206,6777453.0,2.206,6777453.0,2.206,6777453.0,2.206,2.1,6958538.0
2020,6871287.0,2.175,6871287.0,2.175,6871287.0,2.175,6871287.0,2.175,2.1,6958538.0
