year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,89698.0,6.967,89698.0,6.967,89698.0,6.967,89698.0,6.967,2.1,184401.0
1961,90718.0,6.931,90718.0,6.931,90718.0,6.931,90718.0,6.931,2.1,184401.0
1962,91892.0,6.88,91892.0,6.88,91892.0,6.88,91892.0,6.88,2.1,184401.0
1963,93214.0,6.821,93214.0,6.821,93214.0,6.821,93214.0,6.821,2.1,184401.0
1964,94637.0,6.758,94637.0,6.758,94637.0,6.758,94637.0,6.758,2.1,184401.0
1965,96138.0,6.688,96138.0,6.688,96138.0,6.688,96138.0,6.688,2.1,184401.0
1966,97721.0,6.607,97721.0,6.607,97721.0,6.607,97721.0,6.607,2.1,184401.0
1967,99370.0,6.508,99370.0,6.508,99370.0,6.508,99370.0,6.508,2.1,184401.0
1968,101028.0,6.387,101028.0,6.387,101028.0,6.387,101028.0,6.387,2.1,184401.0
1969,102599.0,6.249,102599.0,6.249,102599.0,6.249,102599.0,6.249,2.1,184401.0
1970,104016.0,6.101,104016.0,6.101,104016.0,6.101,104016.0,6.101,2.1,184401.0
1971,105244.0,5.953,105244.0,5.953,105244.0,5.953,105244.0,5.953,2.1,184401.0
1972,106303.0,5.813,106303.0,5.813,106303.0,5.813,106303.0,5.813,2.1,184401.0
1973,107311.0,5.686,107311.0,5.686,107311.0,5.686,107311.0,5.686,2.1,184401.0
1974,108389.0,5.571,108389.0,5.571,108389.0,5.571,108389.0,5.571,2.1,184401.0
1975,109634.0,5.462,109634.0,5.462,109634.0,5.462,109634.0,5.462,2.1,184401.0
1976,111074.0,5.347,111074.0,5.347,111074.0,5.347,111074.0,5.347,2.1,184401.0
1977,112685.0,5.216,112685.0,5.216,112685.0,5.216,112685.0,5.216,2.1,184401.0
1978,114398.0,5.064,114398.0,5.064,114398.0,5.064,114398.0,5.064,2.1,184401.0
1979,116148.0,4.891,116148.0,4.891,116148.0,4.891,116148.0,4.891,2.1,184401.0
1980,117828.0,4.703,117828.0,4.703,117828.0,4.703,117828.0,4.703,2.1,184401.0
1981,119435.0,4.512,119435.0,4.512,119435.0,4.512,119435.0,4.512,2.1,184401.0
1982,120987.0,4.328,120987.0,4.328,120987.0,4.328,120987.0,4.328,2.1,184401.0
1983,122571.0,4.161,122571.0,4.161,122571.0,4.161,122571.0,4.161,2.1,184401.0
1984,124296.0,4.014,124296.0,4.014,124296.0,4.014,124296.0,4.014,2.1,184401.0
1985,126246.0,3.888,126246.0,3.888,126246.0,3.888,126246.0,3.888,2.1,184401.0
1986,128448.0,3.781,128448.0,3.781,128448.0,3.781,128448.0,3.781,2.1,184401.0
1987,130868.0,3.683,130868.0,3.683,130868.0,3.683,130868.0,3.683,2.1,184401.0
1988,133364.0,3.589,133364.0,3.589,133364.0,3.589,133364.0,3.589,2.1,184401.0
1989,135787.0,3.495,135787.0,3.495,135787.0,3.495,135787.0,3.495,2.1,184401.0
1990,138019.0,3.399,138019.0,3.399,138019.0,3.399,138019.0,3.399,2.1,184401.0
1991,140001.0,3.302,140001.0,3.302,140001.0,3.302,140001.0,3.302,2.1,184401.0
1992,141758.0,3.203,141758.0,3.203,141758.0,3.203,141758.0,3.203,2.1,184401.0
1993,143402.0,3.104,143402.0,3.104,143402.0,3.104,143402.0,3.104,2.1,184401.0
1994,145080.0,3.001,145080.0,3.001,145080.0,3.001,145080.0,3.001,2.1,184401.0
1995,146871.0,2.892,146871.0,2.892,146871.0,2.892,146871.0,2.892,2.1,184401.0
1996,148837.0,2.772,148837.0,2.772,148837.0,2.772,148837.0,2.772,2.1,184401.0
1997,150920.0,2.641,150920.0,2.641,150920.0,2.641,150920.0,2.641,2.1,184401.0
1998,153023.0,2.499,153023.0,2.499,153023.0,2.499,153023.0,2.499,2.1,184401.0
1999,154988.0,2.35,154988.0,2.35,154988.0,2.35,154988.0,2.35,2.1,184401.0
2000,156737.0,2.202,156737.0,2.202,156737.0,2.202,156737.0,2.202,2.1,184401.0
2001,158184.0,2.06,158184.0,2.06,158184.0,2.06,158184.0,2.06,2.1,184401.0
2002,159392.0,1.933,159392.0,1.933,159392.0,1.933,159392.0,1.933,2.1,184401.0
2003,160530.0,1.826,160530.0,1.826,160530.0,1.826,160530.0,1.826,2.1,184401.0
2004,161821.0,1.74,161821.0,1.74,161821.0,1.74,161821.0,1.74,2.1,184401.0
2005,163408.0,1.675,163408.0,1.675,163408.0,1.675,163408.0,1.675,2.1,184401.0
2006,165378.0,1.63,165378.0,1.63,165378.0,1.63,165378.0,1.63,2.1,184401.0
2007,167644.0,1.598,167644.0,1.598,167644.0,1.598,167644.0,1.598,2.1,184401.0
2008,170011.0,1.574,170011.0,1.574,170011.0,1.574,170011.0,1.574,2.1,184401.0
2009,172223.0,1.555,172223.0,1.555,172223.0,1.555,172223.0,1.555,2.1,184401.0
2010,174092.0,1.538,174092.0,1.538,174092.0,1.538,174092.0,1.538,2.1,184401.0
2011,175538.0,1.522,175538.0,1.522,175538.0,1.522,175538.0,1.522,2.1,184401.0
2012,176654.0,1.508,176654.0,1.508,176654.0,1.508,176654.0,1.508,2.1,184401.0
2013,177505.0,1.496,177505.0,1.496,177505.0,1.496,177505.0,1.496,2.1,184401.0
2014,178307.0,1.485,178307.0,1.485,178307.0,1.485,178307.0,1.485,2.1,184401.0
2015,179131.0,1.473,179131.0,1.473,179131.0,1.473,179131.0,1.473,2.1,184401.0
2016,180028.0,1.461,180028.0,1.461,180028.0,1.461,180028.0,1.461,2.1,184401.0
2017,180955.0,1.448,180955.0,1.448,180955.0,1.448,180955.0,1.448,2.1,184401.0
2018,181890.0,1.436,181890.0,1.436,181890.0,1.436,181890.0,1.436,2.1,184401.0
2019,182795.0,1.424,182795.0,1.424,182795.0,1.424,182795.0,1.424,2.1,184401.0
2020,183629.0,1.411,183629.0,1.411,183629.0,1.411,183629.0,1.411,2.1,184401.0
2021,184401.0,1.411,184401.0,1.411,184401.0,1.411,184401.0,1.411,2.1,184401.0
2022,183565.52,1.373,183592.472,1.397,183564.043,1.372,183608.65,1.411,2.1,184401.0
2023,182688.056,1.337,182767.928,1.383,182683.706,1.334,182816.3,1.411,2.1,184401.0
2024,181769.725,1.301,181927.527,1.369,181761.181,1.298,182023.95,1.411,2.1,184401.0
2025,180811.612,1.267,181071.427,1.356,180797.628,1.262,181231.6,1.411,2.1,184401.0
2026,179814.775,1.233,180199.785,1.342,179794.175,1.227,180439.25,1.411,2.1,184401.0
2027,178780.243,1.2,179312.755,1.329,178751.918,1.194,179646.9,1.411,2.1,184401.0
2028,177709.019,1.169,178410.492,1.315,177671.925,1.161,178854.55,1.411,2.1,184401.0
2029,176602.077,1.137,177493.146,1.302,176555.232,1.129,178062.2,1.411,2.1,184401.0
2030,175460.367,1.107,176560.87,1.289,175402.849,1.098,177269.85,1.411,2.1,184401.0
