year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,219828794.0,5.882474304,219828794.0,5.882474304,219828794.0,5.882474304,219828794.0,5.882474304,2.1,658089208.0
1961,225912719.0,5.871320943,225912719.0,5.871320943,225912719.0,5.871320943,225912719.0,5.871320943,2.1,658089208.0
1962,232183258.0,5.847855483,232183258.0,5.847855483,232183258.0,5.847855483,232183258.0,5.847855483,2.1,658089208.0
1963,238612680.0,5.810633911,238612680.0,5.810633911,238612680.0,5.810633911,238612680.0,5.810633911,2.1,658089208.0
1964,245147710.0,5.759288059,245147710.0,5.759288059,245147710.0,5.759288059,245147710.0,5.759288059,2.1,658089208.0
1965,251760583.0,5.692991229,251760583.0,5.692991229,251760583.0,5.692991229,251760583.0,5.692991229,2.1,658089208.0
1966,258440584.0,5.613326535,258440584.0,5.613326535,258440584.0,5.613326535,258440584.0,5.613326535,2.1,658089208.0
1967,265187879.0,5.522358627,265187879.0,5.522358627,265187879.0,5.522358627,265187879.0,5.522358627,2.1,658089208.0
1968,272006857.0,5.424048139,272006857.0,5.424048139,272006857.0,5.424048139,272006857.0,5.424048139,2.1,658089208.0
1969,278898334.0,5.320315346,278898334.0,5.320315346,278898334.0,5.320315346,278898334.0,5.320315346,2.1,658089208.0
1970,285867424.0,5.213539573,285867424.0,5.213539573,285867424.0,5.213539573,285867424.0,5.213539573,2.1,658089208.0
1971,292913867.0,5.105315188,292913867.0,5.105315188,292913867.0,5.105315188,292913867.0,5.105315188,2.1,658089208.0
1972,300028905.0,4.997856829,300028905.0,4.997856829,300028905.0,4.997856829,300028905.0,4.997856829,2.1,658089208.0
1973,307224818.0,4.892004947,307224818.0,4.892004947,307224818.0,4.892004947,307224818.0,4.892004947,2.1,658089208.0
1974,314508488.0,4.789034045,314508488.0,4.789034045,314508488.0,4.789034045,314508488.0,4.789034045,2.1,658089208.0
1975,321883714.0,4.688121066,321883714.0,4.688121066,321883714.0,4.688121066,321883714.0,4.688121066,2.1,658089208.0
1976,329348136.0,4.589430868,329348136.0,4.589430868,329348136.0,4.589430868,329348136.0,4.589430868,2.1,658089208.0
1977,336897935.0,4.490691443,336897935.0,4.490691443,336897935.0,4.490691443,336897935.0,4.490691443,2.1,658089208.0
1978,344553109.0,4.391393188,344553109.0,4.391393188,344553109.0,4.391393188,344553109.0,4.391393188,2.1,658089208.0
1979,352320721.0,4.291611102,352320721.0,4.291611102,352320721.0,4.291611102,352320721.0,4.291611102,2.1,658089208.0
1980,360211832.0,4.190963037,360211832.0,4.190963037,360211832.0,4.190963037,360211832.0,4.190963037,2.1,658089208.0
1981,368220724.0,4.089516549,368220724.0,4.089516549,368220724.0,4.089516549,368220724.0,4.089516549,2.1,658089208.0
1982,376337306.0,3.988057257,376337306.0,3.988057257,376337306.0,3.988057257,376337306.0,3.988057257,2.1,658089208.0
