year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,240454708.0,6.654410836,240454708.0,6.654410836,240454708.0,6.654410836,240454708.0,6.654410836,2.1,1081504804.0
1961,246047924.0,6.674884596,246047924.0,6.674884596,246047924.0,6.674884596,246047924.0,6.674884596,2.1,1081504804.0
1962,251832862.0,6.695295923,251832862.0,6.695295923,251832862.0,6.695295923,251832862.0,6.695295923,2.1,1081504804.0
1963,257838094.0,6.714993987,257838094.0,6.714993987,257838094.0,6.714993987,257838094.0,6.714993987,2.1,1081504804.0
1964,264101960.0,6.732506966,264101960.0,6.732506966,264101960.0,6.732506966,264101960.0,6.732506966,2.1,1081504804.0
1965,270646667.0,6.747693766,270646667.0,6.747693766,270646667.0,6.747693766,270646667.0,6.747693766,2.1,1081504804.0
1966,277496711.0,6.760450886,277496711.0,6.760450886,277496711.0,6.760450886,277496711.0,6.760450886,2.1,1081504804.0
1967,284630101.0,6.77072185,284630101.0,6.77072185,284630101.0,6.77072185,284630101.0,6.77072185,2.1,1081504804.0
1968,291965350.0,6.778115825,291965350.0,6.778115825,291965350.0,6.778115825,291965350.0,6.778115825,2.1,1081504804.0
1969,299390774.0,6.78273393,299390774.0,6.78273393,299390774.0,6.78273393,299390774.0,6.78273393,2.1,1081504804.0
1970,306831524.0,6.783897528,306831524.0,6.783897528,306831524.0,6.783897528,306831524.0,6.783897528,2.1,1081504804.0
1971,314257039.0,6.781164932,314257039.0,6.781164932,314257039.0,6.781164932,314257039.0,6.781164932,2.1,1081504804.0
1972,321707146.0,6.774726211,321707146.0,6.774726211,321707146.0,6.774726211,321707146.0,6.774726211,2.1,1081504804.0
1973,329263985.0,6.764753678,329263985.0,6.764753678,329263985.0,6.764753678,329263985.0,6.764753678,2.1,1081504804.0
1974,337046102.0,6.751343691,337046102.0,6.751343691,337046102.0,6.751343691,337046102.0,6.751343691,2.1,1081504804.0
1975,345142878.0,6.73531754,345142878.0,6.73531754,345142878.0,6.73531754,345142878.0,6.73531754,2.1,1081504804.0
1976,353588445.0,6.717575667,353588445.0,6.717575667,353588445.0,6.717575667,353588445.0,6.717575667,2.1,1081504804.0
1977,362368951.0,6.698442275,362368951.0,6.698442275,362368951.0,6.698442275,362368951.0,6.698442275,2.1,1081504804.0
1978,371467960.0,6.677304231,371467960.0,6.677304231,371467960.0,6.677304231,371467960.0,6.677304231,2.1,1081504804.0
1979,380850814.0,6.652603215,380850814.0,6.652603215,380850814.0,6.652603215,380850814.0,6.652603215,2.1,1081504804.0
1980,390496946.0,6.622788072,390496946.0,6.622788072,390496946.0,6.622788072,390496946.0,6.622788072,2.1,1081504804.0
1981,400410427.0,6.585243981,400410427.0,6.585243981,400410427.0,6.585243981,400410427.0,6.585243981,2.1,1081504804.0
1982,410619225.0,6.539751886,410619225.0,6.539751886,410619225.0,6.539751886,410619225.0,6.539751886,2.1,1081504804.0
1983,421154964.0,6.485849225,421154964.0,6.485849225,421154964.0,6.485849225,421154964.0,6.485849225,2.1,1081504804.0
1984,432058248.0,6.42403396,432058248.0,6.42403396,432058248.0,6.42403396,432058248.0,6.42403396,2.1,1081504804.0
1985,443361310.0,6.354087604,443361310.0,6.354087604,443361310.0,6.354087604,443361310.0,6.354087604,2.1,1081504804.0
1986,455060691.0,6.277641695,455060691.0,6.277641695,455060691.0,6.277641695,455060691.0,6.277641695,2.1,1081504804.0
1987,467154411.0,6.196447617,467154411.0,6.196447617,467154411.0,6.196447617,467154411.0,6.196447617,2.1,1081504804.0
1988,479674708.0,6.112551533,479674708.0,6.112551533,479674708.0,6.112551533,479674708.0,6.112551533,2.1,1081504804.0
1989,492660240.0,6.027555084,492660240.0,6.027555084,492660240.0,6.027555084,492660240.0,6.027555084,2.1,1081504804.0
1990,506129051.0,5.943784578,506129051.0,5.943784578,506129051.0,5.943784578,506129051.0,5.943784578,2.1,1081504804.0
1991,520111718.0,5.862128897,520111718.0,5.862128897,520111718.0,5.862128897,520111718.0,5.862128897,2.1,1081504804.0
