year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,140853136.0,6.6004622,140853136.0,6.6004622,140853136.0,6.6004622,140853136.0,6.6004622,2.1,701926973.0
1961,144012757.0,6.59494321,144012757.0,6.59494321,144012757.0,6.59494321,144012757.0,6.59494321,2.1,701926973.0
1962,147251680.0,6.591092527,147251680.0,6.591092527,147251680.0,6.591092527,147251680.0,6.591092527,2.1,701926973.0
1963,150606788.0,6.592809331,150606788.0,6.592809331,150606788.0,6.592809331,150606788.0,6.592809331,2.1,701926973.0
1964,154131490.0,6.603926116,154131490.0,6.603926116,154131490.0,6.603926116,154131490.0,6.603926116,2.1,701926973.0
1965,157862981.0,6.625756811,157862981.0,6.625756811,157862981.0,6.625756811,157862981.0,6.625756811,2.1,701926973.0
1966,161813677.0,6.64949457,161813677.0,6.64949457,161813677.0,6.64949457,161813677.0,6.64949457,2.1,701926973.0
1967,165967397.0,6.679621413,165967397.0,6.679621413,165967397.0,6.679621413,165967397.0,6.679621413,2.1,701926973.0
1968,170296999.0,6.709456278,170296999.0,6.709456278,170296999.0,6.709456278,170296999.0,6.709456278,2.1,701926973.0
1969,174762263.0,6.734076135,174762263.0,6.734076135,174762263.0,6.734076135,174762263.0,6.734076135,2.1,701926973.0
1970,179333360.0,6.750523161,179333360.0,6.750523161,179333360.0,6.750523161,179333360.0,6.750523161,2.1,701926973.0
1971,184001167.0,6.760296121,184001167.0,6.760296121,184001167.0,6.760296121,184001167.0,6.760296121,2.1,701926973.0
1972,188773015.0,6.761172698,188773015.0,6.761172698,188773015.0,6.761172698,188773015.0,6.761172698,2.1,701926973.0
1973,193654964.0,6.755144029,193654964.0,6.755144029,193654964.0,6.755144029,193654964.0,6.755144029,2.1,701926973.0
1974,198658737.0,6.745661032,198658737.0,6.745661032,198658737.0,6.745661032,198658737.0,6.745661032,2.1,701926973.0
1975,203792529.0,6.736243625,203792529.0,6.736243625,203792529.0,6.736243625,203792529.0,6.736243625,2.1,701926973.0
1976,209068338.0,6.726657077,209068338.0,6.726657077,209068338.0,6.726657077,209068338.0,6.726657077,2.1,701926973.0
1977,214483125.0,6.720662665,214483125.0,6.720662665,214483125.0,6.720662665,214483125.0,6.720662665,2.1,701926973.0
1978,220012601.0,6.718348564,220012601.0,6.718348564,220012601.0,6.718348564,220012601.0,6.718348564,2.1,701926973.0
1979,225622921.0,6.71770358,225622921.0,6.71770358,225622921.0,6.71770358,225622921.0,6.71770358,2.1,701926973.0
1980,231296942.0,6.717045714,231296942.0,6.717045714,231296942.0,6.717045714,231296942.0,6.717045714,2.1,701926973.0
1981,237032088.0,6.711340411,237032088.0,6.711340411,237032088.0,6.711340411,237032088.0,6.711340411,2.1,701926973.0
1982,242859058.0,6.703192475,242859058.0,6.703192475,242859058.0,6.703192475,242859058.0,6.703192475,2.1,701926973.0
1983,248837038.0,6.691111423,248837038.0,6.691111423,248837038.0,6.691111423,248837038.0,6.691111423,2.1,701926973.0
1984,255044693.0,6.673747237,255044693.0,6.673747237,255044693.0,6.673747237,255044693.0,6.673747237,2.1,701926973.0
1985,261545558.0,6.6505612,261545558.0,6.6505612,261545558.0,6.6505612,261545558.0,6.6505612,2.1,701926973.0
1986,268348714.0,6.624491581,268348714.0,6.624491581,268348714.0,6.624491581,268348714.0,6.624491581,2.1,701926973.0
1987,275457450.0,6.592778593,275457450.0,6.592778593,275457450.0,6.592778593,275457450.0,6.592778593,2.1,701926973.0
1988,282920347.0,6.557595237,282920347.0,6.557595237,282920347.0,6.557595237,282920347.0,6.557595237,2.1,701926973.0
1989,290792401.0,6.520507564,290792401.0,6.520507564,290792401.0,6.520507564,290792401.0,6.520507564,2.1,701926973.0
