year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,16501.0,,16501.0,,16501.0,,16501.0,,2.1,38254.0
1961,16894.0,,16894.0,,16894.0,,16894.0,,2.1,38254.0
1962,17300.0,,17300.0,,17300.0,,17300.0,,2.1,38254.0
1963,17724.0,,17724.0,,17724.0,,17724.0,,2.1,38254.0
1964,18170.0,,18170.0,,18170.0,,18170.0,,2.1,38254.0
1965,18642.0,,18642.0,,18642.0,,18642.0,,2.1,38254.0
1966,19160.0,,19160.0,,19160.0,,19160.0,,2.1,38254.0
1967,19688.0,,19688.0,,19688.0,,19688.0,,2.1,38254.0
1968,20237.0,,20237.0,,20237.0,,20237.0,,2.1,38254.0
1969,20766.0,,20766.0,,20766.0,,20766.0,,2.1,38254.0
1970,21268.0,,21268.0,,21268.0,,21268.0,,2.1,38254.0
1971,21729.0,,21729.0,,21729.0,,21729.0,,2.1,38254.0
1972,22161.0,,22161.0,,22161.0,,22161.0,,2.1,38254.0
1973,22560.0,,22560.0,,22560.0,,22560.0,,2.1,38254.0
1974,22985.0,,22985.0,,22985.0,,22985.0,,2.1,38254.0
1975,23436.0,,23436.0,,23436.0,,23436.0,,2.1,38254.0
1976,23933.0,,23933.0,,23933.0,,23933.0,,2.1,38254.0
1977,24451.0,,24451.0,,24451.0,,24451.0,,2.1,38254.0
1978,24968.0,,24968.0,,24968.0,,24968.0,,2.1,38254.0
1979,25463.0,,25463.0,,25463.0,,25463.0,,2.1,38254.0
1980,25881.0,,25881.0,,25881.0,,25881.0,,2.1,38254.0
1981,26229.0,,26229.0,,26229.0,,26229.0,,2.1,38254.0
1982,26533.0,,26533.0,,26533.0,,26533.0,,2.1,38254.0
1983,26790.0,,26790.0,,26790.0,,26790.0,,2.1,38254.0
1984,27028.0,,27028.0,,27028.0,,27028.0,,2.1,38254.0
1985,27286.0,,27286.0,,27286.0,,27286.0,,2.1,38254.0
1986,27552.0,,27552.0,,27552.0,,27552.0,,2.1,38254.0
1987,27835.0,,27835.0,,27835.0,,27835.0,,2.1,38254.0
1988,28135.0,,28135.0,,28135.0,,28135.0,,2.1,38254.0
1989,28449.0,,28449.0,,28449.0,,28449.0,,2.1,38254.0
1990,28790.0,,28790.0,,28790.0,,28790.0,,2.1,38254.0
1991,29166.0,,29166.0,,29166.0,,29166.0,,2.1,38254.0
1992,29552.0,,29552.0,,29552.0,,29552.0,,2.1,38254.0
1993,29987.0,,29987.0,,29987.0,,29987.0,,2.1,38254.0
1994,30415.0,,30415.0,,30415.0,,30415.0,,2.1,38254.0
1995,30884.0,,30884.0,,30884.0,,30884.0,,2.1,38254.0
1996,31354.0,,31354.0,,31354.0,,31354.0,,2.1,38254.0
1997,31830.0,,31830.0,,31830.0,,31830.0,,2.1,38254.0
1998,32306.0,,32306.0,,32306.0,,32306.0,,2.1,38254.0
1999,32765.0,,32765.0,,32765.0,,32765.0,,2.1,38254.0
2000,33184.0,1.57,33184.0,1.57,33184.0,1.57,33184.0,1.57,2.1,38254.0
2001,33543.0,1.52,33543.0,1.52,33543.0,1.52,33543.0,1.52,2.1,38254.0
2002,33885.0,1.47,33885.0,1.47,33885.0,1.47,33885.0,1.47,2.1,38254.0
2003,34172.0,1.36,34172.0,1.36,34172.0,1.36,34172.0,1.36,2.1,38254.0
2004,34444.0,1.44,34444.0,1.44,34444.0,1.44,34444.0,1.44,2.1,38254.0
2005,34718.0,1.49,34718.0,1.49,34718.0,1.49,34718.0,1.49,2.1,38254.0
2006,34975.0,1.43,34975.0,1.43,34975.0,1.43,34975.0,1.43,2.1,38254.0
2007,35217.0,1.42,35217.0,1.42,35217.0,1.42,35217.0,1.42,2.1,38254.0
2008,35469.0,1.43,35469.0,1.43,35469.0,1.43,35469.0,1.43,2.1,38254.0
2009,35723.0,1.71,35723.0,1.71,35723.0,1.71,35723.0,1.71,2.1,38254.0
2010,35996.0,1.4,35996.0,1.4,35996.0,1.4,35996.0,1.4,2.1,38254.0
2011,36299.0,1.69,36299.0,1.69,36299.0,1.69,36299.0,1.69,2.1,38254.0
2012,36615.0,1.51,36615.0,1.51,36615.0,1.51,36615.0,1.51,2.1,38254.0
2013,36940.0,1.45,36940.0,1.45,36940.0,1.45,36940.0,1.45,2.1,38254.0
2014,37219.0,1.59,37219.0,1.59,37219.0,1.59,37219.0,1.59,2.1,38254.0
2015,37465.0,1.4,37465.0,1.4,37465.0,1.4,37465.0,1.4,2.1,38254.0
2016,37655.0,1.61,37655.0,1.61,37655.0,1.61,37655.0,1.61,2.1,38254.0
2017,37805.0,1.44,37805.0,1.44,37805.0,1.44,37805.0,1.44,2.1,38254.0
2018,37918.0,1.58,37918.0,1.58,37918.0,1.58,37918.0,1.58,2.1,38254.0
2019,38020.0,1.48,38020.0,1.48,38020.0,1.48,38020.0,1.48,2.1,38254.0
2020,38137.0,1.46,38137.0,1.46,38137.0,1.46,38137.0,1.46,2.1,38254.0
2021,38254.0,1.46,38254.0,1.46,38254.0,1.46,38254.0,1.46,2.1,38254.0
2022,38111.848,1.461,38115.923,1.479,38112.4,1.463,38111.676,1.46,2.1,38254.0
2023,37969.869,1.462,37982.148,1.498,37971.526,1.467,37969.352,1.46,2.1,38254.0
2024,37828.061,1.462,37852.732,1.518,37831.379,1.47,37827.029,1.46,2.1,38254.0
2025,37686.426,1.463,37727.732,1.538,37691.961,1.473,37684.705,1.46,2.1,38254.0
2026,37544.964,1.464,37607.204,1.558,37553.274,1.476,37542.381,1.46,2.1,38254.0
2027,37403.674,1.465,37491.209,1.578,37415.318,1.48,37400.057,1.46,2.1,38254.0
2028,37262.557,1.465,37379.805,1.599,37278.097,1.483,37257.733,1.46,2.1,38254.0
2029,37121.612,1.466,37273.052,1.62,37141.611,1.486,37115.41,1.46,2.1,38254.0
2030,36980.84,1.467,37171.011,1.641,37005.861,1.49,36973.086,1.46,2.1,38254.0
2031,36840.241,1.468,37073.744,1.663,36870.851,1.493,36830.762,1.46,2.1,38254.0
2032,36699.815,1.469,36981.312,1.684,36736.581,1.496,36688.438,1.46,2.1,38254.0
2033,36559.563,1.469,36893.78,1.706,36603.053,1.5,36546.114,1.46,2.1,38254.0
2034,36419.483,1.47,36811.212,1.729,36470.268,1.503,36403.79,1.46,2.1,38254.0
2035,36279.576,1.471,36733.672,1.751,36338.229,1.506,36261.467,1.46,2.1,38254.0
2036,36139.843,1.472,36661.226,1.774,36206.937,1.51,36119.143,1.46,2.1,38254.0
2037,36000.284,1.472,36593.941,1.797,36076.393,1.513,35976.819,1.46,2.1,38254.0
2038,35860.898,1.473,36531.884,1.821,35946.6,1.516,35834.495,1.46,2.1,38254.0
2039,35721.685,1.474,36475.124,1.845,35817.559,1.52,35692.171,1.46,2.1,38254.0
2040,35582.647,1.475,36423.73,1.869,35689.271,1.523,35549.848,1.46,2.1,38254.0
2041,35443.782,1.476,36377.772,1.893,35561.739,1.527,35407.524,1.46,2.1,38254.0
2042,35305.091,1.476,36337.321,1.918,35434.963,1.53,35265.2,1.46,2.1,38254.0
2043,35166.574,1.477,36302.449,1.943,35308.947,1.533,35122.876,1.46,2.1,38254.0
2044,35028.231,1.478,36273.23,1.969,35183.691,1.537,34980.552,1.46,2.1,38254.0
2045,34890.062,1.479,36249.736,1.994,35059.196,1.54,34838.229,1.46,2.1,38254.0
2046,34752.068,1.479,36232.044,2.02,34935.466,1.544,34695.905,1.46,2.1,38254.0
2047,34614.248,1.48,36220.229,2.047,34812.501,1.547,34553.581,1.46,2.1,38254.0
2048,34476.603,1.481,36214.368,2.074,34690.304,1.551,34411.257,1.46,2.1,38254.0
2049,34339.132,1.482,36214.538,2.101,34568.875,1.554,34268.933,1.46,2.1,38254.0
2050,34201.835,1.483,36220.819,2.128,34448.217,1.557,34126.61,1.46,2.1,38254.0
2051,34064.714,1.483,36233.29,2.156,34328.331,1.561,33984.286,1.46,2.1,38254.0
2052,33927.767,1.484,36252.033,2.184,34209.219,1.564,33841.962,1.46,2.1,38254.0
2053,33790.995,1.485,36277.129,2.213,34090.883,1.568,33699.638,1.46,2.1,38254.0
2054,33654.398,1.486,36308.662,2.242,33973.325,1.571,33557.314,1.46,2.1,38254.0
2055,33517.977,1.487,36346.716,2.271,33856.546,1.575,33414.99,1.46,2.1,38254.0
2056,33381.73,1.487,36391.376,2.301,33740.548,1.578,33272.667,1.46,2.1,38254.0
