year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,9874476.0,5.541,9874476.0,5.541,9874476.0,5.541,9874476.0,5.541,2.1,22156000.0
1961,10111639.0,5.421,10111639.0,5.421,10111639.0,5.421,10111639.0,5.421,2.1,22156000.0
1962,10352180.0,5.299,10352180.0,5.299,10352180.0,5.299,10352180.0,5.299,2.1,22156000.0
1963,10597516.0,5.18,10597516.0,5.18,10597516.0,5.18,10597516.0,5.18,2.1,22156000.0
1964,10849977.0,5.067,10849977.0,5.067,10849977.0,5.067,10849977.0,5.067,2.1,22156000.0
1965,11110825.0,4.959,11110825.0,4.959,11110825.0,4.959,11110825.0,4.959,2.1,22156000.0
1966,11380665.0,4.849,11380665.0,4.849,11380665.0,4.849,11380665.0,4.849,2.1,22156000.0
1967,11657650.0,4.734,11657650.0,4.734,11657650.0,4.734,11657650.0,4.734,2.1,22156000.0
1968,11937607.0,4.609,11937607.0,4.609,11937607.0,4.609,11937607.0,4.609,2.1,22156000.0
1969,12214948.0,4.477,12214948.0,4.477,12214948.0,4.477,12214948.0,4.477,2.1,22156000.0
1970,12485736.0,4.342,12485736.0,4.342,12485736.0,4.342,12485736.0,4.342,2.1,22156000.0
1971,12747831.0,4.208,12747831.0,4.208,12747831.0,4.208,12747831.0,4.208,2.1,22156000.0
1972,13002234.0,4.083,13002234.0,4.083,13002234.0,4.083,13002234.0,4.083,2.1,22156000.0
1973,13252033.0,3.97,13252033.0,3.97,13252033.0,3.97,13252033.0,3.97,2.1,22156000.0
1974,13501931.0,3.87,13501931.0,3.87,13501931.0,3.87,13501931.0,3.87,2.1,22156000.0
1975,13755141.0,3.783,13755141.0,3.783,13755141.0,3.783,13755141.0,3.783,2.1,22156000.0
1976,14012894.0,3.705,14012894.0,3.705,14012894.0,3.705,14012894.0,3.705,2.1,22156000.0
1977,14273495.0,3.633,14273495.0,3.633,14273495.0,3.633,14273495.0,3.633,2.1,22156000.0
1978,14533691.0,3.562,14533691.0,3.562,14533691.0,3.562,14533691.0,3.562,2.1,22156000.0
1979,14788866.0,3.488,14788866.0,3.488,14788866.0,3.488,14788866.0,3.488,2.1,22156000.0
1980,15035840.0,3.408,15035840.0,3.408,15035840.0,3.408,15035840.0,3.408,2.1,22156000.0
1981,15272822.0,3.319,15272822.0,3.319,15272822.0,3.319,15272822.0,3.319,2.1,22156000.0
