year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,988626091.0,5.972791087,988626091.0,5.972791087,988626091.0,5.972791087,988626091.0,5.972791087,2.1,3363196656.0
1961,1011300866.0,5.975699838,1011300866.0,5.975699838,1011300866.0,5.975699838,1011300866.0,5.975699838,2.1,3363196656.0
1962,1034742138.0,5.977538913,1034742138.0,5.977538913,1034742138.0,5.977538913,1034742138.0,5.977538913,2.1,3363196656.0
1963,1058918092.0,5.972430936,1058918092.0,5.972430936,1058918092.0,5.972430936,1058918092.0,5.972430936,2.1,3363196656.0
1964,1083774162.0,5.960769888,1083774162.0,5.960769888,1083774162.0,5.960769888,1083774162.0,5.960769888,2.1,3363196656.0
1965,1109268545.0,5.949184901,1109268545.0,5.949184901,1109268545.0,5.949184901,1109268545.0,5.949184901,2.1,3363196656.0
1966,1135402774.0,5.931025407,1135402774.0,5.931025407,1135402774.0,5.931025407,1135402774.0,5.931025407,2.1,3363196656.0
1967,1162186728.0,5.904936656,1162186728.0,5.904936656,1162186728.0,5.904936656,1162186728.0,5.904936656,2.1,3363196656.0
1968,1189633927.0,5.873130487,1189633927.0,5.873130487,1189633927.0,5.873130487,1189633927.0,5.873130487,2.1,3363196656.0
1969,1217759143.0,5.839353398,1217759143.0,5.839353398,1217759143.0,5.839353398,1217759143.0,5.839353398,2.1,3363196656.0
1970,1246579469.0,5.800523897,1246579469.0,5.800523897,1246579469.0,5.800523897,1246579469.0,5.800523897,2.1,3363196656.0
1971,1276118989.0,5.753908624,1276118989.0,5.753908624,1276118989.0,5.753908624,1276118989.0,5.753908624,2.1,3363196656.0
1972,1306406127.0,5.69853735,1306406127.0,5.69853735,1306406127.0,5.69853735,1306406127.0,5.69853735,2.1,3363196656.0
1973,1337477891.0,5.638098465,1337477891.0,5.638098465,1337477891.0,5.638098465,1337477891.0,5.638098465,2.1,3363196656.0
1974,1369387911.0,5.575021982,1369387911.0,5.575021982,1369387911.0,5.575021982,1369387911.0,5.575021982,2.1,3363196656.0
1975,1402176498.0,5.508408719,1402176498.0,5.508408719,1402176498.0,5.508408719,1402176498.0,5.508408719,2.1,3363196656.0
1976,1435819972.0,5.440558523,1435819972.0,5.440558523,1435819972.0,5.440558523,1435819972.0,5.440558523,2.1,3363196656.0
1977,1470338714.0,5.373140189,1470338714.0,5.373140189,1470338714.0,5.373140189,1470338714.0,5.373140189,2.1,3363196656.0
1978,1505866299.0,5.309842048,1505866299.0,5.309842048,1505866299.0,5.309842048,1505866299.0,5.309842048,2.1,3363196656.0
1979,1542579134.0,5.246674819,1542579134.0,5.246674819,1542579134.0,5.246674819,1542579134.0,5.246674819,2.1,3363196656.0
1980,1580577179.0,5.183133088,1580577179.0,5.183133088,1580577179.0,5.183133088,1580577179.0,5.183133088,2.1,3363196656.0
