year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,2244700479.0,5.687380922,2244700479.0,5.687380922,2244700479.0,5.687380922,2244700479.0,5.687380922,2.1,6566551568.0
1961,2273945110.0,5.718114535,2273945110.0,5.718114535,2273945110.0,5.718114535,2273945110.0,5.718114535,2.1,6566551568.0
1962,2316484209.0,5.767413462,2316484209.0,5.767413462,2316484209.0,5.767413462,2316484209.0,5.767413462,2.1,6566551568.0
1963,2371218025.0,5.798562814,2371218025.0,5.798562814,2371218025.0,5.798562814,2371218025.0,5.798562814,2.1,6566551568.0
1964,2426432129.0,5.817051236,2426432129.0,5.817051236,2426432129.0,5.817051236,2426432129.0,5.817051236,2.1,6566551568.0
1965,2483422664.0,5.823372613,2483422664.0,5.823372613,2483422664.0,5.823372613,2483422664.0,5.823372613,2.1,6566551568.0
1966,2544090232.0,5.807912582,2544090232.0,5.807912582,2544090232.0,5.807912582,2544090232.0,5.807912582,2.1,6566551568.0
1967,2604644271.0,5.767177869,2604644271.0,5.767177869,2604644271.0,5.767177869,2604644271.0,5.767177869,2.1,6566551568.0
1968,2666962174.0,5.706248191,2666962174.0,5.706248191,2666962174.0,5.706248191,2666962174.0,5.706248191,2.1,6566551568.0
1969,2731770598.0,5.625420258,2731770598.0,5.625420258,2731770598.0,5.625420258,2731770598.0,5.625420258,2.1,6566551568.0
1970,2798258181.0,5.52487285,2798258181.0,5.52487285,2798258181.0,5.52487285,2798258181.0,5.52487285,2.1,6566551568.0
1971,2866198148.0,5.392425389,2866198148.0,5.392425389,2866198148.0,5.392425389,2866198148.0,5.392425389,2.1,6566551568.0
1972,2933235961.0,5.258944828,2933235961.0,5.258944828,2933235961.0,5.258944828,2933235961.0,5.258944828,2.1,6566551568.0
1973,3000249265.0,5.105512992,3000249265.0,5.105512992,3000249265.0,5.105512992,3000249265.0,5.105512992,2.1,6566551568.0
1974,3066813686.0,4.950134521,3066813686.0,4.950134521,3066813686.0,4.950134521,3066813686.0,4.950134521,2.1,6566551568.0
1975,3132064028.0,4.796408431,3132064028.0,4.796408431,3132064028.0,4.796408431,3132064028.0,4.796408431,2.1,6566551568.0
1976,3196797795.0,4.651308265,3196797795.0,4.651308265,3196797795.0,4.651308265,3196797795.0,4.651308265,2.1,6566551568.0
1977,3261100939.0,4.518525456,3261100939.0,4.518525456,3261100939.0,4.518525456,3261100939.0,4.518525456,2.1,6566551568.0
1978,3326539370.0,4.401494184,3326539370.0,4.401494184,3326539370.0,4.401494184,3326539370.0,4.401494184,2.1,6566551568.0
1979,3393547525.0,4.300978933,3393547525.0,4.300978933,3393547525.0,4.300978933,3393547525.0,4.300978933,2.1,6566551568.0
1980,3461532116.0,4.219487852,3461532116.0,4.219487852,3461532116.0,4.219487852,3461532116.0,4.219487852,2.1,6566551568.0
1981,3531518344.0,4.150174894,3531518344.0,4.150174894,3531518344.0,4.150174894,3531518344.0,4.150174894,2.1,6566551568.0
1982,3604927869.0,4.109625546,3604927869.0,4.109625546,3604927869.0,4.109625546,3604927869.0,4.109625546,2.1,6566551568.0
1983,3679529273.0,4.071097335,3679529273.0,4.071097335,3679529273.0,4.071097335,3679529273.0,4.071097335,2.1,6566551568.0
1984,3754210988.0,4.030877387,3754210988.0,4.030877387,3754210988.0,4.030877387,3754210988.0,4.030877387,2.1,6566551568.0
1985,3830354879.0,3.988250832,3830354879.0,3.988250832,3830354879.0,3.988250832,3830354879.0,3.988250832,2.1,6566551568.0
1986,3908696127.0,3.941423777,3908696127.0,3.941423777,3908696127.0,3.941423777,3908696127.0,3.941423777,2.1,6566551568.0
1987,3989195046.0,3.880399429,3989195046.0,3.880399429,3989195046.0,3.880399429,3989195046.0,3.880399429,2.1,6566551568.0
1988,4070474294.0,3.798745374,4070474294.0,3.798745374,4070474294.0,3.798745374,4070474294.0,3.798745374,2.1,6566551568.0
1989,4151278054.0,3.702098409,4151278054.0,3.702098409,4151278054.0,3.702098409,4151278054.0,3.702098409,2.1,6566551568.0
1990,4233094650.0,3.597763451,4233094650.0,3.597763451,4233094650.0,3.597763451,4233094650.0,3.597763451,2.1,6566551568.0
1991,4312368597.0,3.485846112,4312368597.0,3.485846112,4312368597.0,3.485846112,4312368597.0,3.485846112,2.1,6566551568.0
1992,4390151296.0,3.380119652,4390151296.0,3.380119652,4390151296.0,3.380119652,4390151296.0,3.380119652,2.1,6566551568.0
1993,4466940716.0,3.280153543,4466940716.0,3.280153543,4466940716.0,3.280153543,4466940716.0,3.280153543,2.1,6566551568.0
1994,4543177466.0,3.19923503,4543177466.0,3.19923503,4543177466.0,3.19923503,4543177466.0,3.19923503,2.1,6566551568.0
1995,4618696093.0,3.13001379,4618696093.0,3.13001379,4618696093.0,3.13001379,4618696093.0,3.13001379,2.1,6566551568.0
1996,4694052890.0,3.071520577,4694052890.0,3.071520577,4694052890.0,3.071520577,4694052890.0,3.071520577,2.1,6566551568.0
1997,4769309184.0,3.020411594,4769309184.0,3.020411594,4769309184.0,3.020411594,4769309184.0,3.020411594,2.1,6566551568.0
1998,4843812689.0,2.981934349,4843812689.0,2.981934349,4843812689.0,2.981934349,4843812689.0,2.981934349,2.1,6566551568.0
1999,4917122555.0,2.943337272,4917122555.0,2.943337272,4917122555.0,2.943337272,4917122555.0,2.943337272,2.1,6566551568.0
2000,4989857817.0,2.907751427,4989857817.0,2.907751427,4989857817.0,2.907751427,4989857817.0,2.907751427,2.1,6566551568.0
2001,5062005531.0,2.87627071,5062005531.0,2.87627071,5062005531.0,2.87627071,5062005531.0,2.87627071,2.1,6566551568.0
2002,5133727377.0,2.848625464,5133727377.0,2.848625464,5133727377.0,2.848625464,5133727377.0,2.848625464,2.1,6566551568.0
2003,5205374431.0,2.821164648,5205374431.0,2.821164648,5205374431.0,2.821164648,5205374431.0,2.821164648,2.1,6566551568.0
2004,5277135766.0,2.796832605,5277135766.0,2.796832605,5277135766.0,2.796832605,5277135766.0,2.796832605,2.1,6566551568.0
2005,5349238979.0,2.76980031,5349238979.0,2.76980031,5349238979.0,2.76980031,5349238979.0,2.76980031,2.1,6566551568.0
2006,5421454926.0,2.747017273,5421454926.0,2.747017273,5421454926.0,2.747017273,5421454926.0,2.747017273,2.1,6566551568.0
2007,5493905785.0,2.728172346,5493905785.0,2.728172346,5493905785.0,2.728172346,5493905785.0,2.728172346,2.1,6566551568.0
2008,5567161489.0,2.71028162,5567161489.0,2.71028162,5567161489.0,2.71028162,5567161489.0,2.71028162,2.1,6566551568.0
2009,5640982842.0,2.688912475,5640982842.0,2.688912475,5640982842.0,2.688912475,5640982842.0,2.688912475,2.1,6566551568.0
2010,5715348512.0,2.668262718,5715348512.0,2.668262718,5715348512.0,2.668262718,5715348512.0,2.668262718,2.1,6566551568.0
2011,5791393958.0,2.648790294,5791393958.0,2.648790294,5791393958.0,2.648790294,5791393958.0,2.648790294,2.1,6566551568.0
2012,5869616742.0,2.634481554,5869616742.0,2.634481554,5869616742.0,2.634481554,5869616742.0,2.634481554,2.1,6566551568.0
2013,5948565943.0,2.619396589,5948565943.0,2.619396589,5948565943.0,2.619396589,5948565943.0,2.619396589,2.1,6566551568.0
2014,6027587134.0,2.606983658,6027587134.0,2.606983658,6027587134.0,2.606983658,6027587134.0,2.606983658,2.1,6566551568.0
