year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,837264.0,5.839,837264.0,5.839,837264.0,5.839,837264.0,5.839,2.1,2159067.0
1961,852892.0,5.829,852892.0,5.829,852892.0,5.829,852892.0,5.829,2.1,2159067.0
1962,869132.0,5.82,869132.0,5.82,869132.0,5.82,869132.0,5.82,2.1,2159067.0
1963,886061.0,5.812,886061.0,5.812,886061.0,5.812,886061.0,5.812,2.1,2159067.0
1964,903757.0,5.806,903757.0,5.806,903757.0,5.806,903757.0,5.806,2.1,2159067.0
1965,922307.0,5.802,922307.0,5.802,922307.0,5.802,922307.0,5.802,2.1,2159067.0
1966,941798.0,5.801,941798.0,5.801,941798.0,5.801,941798.0,5.801,2.1,2159067.0
1967,962279.0,5.803,962279.0,5.803,962279.0,5.803,962279.0,5.803,2.1,2159067.0
1968,983683.0,5.805,983683.0,5.805,983683.0,5.805,983683.0,5.805,2.1,2159067.0
1969,1005911.0,5.807,1005911.0,5.807,1005911.0,5.807,1005911.0,5.807,2.1,2159067.0
1970,1028930.0,5.808,1028930.0,5.808,1028930.0,5.808,1028930.0,5.808,2.1,2159067.0
1971,1052619.0,5.808,1052619.0,5.808,1052619.0,5.808,1052619.0,5.808,2.1,2159067.0
1972,1077102.0,5.804,1077102.0,5.804,1077102.0,5.804,1077102.0,5.804,2.1,2159067.0
1973,1102885.0,5.796,1102885.0,5.796,1102885.0,5.796,1102885.0,5.796,2.1,2159067.0
1974,1130634.0,5.783,1130634.0,5.783,1130634.0,5.783,1130634.0,5.783,2.1,2159067.0
1975,1160795.0,5.764,1160795.0,5.764,1160795.0,5.764,1160795.0,5.764,2.1,2159067.0
1976,1193517.0,5.739,1193517.0,5.739,1193517.0,5.739,1193517.0,5.739,2.1,2159067.0
1977,1228527.0,5.708,1228527.0,5.708,1228527.0,5.708,1228527.0,5.708,2.1,2159067.0
1978,1265211.0,5.671,1265211.0,5.671,1265211.0,5.671,1265211.0,5.671,2.1,2159067.0
1979,1302670.0,5.627,1302670.0,5.627,1302670.0,5.627,1302670.0,5.627,2.1,2159067.0
1980,1340258.0,5.577,1340258.0,5.577,1340258.0,5.577,1340258.0,5.577,2.1,2159067.0
1981,1377808.0,5.518,1377808.0,5.518,1377808.0,5.518,1377808.0,5.518,2.1,2159067.0
1982,1415362.0,5.453,1415362.0,5.453,1415362.0,5.453,1415362.0,5.453,2.1,2159067.0
1983,1452727.0,5.381,1452727.0,5.381,1452727.0,5.381,1452727.0,5.381,2.1,2159067.0
1984,1489685.0,5.302,1489685.0,5.302,1489685.0,5.302,1489685.0,5.302,2.1,2159067.0
1985,1526132.0,5.216,1526132.0,5.216,1526132.0,5.216,1526132.0,5.216,2.1,2159067.0
1986,1561687.0,5.125,1561687.0,5.125,1561687.0,5.125,1561687.0,5.125,2.1,2159067.0
1987,1596395.0,5.029,1596395.0,5.029,1596395.0,5.029,1596395.0,5.029,2.1,2159067.0
1988,1630993.0,4.929,1630993.0,4.929,1630993.0,4.929,1630993.0,4.929,2.1,2159067.0
1989,1666564.0,4.826,1666564.0,4.826,1666564.0,4.826,1666564.0,4.826,2.1,2159067.0
1990,1703757.0,4.721,1703757.0,4.721,1703757.0,4.721,1703757.0,4.721,2.1,2159067.0
1991,1742534.0,4.614,1742534.0,4.614,1742534.0,4.614,1742534.0,4.614,2.1,2159067.0
1992,1782284.0,4.506,1782284.0,4.506,1782284.0,4.506,1782284.0,4.506,2.1,2159067.0
1993,1822237.0,4.397,1822237.0,4.397,1822237.0,4.397,1822237.0,4.397,2.1,2159067.0
1994,1861323.0,4.291,1861323.0,4.291,1861323.0,4.291,1861323.0,4.291,2.1,2159067.0
1995,1898598.0,4.189,1898598.0,4.189,1898598.0,4.189,1898598.0,4.189,2.1,2159067.0
1996,1934294.0,4.094,1934294.0,4.094,1934294.0,4.094,1934294.0,4.094,2.1,2159067.0
1997,1968054.0,4.007,1968054.0,4.007,1968054.0,4.007,1968054.0,4.007,2.1,2159067.0
1998,1997524.0,3.928,1997524.0,3.928,1997524.0,3.928,1997524.0,3.928,2.1,2159067.0
1999,2019732.0,3.857,2019732.0,3.857,2019732.0,3.857,2019732.0,3.857,2.1,2159067.0
2000,2032805.0,3.792,2032805.0,3.792,2032805.0,3.792,2032805.0,3.792,2.1,2159067.0
2001,2035738.0,3.732,2035738.0,3.732,2035738.0,3.732,2035738.0,3.732,2.1,2159067.0
