year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,1096903448.0,5.173623076,1096903448.0,5.173623076,1096903448.0,5.173623076,1096903448.0,5.173623076,2.1,2322070390.0
1961,1099284940.0,5.220933588,1099284940.0,5.220933588,1099284940.0,5.220933588,1099284940.0,5.220933588,2.1,2322070390.0
1962,1113927919.0,5.307495308,1113927919.0,5.307495308,1113927919.0,5.307495308,1113927919.0,5.307495308,2.1,2322070390.0
1963,1139889997.0,5.37450226,1139889997.0,5.37450226,1139889997.0,5.37450226,1139889997.0,5.37450226,2.1,2322070390.0
1964,1165421495.0,5.417285281,1165421495.0,5.417285281,1165421495.0,5.417285281,1165421495.0,5.417285281,2.1,2322070390.0
1965,1191679434.0,5.437991768,1191679434.0,5.437991768,1191679434.0,5.437991768,1191679434.0,5.437991768,2.1,2322070390.0
1966,1220687497.0,5.415643511,1220687497.0,5.415643511,1220687497.0,5.415643511,1220687497.0,5.415643511,2.1,2322070390.0
1967,1248850553.0,5.38509874,1248850553.0,5.38509874,1248850553.0,5.38509874,1248850553.0,5.38509874,2.1,2322070390.0
1968,1277803242.0,5.283444169,1277803242.0,5.283444169,1277803242.0,5.283444169,1277803242.0,5.283444169,2.1,2322070390.0
1969,1308225875.0,5.139995051,1308225875.0,5.139995051,1308225875.0,5.139995051,1308225875.0,5.139995051,2.1,2322070390.0
1970,1339320296.0,4.965136314,1339320296.0,4.965136314,1339320296.0,4.965136314,1339320296.0,4.965136314,2.1,2322070390.0
1971,1370950386.0,4.740734435,1370950386.0,4.740734435,1370950386.0,4.740734435,1370950386.0,4.740734435,2.1,2322070390.0
1972,1400911434.0,4.51340043,1400911434.0,4.51340043,1400911434.0,4.51340043,1400911434.0,4.51340043,2.1,2322070390.0
1973,1429901917.0,4.252559529,1429901917.0,4.252559529,1429901917.0,4.252559529,1429901917.0,4.252559529,2.1,2322070390.0
1974,1457475769.0,3.995454301,1457475769.0,3.995454301,1457475769.0,3.995454301,1457475769.0,3.995454301,2.1,2322070390.0
1975,1482809855.0,3.738843515,1482809855.0,3.738843515,1482809855.0,3.738843515,1482809855.0,3.738843515,2.1,2322070390.0
1976,1506611986.0,3.505633165,1506611986.0,3.505633165,1506611986.0,3.505633165,1506611986.0,3.505633165,2.1,2322070390.0
1977,1528866928.0,3.295108651,1528866928.0,3.295108651,1528866928.0,3.295108651,1528866928.0,3.295108651,2.1,2322070390.0
1978,1551073484.0,3.113999036,1551073484.0,3.113999036,1551073484.0,3.113999036,1551073484.0,3.113999036,2.1,2322070390.0
1979,1573488423.0,2.969941407,1573488423.0,2.969941407,1573488423.0,2.969941407,1573488423.0,2.969941407,2.1,2322070390.0
1980,1595481006.0,2.864163344,1595481006.0,2.864163344,1595481006.0,2.864163344,1595481006.0,2.864163344,2.1,2322070390.0
1981,1618039026.0,2.797114393,1618039026.0,2.797114393,1618039026.0,2.797114393,1618039026.0,2.797114393,2.1,2322070390.0
1982,1642764734.0,2.781004834,1642764734.0,2.781004834,1642764734.0,2.781004834,1642764734.0,2.781004834,2.1,2322070390.0
1983,1667457285.0,2.777844536,1667457285.0,2.777844536,1667457285.0,2.777844536,1667457285.0,2.777844536,2.1,2322070390.0
1984,1691255626.0,2.778041895,1691255626.0,2.778041895,1691255626.0,2.778041895,1691255626.0,2.778041895,2.1,2322070390.0
1985,1715762768.0,2.776993315,1715762768.0,2.776993315,1715762768.0,2.776993315,1715762768.0,2.776993315,2.1,2322070390.0
1986,1741726104.0,2.770109466,1741726104.0,2.770109466,1741726104.0,2.770109466,1741726104.0,2.770109466,2.1,2322070390.0
1987,1769123601.0,2.736995954,1769123601.0,2.736995954,1769123601.0,2.736995954,1769123601.0,2.736995954,2.1,2322070390.0
1988,1796650131.0,2.662302822,1796650131.0,2.662302822,1796650131.0,2.662302822,1796650131.0,2.662302822,2.1,2322070390.0
1989,1823252483.0,2.556208195,1823252483.0,2.556208195,1823252483.0,2.556208195,1823252483.0,2.556208195,2.1,2322070390.0
1990,1848493286.0,2.427035934,1848493286.0,2.427035934,1848493286.0,2.427035934,1848493286.0,2.427035934,2.1,2322070390.0
1991,1872533228.0,2.285699901,1872533228.0,2.285699901,1872533228.0,2.285699901,1872533228.0,2.285699901,2.1,2322070390.0
1992,1892668417.0,2.148131447,1892668417.0,2.148131447,1892668417.0,2.148131447,1892668417.0,2.148131447,2.1,2322070390.0
1993,1913821985.0,2.024541062,1913821985.0,2.024541062,1913821985.0,2.024541062,1913821985.0,2.024541062,2.1,2322070390.0
1994,1934464425.0,1.936410554,1934464425.0,1.936410554,1934464425.0,1.936410554,1934464425.0,1.936410554,2.1,2322070390.0
1995,1955853024.0,1.863814827,1955853024.0,1.863814827,1955853024.0,1.863814827,1955853024.0,1.863814827,2.1,2322070390.0
1996,1975201502.0,1.813360419,1975201502.0,1.813360419,1975201502.0,1.813360419,1975201502.0,1.813360419,2.1,2322070390.0
1997,1994262421.0,1.778523727,1994262421.0,1.778523727,1994262421.0,1.778523727,1994262421.0,1.778523727,2.1,2322070390.0
1998,2012567157.0,1.756300359,2012567157.0,1.756300359,2012567157.0,1.756300359,2012567157.0,1.756300359,2.1,2322070390.0
1999,2029606212.0,1.733446602,2029606212.0,1.733446602,2029606212.0,1.733446602,2029606212.0,1.733446602,2.1,2322070390.0
2000,2045117456.0,1.721373744,2045117456.0,1.721373744,2045117456.0,1.721373744,2045117456.0,1.721373744,2.1,2322070390.0
2001,2059865510.0,1.709763906,2059865510.0,1.709763906,2059865510.0,1.709763906,2059865510.0,1.709763906,2.1,2322070390.0
2002,2073728615.0,1.704058549,2073728615.0,1.704058549,2073728615.0,1.704058549,2073728615.0,1.704058549,2.1,2322070390.0
2003,2087283920.0,1.699004956,2087283920.0,1.699004956,2087283920.0,1.699004956,2087283920.0,1.699004956,2.1,2322070390.0
2004,2100722053.0,1.696864463,2100722053.0,1.696864463,2100722053.0,1.696864463,2100722053.0,1.696864463,2.1,2322070390.0
2005,2114284047.0,1.688600186,2114284047.0,1.688600186,2114284047.0,1.688600186,2114284047.0,1.688600186,2.1,2322070390.0
2006,2127728043.0,1.687386882,2127728043.0,1.687386882,2127728043.0,1.687386882,2127728043.0,1.687386882,2.1,2322070390.0
2007,2140885484.0,1.693462523,2140885484.0,1.693462523,2140885484.0,1.693462523,2140885484.0,1.693462523,2.1,2322070390.0
2008,2154327657.0,1.702307333,2154327657.0,1.702307333,2154327657.0,1.702307333,2154327657.0,1.702307333,2.1,2322070390.0
2009,2167824335.0,1.704273961,2167824335.0,1.704273961,2167824335.0,1.704273961,2167824335.0,1.704273961,2.1,2322070390.0
2010,2180813069.0,1.707357231,2180813069.0,1.707357231,2180813069.0,1.707357231,2180813069.0,1.707357231,2.1,2322070390.0
2011,2194720542.0,1.708164769,2194720542.0,1.708164769,2194720542.0,1.708164769,2194720542.0,1.708164769,2.1,2322070390.0
2012,2210411890.0,1.719549093,2210411890.0,1.719549093,2210411890.0,1.719549093,2210411890.0,1.719549093,2.1,2322070390.0
2013,2226143139.0,1.723509967,2226143139.0,1.723509967,2226143139.0,1.723509967,2226143139.0,1.723509967,2.1,2322070390.0
2014,2241445370.0,1.733503091,2241445370.0,1.733503091,2241445370.0,1.733503091,2241445370.0,1.733503091,2.1,2322070390.0
2015,2256036257.0,1.740348798,2256036257.0,1.740348798,2256036257.0,1.740348798,2256036257.0,1.740348798,2.1,2322070390.0
2016,2270527108.0,1.746006296,2270527108.0,1.746006296,2270527108.0,1.746006296,2270527108.0,1.746006296,2.1,2322070390.0
2017,2285348589.0,1.741160608,2285348589.0,1.741160608,2285348589.0,1.741160608,2285348589.0,1.741160608,2.1,2322070390.0
2018,2297874675.0,1.742297295,2297874675.0,1.742297295,2297874675.0,1.742297295,2297874675.0,1.742297295,2.1,2322070390.0
2019,2308520840.0,1.739330266,2308520840.0,1.739330266,2308520840.0,1.739330266,2308520840.0,1.739330266,2.1,2322070390.0
2020,2316803603.0,1.736357042,2316803603.0,1.736357042,2316803603.0,1.736357042,2316803603.0,1.736357042,2.1,2322070390.0
2021,2322070390.0,1.736357042,2322070390.0,1.736357042,2322070390.0,1.736357042,2322070390.0,1.736357042,2.1,2322070390.0
2022,2316356897.132,1.705,2316864274.928,1.74,2316798215.343,1.736,2316810020.668,1.736,2.1,2322070390.0
2023,2310198455.075,1.674,2311712531.304,1.744,2311514240.91,1.735,2311549651.336,1.736,2.1,2322070390.0
2024,2303603090.714,1.644,2306615276.571,1.748,2306218472.246,1.734,2306289282.005,1.736,2.1,2322070390.0
2025,2296578686.127,1.614,2301572628.424,1.751,2300910914.895,1.733,2301028912.673,1.736,2.1,2322070390.0
2026,2289132981.2,1.585,2296584704.816,1.755,2295591574.397,1.732,2295768543.341,1.736,2.1,2322070390.0
2027,2281273576.19,1.557,2291651623.949,1.759,2290260456.291,1.731,2290508174.009,1.736,2.1,2322070390.0
2028,2273007934.247,1.529,2286773504.284,1.763,2284917566.112,1.731,2285247804.677,1.736,2.1,2322070390.0
2029,2264343383.885,1.501,2281950464.538,1.767,2279562909.393,1.73,2279987435.345,1.736,2.1,2322070390.0
2030,2255287121.413,1.474,2277182623.684,1.77,2274196491.664,1.729,2274727066.014,1.736,2.1,2322070390.0
2031,2245846213.316,1.447,2272470100.95,1.774,2268818318.452,1.728,2269466696.682,1.736,2.1,2322070390.0
2032,2236027598.603,1.421,2267813015.825,1.778,2263428395.284,1.727,2264206327.35,1.736,2.1,2322070390.0
2033,2225838091.099,1.396,2263211488.052,1.782,2258026727.68,1.727,2258945958.018,1.736,2.1,2322070390.0
2034,2215284381.711,1.37,2258665637.637,1.786,2252613321.162,1.726,2253685588.686,1.736,2.1,2322070390.0
2035,2204373040.642,1.346,2254175584.842,1.79,2247188181.247,1.725,2248425219.354,1.736,2.1,2322070390.0
2036,2193110519.566,1.321,2249741450.19,1.793,2241751313.449,1.724,2243164850.023,1.736,2.1,2322070390.0
2037,2181503153.771,1.298,2245363354.464,1.797,2236302723.28,1.723,2237904480.691,1.736,2.1,2322070390.0
2038,2169557164.256,1.274,2241041418.709,1.801,2230842416.25,1.723,2232644111.359,1.736,2.1,2322070390.0
2039,2157278659.792,1.251,2236775764.23,1.805,2225370397.865,1.722,2227383742.027,1.736,2.1,2322070390.0
2040,2144673638.95,1.229,2232566512.594,1.809,2219886673.631,1.721,2222123372.695,1.736,2.1,2322070390.0
