year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,2778550.0,2.56,2778550.0,2.56,2778550.0,2.56,2778550.0,2.56,2.1,2795321.0
1961,2823550.0,2.53,2823550.0,2.53,2823550.0,2.53,2823550.0,2.53,2.1,2795321.0
1962,2863350.0,2.45,2863350.0,2.45,2863350.0,2.45,2863350.0,2.45,2.1,2795321.0
1963,2898950.0,2.35,2898950.0,2.35,2898950.0,2.35,2898950.0,2.35,2.1,2795321.0
1964,2935200.0,2.28,2935200.0,2.28,2935200.0,2.28,2935200.0,2.28,2.1,2795321.0
1965,2971450.0,2.23,2971450.0,2.23,2971450.0,2.23,2971450.0,2.23,2.1,2795321.0
1966,3008050.0,2.22,3008050.0,2.22,3008050.0,2.22,3008050.0,2.22,2.1,2795321.0
1967,3044400.0,2.23,3044400.0,2.23,3044400.0,2.23,3044400.0,2.23,2.1,2795321.0
1968,3078850.0,2.24,3078850.0,2.24,3078850.0,2.24,3078850.0,2.24,2.1,2795321.0
1969,3107321.0,2.3,3107321.0,2.3,3107321.0,2.3,3107321.0,2.3,2.1,2795321.0
1970,3139689.0,2.4,3139689.0,2.4,3139689.0,2.4,3139689.0,2.4,2.1,2795321.0
1971,3179041.0,2.41,3179041.0,2.41,3179041.0,2.41,3179041.0,2.41,2.1,2795321.0
1972,3213622.0,2.34,3213622.0,2.34,3213622.0,2.34,3213622.0,2.34,2.1,2795321.0
1973,3244438.0,2.22,3244438.0,2.22,3244438.0,2.22,3244438.0,2.22,2.1,2795321.0
1974,3273894.0,2.21,3273894.0,2.21,3273894.0,2.21,3273894.0,2.21,2.1,2795321.0
1975,3301652.0,2.18,3301652.0,2.18,3301652.0,2.18,3301652.0,2.18,2.1,2795321.0
1976,3328664.0,2.18,3328664.0,2.18,3328664.0,2.18,3328664.0,2.18,2.1,2795321.0
1977,3355036.0,2.14,3355036.0,2.14,3355036.0,2.14,3355036.0,2.14,2.1,2795321.0
1978,3379514.0,2.08,3379514.0,2.08,3379514.0,2.08,3379514.0,2.08,2.1,2795321.0
1979,3397842.0,2.05,3397842.0,2.05,3397842.0,2.05,3397842.0,2.05,2.1,2795321.0
1980,3413202.0,1.99,3413202.0,1.99,3413202.0,1.99,3413202.0,1.99,2.1,2795321.0
1981,3432947.0,1.98,3432947.0,1.98,3432947.0,1.98,3432947.0,1.98,2.1,2795321.0
1982,3457179.0,1.97,3457179.0,1.97,3457179.0,1.97,3457179.0,1.97,2.1,2795321.0
1983,3485192.0,2.1,3485192.0,2.1,3485192.0,2.1,3485192.0,2.1,2.1,2795321.0
1984,3514205.0,2.07,3514205.0,2.07,3514205.0,2.07,3514205.0,2.07,2.1,2795321.0
1985,3544543.0,2.08,3544543.0,2.08,3544543.0,2.08,3544543.0,2.08,2.1,2795321.0
1986,3578914.0,2.12,3578914.0,2.12,3578914.0,2.12,3578914.0,2.12,2.1,2795321.0
1987,3616367.0,2.11,3616367.0,2.11,3616367.0,2.11,3616367.0,2.11,2.1,2795321.0
1988,3655049.0,2.02,3655049.0,2.02,3655049.0,2.02,3655049.0,2.02,2.1,2795321.0
1989,3684255.0,1.98,3684255.0,1.98,3684255.0,1.98,3684255.0,1.98,2.1,2795321.0
1990,3697838.0,2.03,3697838.0,2.03,3697838.0,2.03,3697838.0,2.03,2.1,2795321.0
1991,3704134.0,2.01,3704134.0,2.01,3704134.0,2.01,3704134.0,2.01,2.1,2795321.0
1992,3700114.0,1.97,3700114.0,1.97,3700114.0,1.97,3700114.0,1.97,2.1,2795321.0
1993,3682613.0,1.74,3682613.0,1.74,3682613.0,1.74,3682613.0,1.74,2.1,2795321.0
1994,3657144.0,1.57,3657144.0,1.57,3657144.0,1.57,3657144.0,1.57,2.1,2795321.0
1995,3629102.0,1.55,3629102.0,1.55,3629102.0,1.55,3629102.0,1.55,2.1,2795321.0
1996,3601613.0,1.49,3601613.0,1.49,3601613.0,1.49,3601613.0,1.49,2.1,2795321.0
1997,3575137.0,1.47,3575137.0,1.47,3575137.0,1.47,3575137.0,1.47,2.1,2795321.0
1998,3549331.0,1.46,3549331.0,1.46,3549331.0,1.46,3549331.0,1.46,2.1,2795321.0
1999,3524238.0,1.46,3524238.0,1.46,3524238.0,1.46,3524238.0,1.46,2.1,2795321.0
2000,3499536.0,1.39,3499536.0,1.39,3499536.0,1.39,3499536.0,1.39,2.1,2795321.0
2001,3470818.0,1.29,3470818.0,1.29,3470818.0,1.29,3470818.0,1.29,2.1,2795321.0
2002,3443067.0,1.23,3443067.0,1.23,3443067.0,1.23,3443067.0,1.23,2.1,2795321.0
2003,3415213.0,1.26,3415213.0,1.26,3415213.0,1.26,3415213.0,1.26,2.1,2795321.0
2004,3377075.0,1.27,3377075.0,1.27,3377075.0,1.27,3377075.0,1.27,2.1,2795321.0
2005,3322528.0,1.29,3322528.0,1.29,3322528.0,1.29,3322528.0,1.29,2.1,2795321.0
2006,3269909.0,1.33,3269909.0,1.33,3269909.0,1.33,3269909.0,1.33,2.1,2795321.0
2007,3231294.0,1.36,3231294.0,1.36,3231294.0,1.36,3231294.0,1.36,2.1,2795321.0
2008,3198231.0,1.45,3198231.0,1.45,3198231.0,1.45,3198231.0,1.45,2.1,2795321.0
2009,3162916.0,1.5,3162916.0,1.5,3162916.0,1.5,3162916.0,1.5,2.1,2795321.0
2010,3097282.0,1.5,3097282.0,1.5,3097282.0,1.5,3097282.0,1.5,2.1,2795321.0
2011,3028115.0,1.55,3028115.0,1.55,3028115.0,1.55,3028115.0,1.55,2.1,2795321.0
2012,2987773.0,1.6,2987773.0,1.6,2987773.0,1.6,2987773.0,1.6,2.1,2795321.0
2013,2957689.0,1.59,2957689.0,1.59,2957689.0,1.59,2957689.0,1.59,2.1,2795321.0
2014,2932367.0,1.63,2932367.0,1.63,2932367.0,1.63,2932367.0,1.63,2.1,2795321.0
2015,2904910.0,1.7,2904910.0,1.7,2904910.0,1.7,2904910.0,1.7,2.1,2795321.0
2016,2868231.0,1.69,2868231.0,1.69,2868231.0,1.69,2868231.0,1.69,2.1,2795321.0
2017,2828403.0,1.63,2828403.0,1.63,2828403.0,1.63,2828403.0,1.63,2.1,2795321.0
2018,2801543.0,1.63,2801543.0,1.63,2801543.0,1.63,2801543.0,1.63,2.1,2795321.0
2019,2794137.0,1.61,2794137.0,1.61,2794137.0,1.61,2794137.0,1.61,2.1,2795321.0
2020,2794885.0,1.48,2794885.0,1.48,2794885.0,1.48,2794885.0,1.48,2.1,2795321.0
2021,2795321.0,1.48,2795321.0,1.48,2795321.0,1.48,2795321.0,1.48,2.1,2795321.0
2022,2784080.212,1.467,2784591.588,1.496,2784450.927,1.488,2784306.848,1.48,2.1,2795321.0
2023,2772614.742,1.455,2774150.001,1.512,2773725.723,1.496,2773292.695,1.48,2.1,2795321.0
2024,2760926.526,1.442,2763999.355,1.529,2763146.181,1.504,2762278.543,1.48,2.1,2795321.0
2025,2749017.485,1.43,2754142.802,1.545,2752713.101,1.513,2751264.39,1.48,2.1,2795321.0
2026,2736889.522,1.417,2744583.527,1.562,2742427.284,1.521,2740250.238,1.48,2.1,2795321.0
2027,2724544.525,1.405,2735324.748,1.579,2732289.538,1.529,2729236.086,1.48,2.1,2795321.0
2028,2711984.364,1.393,2726369.721,1.596,2722300.674,1.538,2718221.933,1.48,2.1,2795321.0
2029,2699210.894,1.381,2717721.735,1.613,2712461.507,1.546,2707207.781,1.48,2.1,2795321.0
2030,2686225.953,1.369,2709384.115,1.631,2702772.859,1.555,2696193.629,1.48,2.1,2795321.0
2031,2673031.365,1.357,2701360.223,1.648,2693235.554,1.563,2685179.476,1.48,2.1,2795321.0
2032,2659628.936,1.346,2693653.455,1.666,2683850.422,1.572,2674165.324,1.48,2.1,2795321.0
2033,2646020.458,1.334,2686267.248,1.684,2674618.296,1.58,2663151.171,1.48,2.1,2795321.0
2034,2632207.708,1.322,2679205.072,1.702,2665540.014,1.589,2652137.019,1.48,2.1,2795321.0
2035,2618192.446,1.311,2672470.437,1.721,2656616.421,1.598,2641122.867,1.48,2.1,2795321.0
2036,2603976.418,1.3,2666066.889,1.74,2647848.363,1.606,2630108.714,1.48,2.1,2795321.0
2037,2589561.355,1.289,2659998.015,1.758,2639236.693,1.615,2619094.562,1.48,2.1,2795321.0
2038,2574948.971,1.277,2654267.439,1.777,2630782.268,1.624,2608080.41,1.48,2.1,2795321.0
2039,2560140.969,1.266,2648878.825,1.797,2622485.95,1.633,2597066.257,1.48,2.1,2795321.0
2040,2545139.034,1.256,2643835.876,1.816,2614348.605,1.642,2586052.105,1.48,2.1,2795321.0
2041,2529944.837,1.245,2639142.336,1.836,2606371.104,1.651,2575037.952,1.48,2.1,2795321.0
2042,2514560.037,1.234,2634801.989,1.856,2598554.323,1.66,2564023.8,1.48,2.1,2795321.0
2043,2498986.277,1.223,2630818.66,1.876,2590899.143,1.669,2553009.648,1.48,2.1,2795321.0
2044,2483225.184,1.213,2627196.216,1.896,2583406.449,1.678,2541995.495,1.48,2.1,2795321.0
2045,2467278.374,1.202,2623938.564,1.917,2576077.133,1.687,2530981.343,1.48,2.1,2795321.0
2046,2451147.448,1.192,2621049.656,1.937,2568912.088,1.697,2519967.19,1.48,2.1,2795321.0
2047,2434833.993,1.182,2618533.486,1.958,2561912.217,1.706,2508953.038,1.48,2.1,2795321.0
2048,2418339.582,1.172,2616394.089,1.98,2555078.422,1.715,2497938.886,1.48,2.1,2795321.0
2049,2401665.776,1.161,2614635.546,2.001,2548411.616,1.725,2486924.733,1.48,2.1,2795321.0
2050,2384814.119,1.151,2613261.982,2.023,2541912.712,1.734,2475910.581,1.48,2.1,2795321.0
2051,2367786.147,1.141,2612277.567,2.045,2535582.631,1.744,2464896.429,1.48,2.1,2795321.0
2052,2350583.378,1.132,2611686.514,2.067,2529422.298,1.753,2453882.276,1.48,2.1,2795321.0
2053,2333207.318,1.122,2611493.084,2.089,2523432.643,1.763,2442868.124,1.48,2.1,2795321.0
2054,2315659.463,1.112,2611701.584,2.112,2517614.602,1.772,2431853.971,1.48,2.1,2795321.0
2055,2297941.293,1.103,2612316.365,2.135,2511969.115,1.782,2420839.819,1.48,2.1,2795321.0
2056,2280054.275,1.093,2613341.829,2.158,2506497.128,1.792,2409825.667,1.48,2.1,2795321.0
2057,2261999.866,1.084,2614782.422,2.181,2501199.591,1.802,2398811.514,1.48,2.1,2795321.0
2058,2243779.508,1.074,2616642.641,2.205,2496077.46,1.812,2387797.362,1.48,2.1,2795321.0
2059,2225394.632,1.065,2618927.03,2.229,2491131.697,1.822,2376783.21,1.48,2.1,2795321.0
2060,2206846.656,1.056,2621640.182,2.253,2486363.268,1.832,2365769.057,1.48,2.1,2795321.0
2061,2188136.986,1.047,2624786.743,2.277,2481773.145,1.842,2354754.905,1.48,2.1,2795321.0
2062,2169267.015,1.038,2628371.404,2.302,2477362.305,1.852,2343740.752,1.48,2.1,2795321.0
2063,2150238.126,1.029,2632398.912,2.327,2473131.73,1.862,2332726.6,1.48,2.1,2795321.0
2064,2131051.688,1.02,2636874.061,2.352,2469082.409,1.872,2321712.448,1.48,2.1,2795321.0
2065,2111709.059,1.011,2641801.7,2.377,2465215.334,1.882,2310698.295,1.48,2.1,2795321.0
2066,2092211.586,1.002,2647186.729,2.403,2461531.505,1.893,2299684.143,1.48,2.1,2795321.0
2067,2072560.604,0.994,2653034.103,2.429,2458031.925,1.903,2288669.99,1.48,2.1,2795321.0
2068,2052757.435,0.985,2659348.827,2.455,2454717.604,1.913,2277655.838,1.48,2.1,2795321.0
2069,2032803.392,0.977,2666135.964,2.482,2451589.558,1.924,2266641.686,1.48,2.1,2795321.0
2070,2012699.775,0.968,2673400.629,2.509,2448648.806,1.934,2255627.533,1.48,2.1,2795321.0
2071,1992447.874,0.96,2681147.995,2.536,2445896.377,1.945,2244613.381,1.48,2.1,2795321.0
2072,1972048.966,0.952,2689383.289,2.564,2443333.301,1.956,2233599.229,1.48,2.1,2795321.0
2073,1951504.319,0.944,2698111.795,2.591,2440960.616,1.966,2222585.076,1.48,2.1,2795321.0
2074,1930815.19,0.935,2707338.854,2.619,2438779.366,1.977,2211570.924,1.48,2.1,2795321.0
2075,1909982.822,0.927,2717069.867,2.648,2436790.599,1.988,2200556.771,1.48,2.1,2795321.0
2076,1889008.452,0.919,2727310.29,2.676,2434995.371,1.999,2189542.619,1.48,2.1,2795321.0
2077,1867893.304,0.911,2738065.642,2.705,2433394.742,2.01,2178528.467,1.48,2.1,2795321.0
2078,1846638.59,0.904,2749341.497,2.735,2431989.779,2.021,2167514.314,1.48,2.1,2795321.0
2079,1825245.514,0.896,2761143.494,2.764,2430781.553,2.032,2156500.162,1.48,2.1,2795321.0
2080,1803715.269,0.888,2773477.331,2.794,2429771.142,2.043,2145486.01,1.48,2.1,2795321.0
2081,1782049.037,0.88,2786348.767,2.825,2428959.632,2.054,2134471.857,1.48,2.1,2795321.0
2082,1760247.99,0.873,2799763.625,2.855,2428348.111,2.066,2123457.705,1.48,2.1,2795321.0
2083,1738313.29,0.865,2813727.79,2.886,2427937.677,2.077,2112443.552,1.48,2.1,2795321.0
