year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,313970.0,2.29,313970.0,2.29,313970.0,2.29,313970.0,2.29,2.1,639070.0
1961,316845.0,,316845.0,,316845.0,,316845.0,,2.1,639070.0
1962,320750.0,2.37,320750.0,2.37,320750.0,2.37,320750.0,2.37,2.1,639070.0
1963,324100.0,,324100.0,,324100.0,,324100.0,,2.1,639070.0
1964,327750.0,2.34,327750.0,2.34,327750.0,2.34,327750.0,2.34,2.1,639070.0
1965,331500.0,2.42,331500.0,2.42,331500.0,2.42,331500.0,2.42,2.1,639070.0
1966,333895.0,2.34,333895.0,2.34,333895.0,2.34,333895.0,2.34,2.1,639070.0
1967,334995.0,2.24,334995.0,2.24,334995.0,2.24,334995.0,2.24,2.1,639070.0
1968,335850.0,2.12,335850.0,2.12,335850.0,2.12,335850.0,2.12,2.1,639070.0
1969,337500.0,2.02,337500.0,2.02,337500.0,2.02,337500.0,2.02,2.1,639070.0
1970,339171.0,1.97,339171.0,1.97,339171.0,1.97,339171.0,1.97,2.1,639070.0
1971,342421.0,1.95,342421.0,1.95,342421.0,1.95,342421.0,1.95,2.1,639070.0
1972,346600.0,1.75,346600.0,1.75,346600.0,1.75,346600.0,1.75,2.1,639070.0
1973,350450.0,1.58,350450.0,1.58,350450.0,1.58,350450.0,1.58,2.1,639070.0
1974,355050.0,1.58,355050.0,1.58,355050.0,1.58,355050.0,1.58,2.1,639070.0
1975,358950.0,1.55,358950.0,1.55,358950.0,1.55,358950.0,1.55,2.1,639070.0
1976,360731.0,1.48,360731.0,1.48,360731.0,1.48,360731.0,1.48,2.1,639070.0
1977,361358.0,1.5,361358.0,1.5,361358.0,1.5,361358.0,1.5,2.1,639070.0
1978,362007.0,1.48,362007.0,1.48,362007.0,1.48,362007.0,1.48,2.1,639070.0
1979,362856.0,1.48,362856.0,1.48,362856.0,1.48,362856.0,1.48,2.1,639070.0
1980,364150.0,1.5,364150.0,1.5,364150.0,1.5,364150.0,1.5,2.1,639070.0
1981,365225.0,1.55,365225.0,1.55,365225.0,1.55,365225.0,1.55,2.1,639070.0
1982,365525.0,1.49,365525.0,1.49,365525.0,1.49,365525.0,1.49,2.1,639070.0
1983,365622.0,1.43,365622.0,1.43,365622.0,1.43,365622.0,1.43,2.1,639070.0
1984,365998.0,1.42,365998.0,1.42,365998.0,1.42,365998.0,1.42,2.1,639070.0
1985,366706.0,1.38,366706.0,1.38,366706.0,1.38,366706.0,1.38,2.1,639070.0
1986,368355.0,1.43,368355.0,1.43,368355.0,1.43,368355.0,1.43,2.1,639070.0
1987,370750.0,1.4,370750.0,1.4,370750.0,1.4,370750.0,1.4,2.1,639070.0
1988,373450.0,1.51,373450.0,1.51,373450.0,1.51,373450.0,1.51,2.1,639070.0
1989,377100.0,1.52,377100.0,1.52,377100.0,1.52,377100.0,1.52,2.1,639070.0
1990,381850.0,1.6,381850.0,1.6,381850.0,1.6,381850.0,1.6,2.1,639070.0
1991,387000.0,1.6,387000.0,1.6,387000.0,1.6,387000.0,1.6,2.1,639070.0
1992,392175.0,1.64,392175.0,1.64,392175.0,1.64,392175.0,1.64,2.1,639070.0
1993,397475.0,1.7,397475.0,1.7,397475.0,1.7,397475.0,1.7,2.1,639070.0
1994,402925.0,1.72,402925.0,1.72,402925.0,1.72,402925.0,1.72,2.1,639070.0
1995,408625.0,1.7,408625.0,1.7,408625.0,1.7,408625.0,1.7,2.1,639070.0
1996,414225.0,1.77,414225.0,1.77,414225.0,1.77,414225.0,1.77,2.1,639070.0
1997,419450.0,1.71,419450.0,1.71,419450.0,1.71,419450.0,1.71,2.1,639070.0
1998,424700.0,1.68,424700.0,1.68,424700.0,1.68,424700.0,1.68,2.1,639070.0
1999,430475.0,1.74,430475.0,1.74,430475.0,1.74,430475.0,1.74,2.1,639070.0
2000,436300.0,1.76,436300.0,1.76,436300.0,1.76,436300.0,1.76,2.1,639070.0
2001,441525.0,1.66,441525.0,1.66,441525.0,1.66,441525.0,1.66,2.1,639070.0
2002,446175.0,1.63,446175.0,1.63,446175.0,1.63,446175.0,1.63,2.1,639070.0
2003,451630.0,1.62,451630.0,1.62,451630.0,1.62,451630.0,1.62,2.1,639070.0
2004,458095.0,1.66,458095.0,1.66,458095.0,1.66,458095.0,1.66,2.1,639070.0
2005,465158.0,1.63,465158.0,1.63,465158.0,1.63,465158.0,1.63,2.1,639070.0
2006,472637.0,1.65,472637.0,1.65,472637.0,1.65,472637.0,1.65,2.1,639070.0
2007,479993.0,1.61,479993.0,1.61,479993.0,1.61,479993.0,1.61,2.1,639070.0
2008,488650.0,1.61,488650.0,1.61,488650.0,1.61,488650.0,1.61,2.1,639070.0
2009,497783.0,1.59,497783.0,1.59,497783.0,1.59,497783.0,1.59,2.1,639070.0
2010,506953.0,1.63,506953.0,1.63,506953.0,1.63,506953.0,1.63,2.1,639070.0
2011,518347.0,1.52,518347.0,1.52,518347.0,1.52,518347.0,1.52,2.1,639070.0
2012,530946.0,1.57,530946.0,1.57,530946.0,1.57,530946.0,1.57,2.1,639070.0
2013,543360.0,1.55,543360.0,1.55,543360.0,1.55,543360.0,1.55,2.1,639070.0
2014,556319.0,1.5,556319.0,1.5,556319.0,1.5,556319.0,1.5,2.1,639070.0
2015,569604.0,1.47,569604.0,1.47,569604.0,1.47,569604.0,1.47,2.1,639070.0
2016,582014.0,1.41,582014.0,1.41,582014.0,1.41,582014.0,1.41,2.1,639070.0
2017,596336.0,1.39,596336.0,1.39,596336.0,1.39,596336.0,1.39,2.1,639070.0
2018,607950.0,1.38,607950.0,1.38,607950.0,1.38,607950.0,1.38,2.1,639070.0
2019,620001.0,1.34,620001.0,1.34,620001.0,1.34,620001.0,1.34,2.1,639070.0
2020,630419.0,1.37,630419.0,1.37,630419.0,1.37,630419.0,1.37,2.1,639070.0
2021,639070.0,1.37,639070.0,1.37,639070.0,1.37,639070.0,1.37,2.1,639070.0
2022,636309.217,1.358,636261.529,1.346,636296.925,1.355,636352.314,1.37,2.1,639070.0
2023,633505.7,1.347,633363.888,1.322,633469.062,1.34,633634.629,1.37,2.1,639070.0
2024,630659.811,1.336,630378.664,1.298,630587.006,1.326,630916.943,1.37,2.1,639070.0
2025,627771.907,1.324,627307.418,1.275,627651.346,1.311,628199.257,1.37,2.1,639070.0
2026,624842.344,1.313,624151.679,1.252,624662.663,1.297,625481.571,1.37,2.1,639070.0
2027,621871.474,1.302,620912.952,1.23,621621.534,1.283,622763.886,1.37,2.1,639070.0
2028,618859.645,1.291,617592.713,1.208,618528.529,1.269,620046.2,1.37,2.1,639070.0
2029,615807.205,1.28,614192.415,1.187,615384.21,1.255,617328.514,1.37,2.1,639070.0
2030,612714.495,1.269,610713.481,1.166,612189.134,1.242,614610.829,1.37,2.1,639070.0
2031,609581.857,1.259,607157.313,1.145,608943.854,1.228,611893.143,1.37,2.1,639070.0
2032,606409.628,1.248,603525.283,1.124,605648.914,1.215,609175.457,1.37,2.1,639070.0
2033,603198.141,1.237,599818.743,1.104,602304.854,1.202,606457.771,1.37,2.1,639070.0
2034,599947.73,1.227,596039.02,1.085,598912.206,1.189,603740.086,1.37,2.1,639070.0
2035,596658.722,1.217,592187.415,1.065,595471.5,1.176,601022.4,1.37,2.1,639070.0
2036,593331.445,1.206,588265.208,1.046,591983.255,1.163,598304.714,1.37,2.1,639070.0
2037,589966.221,1.196,584273.656,1.028,588447.99,1.15,595587.029,1.37,2.1,639070.0
2038,586563.371,1.186,580213.993,1.01,584866.214,1.138,592869.343,1.37,2.1,639070.0
2039,583123.213,1.176,576087.432,0.992,581238.433,1.126,590151.657,1.37,2.1,639070.0
2040,579646.062,1.166,571895.163,0.974,577565.146,1.113,587433.971,1.37,2.1,639070.0
2041,576132.231,1.156,567638.356,0.957,573846.848,1.101,584716.286,1.37,2.1,639070.0
2042,572582.03,1.146,563318.16,0.94,570084.026,1.089,581998.6,1.37,2.1,639070.0
2043,568995.766,1.137,558935.703,0.923,566277.166,1.077,579280.914,1.37,2.1,639070.0
2044,565373.743,1.127,554492.093,0.906,562426.744,1.066,576563.229,1.37,2.1,639070.0
2045,561716.265,1.118,549988.42,0.89,558533.235,1.054,573845.543,1.37,2.1,639070.0
2046,558023.63,1.108,545425.751,0.874,554597.106,1.043,571127.857,1.37,2.1,639070.0
2047,554296.136,1.099,540805.137,0.859,550618.819,1.031,568410.171,1.37,2.1,639070.0
2048,550534.077,1.089,536127.61,0.844,546598.833,1.02,565692.486,1.37,2.1,639070.0
2049,546737.746,1.08,531394.183,0.829,542537.601,1.009,562974.8,1.37,2.1,639070.0
2050,542907.431,1.071,526605.85,0.814,538435.57,0.998,560257.114,1.37,2.1,639070.0
2051,539043.421,1.062,521763.589,0.799,534293.184,0.987,557539.429,1.37,2.1,639070.0
2052,535145.999,1.053,516868.359,0.785,530110.881,0.977,554821.743,1.37,2.1,639070.0
2053,531215.448,1.044,511921.105,0.771,525889.094,0.966,552104.057,1.37,2.1,639070.0
2054,527252.049,1.035,506922.751,0.757,521628.252,0.955,549386.371,1.37,2.1,639070.0
2055,523256.078,1.027,501874.208,0.744,517328.78,0.945,546668.686,1.37,2.1,639070.0
2056,519227.811,1.018,496776.368,0.731,512991.096,0.935,543951.0,1.37,2.1,639070.0
2057,515167.52,1.009,491630.109,0.718,508615.616,0.925,541233.314,1.37,2.1,639070.0
2058,511075.477,1.001,486436.293,0.705,504202.75,0.915,538515.629,1.37,2.1,639070.0
2059,506951.95,0.992,481195.767,0.692,499752.904,0.905,535797.943,1.37,2.1,639070.0
2060,502797.204,0.984,475909.362,0.68,495266.481,0.895,533080.257,1.37,2.1,639070.0
2061,498611.504,0.976,470577.895,0.668,490743.876,0.885,530362.571,1.37,2.1,639070.0
2062,494395.111,0.967,465202.167,0.656,486185.483,0.876,527644.886,1.37,2.1,639070.0
2063,490148.284,0.959,459782.967,0.644,481591.691,0.866,524927.2,1.37,2.1,639070.0
2064,485871.281,0.951,454321.068,0.633,476962.885,0.857,522209.514,1.37,2.1,639070.0
2065,481564.357,0.943,448817.23,0.622,472299.443,0.847,519491.829,1.37,2.1,639070.0
2066,477227.764,0.935,443272.2,0.611,467601.743,0.838,516774.143,1.37,2.1,639070.0
2067,472861.753,0.927,437686.712,0.6,462870.157,0.829,514056.457,1.37,2.1,639070.0
2068,468466.572,0.919,432061.485,0.589,458105.052,0.82,511338.771,1.37,2.1,639070.0
2069,464042.469,0.912,426397.226,0.579,453306.792,0.811,508621.086,1.37,2.1,639070.0
2070,459589.688,0.904,420694.631,0.568,448475.739,0.802,505903.4,1.37,2.1,639070.0
2071,455108.47,0.896,414954.382,0.558,443612.247,0.794,503185.714,1.37,2.1,639070.0
2072,450599.057,0.889,409177.149,0.548,438716.669,0.785,500468.029,1.37,2.1,639070.0
2073,446061.686,0.881,403363.59,0.538,433789.353,0.776,497750.343,1.37,2.1,639070.0
