year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,2120979.0,1.94,2120979.0,1.94,2120979.0,1.94,2120979.0,1.94,2.1,1883162.0
1961,2152681.0,1.94,2152681.0,1.94,2152681.0,1.94,2152681.0,1.94,2.1,1883162.0
1962,2181586.0,1.91,2181586.0,1.91,2181586.0,1.91,2181586.0,1.91,2.1,1883162.0
1963,2210919.0,1.85,2210919.0,1.85,2210919.0,1.85,2210919.0,1.85,2.1,1883162.0
1964,2240623.0,1.79,2240623.0,1.79,2240623.0,1.79,2240623.0,1.79,2.1,1883162.0
1965,2265919.0,1.74,2265919.0,1.74,2265919.0,1.74,2265919.0,1.74,2.1,1883162.0
1966,2283217.0,1.76,2283217.0,1.76,2283217.0,1.76,2283217.0,1.76,2.1,1883162.0
1967,2301220.0,1.8,2301220.0,1.8,2301220.0,1.8,2301220.0,1.8,2.1,1883162.0
1968,2323619.0,1.83,2323619.0,1.83,2323619.0,1.83,2323619.0,1.83,2.1,1883162.0
1969,2343173.0,1.88,2343173.0,1.88,2343173.0,1.88,2343173.0,1.88,2.1,1883162.0
1970,2359164.0,1.96,2359164.0,1.96,2359164.0,1.96,2359164.0,1.96,2.1,1883162.0
1971,2376389.0,2.0,2376389.0,2.0,2376389.0,2.0,2376389.0,2.0,2.1,1883162.0
1972,2395674.0,2.0,2395674.0,2.0,2395674.0,2.0,2395674.0,2.0,2.1,1883162.0
1973,2415819.0,1.98,2415819.0,1.98,2415819.0,1.98,2415819.0,1.98,2.1,1883162.0
1974,2437186.0,1.97,2437186.0,1.97,2437186.0,1.97,2437186.0,1.97,2.1,1883162.0
1975,2456130.0,1.96,2456130.0,1.96,2456130.0,1.96,2456130.0,1.96,2.1,1883162.0
1976,2470989.0,1.93,2470989.0,1.93,2470989.0,1.93,2470989.0,1.93,2.1,1883162.0
1977,2485073.0,1.89,2485073.0,1.89,2485073.0,1.89,2485073.0,1.89,2.1,1883162.0
1978,2497921.0,1.87,2497921.0,1.87,2497921.0,1.87,2497921.0,1.87,2.1,1883162.0
1979,2505953.0,1.87,2505953.0,1.87,2505953.0,1.87,2505953.0,1.87,2.1,1883162.0
1980,2511701.0,1.86,2511701.0,1.86,2511701.0,1.86,2511701.0,1.86,2.1,1883162.0
1981,2519421.0,1.88,2519421.0,1.88,2519421.0,1.88,2519421.0,1.88,2.1,1883162.0
1982,2531080.0,1.97,2531080.0,1.97,2531080.0,1.97,2531080.0,1.97,2.1,1883162.0
1983,2546011.0,2.07,2546011.0,2.07,2546011.0,2.07,2546011.0,2.07,2.1,1883162.0
