year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,167795.0,4.772,167795.0,4.772,167795.0,4.772,167795.0,4.772,2.1,658391.0
1961,170466.0,4.646,170466.0,4.646,170466.0,4.646,170466.0,4.646,2.1,658391.0
1962,176188.0,4.462,176188.0,4.462,176188.0,4.462,176188.0,4.462,2.1,658391.0
1963,184245.0,4.221,184245.0,4.221,184245.0,4.221,184245.0,4.221,2.1,658391.0
1964,193556.0,3.934,193556.0,3.934,193556.0,3.934,193556.0,3.934,2.1,658391.0
1965,203224.0,3.615,203224.0,3.615,203224.0,3.615,203224.0,3.615,2.1,658391.0
1966,213189.0,3.283,213189.0,3.283,213189.0,3.283,213189.0,3.283,2.1,658391.0
1967,223416.0,2.958,223416.0,2.958,223416.0,2.958,223416.0,2.958,2.1,658391.0
1968,233002.0,2.657,233002.0,2.657,233002.0,2.657,233002.0,2.657,2.1,658391.0
1969,240837.0,2.392,240837.0,2.392,240837.0,2.392,240837.0,2.392,2.1,658391.0
1970,246193.0,2.167,246193.0,2.167,246193.0,2.167,246193.0,2.167,2.1,658391.0
1971,248745.0,1.979,248745.0,1.979,248745.0,1.979,248745.0,1.979,2.1,658391.0
1972,248770.0,1.818,248770.0,1.818,248770.0,1.818,248770.0,1.818,2.1,658391.0
1973,246945.0,1.679,246945.0,1.679,246945.0,1.679,246945.0,1.679,2.1,658391.0
1974,244289.0,1.562,244289.0,1.562,244289.0,1.562,244289.0,1.562,2.1,658391.0
1975,241631.0,1.478,241631.0,1.478,241631.0,1.478,241631.0,1.478,2.1,658391.0
1976,239074.0,1.437,239074.0,1.437,239074.0,1.437,239074.0,1.437,2.1,658391.0
1977,236669.0,1.445,236669.0,1.445,236669.0,1.445,236669.0,1.445,2.1,658391.0
1978,235175.0,1.499,235175.0,1.499,235175.0,1.499,235175.0,1.499,2.1,658391.0
1979,235440.0,1.591,235440.0,1.591,235440.0,1.591,235440.0,1.591,2.1,658391.0
1980,238085.0,1.709,238085.0,1.709,238085.0,1.709,238085.0,1.709,2.1,658391.0
1981,243373.0,1.835,243373.0,1.835,243373.0,1.835,243373.0,1.835,2.1,658391.0
1982,251154.0,1.953,251154.0,1.953,251154.0,1.953,251154.0,1.953,2.1,658391.0
1983,260921.0,2.046,260921.0,2.046,260921.0,2.046,260921.0,2.046,2.1,658391.0
1984,271914.0,2.104,271914.0,2.104,271914.0,2.104,271914.0,2.104,2.1,658391.0
1985,283490.0,2.121,283490.0,2.121,283490.0,2.121,283490.0,2.121,2.1,658391.0
1986,295597.0,2.094,295597.0,2.094,295597.0,2.094,295597.0,2.094,2.1,658391.0
1987,308181.0,2.031,308181.0,2.031,308181.0,2.031,308181.0,2.031,2.1,658391.0
1988,320774.0,1.944,320774.0,1.944,320774.0,1.944,320774.0,1.944,2.1,658391.0
1989,332783.0,1.838,332783.0,1.838,332783.0,1.838,332783.0,1.838,2.1,658391.0
1990,343816.0,1.722,343816.0,1.722,343816.0,1.722,343816.0,1.722,2.1,658391.0
1991,353623.0,1.605,353623.0,1.605,353623.0,1.605,353623.0,1.605,2.1,658391.0
1992,362308.0,1.494,362308.0,1.494,362308.0,1.494,362308.0,1.494,2.1,658391.0
1993,370195.0,1.394,370195.0,1.394,370195.0,1.394,370195.0,1.394,2.1,658391.0
1994,377805.0,1.308,377805.0,1.308,377805.0,1.308,377805.0,1.308,2.1,658391.0
1995,385517.0,1.236,385517.0,1.236,385517.0,1.236,385517.0,1.236,2.1,658391.0
1996,393376.0,1.174,393376.0,1.174,393376.0,1.174,393376.0,1.174,2.1,658391.0
1997,401353.0,1.116,401353.0,1.116,401353.0,1.116,401353.0,1.116,2.1,658391.0
1998,409620.0,1.059,409620.0,1.059,409620.0,1.059,409620.0,1.059,2.1,658391.0
1999,418388.0,1.002,418388.0,1.002,418388.0,1.002,418388.0,1.002,2.1,658391.0
2000,427772.0,0.95,427772.0,0.95,427772.0,0.95,427772.0,0.95,2.1,658391.0
2001,437928.0,0.906,437928.0,0.906,437928.0,0.906,437928.0,0.906,2.1,658391.0
2002,448813.0,0.875,448813.0,0.875,448813.0,0.875,448813.0,0.875,2.1,658391.0
2003,460157.0,0.86,460157.0,0.86,460157.0,0.86,460157.0,0.86,2.1,658391.0
2004,471600.0,0.862,471600.0,0.862,471600.0,0.862,471600.0,0.862,2.1,658391.0
2005,482863.0,0.879,482863.0,0.879,482863.0,0.879,482863.0,0.879,2.1,658391.0
2006,493804.0,0.911,493804.0,0.911,493804.0,0.911,493804.0,0.911,2.1,658391.0
2007,504504.0,0.953,504504.0,0.953,504504.0,0.953,504504.0,0.953,2.1,658391.0
2008,515232.0,0.999,515232.0,0.999,515232.0,0.999,515232.0,0.999,2.1,658391.0
2009,526401.0,1.048,526401.0,1.048,526401.0,1.048,526401.0,1.048,2.1,658391.0
2010,538215.0,1.093,538215.0,1.093,538215.0,1.093,538215.0,1.093,2.1,658391.0
2011,550833.0,1.131,550833.0,1.131,550833.0,1.131,550833.0,1.131,2.1,658391.0
2012,564037.0,1.161,564037.0,1.161,564037.0,1.161,564037.0,1.161,2.1,658391.0
2013,577368.0,1.183,577368.0,1.183,577368.0,1.183,577368.0,1.183,2.1,658391.0
2014,590210.0,1.196,590210.0,1.196,590210.0,1.196,590210.0,1.196,2.1,658391.0
2015,602093.0,1.203,602093.0,1.203,602093.0,1.203,602093.0,1.203,2.1,658391.0
2016,612824.0,1.207,612824.0,1.207,612824.0,1.207,612824.0,1.207,2.1,658391.0
2017,622578.0,1.211,622578.0,1.211,622578.0,1.211,622578.0,1.211,2.1,658391.0
2018,631633.0,1.217,631633.0,1.217,631633.0,1.217,631633.0,1.217,2.1,658391.0
2019,640446.0,1.228,640446.0,1.228,640446.0,1.228,640446.0,1.228,2.1,658391.0
2020,649342.0,1.244,649342.0,1.244,649342.0,1.244,649342.0,1.244,2.1,658391.0
2021,658391.0,1.244,658391.0,1.244,658391.0,1.244,658391.0,1.244,2.1,658391.0
2022,655112.17,1.218,655307.279,1.27,655247.142,1.254,655210.349,1.244,2.1,658391.0
2023,651737.246,1.192,652322.522,1.297,652140.372,1.264,652029.697,1.244,2.1,658391.0
2024,648268.271,1.166,649438.803,1.324,649070.983,1.274,648849.046,1.244,2.1,658391.0
2025,644707.24,1.142,646658.241,1.352,646039.274,1.284,645668.394,1.244,2.1,658391.0
2026,641056.11,1.117,643983.0,1.38,643045.544,1.294,642487.743,1.244,2.1,658391.0
2027,637316.794,1.094,641415.288,1.409,640090.096,1.305,639307.091,1.244,2.1,658391.0
2028,633491.166,1.07,638957.36,1.439,637173.235,1.315,636126.44,1.244,2.1,658391.0
2029,629581.059,1.048,636611.518,1.469,634295.267,1.325,632945.789,1.244,2.1,658391.0
2030,625588.266,1.025,634380.113,1.499,631456.502,1.336,629765.137,1.244,2.1,658391.0
2031,621514.544,1.004,632265.544,1.531,628657.253,1.347,626584.486,1.244,2.1,658391.0
2032,617361.613,0.982,630270.262,1.563,625897.834,1.357,623403.834,1.244,2.1,658391.0
2033,613131.154,0.961,628396.767,1.596,623178.561,1.368,620223.183,1.244,2.1,658391.0
2034,608824.814,0.941,626647.614,1.629,620499.755,1.379,617042.531,1.244,2.1,658391.0
2035,604444.206,0.921,625025.41,1.663,617861.738,1.39,613861.88,1.244,2.1,658391.0
2036,599990.905,0.901,623532.818,1.698,615264.834,1.401,610681.229,1.244,2.1,658391.0
2037,595466.458,0.882,622172.555,1.734,612709.37,1.412,607500.577,1.244,2.1,658391.0
2038,590872.373,0.864,620947.396,1.77,610195.677,1.423,604319.926,1.244,2.1,658391.0
2039,586210.131,0.845,619860.174,1.807,607724.086,1.435,601139.274,1.244,2.1,658391.0
2040,581481.18,0.827,618913.782,1.845,605294.934,1.446,597958.623,1.244,2.1,658391.0
2041,576686.936,0.81,618111.173,1.884,602908.558,1.458,594777.971,1.244,2.1,658391.0
2042,571828.786,0.793,617455.363,1.924,600565.297,1.469,591597.32,1.244,2.1,658391.0
2043,566908.087,0.776,616949.429,1.964,598265.497,1.481,588416.669,1.244,2.1,658391.0
2044,561926.168,0.759,616596.514,2.005,596009.502,1.493,585236.017,1.244,2.1,658391.0
2045,556884.329,0.743,616399.828,2.047,593797.661,1.505,582055.366,1.244,2.1,658391.0
2046,551783.844,0.727,616362.646,2.09,591630.325,1.517,578874.714,1.244,2.1,658391.0
2047,546625.957,0.712,616488.314,2.134,589507.85,1.529,575694.063,1.244,2.1,658391.0
2048,541411.887,0.697,616780.245,2.179,587430.591,1.541,572513.411,1.244,2.1,658391.0
2049,536142.829,0.682,617241.927,2.224,585398.91,1.553,569332.76,1.244,2.1,658391.0
2050,530819.95,0.667,617876.92,2.271,583413.168,1.566,566152.109,1.244,2.1,658391.0
2051,525444.393,0.653,618688.858,2.319,581473.731,1.578,562971.457,1.244,2.1,658391.0
2052,520017.277,0.639,619681.45,2.367,579580.968,1.591,559790.806,1.244,2.1,658391.0
2053,514539.698,0.626,620858.486,2.417,577735.251,1.603,556610.154,1.244,2.1,658391.0
2054,509012.726,0.613,622223.834,2.467,575936.954,1.616,553429.503,1.244,2.1,658391.0
