year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,3898.0,,3898.0,,3898.0,,3898.0,,2.1,39239.0
1961,3996.0,,3996.0,,3996.0,,3996.0,,2.1,39239.0
1962,4078.0,,4078.0,,4078.0,,4078.0,,2.1,39239.0
1963,4179.0,,4179.0,,4179.0,,4179.0,,2.1,39239.0
1964,4302.0,,4302.0,,4302.0,,4302.0,,2.1,39239.0
1965,4471.0,,4471.0,,4471.0,,4471.0,,2.1,39239.0
1966,4675.0,,4675.0,,4675.0,,4675.0,,2.1,39239.0
1967,4922.0,,4922.0,,4922.0,,4922.0,,2.1,39239.0
1968,5194.0,,5194.0,,5194.0,,5194.0,,2.1,39239.0
1969,5461.0,,5461.0,,5461.0,,5461.0,,2.1,39239.0
1970,5707.0,,5707.0,,5707.0,,5707.0,,2.1,39239.0
1971,5945.0,,5945.0,,5945.0,,5945.0,,2.1,39239.0
1972,6156.0,,6156.0,,6156.0,,6156.0,,2.1,39239.0
1973,6370.0,,6370.0,,6370.0,,6370.0,,2.1,39239.0
1974,6601.0,,6601.0,,6601.0,,6601.0,,2.1,39239.0
1975,6882.0,,6882.0,,6882.0,,6882.0,,2.1,39239.0
1976,7250.0,,7250.0,,7250.0,,7250.0,,2.1,39239.0
1977,7713.0,,7713.0,,7713.0,,7713.0,,2.1,39239.0
1978,8191.0,,8191.0,,8191.0,,8191.0,,2.1,39239.0
1979,8557.0,,8557.0,,8557.0,,8557.0,,2.1,39239.0
1980,8777.0,,8777.0,,8777.0,,8777.0,,2.1,39239.0
1981,8675.0,,8675.0,,8675.0,,8675.0,,2.1,39239.0
1982,8372.0,2.44,8372.0,2.44,8372.0,2.44,8372.0,2.44,2.1,39239.0
1983,8296.0,2.4,8296.0,2.4,8296.0,2.4,8296.0,2.4,2.1,39239.0
1984,9067.0,2.29,9067.0,2.29,9067.0,2.29,9067.0,2.29,2.1,39239.0
1985,11066.0,2.24,11066.0,2.24,11066.0,2.24,11066.0,2.24,2.1,39239.0
1986,14561.0,2.06,14561.0,2.06,14561.0,2.06,14561.0,2.06,2.1,39239.0
1987,19274.0,2.13,19274.0,2.13,19274.0,2.13,19274.0,2.13,2.1,39239.0
1988,24374.0,2.13,24374.0,2.13,24374.0,2.13,24374.0,2.13,2.1,39239.0
1989,28723.0,2.2,28723.0,2.2,28723.0,2.2,28723.0,2.2,2.1,39239.0
1990,31522.0,2.12,31522.0,2.12,31522.0,2.12,31522.0,2.12,2.1,39239.0
1991,32441.0,2.05,32441.0,2.05,32441.0,2.05,32441.0,2.05,2.1,39239.0
1992,31816.0,1.94,31816.0,1.94,31816.0,1.94,31816.0,1.94,2.1,39239.0
1993,30194.0,1.84,30194.0,1.84,30194.0,1.84,30194.0,1.84,2.1,39239.0
1994,28482.0,1.84,28482.0,1.84,28482.0,1.84,28482.0,1.84,2.1,39239.0
1995,27320.0,1.84,27320.0,1.84,27320.0,1.84,27320.0,1.84,2.1,39239.0
1996,26854.0,1.84,26854.0,1.84,26854.0,1.84,26854.0,1.84,2.1,39239.0
1997,26910.0,1.84,26910.0,1.84,26910.0,1.84,26910.0,1.84,2.1,39239.0
1998,27388.0,1.83,27388.0,1.83,27388.0,1.83,27388.0,1.83,2.1,39239.0
1999,28122.0,1.83,28122.0,1.83,28122.0,1.83,28122.0,1.83,2.1,39239.0
