year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,12328532.0,7.04,12328532.0,7.04,12328532.0,7.04,12328532.0,7.04,2.1,37344787.0
1961,12710587.0,7.072,12710587.0,7.072,12710587.0,7.072,12710587.0,7.072,2.1,37344787.0
1962,13094890.0,7.088,13094890.0,7.088,13094890.0,7.088,13094890.0,7.088,2.1,37344787.0
1963,13478425.0,7.086,13478425.0,7.086,13478425.0,7.086,13478425.0,7.086,2.1,37344787.0
1964,13857656.0,7.065,13857656.0,7.065,13857656.0,7.065,13857656.0,7.065,2.1,37344787.0
1965,14230163.0,7.026,14230163.0,7.026,14230163.0,7.026,14230163.0,7.026,2.1,37344787.0
1966,14595351.0,6.969,14595351.0,6.969,14595351.0,6.969,14595351.0,6.969,2.1,37344787.0
1967,14954037.0,6.9,14954037.0,6.9,14954037.0,6.9,14954037.0,6.9,2.1,37344787.0
1968,15307267.0,6.821,15307267.0,6.821,15307267.0,6.821,15307267.0,6.821,2.1,37344787.0
1969,15656846.0,6.736,15656846.0,6.736,15656846.0,6.736,15656846.0,6.736,2.1,37344787.0
1970,16004732.0,6.646,16004732.0,6.646,16004732.0,6.646,16004732.0,6.646,2.1,37344787.0
1971,16350883.0,6.552,16350883.0,6.552,16350883.0,6.552,16350883.0,6.552,2.1,37344787.0
1972,16696890.0,6.455,16696890.0,6.455,16696890.0,6.455,16696890.0,6.455,2.1,37344787.0
1973,17048525.0,6.356,17048525.0,6.356,17048525.0,6.356,17048525.0,6.356,2.1,37344787.0
1974,17413149.0,6.255,17413149.0,6.255,17413149.0,6.255,17413149.0,6.255,2.1,37344787.0
1975,17796171.0,6.156,17796171.0,6.156,17796171.0,6.156,17796171.0,6.156,2.1,37344787.0
1976,18198836.0,6.06,18198836.0,6.06,18198836.0,6.06,18198836.0,6.06,2.1,37344787.0
1977,18620087.0,5.968,18620087.0,5.968,18620087.0,5.968,18620087.0,5.968,2.1,37344787.0
1978,19059773.0,5.877,19059773.0,5.877,19059773.0,5.877,19059773.0,5.877,2.1,37344787.0
1979,19516942.0,5.785,19516942.0,5.785,19516942.0,5.785,19516942.0,5.785,2.1,37344787.0
1980,19990006.0,5.685,19990006.0,5.685,19990006.0,5.685,19990006.0,5.685,2.1,37344787.0
1981,20479709.0,5.572,20479709.0,5.572,20479709.0,5.572,20479709.0,5.572,2.1,37344787.0
1982,20984023.0,5.44,20984023.0,5.44,20984023.0,5.44,20984023.0,5.44,2.1,37344787.0
1983,21495088.0,5.288,21495088.0,5.288,21495088.0,5.288,21495088.0,5.288,2.1,37344787.0
1984,22002641.0,5.117,22002641.0,5.117,22002641.0,5.117,22002641.0,5.117,2.1,37344787.0
1985,22499111.0,4.933,22499111.0,4.933,22499111.0,4.933,22499111.0,4.933,2.1,37344787.0
1986,22980334.0,4.742,22980334.0,4.742,22980334.0,4.742,22980334.0,4.742,2.1,37344787.0
1987,23447256.0,4.554,23447256.0,4.554,23447256.0,4.554,23447256.0,4.554,2.1,37344787.0
1988,23903592.0,4.374,23903592.0,4.374,23903592.0,4.374,23903592.0,4.374,2.1,37344787.0
1989,24355624.0,4.205,24355624.0,4.205,24355624.0,4.205,24355624.0,4.205,2.1,37344787.0
1990,24807461.0,4.047,24807461.0,4.047,24807461.0,4.047,24807461.0,4.047,2.1,37344787.0
1991,25260407.0,3.896,25260407.0,3.896,25260407.0,3.896,25260407.0,3.896,2.1,37344787.0
1992,25711410.0,3.746,25711410.0,3.746,25711410.0,3.746,25711410.0,3.746,2.1,37344787.0
1993,26155204.0,3.595,26155204.0,3.595,26155204.0,3.595,26155204.0,3.595,2.1,37344787.0
1994,26584473.0,3.445,26584473.0,3.445,26584473.0,3.445,26584473.0,3.445,2.1,37344787.0
1995,26994255.0,3.298,26994255.0,3.298,26994255.0,3.298,26994255.0,3.298,2.1,37344787.0
1996,27383472.0,3.16,27383472.0,3.16,27383472.0,3.16,27383472.0,3.16,2.1,37344787.0
1997,27754573.0,3.036,27754573.0,3.036,27754573.0,3.036,27754573.0,3.036,2.1,37344787.0
1998,28110447.0,2.93,28110447.0,2.93,28110447.0,2.93,28110447.0,2.93,2.1,37344787.0
1999,28455504.0,2.842,28455504.0,2.842,28455504.0,2.842,28455504.0,2.842,2.1,37344787.0
2000,28793672.0,2.771,28793672.0,2.771,28793672.0,2.771,28793672.0,2.771,2.1,37344787.0
2001,29126323.0,2.715,29126323.0,2.715,29126323.0,2.715,29126323.0,2.715,2.1,37344787.0
