year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,22461.0,,22461.0,,22461.0,,22461.0,,2.1,39520.0
1961,22813.0,,22813.0,,22813.0,,22813.0,,2.1,39520.0
1962,23043.0,,23043.0,,23043.0,,23043.0,,2.1,39520.0
1963,23165.0,,23165.0,,23165.0,,23165.0,,2.1,39520.0
1964,23236.0,,23236.0,,23236.0,,23236.0,,2.1,39520.0
1965,23289.0,,23289.0,,23289.0,,23289.0,,2.1,39520.0
1966,23302.0,,23302.0,,23302.0,,23302.0,,2.1,39520.0
1967,23292.0,,23292.0,,23292.0,,23292.0,,2.1,39520.0
1968,23295.0,,23295.0,,23295.0,,23295.0,,2.1,39520.0
1969,23348.0,,23348.0,,23348.0,,23348.0,,2.1,39520.0
1970,23487.0,,23487.0,,23487.0,,23487.0,,2.1,39520.0
1971,23721.0,,23721.0,,23721.0,,23721.0,,2.1,39520.0
1972,24049.0,,24049.0,,24049.0,,24049.0,,2.1,39520.0
1973,24445.0,,24445.0,,24445.0,,24445.0,,2.1,39520.0
1974,24829.0,,24829.0,,24829.0,,24829.0,,2.1,39520.0
1975,25203.0,,25203.0,,25203.0,,25203.0,,2.1,39520.0
1976,25523.0,,25523.0,,25523.0,,25523.0,,2.1,39520.0
1977,25811.0,,25811.0,,25811.0,,25811.0,,2.1,39520.0
1978,26090.0,,26090.0,,26090.0,,26090.0,,2.1,39520.0
1979,26391.0,,26391.0,,26391.0,,26391.0,,2.1,39520.0
1980,26752.0,,26752.0,,26752.0,,26752.0,,2.1,39520.0
1981,27162.0,,27162.0,,27162.0,,27162.0,,2.1,39520.0
1982,27633.0,,27633.0,,27633.0,,27633.0,,2.1,39520.0
1983,28091.0,,28091.0,,28091.0,,28091.0,,2.1,39520.0
1984,28511.0,,28511.0,,28511.0,,28511.0,,2.1,39520.0
1985,28836.0,,28836.0,,28836.0,,28836.0,,2.1,39520.0
1986,29050.0,,29050.0,,29050.0,,29050.0,,2.1,39520.0
1987,29156.0,,29156.0,,29156.0,,29156.0,,2.1,39520.0
1988,29232.0,,29232.0,,29232.0,,29232.0,,2.1,39520.0
1989,29309.0,,29309.0,,29309.0,,29309.0,,2.1,39520.0
1990,29433.0,,29433.0,,29433.0,,29433.0,,2.1,39520.0
1991,29629.0,,29629.0,,29629.0,,29629.0,,2.1,39520.0
1992,29859.0,,29859.0,,29859.0,,29859.0,,2.1,39520.0
1993,30145.0,,30145.0,,30145.0,,30145.0,,2.1,39520.0
1994,30436.0,,30436.0,,30436.0,,30436.0,,2.1,39520.0
1995,30731.0,,30731.0,,30731.0,,30731.0,,2.1,39520.0
1996,31001.0,,31001.0,,31001.0,,31001.0,,2.1,39520.0
1997,31268.0,,31268.0,,31268.0,,31268.0,,2.1,39520.0
1998,31554.0,,31554.0,,31554.0,,31554.0,,2.1,39520.0
1999,31836.0,,31836.0,,31836.0,,31836.0,,2.1,39520.0
2000,32148.0,,32148.0,,32148.0,,32148.0,,2.1,39520.0
2001,32474.0,,32474.0,,32474.0,,32474.0,,2.1,39520.0
2002,32804.0,,32804.0,,32804.0,,32804.0,,2.1,39520.0
2003,33144.0,,33144.0,,33144.0,,33144.0,,2.1,39520.0
2004,33499.0,,33499.0,,33499.0,,33499.0,,2.1,39520.0
2005,33842.0,,33842.0,,33842.0,,33842.0,,2.1,39520.0
2006,34189.0,,34189.0,,34189.0,,34189.0,,2.1,39520.0
2007,34524.0,,34524.0,,34524.0,,34524.0,,2.1,39520.0
2008,34860.0,,34860.0,,34860.0,,34860.0,,2.1,39520.0
2009,35223.0,,35223.0,,35223.0,,35223.0,,2.1,39520.0
2010,35609.0,,35609.0,,35609.0,,35609.0,,2.1,39520.0
2011,36025.0,,36025.0,,36025.0,,36025.0,,2.1,39520.0
2012,36459.0,,36459.0,,36459.0,,36459.0,,2.1,39520.0
2013,36899.0,,36899.0,,36899.0,,36899.0,,2.1,39520.0
2014,37320.0,,37320.0,,37320.0,,37320.0,,2.1,39520.0
2015,37723.0,,37723.0,,37723.0,,37723.0,,2.1,39520.0
2016,38070.0,,38070.0,,38070.0,,38070.0,,2.1,39520.0
2017,38392.0,,38392.0,,38392.0,,38392.0,,2.1,39520.0
2018,38682.0,,38682.0,,38682.0,,38682.0,,2.1,39520.0
2019,38967.0,,38967.0,,38967.0,,38967.0,,2.1,39520.0
2020,39244.0,,39244.0,,39244.0,,39244.0,,2.1,39520.0
2021,39520.0,,39520.0,,39520.0,,39520.0,,2.1,39520.0
2022,,,,,,,,,2.1,39520.0
2023,,,,,,,,,2.1,39520.0
2024,,,,,,,,,2.1,39520.0
2025,,,,,,,,,2.1,39520.0
2026,,,,,,,,,2.1,39520.0
2027,,,,,,,,,2.1,39520.0
2028,,,,,,,,,2.1,39520.0
2029,,,,,,,,,2.1,39520.0
2030,,,,,,,,,2.1,39520.0
2031,,,,,,,,,2.1,39520.0
2032,,,,,,,,,2.1,39520.0
2033,,,,,,,,,2.1,39520.0
2034,,,,,,,,,2.1,39520.0
2035,,,,,,,,,2.1,39520.0
2036,,,,,,,,,2.1,39520.0
2037,,,,,,,,,2.1,39520.0
