year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,2043664.0,3.328,2043664.0,3.328,2043664.0,3.328,2043664.0,3.328,2.1,2573928.0
1961,2092667.0,3.259,2092667.0,3.259,2092667.0,3.259,2092667.0,3.259,2.1,2573928.0
1962,2140063.0,3.178,2140063.0,3.178,2140063.0,3.178,2140063.0,3.178,2.1,2573928.0
1963,2185050.0,3.086,2185050.0,3.086,2185050.0,3.086,2185050.0,3.086,2.1,2573928.0
1964,2228429.0,2.989,2228429.0,2.989,2228429.0,2.989,2228429.0,2.989,2.1,2573928.0
1965,2269399.0,2.891,2269399.0,2.891,2269399.0,2.891,2269399.0,2.891,2.1,2573928.0
1966,2307959.0,2.801,2307959.0,2.801,2307959.0,2.801,2307959.0,2.801,2.1,2573928.0
1967,2344108.0,2.722,2344108.0,2.722,2344108.0,2.722,2344108.0,2.722,2.1,2573928.0
1968,2377848.0,2.66,2377848.0,2.66,2377848.0,2.66,2377848.0,2.66,2.1,2573928.0
1969,2411588.0,2.613,2411588.0,2.613,2411588.0,2.613,2411588.0,2.613,2.1,2573928.0
1970,2445328.0,2.582,2445328.0,2.582,2445328.0,2.582,2445328.0,2.582,2.1,2573928.0
1971,2479871.0,2.56,2479871.0,2.56,2479871.0,2.56,2479871.0,2.56,2.1,2573928.0
1972,2515217.0,2.542,2515217.0,2.542,2515217.0,2.542,2515217.0,2.542,2.1,2573928.0
1973,2549760.0,2.523,2549760.0,2.523,2549760.0,2.523,2549760.0,2.523,2.1,2573928.0
1974,2582697.0,2.503,2582697.0,2.503,2582697.0,2.503,2582697.0,2.503,2.1,2573928.0
1975,2611616.0,2.483,2611616.0,2.483,2611616.0,2.483,2611616.0,2.483,2.1,2573928.0
1976,2638126.0,2.465,2638126.0,2.465,2638126.0,2.465,2638126.0,2.465,2.1,2573928.0
1977,2660619.0,2.455,2660619.0,2.455,2660619.0,2.455,2660619.0,2.455,2.1,2573928.0
1978,2682309.0,2.454,2682309.0,2.454,2682309.0,2.454,2682309.0,2.454,2.1,2573928.0
1979,2703999.0,2.462,2703999.0,2.462,2703999.0,2.462,2703999.0,2.462,2.1,2573928.0
1980,2728099.0,2.481,2728099.0,2.481,2728099.0,2.481,2728099.0,2.481,2.1,2573928.0
1981,2754609.0,2.51,2754609.0,2.51,2754609.0,2.51,2754609.0,2.51,2.1,2573928.0
1982,2782725.0,2.546,2782725.0,2.546,2782725.0,2.546,2782725.0,2.546,2.1,2573928.0
1983,2811645.0,2.585,2811645.0,2.585,2811645.0,2.585,2811645.0,2.585,2.1,2573928.0
1984,2840565.0,2.62,2840565.0,2.62,2840565.0,2.62,2840565.0,2.62,2.1,2573928.0
1985,2867878.0,2.643,2867878.0,2.643,2867878.0,2.643,2867878.0,2.643,2.1,2573928.0
1986,2893584.0,2.646,2893584.0,2.646,2893584.0,2.646,2893584.0,2.646,2.1,2573928.0
1987,2918487.0,2.625,2918487.0,2.625,2918487.0,2.625,2918487.0,2.625,2.1,2573928.0
1988,2940177.0,2.578,2940177.0,2.578,2940177.0,2.578,2940177.0,2.578,2.1,2573928.0
1989,2957047.0,2.506,2957047.0,2.506,2957047.0,2.506,2957047.0,2.506,2.1,2573928.0
1990,2969097.0,2.414,2969097.0,2.414,2969097.0,2.414,2969097.0,2.414,2.1,2573928.0
1991,2975523.0,2.309,2975523.0,2.309,2975523.0,2.309,2975523.0,2.309,2.1,2573928.0
1992,2977130.0,2.199,2977130.0,2.199,2977130.0,2.199,2977130.0,2.199,2.1,2573928.0
1993,2973114.0,2.093,2973114.0,2.093,2973114.0,2.093,2973114.0,2.093,2.1,2573928.0
1994,2964277.0,1.994,2964277.0,1.994,2964277.0,1.994,2964277.0,1.994,2.1,2573928.0
1995,2952307.0,1.901,2952307.0,1.901,2952307.0,1.901,2952307.0,1.901,2.1,2573928.0
1996,2946401.0,1.811,2946401.0,1.811,2946401.0,1.811,2946401.0,1.811,2.1,2573928.0
1997,2935524.0,1.719,2935524.0,1.719,2935524.0,1.719,2935524.0,1.719,2.1,2573928.0
1998,2934339.0,1.623,2934339.0,1.623,2934339.0,1.623,2934339.0,1.623,2.1,2573928.0
1999,2929735.0,1.527,2929735.0,1.527,2929735.0,1.527,2929735.0,1.527,2.1,2573928.0
2000,2923783.0,1.435,2923783.0,1.435,2923783.0,1.435,2923783.0,1.435,2.1,2573928.0
2001,2917252.0,1.354,2917252.0,1.354,2917252.0,1.354,2917252.0,1.354,2.1,2573928.0
2002,2910504.0,1.29,2910504.0,1.29,2910504.0,1.29,2910504.0,1.29,2.1,2573928.0
2003,2902320.0,1.247,2902320.0,1.247,2902320.0,1.247,2902320.0,1.247,2.1,2573928.0
2004,2895147.0,1.224,2895147.0,1.224,2895147.0,1.224,2895147.0,1.224,2.1,2573928.0
2005,2888111.0,1.219,2888111.0,1.219,2888111.0,1.219,2888111.0,1.219,2.1,2573928.0
2006,2880095.0,1.227,2880095.0,1.227,2880095.0,1.227,2880095.0,1.227,2.1,2573928.0
2007,2873429.0,1.241,2873429.0,1.241,2873429.0,1.241,2873429.0,1.241,2.1,2573928.0
2008,2867964.0,1.256,2867964.0,1.256,2867964.0,1.256,2867964.0,1.256,2.1,2573928.0
2009,2864346.0,1.268,2864346.0,1.268,2864346.0,1.268,2864346.0,1.268,2.1,2573928.0
2010,2861487.0,1.275,2861487.0,1.275,2861487.0,1.275,2861487.0,1.275,2.1,2573928.0
2011,2859833.0,1.276,2859833.0,1.276,2859833.0,1.276,2859833.0,1.276,2.1,2573928.0
2012,2859458.0,1.273,2859458.0,1.273,2859458.0,1.273,2859458.0,1.273,2.1,2573928.0
2013,2858692.0,1.27,2858692.0,1.27,2858692.0,1.27,2858692.0,1.27,2.1,2573928.0
2014,2856950.0,1.265,2856950.0,1.265,2856950.0,1.265,2856950.0,1.265,2.1,2573928.0
2015,2834530.0,1.261,2834530.0,1.261,2834530.0,1.261,2834530.0,1.261,2.1,2573928.0
2016,2802170.0,1.259,2802170.0,1.259,2802170.0,1.259,2802170.0,1.259,2.1,2573928.0
2017,2755158.0,1.259,2755158.0,1.259,2755158.0,1.259,2755158.0,1.259,2.1,2573928.0
2018,2708214.0,1.262,2708214.0,1.262,2708214.0,1.262,2708214.0,1.262,2.1,2573928.0
2019,2664974.0,1.269,2664974.0,1.269,2664974.0,1.269,2664974.0,1.269,2.1,2573928.0
2020,2620495.0,1.278,2620495.0,1.278,2620495.0,1.278,2620495.0,1.278,2.1,2573928.0
2021,2573928.0,1.278,2573928.0,1.278,2573928.0,1.278,2573928.0,1.278,2.1,2573928.0
2022,2559591.411,1.258,2559958.618,1.279,2559676.469,1.263,2559935.994,1.278,2.1,2573928.0
2023,2544915.697,1.238,2546011.885,1.281,2545168.509,1.248,2545943.989,1.278,2.1,2573928.0
2024,2529906.23,1.218,2532087.822,1.282,2530407.18,1.233,2531951.983,1.278,2.1,2573928.0
2025,2514568.296,1.199,2518186.454,1.283,2515395.503,1.218,2517959.977,1.278,2.1,2573928.0
2026,2498907.098,1.18,2504307.805,1.285,2500136.465,1.204,2503967.971,1.278,2.1,2573928.0
2027,2482927.757,1.161,2490451.897,1.286,2484633.019,1.189,2489975.966,1.278,2.1,2573928.0
2028,2466635.312,1.143,2476618.756,1.287,2468888.078,1.175,2475983.96,1.278,2.1,2573928.0
2029,2450034.722,1.125,2462808.403,1.289,2452904.525,1.161,2461991.954,1.278,2.1,2573928.0
2030,2433130.87,1.107,2449020.864,1.29,2436685.206,1.147,2447999.949,1.278,2.1,2573928.0
2031,2415928.558,1.089,2435256.162,1.291,2420232.934,1.133,2434007.943,1.278,2.1,2573928.0
2032,2398432.513,1.072,2421514.32,1.293,2403550.487,1.12,2420015.937,1.278,2.1,2573928.0
2033,2380647.39,1.055,2407795.362,1.294,2386640.613,1.107,2406023.931,1.278,2.1,2573928.0
2034,2362577.766,1.038,2394099.313,1.295,2369506.023,1.093,2392031.926,1.278,2.1,2573928.0
2035,2344228.148,1.022,2380426.195,1.297,2352149.399,1.08,2378039.92,1.278,2.1,2573928.0
