year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,5099368.0,7.3,5099368.0,7.3,5099368.0,7.3,5099368.0,7.3,2.1,28427333.0
1961,5223561.0,7.301,5223561.0,7.301,5223561.0,7.301,5223561.0,7.301,2.1,28427333.0
1962,5352497.0,7.303,5352497.0,7.303,5352497.0,7.303,5352497.0,7.303,2.1,28427333.0
1963,5486319.0,7.305,5486319.0,7.305,5486319.0,7.305,5486319.0,7.305,2.1,28427333.0
1964,5625164.0,7.307,5625164.0,7.307,5625164.0,7.307,5625164.0,7.307,2.1,28427333.0
1965,5769215.0,7.308,5769215.0,7.308,5769215.0,7.308,5769215.0,7.308,2.1,28427333.0
1966,5918592.0,7.307,5918592.0,7.307,5918592.0,7.307,5918592.0,7.307,2.1,28427333.0
1967,6073529.0,7.304,6073529.0,7.304,6073529.0,7.304,6073529.0,7.304,2.1,28427333.0
1968,6234468.0,7.297,6234468.0,7.297,6234468.0,7.297,6234468.0,7.297,2.1,28427333.0
1969,6401920.0,7.286,6401920.0,7.286,6401920.0,7.286,6401920.0,7.286,2.1,28427333.0
1970,6576305.0,7.27,6576305.0,7.27,6576305.0,7.27,6576305.0,7.27,2.1,28427333.0
1971,6757853.0,7.248,6757853.0,7.248,6757853.0,7.248,6757853.0,7.248,2.1,28427333.0
1972,6946619.0,7.221,6946619.0,7.221,6946619.0,7.221,6946619.0,7.221,2.1,28427333.0
1973,7142634.0,7.188,7142634.0,7.188,7142634.0,7.188,7142634.0,7.188,2.1,28427333.0
1974,7345773.0,7.149,7345773.0,7.149,7345773.0,7.149,7345773.0,7.149,2.1,28427333.0
1975,7556032.0,7.102,7556032.0,7.102,7556032.0,7.102,7556032.0,7.102,2.1,28427333.0
1976,7773452.0,7.044,7773452.0,7.044,7773452.0,7.044,7773452.0,7.044,2.1,28427333.0
1977,7998157.0,6.976,7998157.0,6.976,7998157.0,6.976,7998157.0,6.976,2.1,28427333.0
1978,8230214.0,6.898,8230214.0,6.898,8230214.0,6.898,8230214.0,6.898,2.1,28427333.0
1979,8469677.0,6.813,8469677.0,6.813,8469677.0,6.813,8469677.0,6.813,2.1,28427333.0
1980,8716549.0,6.725,8716549.0,6.725,8716549.0,6.725,8716549.0,6.725,2.1,28427333.0
1981,8971339.0,6.637,8971339.0,6.637,8971339.0,6.637,8971339.0,6.637,2.1,28427333.0
1982,9234137.0,6.554,9234137.0,6.554,9234137.0,6.554,9234137.0,6.554,2.1,28427333.0
1983,9504283.0,6.477,9504283.0,6.477,9504283.0,6.477,9504283.0,6.477,2.1,28427333.0
1984,9780869.0,6.41,9780869.0,6.41,9780869.0,6.41,9780869.0,6.41,2.1,28427333.0
1985,10063493.0,6.353,10063493.0,6.353,10063493.0,6.353,10063493.0,6.353,2.1,28427333.0
1986,10352117.0,6.307,10352117.0,6.307,10352117.0,6.307,10352117.0,6.307,2.1,28427333.0
1987,10647753.0,6.27,10647753.0,6.27,10647753.0,6.27,10647753.0,6.27,2.1,28427333.0
1988,10952396.0,6.237,10952396.0,6.237,10952396.0,6.237,10952396.0,6.237,2.1,28427333.0
1989,11268653.0,6.208,11268653.0,6.208,11268653.0,6.208,11268653.0,6.208,2.1,28427333.0
1990,11598647.0,6.179,11598647.0,6.179,11598647.0,6.179,11598647.0,6.179,2.1,28427333.0
1991,11942809.0,6.149,11942809.0,6.149,11942809.0,6.149,11942809.0,6.149,2.1,28427333.0
1992,12301338.0,6.116,12301338.0,6.116,12301338.0,6.116,12301338.0,6.116,2.1,28427333.0
1993,12675469.0,6.078,12675469.0,6.078,12675469.0,6.078,12675469.0,6.078,2.1,28427333.0
