year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,89873.0,7.021,89873.0,7.021,89873.0,7.021,89873.0,7.021,2.1,543620.0
1961,92328.0,7.075,92328.0,7.075,92328.0,7.075,92328.0,7.075,2.1,543620.0
1962,94902.0,7.118,94902.0,7.118,94902.0,7.118,94902.0,7.118,2.1,543620.0
1963,97540.0,7.152,97540.0,7.152,97540.0,7.152,97540.0,7.152,2.1,543620.0
1964,100177.0,7.179,100177.0,7.179,100177.0,7.179,100177.0,7.179,2.1,543620.0
1965,102710.0,7.201,102710.0,7.201,102710.0,7.201,102710.0,7.201,2.1,543620.0
1966,105129.0,7.218,105129.0,7.218,105129.0,7.218,105129.0,7.218,2.1,543620.0
1967,107481.0,7.231,107481.0,7.231,107481.0,7.231,107481.0,7.231,2.1,543620.0
1968,109893.0,7.237,109893.0,7.237,109893.0,7.237,109893.0,7.237,2.1,543620.0
1969,112582.0,7.237,112582.0,7.237,112582.0,7.237,112582.0,7.237,2.1,543620.0
1970,115688.0,7.227,115688.0,7.227,115688.0,7.227,115688.0,7.227,2.1,543620.0
1971,119303.0,7.201,119303.0,7.201,119303.0,7.201,119303.0,7.201,2.1,543620.0
1972,123347.0,7.159,123347.0,7.159,123347.0,7.159,123347.0,7.159,2.1,543620.0
1973,127700.0,7.103,127700.0,7.103,127700.0,7.103,127700.0,7.103,2.1,543620.0
1974,132102.0,7.04,132102.0,7.04,132102.0,7.04,132102.0,7.04,2.1,543620.0
1975,136418.0,6.981,136418.0,6.981,136418.0,6.981,136418.0,6.981,2.1,543620.0
1976,140563.0,6.944,140563.0,6.944,140563.0,6.944,140563.0,6.944,2.1,543620.0
1977,144625.0,6.936,144625.0,6.936,144625.0,6.936,144625.0,6.936,2.1,543620.0
1978,148774.0,6.961,148774.0,6.961,148774.0,6.961,148774.0,6.961,2.1,543620.0
1979,153276.0,7.013,153276.0,7.013,153276.0,7.013,153276.0,7.013,2.1,543620.0
1980,158271.0,7.081,158271.0,7.081,158271.0,7.081,158271.0,7.081,2.1,543620.0
1981,163821.0,7.151,163821.0,7.151,163821.0,7.151,163821.0,7.151,2.1,543620.0
1982,169849.0,7.203,169849.0,7.203,169849.0,7.203,169849.0,7.203,2.1,543620.0
1983,176255.0,7.219,176255.0,7.219,176255.0,7.219,176255.0,7.219,2.1,543620.0
1984,182848.0,7.189,182848.0,7.189,182848.0,7.189,182848.0,7.189,2.1,543620.0
1985,189540.0,7.106,189540.0,7.106,189540.0,7.106,189540.0,7.106,2.1,543620.0
1986,196262.0,6.967,196262.0,6.967,196262.0,6.967,196262.0,6.967,2.1,543620.0
1987,203024.0,6.78,203024.0,6.78,203024.0,6.78,203024.0,6.78,2.1,543620.0
1988,209787.0,6.555,209787.0,6.555,209787.0,6.555,209787.0,6.555,2.1,543620.0
1989,216502.0,6.295,216502.0,6.295,216502.0,6.295,216502.0,6.295,2.1,543620.0
1990,223159.0,6.003,223159.0,6.003,223159.0,6.003,223159.0,6.003,2.1,543620.0
1991,229743.0,5.68,229743.0,5.68,229743.0,5.68,229743.0,5.68,2.1,543620.0
1992,236271.0,5.332,236271.0,5.332,236271.0,5.332,236271.0,5.332,2.1,543620.0
1993,242596.0,4.969,242596.0,4.969,242596.0,4.969,242596.0,4.969,2.1,543620.0
1994,248582.0,4.6,248582.0,4.6,248582.0,4.6,248582.0,4.6,2.1,543620.0
1995,254144.0,4.237,254144.0,4.237,254144.0,4.237,254144.0,4.237,2.1,543620.0
1996,259178.0,3.888,259178.0,3.888,259178.0,3.888,259178.0,3.888,2.1,543620.0
1997,263836.0,3.56,263836.0,3.56,263836.0,3.56,263836.0,3.56,2.1,543620.0
1998,268445.0,3.259,268445.0,3.259,268445.0,3.259,268445.0,3.259,2.1,543620.0
1999,273522.0,2.993,273522.0,2.993,273522.0,2.993,273522.0,2.993,2.1,543620.0
