year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,105203230.0,6.906805557,105203230.0,6.906805557,105203230.0,6.906805557,105203230.0,6.906805557,2.1,472494995.0
1961,108061826.0,6.921688223,108061826.0,6.921688223,108061826.0,6.921688223,108061826.0,6.921688223,2.1,472494995.0
1962,111045418.0,6.933832268,111045418.0,6.933832268,111045418.0,6.933832268,111045418.0,6.933832268,2.1,472494995.0
1963,114101578.0,6.940577105,114101578.0,6.940577105,114101578.0,6.940577105,114101578.0,6.940577105,2.1,472494995.0
1964,117271192.0,6.940658403,117271192.0,6.940658403,117271192.0,6.940658403,117271192.0,6.940658403,2.1,472494995.0
1965,120541198.0,6.931591684,120541198.0,6.931591684,120541198.0,6.931591684,120541198.0,6.931591684,2.1,472494995.0
1966,123908187.0,6.911719072,123908187.0,6.911719072,123908187.0,6.911719072,123908187.0,6.911719072,2.1,472494995.0
1967,127444919.0,6.879974885,127444919.0,6.879974885,127444919.0,6.879974885,127444919.0,6.879974885,2.1,472494995.0
1968,131026902.0,6.840179187,131026902.0,6.840179187,131026902.0,6.840179187,131026902.0,6.840179187,2.1,472494995.0
1969,134704201.0,6.790713709,134704201.0,6.790713709,134704201.0,6.790713709,134704201.0,6.790713709,2.1,472494995.0
1970,138473057.0,6.734328637,138473057.0,6.734328637,138473057.0,6.734328637,138473057.0,6.734328637,2.1,472494995.0
1971,142307871.0,6.673128902,142307871.0,6.673128902,142307871.0,6.673128902,142307871.0,6.673128902,2.1,472494995.0
1972,146213398.0,6.611542219,146213398.0,6.611542219,146213398.0,6.611542219,146213398.0,6.611542219,2.1,472494995.0
1973,150292311.0,6.54860446,150292311.0,6.54860446,150292311.0,6.54860446,150292311.0,6.54860446,2.1,472494995.0
1974,154509840.0,6.490641724,154509840.0,6.490641724,154509840.0,6.490641724,154509840.0,6.490641724,2.1,472494995.0
1975,158917282.0,6.44016268,158917282.0,6.44016268,158917282.0,6.44016268,158917282.0,6.44016268,2.1,472494995.0
