year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,37771861.0,6.769,37771861.0,6.769,37771861.0,6.769,37771861.0,6.769,2.1,130262220.0
1961,38966049.0,6.768,38966049.0,6.768,38966049.0,6.768,38966049.0,6.768,2.1,130262220.0
1962,40195318.0,6.77,40195318.0,6.77,40195318.0,6.77,40195318.0,6.77,2.1,130262220.0
1963,41462373.0,6.775,41462373.0,6.775,41462373.0,6.775,41462373.0,6.775,2.1,130262220.0
1964,42771077.0,6.78,42771077.0,6.78,42771077.0,6.78,42771077.0,6.78,2.1,130262220.0
1965,44123863.0,6.783,44123863.0,6.783,44123863.0,6.783,44123863.0,6.783,2.1,130262220.0
1966,45519746.0,6.779,45519746.0,6.779,45519746.0,6.779,45519746.0,6.779,2.1,130262220.0
1967,46956208.0,6.764,46956208.0,6.764,46956208.0,6.764,46956208.0,6.764,2.1,130262220.0
1968,48431971.0,6.734,48431971.0,6.734,48431971.0,6.734,48431971.0,6.734,2.1,130262220.0
1969,49945278.0,6.684,49945278.0,6.684,49945278.0,6.684,49945278.0,6.684,2.1,130262220.0
1970,51493565.0,6.611,51493565.0,6.611,51493565.0,6.611,51493565.0,6.611,2.1,130262220.0
1971,53076366.0,6.51,53076366.0,6.51,53076366.0,6.51,53076366.0,6.51,2.1,130262220.0
1972,54689944.0,6.382,54689944.0,6.382,54689944.0,6.382,54689944.0,6.382,2.1,130262220.0
1973,56324310.0,6.23,56324310.0,6.23,56324310.0,6.23,56324310.0,6.23,2.1,130262220.0
1974,57966812.0,6.057,57966812.0,6.057,57966812.0,6.057,57966812.0,6.057,2.1,130262220.0
1975,59607947.0,5.866,59607947.0,5.866,59607947.0,5.866,59607947.0,5.866,2.1,130262220.0
1976,61242189.0,5.661,61242189.0,5.661,61242189.0,5.661,61242189.0,5.661,2.1,130262220.0
1977,62869908.0,5.448,62869908.0,5.448,62869908.0,5.448,62869908.0,5.448,2.1,130262220.0
1978,64494872.0,5.234,64494872.0,5.234,64494872.0,5.234,64494872.0,5.234,2.1,130262220.0
1979,66123908.0,5.024,66123908.0,5.024,66123908.0,5.024,66123908.0,5.024,2.1,130262220.0
1980,67761367.0,4.823,67761367.0,4.823,67761367.0,4.823,67761367.0,4.823,2.1,130262220.0
1981,69407623.0,4.636,69407623.0,4.636,69407623.0,4.636,69407623.0,4.636,2.1,130262220.0
1982,71058650.0,4.463,71058650.0,4.463,71058650.0,4.463,71058650.0,4.463,2.1,130262220.0
1983,72709306.0,4.304,72709306.0,4.304,72709306.0,4.304,72709306.0,4.304,2.1,130262220.0
1984,74352631.0,4.158,74352631.0,4.158,74352631.0,4.158,74352631.0,4.158,2.1,130262220.0
1985,75983486.0,4.026,75983486.0,4.026,75983486.0,4.026,75983486.0,4.026,2.1,130262220.0
1986,77599105.0,3.904,77599105.0,3.904,77599105.0,3.904,77599105.0,3.904,2.1,130262220.0
1987,79200081.0,3.79,79200081.0,3.79,79200081.0,3.79,79200081.0,3.79,2.1,130262220.0
1988,80788725.0,3.68,80788725.0,3.68,80788725.0,3.68,80788725.0,3.68,2.1,130262220.0
1989,82368930.0,3.574,82368930.0,3.574,82368930.0,3.574,82368930.0,3.574,2.1,130262220.0
1990,83943135.0,3.47,83943135.0,3.47,83943135.0,3.47,83943135.0,3.47,2.1,130262220.0
1991,85512621.0,3.369,85512621.0,3.369,85512621.0,3.369,85512621.0,3.369,2.1,130262220.0
1992,87075136.0,3.273,87075136.0,3.273,87075136.0,3.273,87075136.0,3.273,2.1,130262220.0
1993,88625440.0,3.182,88625440.0,3.182,88625440.0,3.182,88625440.0,3.182,2.1,130262220.0
1994,90156396.0,3.097,90156396.0,3.097,90156396.0,3.097,90156396.0,3.097,2.1,130262220.0
1995,91663290.0,3.018,91663290.0,3.018,91663290.0,3.018,91663290.0,3.018,2.1,130262220.0
1996,93147045.0,2.946,93147045.0,2.946,93147045.0,2.946,93147045.0,2.946,2.1,130262220.0
1997,94611008.0,2.88,94611008.0,2.88,94611008.0,2.88,94611008.0,2.88,2.1,130262220.0
1998,96056313.0,2.821,96056313.0,2.821,96056313.0,2.821,96056313.0,2.821,2.1,130262220.0
1999,97484823.0,2.766,97484823.0,2.766,97484823.0,2.766,97484823.0,2.766,2.1,130262220.0
2000,98899845.0,2.716,98899845.0,2.716,98899845.0,2.716,98899845.0,2.716,2.1,130262220.0
2001,100298152.0,2.669,100298152.0,2.669,100298152.0,2.669,100298152.0,2.669,2.1,130262220.0
2002,101684764.0,2.623,101684764.0,2.623,101684764.0,2.623,101684764.0,2.623,2.1,130262220.0
2003,103081020.0,2.579,103081020.0,2.579,103081020.0,2.579,103081020.0,2.579,2.1,130262220.0
2004,104514934.0,2.536,104514934.0,2.536,104514934.0,2.536,104514934.0,2.536,2.1,130262220.0
2005,106005199.0,2.495,106005199.0,2.495,106005199.0,2.495,106005199.0,2.495,2.1,130262220.0
