year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,14674.0,,14674.0,,14674.0,,14674.0,,2.1,59618.0
1961,15056.0,,15056.0,,15056.0,,15056.0,,2.1,59618.0
1962,15547.0,,15547.0,,15547.0,,15547.0,,2.1,59618.0
1963,16111.0,,16111.0,,16111.0,,16111.0,,2.1,59618.0
1964,16710.0,,16710.0,,16710.0,,16710.0,,2.1,59618.0
1965,17282.0,,17282.0,,17282.0,,17282.0,,2.1,59618.0
1966,17834.0,,17834.0,,17834.0,,17834.0,,2.1,59618.0
1967,18383.0,,18383.0,,18383.0,,18383.0,,2.1,59618.0
1968,18966.0,,18966.0,,18966.0,,18966.0,,2.1,59618.0
1969,19617.0,,19617.0,,19617.0,,19617.0,,2.1,59618.0
1970,20394.0,,20394.0,,20394.0,,20394.0,,2.1,59618.0
1971,21305.0,,21305.0,,21305.0,,21305.0,,2.1,59618.0
1972,22335.0,,22335.0,,22335.0,,22335.0,,2.1,59618.0
1973,23440.0,,23440.0,,23440.0,,23440.0,,2.1,59618.0
1974,24530.0,,24530.0,,24530.0,,24530.0,,2.1,59618.0
1975,25579.0,,25579.0,,25579.0,,25579.0,,2.1,59618.0
1976,26548.0,,26548.0,,26548.0,,26548.0,,2.1,59618.0
1977,27479.0,,27479.0,,27479.0,,27479.0,,2.1,59618.0
1978,28400.0,,28400.0,,28400.0,,28400.0,,2.1,59618.0
1979,29417.0,,29417.0,,29417.0,,29417.0,,2.1,59618.0
1980,30574.0,,30574.0,,30574.0,,30574.0,,2.1,59618.0
1981,31883.0,,31883.0,,31883.0,,31883.0,,2.1,59618.0
1982,33330.0,,33330.0,,33330.0,,33330.0,,2.1,59618.0
1983,34881.0,,34881.0,,34881.0,,34881.0,,2.1,59618.0
1984,36564.0,,36564.0,,36564.0,,36564.0,,2.1,59618.0
1985,38331.0,,38331.0,,38331.0,,38331.0,,2.1,59618.0
1986,40212.0,,40212.0,,40212.0,,40212.0,,2.1,59618.0
1987,42168.0,5.9,42168.0,5.9,42168.0,5.9,42168.0,5.9,2.1,59618.0
1988,44092.0,,44092.0,,44092.0,,44092.0,,2.1,59618.0
1989,45827.0,,45827.0,,45827.0,,45827.0,,2.1,59618.0
1990,47265.0,,47265.0,,47265.0,,47265.0,,2.1,59618.0
1991,48403.0,,48403.0,,48403.0,,48403.0,,2.1,59618.0
1992,49242.0,,49242.0,,49242.0,,49242.0,,2.1,59618.0
1993,49828.0,,49828.0,,49828.0,,49828.0,,2.1,59618.0
1994,50214.0,,50214.0,,50214.0,,50214.0,,2.1,59618.0
1995,50454.0,,50454.0,,50454.0,,50454.0,,2.1,59618.0
1996,50523.0,,50523.0,,50523.0,,50523.0,,2.1,59618.0
1997,50453.0,,50453.0,,50453.0,,50453.0,,2.1,59618.0
1998,50356.0,,50356.0,,50356.0,,50356.0,,2.1,59618.0
1999,50418.0,5.71,50418.0,5.71,50418.0,5.71,50418.0,5.71,2.1,59618.0
2000,50754.0,,50754.0,,50754.0,,50754.0,,2.1,59618.0
2001,51411.0,,51411.0,,51411.0,,51411.0,,2.1,59618.0
2002,52368.0,,52368.0,,52368.0,,52368.0,,2.1,59618.0
2003,53465.0,,53465.0,,53465.0,,53465.0,,2.1,59618.0
2004,54476.0,,54476.0,,54476.0,,54476.0,,2.1,59618.0
2005,55257.0,4.5,55257.0,4.5,55257.0,4.5,55257.0,4.5,2.1,59618.0
2006,55765.0,4.5,55765.0,4.5,55765.0,4.5,55765.0,4.5,2.1,59618.0
2007,56046.0,4.5,56046.0,4.5,56046.0,4.5,56046.0,4.5,2.1,59618.0
2008,56166.0,,56166.0,,56166.0,,56166.0,,2.1,59618.0
2009,56255.0,,56255.0,,56255.0,,56255.0,,2.1,59618.0
2010,56361.0,,56361.0,,56361.0,,56361.0,,2.1,59618.0
2011,56524.0,4.05,56524.0,4.05,56524.0,4.05,56524.0,4.05,2.1,59618.0
2012,56712.0,,56712.0,,56712.0,,56712.0,,2.1,59618.0
2013,56933.0,,56933.0,,56933.0,,56933.0,,2.1,59618.0
2014,57183.0,,57183.0,,57183.0,,57183.0,,2.1,59618.0
2015,57444.0,,57444.0,,57444.0,,57444.0,,2.1,59618.0
2016,57723.0,,57723.0,,57723.0,,57723.0,,2.1,59618.0
2017,58053.0,,58053.0,,58053.0,,58053.0,,2.1,59618.0
2018,58412.0,,58412.0,,58412.0,,58412.0,,2.1,59618.0
2019,58791.0,,58791.0,,58791.0,,58791.0,,2.1,59618.0
2020,59194.0,,59194.0,,59194.0,,59194.0,,2.1,59618.0
2021,59618.0,,59618.0,,59618.0,,59618.0,,2.1,59618.0
2022,,,,,,,,,2.1,59618.0
2023,,,,,,,,,2.1,59618.0
2024,,,,,,,,,2.1,59618.0
2025,,,,,,,,,2.1,59618.0
2026,,,,,,,,,2.1,59618.0
2027,,,,,,,,,2.1,59618.0
2028,,,,,,,,,2.1,59618.0
2029,,,,,,,,,2.1,59618.0
2030,,,,,,,,,2.1,59618.0
2031,,,,,,,,,2.1,59618.0
2032,,,,,,,,,2.1,59618.0
2033,,,,,,,,,2.1,59618.0
2034,,,,,,,,,2.1,59618.0
2035,,,,,,,,,2.1,59618.0
2036,,,,,,,,,2.1,59618.0
2037,,,,,,,,,2.1,59618.0
2038,,,,,,,,,2.1,59618.0
2039,,,,,,,,,2.1,59618.0
2040,,,,,,,,,2.1,59618.0
2041,,,,,,,,,2.1,59618.0
2042,,,,,,,,,2.1,59618.0
2043,,,,,,,,,2.1,59618.0
2044,,,,,,,,,2.1,59618.0
2045,,,,,,,,,2.1,59618.0
2046,,,,,,,,,2.1,59618.0
2047,,,,,,,,,2.1,59618.0
2048,,,,,,,,,2.1,59618.0
2049,,,,,,,,,2.1,59618.0
2050,,,,,,,,,2.1,59618.0
2051,,,,,,,,,2.1,59618.0
2052,,,,,,,,,2.1,59618.0
2053,,,,,,,,,2.1,59618.0
2054,,,,,,,,,2.1,59618.0
2055,,,,,,,,,2.1,59618.0
2056,,,,,,,,,2.1,59618.0
2057,,,,,,,,,2.1,59618.0
2058,,,,,,,,,2.1,59618.0
2059,,,,,,,,,2.1,59618.0
2060,,,,,,,,,2.1,59618.0
2061,,,,,,,,,2.1,59618.0
2062,,,,,,,,,2.1,59618.0
2063,,,,,,,,,2.1,59618.0
2064,,,,,,,,,2.1,59618.0
2065,,,,,,,,,2.1,59618.0
2066,,,,,,,,,2.1,59618.0
2067,,,,,,,,,2.1,59618.0
2068,,,,,,,,,2.1,59618.0
2069,,,,,,,,,2.1,59618.0
2070,,,,,,,,,2.1,59618.0
2071,,,,,,,,,2.1,59618.0
2072,,,,,,,,,2.1,59618.0
2073,,,,,,,,,2.1,59618.0
2074,,,,,,,,,2.1,59618.0
2075,,,,,,,,,2.1,59618.0
2076,,,,,,,,,2.1,59618.0
2077,,,,,,,,,2.1,59618.0
2078,,,,,,,,,2.1,59618.0
2079,,,,,,,,,2.1,59618.0
2080,,,,,,,,,2.1,59618.0
2081,,,,,,,,,2.1,59618.0
2082,,,,,,,,,2.1,59618.0
2083,,,,,,,,,2.1,59618.0
2084,,,,,,,,,2.1,59618.0
2085,,,,,,,,,2.1,59618.0
2086,,,,,,,,,2.1,59618.0
2087,,,,,,,,,2.1,59618.0
2088,,,,,,,,,2.1,59618.0
2089,,,,,,,,,2.1,59618.0
2090,,,,,,,,,2.1,59618.0
2091,,,,,,,,,2.1,59618.0
2092,,,,,,,,,2.1,59618.0
2093,,,,,,,,,2.1,59618.0
2094,,,,,,,,,2.1,59618.0
2095,,,,,,,,,2.1,59618.0
2096,,,,,,,,,2.1,59618.0
2097,,,,,,,,,2.1,59618.0
2098,,,,,,,,,2.1,59618.0
2099,,,,,,,,,2.1,59618.0
2100,,,,,,,,,2.1,59618.0
2101,,,,,,,,,2.1,59618.0
2102,,,,,,,,,2.1,59618.0
2103,,,,,,,,,2.1,59618.0
2104,,,,,,,,,2.1,59618.0
2105,,,,,,,,,2.1,59618.0
2106,,,,,,,,,2.1,59618.0
2107,,,,,,,,,2.1,59618.0
2108,,,,,,,,,2.1,59618.0
2109,,,,,,,,,2.1,59618.0
2110,,,,,,,,,2.1,59618.0
2111,,,,,,,,,2.1,59618.0
2112,,,,,,,,,2.1,59618.0
2113,,,,,,,,,2.1,59618.0
2114,,,,,,,,,2.1,59618.0
2115,,,,,,,,,2.1,59618.0
2116,,,,,,,,,2.1,59618.0
2117,,,,,,,,,2.1,59618.0
2118,,,,,,,,,2.1,59618.0
2119,,,,,,,,,2.1,59618.0
2120,,,,,,,,,2.1,59618.0
