year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,2103847343.0,5.624450988,2103847343.0,5.624450988,2103847343.0,5.624450988,2103847343.0,5.624450988,2.1,5864624595.0
1961,2129932353.0,5.657222927,2129932353.0,5.657222927,2129932353.0,5.657222927,2129932353.0,5.657222927,2.1,5864624595.0
1962,2169232529.0,5.709468007,2169232529.0,5.709468007,2169232529.0,5.709468007,2169232529.0,5.709468007,2.1,5864624595.0
1963,2220611237.0,5.742351626,2220611237.0,5.742351626,2220611237.0,5.742351626,2220611237.0,5.742351626,2.1,5864624595.0
1964,2272300639.0,5.761131449,2272300639.0,5.761131449,2272300639.0,5.761131449,2272300639.0,5.761131449,2.1,5864624595.0
1965,2325559683.0,5.76633312,2325559683.0,5.76633312,2325559683.0,5.76633312,2325559683.0,5.76633312,2.1,5864624595.0
1966,2382276555.0,5.748135558,2382276555.0,5.748135558,2382276555.0,5.748135558,2382276555.0,5.748135558,2.1,5864624595.0
1967,2438676874.0,5.702632209,2438676874.0,5.702632209,2438676874.0,5.702632209,2438676874.0,5.702632209,2.1,5864624595.0
1968,2496665175.0,5.635710957,2496665175.0,5.635710957,2496665175.0,5.635710957,2496665175.0,5.635710957,2.1,5864624595.0
1969,2557008335.0,5.547875963,2557008335.0,5.547875963,2557008335.0,5.547875963,2557008335.0,5.547875963,2.1,5864624595.0
1970,2618924821.0,5.439388,2618924821.0,5.439388,2618924821.0,5.439388,2618924821.0,5.439388,2.1,5864624595.0
1971,2682196981.0,5.297773614,2682196981.0,5.297773614,2682196981.0,5.297773614,2682196981.0,5.297773614,2.1,5864624595.0
1972,2744462946.0,5.15483972,2744462946.0,5.15483972,2744462946.0,5.15483972,2744462946.0,5.15483972,2.1,5864624595.0
1973,2806594301.0,4.991166272,2806594301.0,4.991166272,2806594301.0,4.991166272,2806594301.0,4.991166272,2.1,5864624595.0
1974,2868154949.0,4.825590722,2868154949.0,4.825590722,2868154949.0,4.825590722,2868154949.0,4.825590722,2.1,5864624595.0
1975,2928271499.0,4.661776363,2928271499.0,4.661776363,2928271499.0,4.661776363,2928271499.0,4.661776363,2.1,5864624595.0
1976,2987729457.0,4.507398033,2987729457.0,4.507398033,2987729457.0,4.507398033,2987729457.0,4.507398033,2.1,5864624595.0
1977,3046617814.0,4.365932245,3046617814.0,4.365932245,3046617814.0,4.365932245,3046617814.0,4.365932245,2.1,5864624595.0
1978,3106526769.0,4.241132484,3106526769.0,4.241132484,3106526769.0,4.241132484,3106526769.0,4.241132484,2.1,5864624595.0
1979,3167924604.0,4.133945271,3167924604.0,4.133945271,3167924604.0,4.133945271,3167924604.0,4.133945271,2.1,5864624595.0
1980,3230235174.0,4.047093458,3230235174.0,4.047093458,3230235174.0,4.047093458,3230235174.0,4.047093458,2.1,5864624595.0
1981,3294486256.0,3.974658196,3294486256.0,3.974658196,3294486256.0,3.974658196,3294486256.0,3.974658196,2.1,5864624595.0
1982,3362068811.0,3.932281367,3362068811.0,3.932281367,3362068811.0,3.932281367,3362068811.0,3.932281367,2.1,5864624595.0
1983,3430692235.0,3.892540402,3430692235.0,3.892540402,3430692235.0,3.892540402,3430692235.0,3.892540402,2.1,5864624595.0
1984,3499166295.0,3.850991576,3499166295.0,3.850991576,3499166295.0,3.850991576,3499166295.0,3.850991576,2.1,5864624595.0
1985,3568809321.0,3.806919647,3568809321.0,3.806919647,3568809321.0,3.806919647,3568809321.0,3.806919647,2.1,5864624595.0
