year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,1488670.0,3.842,1488670.0,3.842,1488670.0,3.842,1488670.0,3.842,2.1,2065092.0
1961,1507647.0,3.758,1507647.0,3.758,1507647.0,3.758,1507647.0,3.758,2.1,2065092.0
1962,1527109.0,3.691,1527109.0,3.691,1527109.0,3.691,1527109.0,3.691,2.1,2065092.0
1963,1547449.0,3.638,1547449.0,3.638,1547449.0,3.638,1547449.0,3.638,2.1,2065092.0
1964,1569139.0,3.595,1569139.0,3.595,1569139.0,3.595,1569139.0,3.595,2.1,2065092.0
1965,1592437.0,3.552,1592437.0,3.552,1592437.0,3.552,1592437.0,3.552,2.1,2065092.0
1966,1617797.0,3.502,1617797.0,3.502,1617797.0,3.502,1617797.0,3.502,2.1,2065092.0
1967,1644949.0,3.439,1644949.0,3.439,1644949.0,3.439,1644949.0,3.439,2.1,2065092.0
1968,1672399.0,3.36,1672399.0,3.36,1672399.0,3.36,1672399.0,3.36,2.1,2065092.0
1969,1698150.0,3.265,1698150.0,3.265,1698150.0,3.265,1698150.0,3.265,2.1,2065092.0
1970,1720805.0,3.158,1720805.0,3.158,1720805.0,3.158,1720805.0,3.158,2.1,2065092.0
1971,1739529.0,3.044,1739529.0,3.044,1739529.0,3.044,1739529.0,3.044,2.1,2065092.0
1972,1754951.0,2.932,1754951.0,2.932,1754951.0,2.932,1754951.0,2.932,2.1,2065092.0
1973,1769002.0,2.828,1769002.0,2.828,1769002.0,2.828,1769002.0,2.828,2.1,2065092.0
1974,1784400.0,2.738,1784400.0,2.738,1784400.0,2.738,1784400.0,2.738,2.1,2065092.0
1975,1803008.0,2.663,1803008.0,2.663,1803008.0,2.663,1803008.0,2.663,2.1,2065092.0
1976,1825559.0,2.606,1825559.0,2.606,1825559.0,2.606,1825559.0,2.606,2.1,2065092.0
1977,1851070.0,2.562,1851070.0,2.562,1851070.0,2.562,1851070.0,2.562,2.1,2065092.0
1978,1877690.0,2.529,1877690.0,2.529,1877690.0,2.529,1877690.0,2.529,2.1,2065092.0
1979,1902718.0,2.505,1902718.0,2.505,1902718.0,2.505,1902718.0,2.505,2.1,2065092.0
1980,1924203.0,2.486,1924203.0,2.486,1924203.0,2.486,1924203.0,2.486,2.1,2065092.0
1981,1941527.0,2.468,1941527.0,2.468,1941527.0,2.468,1941527.0,2.468,2.1,2065092.0
1982,1955247.0,2.449,1955247.0,2.449,1955247.0,2.449,1955247.0,2.449,2.1,2065092.0
1983,1965892.0,2.426,1965892.0,2.426,1965892.0,2.426,1965892.0,2.426,2.1,2065092.0
1984,1974413.0,2.399,1974413.0,2.399,1974413.0,2.399,1974413.0,2.399,2.1,2065092.0
1985,1981536.0,2.368,1981536.0,2.368,1981536.0,2.368,1981536.0,2.368,2.1,2065092.0
1986,1987538.0,2.335,1987538.0,2.335,1987538.0,2.335,1987538.0,2.335,2.1,2065092.0
1987,1992278.0,2.301,1992278.0,2.301,1992278.0,2.301,1992278.0,2.301,2.1,2065092.0
1988,1995508.0,2.269,1995508.0,2.269,1995508.0,2.269,1995508.0,2.269,2.1,2065092.0
1989,1996863.0,2.238,1996863.0,2.238,1996863.0,2.238,1996863.0,2.238,2.1,2065092.0
1990,1996218.0,2.206,1996218.0,2.206,1996218.0,2.206,1996218.0,2.206,2.1,2065092.0
1991,1993304.0,2.171,1993304.0,2.171,1993304.0,2.171,1993304.0,2.171,2.1,2065092.0
1992,1988659.0,2.131,1988659.0,2.131,1988659.0,2.131,1988659.0,2.131,2.1,2065092.0
1993,1984024.0,2.085,1984024.0,2.085,1984024.0,2.085,1984024.0,2.085,2.1,2065092.0
1994,1981713.0,2.033,1981713.0,2.033,1981713.0,2.033,1981713.0,2.033,2.1,2065092.0
1995,1983259.0,1.977,1983259.0,1.977,1983259.0,1.977,1983259.0,1.977,2.1,2065092.0
1996,1989441.0,1.919,1989441.0,1.919,1989441.0,1.919,1989441.0,1.919,2.1,2065092.0
1997,1996869.0,1.864,1996869.0,1.864,1996869.0,1.864,1996869.0,1.864,2.1,2065092.0
1998,2007523.0,1.812,2007523.0,1.812,2007523.0,1.812,2007523.0,1.812,2.1,2065092.0
1999,2017142.0,1.765,2017142.0,1.765,2017142.0,1.765,2017142.0,1.765,2.1,2065092.0
2000,2026350.0,1.723,2026350.0,1.723,2026350.0,1.723,2026350.0,1.723,2.1,2065092.0
2001,2034882.0,1.683,2034882.0,1.683,2034882.0,1.683,2034882.0,1.683,2.1,2065092.0
2002,2020157.0,1.644,2020157.0,1.644,2020157.0,1.644,2020157.0,1.644,2.1,2065092.0
2003,2026773.0,1.605,2026773.0,1.605,2026773.0,1.605,2026773.0,1.605,2.1,2065092.0
2004,2032544.0,1.566,2032544.0,1.566,2032544.0,1.566,2032544.0,1.566,2.1,2065092.0
2005,2036855.0,1.5,2036855.0,1.5,2036855.0,1.5,2036855.0,1.5,2.1,2065092.0
2006,2040228.0,1.46,2040228.0,1.46,2040228.0,1.46,2040228.0,1.46,2.1,2065092.0
2007,2043559.0,1.46,2043559.0,1.46,2043559.0,1.46,2043559.0,1.46,2.1,2065092.0
