year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,5263727.0,6.967,5263727.0,6.967,5263727.0,6.967,5263727.0,6.967,2.1,20855724.0
1961,5322269.0,6.979,5322269.0,6.979,5322269.0,6.979,5322269.0,6.979,2.1,20855724.0
1962,5381367.0,6.994,5381367.0,6.994,5381367.0,6.994,5381367.0,6.994,2.1,20855724.0
1963,5441618.0,7.011,5441618.0,7.011,5441618.0,7.011,5441618.0,7.011,2.1,20855724.0
1964,5503750.0,7.03,5503750.0,7.03,5503750.0,7.03,5503750.0,7.03,2.1,20855724.0
1965,5568495.0,7.05,5568495.0,7.05,5568495.0,7.05,5568495.0,7.05,2.1,20855724.0
1966,5635864.0,7.07,5635864.0,7.07,5635864.0,7.07,5635864.0,7.07,2.1,20855724.0
1967,5706192.0,7.089,5706192.0,7.089,5706192.0,7.089,5706192.0,7.089,2.1,20855724.0
1968,5780836.0,7.106,5780836.0,7.106,5780836.0,7.106,5780836.0,7.106,2.1,20855724.0
1969,5861417.0,7.121,5861417.0,7.121,5861417.0,7.121,5861417.0,7.121,2.1,20855724.0
1970,5949042.0,7.133,5949042.0,7.133,5949042.0,7.133,5949042.0,7.133,2.1,20855724.0
1971,6044524.0,7.141,6044524.0,7.141,6044524.0,7.141,6044524.0,7.141,2.1,20855724.0
1972,6147464.0,7.147,6147464.0,7.147,6147464.0,7.147,6147464.0,7.147,2.1,20855724.0
1973,6256191.0,7.151,6256191.0,7.151,6256191.0,7.151,6256191.0,7.151,2.1,20855724.0
1974,6368346.0,7.153,6368346.0,7.153,6368346.0,7.153,6368346.0,7.153,2.1,20855724.0
1975,6482282.0,7.154,6482282.0,7.154,6482282.0,7.154,6482282.0,7.154,2.1,20855724.0
1976,6596721.0,7.154,6596721.0,7.154,6596721.0,7.154,6596721.0,7.154,2.1,20855724.0
1977,6712267.0,7.153,6712267.0,7.153,6712267.0,7.153,6712267.0,7.153,2.1,20855724.0
1978,6831090.0,7.152,6831090.0,7.152,6831090.0,7.152,6831090.0,7.152,2.1,20855724.0
1979,6956409.0,7.151,6956409.0,7.151,6956409.0,7.151,6956409.0,7.151,2.1,20855724.0
1980,7090124.0,7.15,7090124.0,7.15,7090124.0,7.15,7090124.0,7.15,2.1,20855724.0
1981,7234725.0,7.15,7234725.0,7.15,7234725.0,7.15,7234725.0,7.15,2.1,20855724.0
1982,7388670.0,7.15,7388670.0,7.15,7388670.0,7.15,7388670.0,7.15,2.1,20855724.0
1983,7545163.0,7.15,7545163.0,7.15,7545163.0,7.15,7545163.0,7.15,2.1,20855724.0
1984,7694857.0,7.15,7694857.0,7.15,7694857.0,7.15,7694857.0,7.15,2.1,20855724.0
1985,7831888.0,7.151,7831888.0,7.151,7831888.0,7.151,7831888.0,7.151,2.1,20855724.0
1986,7952863.0,7.153,7952863.0,7.153,7952863.0,7.153,7952863.0,7.153,2.1,20855724.0
1987,8062216.0,7.156,8062216.0,7.156,8062216.0,7.156,8062216.0,7.156,2.1,20855724.0
1988,8171525.0,7.161,8171525.0,7.161,8171525.0,7.161,8171525.0,7.161,2.1,20855724.0
1989,8296919.0,7.164,8296919.0,7.164,8296919.0,7.164,8296919.0,7.164,2.1,20855724.0
1990,8449915.0,7.165,8449915.0,7.165,8449915.0,7.165,8449915.0,7.165,2.1,20855724.0
1991,8635528.0,7.159,8635528.0,7.159,8635528.0,7.159,8635528.0,7.159,2.1,20855724.0
1992,8850334.0,7.146,8850334.0,7.146,8850334.0,7.146,8850334.0,7.146,2.1,20855724.0
1993,9087173.0,7.124,9087173.0,7.124,9087173.0,7.124,9087173.0,7.124,2.1,20855724.0
1994,9334893.0,7.094,9334893.0,7.094,9334893.0,7.094,9334893.0,7.094,2.1,20855724.0
1995,9585660.0,7.058,9585660.0,7.058,9585660.0,7.058,9585660.0,7.058,2.1,20855724.0
1996,9837575.0,7.02,9837575.0,7.02,9837575.0,7.02,9837575.0,7.02,2.1,20855724.0
1997,10094363.0,6.983,10094363.0,6.983,10094363.0,6.983,10094363.0,6.983,2.1,20855724.0
1998,10360564.0,6.95,10360564.0,6.95,10360564.0,6.95,10360564.0,6.95,2.1,20855724.0
1999,10642937.0,6.921,10642937.0,6.921,10642937.0,6.921,10642937.0,6.921,2.1,20855724.0
2000,10946448.0,6.897,10946448.0,6.897,10946448.0,6.897,10946448.0,6.897,2.1,20855724.0
2001,11271603.0,6.878,11271603.0,6.878,11271603.0,6.878,11271603.0,6.878,2.1,20855724.0
2002,11616890.0,6.861,11616890.0,6.861,11616890.0,6.861,11616890.0,6.861,2.1,20855724.0
2003,11982692.0,6.842,11982692.0,6.842,11982692.0,6.842,11982692.0,6.842,2.1,20855724.0
2004,12369078.0,6.821,12369078.0,6.821,12369078.0,6.821,12369078.0,6.821,2.1,20855724.0
2005,12775509.0,6.794,12775509.0,6.794,12775509.0,6.794,12775509.0,6.794,2.1,20855724.0
2006,13203378.0,6.76,13203378.0,6.76,13203378.0,6.76,13203378.0,6.76,2.1,20855724.0
2007,13651455.0,6.719,13651455.0,6.719,13651455.0,6.719,13651455.0,6.719,2.1,20855724.0
2008,14113578.0,6.67,14113578.0,6.67,14113578.0,6.67,14113578.0,6.67,2.1,20855724.0
