year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,326550.0,3.62,326550.0,3.62,326550.0,3.62,326550.0,3.62,2.1,516869.0
1961,325250.0,3.27,325250.0,3.27,325250.0,3.27,325250.0,3.27,2.1,516869.0
1962,323900.0,3.24,323900.0,3.24,323900.0,3.24,323900.0,3.24,2.1,516869.0
1963,322550.0,2.9,322550.0,2.9,322550.0,2.9,322550.0,2.9,2.1,516869.0
1964,321250.0,2.79,321250.0,2.79,321250.0,2.79,321250.0,2.79,2.1,516869.0
1965,318800.0,2.52,318800.0,2.52,318800.0,2.52,318800.0,2.52,2.1,516869.0
1966,315200.0,2.33,315200.0,2.33,315200.0,2.33,315200.0,2.33,2.1,516869.0
1967,311550.0,2.24,311550.0,2.24,311550.0,2.24,311550.0,2.24,2.1,516869.0
1968,307900.0,2.12,307900.0,2.12,307900.0,2.12,307900.0,2.12,2.1,516869.0
1969,304300.0,2.02,304300.0,2.02,304300.0,2.02,304300.0,2.02,2.1,516869.0
1970,302650.0,2.03,302650.0,2.03,302650.0,2.03,302650.0,2.03,2.1,516869.0
1971,302700.0,2.06,302700.0,2.06,302700.0,2.06,302700.0,2.06,2.1,516869.0
1972,302450.0,2.01,302450.0,2.01,302450.0,2.01,302450.0,2.01,2.1,516869.0
1973,302200.0,1.65,302200.0,1.65,302200.0,1.65,302200.0,1.65,2.1,516869.0
1974,301996.0,1.64,301996.0,1.64,301996.0,1.64,301996.0,1.64,2.1,516869.0
1975,304222.0,2.27,304222.0,2.27,304222.0,2.27,304222.0,2.27,2.1,516869.0
1976,305774.0,2.21,305774.0,2.21,305774.0,2.21,305774.0,2.21,2.1,516869.0
1977,306970.0,2.14,306970.0,2.14,306970.0,2.14,306970.0,2.14,2.1,516869.0
1978,310182.0,2.05,310182.0,2.05,310182.0,2.05,310182.0,2.05,2.1,516869.0
1979,313342.0,2.1,313342.0,2.1,313342.0,2.1,313342.0,2.1,2.1,516869.0
1980,316645.0,1.99,316645.0,1.99,316645.0,1.99,316645.0,1.99,2.1,516869.0
1981,318982.0,1.87,318982.0,1.87,318982.0,1.87,318982.0,1.87,2.1,516869.0
1982,325898.0,1.9,325898.0,1.9,325898.0,1.9,325898.0,1.9,2.1,516869.0
1983,330524.0,1.92,330524.0,1.92,330524.0,1.92,330524.0,1.92,2.1,516869.0
1984,330593.0,1.95,330593.0,1.95,330593.0,1.95,330593.0,1.95,2.1,516869.0
1985,336452.0,1.95,336452.0,1.95,336452.0,1.95,336452.0,1.95,2.1,516869.0
1986,342121.0,1.93,342121.0,1.93,342121.0,1.93,342121.0,1.93,2.1,516869.0
1987,344485.0,1.97,344485.0,1.97,344485.0,1.97,344485.0,1.97,2.1,516869.0
1988,347325.0,2.06,347325.0,2.06,347325.0,2.06,347325.0,2.06,2.1,516869.0
1989,350722.0,2.1,350722.0,2.1,350722.0,2.1,350722.0,2.1,2.1,516869.0
1990,354170.0,2.02,354170.0,2.02,354170.0,2.02,354170.0,2.02,2.1,516869.0
1991,363845.0,1.99,363845.0,1.99,363845.0,1.99,363845.0,1.99,2.1,516869.0
1992,367618.0,2.07,367618.0,2.07,367618.0,2.07,367618.0,2.07,2.1,516869.0
1993,371308.0,1.96,371308.0,1.96,371308.0,1.96,371308.0,1.96,2.1,516869.0
1994,374797.0,1.84,374797.0,1.84,374797.0,1.84,374797.0,1.84,2.1,516869.0
1995,377419.0,1.77,377419.0,1.77,377419.0,1.77,377419.0,1.77,2.1,516869.0
1996,379905.0,1.99,379905.0,1.99,379905.0,1.99,379905.0,1.99,2.1,516869.0
1997,382791.0,1.93,382791.0,1.93,382791.0,1.93,382791.0,1.93,2.1,516869.0
1998,385287.0,1.84,385287.0,1.84,385287.0,1.84,385287.0,1.84,2.1,516869.0
1999,387578.0,1.73,387578.0,1.73,387578.0,1.73,387578.0,1.73,2.1,516869.0
2000,390087.0,1.68,390087.0,1.68,390087.0,1.68,390087.0,1.68,2.1,516869.0
2001,393028.0,1.48,393028.0,1.48,393028.0,1.48,393028.0,1.48,2.1,516869.0
2002,395969.0,1.45,395969.0,1.45,395969.0,1.45,395969.0,1.45,2.1,516869.0
2003,398582.0,1.48,398582.0,1.48,398582.0,1.48,398582.0,1.48,2.1,516869.0
2004,401268.0,1.4,401268.0,1.4,401268.0,1.4,401268.0,1.4,2.1,516869.0
2005,403834.0,1.38,403834.0,1.38,403834.0,1.38,403834.0,1.38,2.1,516869.0
2006,405308.0,1.36,405308.0,1.36,405308.0,1.36,405308.0,1.36,2.1,516869.0
2007,406724.0,1.35,406724.0,1.35,406724.0,1.35,406724.0,1.35,2.1,516869.0
2008,409379.0,1.43,409379.0,1.43,409379.0,1.43,409379.0,1.43,2.1,516869.0
2009,412477.0,1.42,412477.0,1.42,412477.0,1.42,412477.0,1.42,2.1,516869.0
2010,414508.0,1.36,414508.0,1.36,414508.0,1.36,414508.0,1.36,2.1,516869.0
2011,416268.0,1.45,416268.0,1.45,416268.0,1.45,416268.0,1.45,2.1,516869.0
2012,420028.0,1.42,420028.0,1.42,420028.0,1.42,420028.0,1.42,2.1,516869.0
2013,425967.0,1.36,425967.0,1.36,425967.0,1.36,425967.0,1.36,2.1,516869.0
2014,434558.0,1.38,434558.0,1.38,434558.0,1.38,434558.0,1.38,2.1,516869.0
2015,445053.0,1.37,445053.0,1.37,445053.0,1.37,445053.0,1.37,2.1,516869.0
2016,455356.0,1.37,455356.0,1.37,455356.0,1.37,455356.0,1.37,2.1,516869.0
2017,467999.0,1.26,467999.0,1.26,467999.0,1.26,467999.0,1.26,2.1,516869.0
2018,484630.0,1.23,484630.0,1.23,484630.0,1.23,484630.0,1.23,2.1,516869.0
2019,504062.0,1.14,504062.0,1.14,504062.0,1.14,504062.0,1.14,2.1,516869.0
2020,515332.0,1.13,515332.0,1.13,515332.0,1.13,515332.0,1.13,2.1,516869.0
2021,516869.0,1.13,516869.0,1.13,516869.0,1.13,516869.0,1.13,2.1,516869.0
2022,513922.702,1.111,513908.099,1.106,513904.331,1.104,513980.71,1.13,2.1,516869.0
2023,510919.396,1.091,510876.155,1.082,510865.016,1.079,511092.419,1.13,2.1,516869.0
2024,507860.066,1.073,507774.7,1.058,507752.751,1.055,508204.129,1.13,2.1,516869.0
2025,504745.677,1.054,504605.235,1.036,504569.191,1.031,505315.838,1.13,2.1,516869.0
2026,501577.178,1.036,501369.227,1.013,501315.955,1.007,502427.548,1.13,2.1,516869.0
2027,498355.502,1.018,498068.112,0.991,497994.624,0.985,499539.257,1.13,2.1,516869.0
2028,495081.567,1.0,494703.296,0.97,494606.745,0.962,496650.967,1.13,2.1,516869.0
2029,491756.272,0.983,491276.153,0.949,491153.827,0.94,493762.676,1.13,2.1,516869.0
2030,488380.503,0.966,487788.028,0.929,487637.347,0.919,490874.386,1.13,2.1,516869.0
2031,484955.132,0.95,484240.237,0.909,484058.748,0.898,487986.095,1.13,2.1,516869.0
2032,481481.011,0.933,480634.067,0.889,480419.441,0.878,485097.805,1.13,2.1,516869.0
2033,477958.983,0.917,476970.779,0.87,476720.802,0.858,482209.514,1.13,2.1,516869.0
2034,474389.873,0.901,473251.605,0.851,472964.18,0.838,479321.224,1.13,2.1,516869.0
2035,470774.493,0.886,469477.751,0.833,469150.889,0.819,476432.933,1.13,2.1,516869.0
2036,467113.64,0.871,465650.396,0.815,465282.218,0.801,473544.643,1.13,2.1,516869.0
2037,463408.099,0.856,461770.697,0.797,461359.422,0.783,470656.352,1.13,2.1,516869.0
2038,459658.639,0.841,457839.782,0.78,457383.73,0.765,467768.062,1.13,2.1,516869.0
2039,455866.018,0.826,453858.756,0.763,453356.344,0.747,464879.771,1.13,2.1,516869.0
2040,452030.981,0.812,449828.7,0.747,449278.436,0.73,461991.481,1.13,2.1,516869.0
2041,448154.257,0.798,445750.674,0.73,445151.153,0.714,459103.19,1.13,2.1,516869.0
2042,444236.567,0.784,441625.712,0.715,440975.617,0.698,456214.9,1.13,2.1,516869.0
2043,440278.616,0.771,437454.827,0.699,436752.922,0.682,453326.61,1.13,2.1,516869.0
2044,436281.098,0.757,433239.009,0.684,432484.14,0.666,450438.319,1.13,2.1,516869.0
2045,432244.696,0.744,428979.23,0.669,428170.315,0.651,447550.029,1.13,2.1,516869.0
2046,428170.08,0.732,424676.436,0.655,423812.472,0.636,444661.738,1.13,2.1,516869.0
2047,424057.908,0.719,420331.557,0.641,419411.608,0.622,441773.448,1.13,2.1,516869.0
2048,419908.829,0.707,415945.501,0.627,414968.701,0.608,438885.157,1.13,2.1,516869.0
2049,415723.477,0.694,411519.156,0.613,410484.705,0.594,435996.867,1.13,2.1,516869.0
2050,411502.48,0.682,407053.392,0.6,405960.552,0.581,433108.576,1.13,2.1,516869.0
2051,407246.451,0.671,402549.06,0.587,401397.154,0.567,430220.286,1.13,2.1,516869.0
2052,402955.994,0.659,398006.991,0.575,396795.403,0.555,427331.995,1.13,2.1,516869.0
2053,398631.703,0.648,393428.0,0.562,392156.168,0.542,424443.705,1.13,2.1,516869.0
2054,394274.161,0.637,388812.884,0.55,387480.301,0.53,421555.414,1.13,2.1,516869.0
2055,389883.941,0.626,384162.423,0.538,382768.633,0.518,418667.124,1.13,2.1,516869.0
2056,385461.607,0.615,379477.379,0.527,378021.976,0.506,415778.833,1.13,2.1,516869.0
2057,381007.712,0.604,374758.498,0.515,373241.126,0.494,412890.543,1.13,2.1,516869.0
2058,376522.801,0.594,370006.511,0.504,368426.857,0.483,410002.252,1.13,2.1,516869.0
2059,372007.407,0.584,365222.133,0.493,363579.93,0.472,407113.962,1.13,2.1,516869.0
2060,367462.058,0.573,360406.061,0.483,358701.085,0.461,404225.671,1.13,2.1,516869.0
2061,362887.268,0.564,355558.98,0.472,353791.046,0.451,401337.381,1.13,2.1,516869.0
2062,358283.546,0.554,350681.56,0.462,348850.522,0.441,398449.09,1.13,2.1,516869.0
2063,353651.391,0.544,345774.455,0.452,343880.205,0.431,395560.8,1.13,2.1,516869.0
2064,348991.292,0.535,340838.305,0.442,338880.771,0.421,392672.51,1.13,2.1,516869.0
2065,344303.732,0.526,335873.738,0.433,333852.881,0.411,389784.219,1.13,2.1,516869.0
2066,339589.184,0.517,330881.366,0.423,328797.182,0.402,386895.929,1.13,2.1,516869.0
2067,334848.112,0.508,325861.79,0.414,323714.303,0.393,384007.638,1.13,2.1,516869.0
2068,330080.975,0.499,320815.597,0.405,318604.863,0.384,381119.348,1.13,2.1,516869.0
2069,325288.222,0.49,315743.36,0.397,313469.463,0.375,378231.057,1.13,2.1,516869.0
2070,320470.294,0.482,310645.643,0.388,308308.695,0.367,375342.767,1.13,2.1,516869.0
2071,315627.625,0.474,305522.995,0.38,303123.132,0.358,372454.476,1.13,2.1,516869.0
2072,310760.642,0.465,300375.954,0.371,297913.339,0.35,369566.186,1.13,2.1,516869.0
2073,305869.765,0.457,295205.046,0.363,292679.865,0.342,366677.895,1.13,2.1,516869.0
2074,300955.404,0.45,290010.787,0.356,287423.248,0.335,363789.605,1.13,2.1,516869.0
2075,296017.965,0.442,284793.68,0.348,282144.013,0.327,360901.314,1.13,2.1,516869.0
2076,291057.846,0.434,279554.219,0.34,276842.673,0.32,358013.024,1.13,2.1,516869.0
2077,286075.438,0.427,274292.885,0.333,271519.731,0.312,355124.733,1.13,2.1,516869.0
2078,281071.124,0.419,269010.151,0.326,266175.676,0.305,352236.443,1.13,2.1,516869.0
2079,276045.283,0.412,263706.479,0.319,260810.989,0.298,349348.152,1.13,2.1,516869.0
2080,270998.286,0.405,258382.321,0.312,255426.136,0.292,346459.862,1.13,2.1,516869.0
2081,265930.498,0.398,253038.118,0.305,250021.577,0.285,343571.571,1.13,2.1,516869.0
2082,260842.277,0.391,247674.303,0.299,244597.758,0.278,340683.281,1.13,2.1,516869.0
2083,255733.974,0.384,242291.299,0.292,239155.117,0.272,337794.99,1.13,2.1,516869.0
2084,250605.937,0.378,236889.521,0.286,233694.081,0.266,334906.7,1.13,2.1,516869.0
2085,245458.506,0.371,231469.374,0.28,228215.067,0.26,332018.41,1.13,2.1,516869.0
2086,240292.015,0.365,226031.253,0.274,222718.483,0.254,329130.119,1.13,2.1,516869.0
2087,235106.792,0.359,220575.548,0.268,217204.729,0.248,326241.829,1.13,2.1,516869.0
2088,229903.161,0.352,215102.637,0.262,211674.194,0.243,323353.538,1.13,2.1,516869.0
2089,224681.439,0.346,209612.892,0.256,206127.259,0.237,320465.248,1.13,2.1,516869.0
2090,219441.937,0.34,204106.675,0.251,200564.296,0.232,317576.957,1.13,2.1,516869.0
2091,214184.963,0.335,198584.343,0.245,194985.67,0.226,314688.667,1.13,2.1,516869.0
2092,208910.818,0.329,193046.243,0.24,189391.735,0.221,311800.376,1.13,2.1,516869.0
2093,203619.796,0.323,187492.716,0.235,183782.839,0.216,308912.086,1.13,2.1,516869.0
2094,198312.191,0.318,181924.094,0.23,178159.323,0.211,306023.795,1.13,2.1,516869.0
2095,192988.287,0.312,176340.703,0.225,172521.517,0.207,303135.505,1.13,2.1,516869.0
2096,187648.365,0.307,170742.862,0.22,166869.746,0.202,300247.214,1.13,2.1,516869.0
2097,182292.701,0.301,165130.883,0.215,161204.327,0.197,297358.924,1.13,2.1,516869.0
2098,176921.568,0.296,159505.07,0.211,155525.57,0.193,294470.633,1.13,2.1,516869.0
2099,171535.231,0.291,153865.723,0.206,149833.778,0.188,291582.343,1.13,2.1,516869.0
2100,166133.953,0.286,148213.133,0.202,144129.246,0.184,288694.052,1.13,2.1,516869.0
2101,160717.991,0.281,142547.586,0.197,138412.264,0.18,285805.762,1.13,2.1,516869.0
2102,155287.599,0.276,136869.362,0.193,132683.115,0.176,282917.471,1.13,2.1,516869.0
2103,149843.025,0.272,131178.735,0.189,126942.074,0.172,280029.181,1.13,2.1,516869.0
2104,144384.514,0.267,125475.971,0.185,121189.412,0.168,277140.89,1.13,2.1,516869.0
