year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,21736947.0,6.051,21736947.0,6.051,21736947.0,6.051,21736947.0,6.051,2.1,54806014.0
1961,22211626.0,6.073,22211626.0,6.073,22211626.0,6.073,22211626.0,6.073,2.1,54806014.0
1962,22697664.0,6.096,22697664.0,6.096,22697664.0,6.096,22697664.0,6.096,2.1,54806014.0
1963,23198238.0,6.116,23198238.0,6.116,23198238.0,6.116,23198238.0,6.116,2.1,54806014.0
1964,23717785.0,6.13,23717785.0,6.13,23717785.0,6.13,23717785.0,6.13,2.1,54806014.0
1965,24259356.0,6.136,24259356.0,6.136,24259356.0,6.136,24259356.0,6.136,2.1,54806014.0
1966,24823937.0,6.13,24823937.0,6.13,24823937.0,6.13,24823937.0,6.13,2.1,54806014.0
1967,25410054.0,6.111,25410054.0,6.111,25410054.0,6.111,25410054.0,6.111,2.1,54806014.0
1968,26015239.0,6.077,26015239.0,6.077,26015239.0,6.077,26015239.0,6.077,2.1,54806014.0
1969,26635852.0,6.029,26635852.0,6.029,26635852.0,6.029,26635852.0,6.029,2.1,54806014.0
1970,27269063.0,5.964,27269063.0,5.964,27269063.0,5.964,27269063.0,5.964,2.1,54806014.0
1971,27913749.0,5.884,27913749.0,5.884,27913749.0,5.884,27913749.0,5.884,2.1,54806014.0
1972,28570093.0,5.791,28570093.0,5.791,28570093.0,5.791,28570093.0,5.791,2.1,54806014.0
1973,29238168.0,5.688,29238168.0,5.688,29238168.0,5.688,29238168.0,5.688,2.1,54806014.0
1974,29918469.0,5.576,29918469.0,5.576,29918469.0,5.576,29918469.0,5.576,2.1,54806014.0
1975,30611093.0,5.46,30611093.0,5.46,30611093.0,5.46,30611093.0,5.46,2.1,54806014.0
1976,31314347.0,5.344,31314347.0,5.344,31314347.0,5.344,31314347.0,5.344,2.1,54806014.0
1977,32026748.0,5.23,32026748.0,5.23,32026748.0,5.23,32026748.0,5.23,2.1,54806014.0
1978,32748782.0,5.117,32748782.0,5.117,32748782.0,5.117,32748782.0,5.117,2.1,54806014.0
1979,33481397.0,5.006,33481397.0,5.006,33481397.0,5.006,33481397.0,5.006,2.1,54806014.0
1980,34224316.0,4.893,34224316.0,4.893,34224316.0,4.893,34224316.0,4.893,2.1,54806014.0
1981,34976465.0,4.773,34976465.0,4.773,34976465.0,4.773,34976465.0,4.773,2.1,54806014.0
1982,35734273.0,4.644,35734273.0,4.644,35734273.0,4.644,35734273.0,4.644,2.1,54806014.0
1983,36491804.0,4.502,36491804.0,4.502,36491804.0,4.502,36491804.0,4.502,2.1,54806014.0
1984,37241530.0,4.351,37241530.0,4.351,37241530.0,4.351,37241530.0,4.351,2.1,54806014.0
1985,37977087.0,4.191,37977087.0,4.191,37977087.0,4.191,37977087.0,4.191,2.1,54806014.0
1986,38698484.0,4.028,38698484.0,4.028,38698484.0,4.028,38698484.0,4.028,2.1,54806014.0
1987,39404350.0,3.867,39404350.0,3.867,39404350.0,3.867,39404350.0,3.867,2.1,54806014.0
1988,40085653.0,3.714,40085653.0,3.714,40085653.0,3.714,40085653.0,3.714,2.1,54806014.0
1989,40731439.0,3.573,40731439.0,3.573,40731439.0,3.573,40731439.0,3.573,2.1,54806014.0
1990,41335188.0,3.447,41335188.0,3.447,41335188.0,3.447,41335188.0,3.447,2.1,54806014.0
1991,41890192.0,3.338,41890192.0,3.338,41890192.0,3.338,41890192.0,3.338,2.1,54806014.0
1992,42401686.0,3.244,42401686.0,3.244,42401686.0,3.244,42401686.0,3.244,2.1,54806014.0
1993,42889992.0,3.164,42889992.0,3.164,42889992.0,3.164,42889992.0,3.164,2.1,54806014.0
1994,43383421.0,3.097,43383421.0,3.097,43383421.0,3.097,43383421.0,3.097,2.1,54806014.0
1995,43901598.0,3.042,43901598.0,3.042,43901598.0,3.042,43901598.0,3.042,2.1,54806014.0
1996,44452203.0,2.998,44452203.0,2.998,44452203.0,2.998,44452203.0,2.998,2.1,54806014.0
1997,45027223.0,2.963,45027223.0,2.963,45027223.0,2.963,45027223.0,2.963,2.1,54806014.0
1998,45611220.0,2.933,45611220.0,2.933,45611220.0,2.933,45611220.0,2.933,2.1,54806014.0
1999,46181075.0,2.906,46181075.0,2.906,46181075.0,2.906,46181075.0,2.906,2.1,54806014.0
