year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,97553136.0,6.970435781,97553136.0,6.970435781,97553136.0,6.970435781,97553136.0,6.970435781,2.1,403051615.0
1961,100147125.0,6.987415175,100147125.0,6.987415175,100147125.0,6.987415175,100147125.0,6.987415175,2.1,403051615.0
1962,102808039.0,7.001505705,102808039.0,7.001505705,102808039.0,7.001505705,102808039.0,7.001505705,2.1,403051615.0
1963,105546241.0,7.010319961,105546241.0,7.010319961,105546241.0,7.010319961,105546241.0,7.010319961,2.1,403051615.0
1964,108376349.0,7.011677031,108376349.0,7.011677031,108376349.0,7.011677031,108376349.0,7.011677031,2.1,403051615.0
1965,111307810.0,7.003482159,111307810.0,7.003482159,111307810.0,7.003482159,111307810.0,7.003482159,2.1,403051615.0
1966,114351844.0,6.982686089,114351844.0,6.982686089,114351844.0,6.982686089,114351844.0,6.982686089,2.1,403051615.0
1967,117503838.0,6.950226171,117503838.0,6.950226171,117503838.0,6.950226171,117503838.0,6.950226171,2.1,403051615.0
1968,120739199.0,6.907286214,120739199.0,6.907286214,120739199.0,6.907286214,120739199.0,6.907286214,2.1,403051615.0
1969,124023275.0,6.85399072,124023275.0,6.85399072,124023275.0,6.85399072,124023275.0,6.85399072,2.1,403051615.0
1970,127335093.0,6.793233743,127335093.0,6.793233743,127335093.0,6.793233743,127335093.0,6.793233743,2.1,403051615.0
1971,130670746.0,6.727175414,130670746.0,6.727175414,130670746.0,6.727175414,130670746.0,6.727175414,2.1,403051615.0
1972,134051048.0,6.660044398,134051048.0,6.660044398,134051048.0,6.660044398,134051048.0,6.660044398,2.1,403051615.0
1973,137511232.0,6.594978343,137511232.0,6.594978343,137511232.0,6.594978343,137511232.0,6.594978343,2.1,403051615.0
1974,141099598.0,6.533675506,141099598.0,6.533675506,141099598.0,6.533675506,141099598.0,6.533675506,2.1,403051615.0
1975,144855662.0,6.478701333,144855662.0,6.478701333,144855662.0,6.478701333,144855662.0,6.478701333,2.1,403051615.0
1976,148781943.0,6.430912517,148781943.0,6.430912517,148781943.0,6.430912517,148781943.0,6.430912517,2.1,403051615.0
1977,152881163.0,6.388778209,152881163.0,6.388778209,152881163.0,6.388778209,152881163.0,6.388778209,2.1,403051615.0
1978,157192250.0,6.348696553,157192250.0,6.348696553,157192250.0,6.348696553,157192250.0,6.348696553,2.1,403051615.0
1979,161761403.0,6.30629168,161761403.0,6.30629168,161761403.0,6.30629168,161761403.0,6.30629168,2.1,403051615.0
1980,166616386.0,6.258611214,166616386.0,6.258611214,166616386.0,6.258611214,166616386.0,6.258611214,2.1,403051615.0
1981,171766018.0,6.201325316,171766018.0,6.201325316,171766018.0,6.201325316,171766018.0,6.201325316,2.1,403051615.0
1982,177185651.0,6.130286627,177185651.0,6.130286627,177185651.0,6.130286627,177185651.0,6.130286627,2.1,403051615.0
1983,182825252.0,6.042954736,182825252.0,6.042954736,182825252.0,6.042954736,182825252.0,6.042954736,2.1,403051615.0
1984,188614684.0,5.936701906,188614684.0,5.936701906,188614684.0,5.936701906,188614684.0,5.936701906,2.1,403051615.0
1985,194494177.0,5.808773318,194494177.0,5.808773318,194494177.0,5.808773318,194494177.0,5.808773318,2.1,403051615.0
1986,200443463.0,5.654958554,200443463.0,5.654958554,200443463.0,5.654958554,200443463.0,5.654958554,2.1,403051615.0
1987,206447529.0,5.479196159,206447529.0,5.479196159,206447529.0,5.479196159,206447529.0,5.479196159,2.1,403051615.0
