year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,480579.0,3.603,480579.0,3.603,480579.0,3.603,480579.0,3.603,2.1,620173.0
1961,491140.0,3.522,491140.0,3.522,491140.0,3.522,491140.0,3.522,2.1,620173.0
1962,502558.0,3.436,502558.0,3.436,502558.0,3.436,502558.0,3.436,2.1,620173.0
1963,513409.0,3.344,513409.0,3.344,513409.0,3.344,513409.0,3.344,2.1,620173.0
1964,521753.0,3.246,521753.0,3.246,521753.0,3.246,521753.0,3.246,2.1,620173.0
1965,526327.0,3.145,526327.0,3.145,526327.0,3.145,526327.0,3.145,2.1,620173.0
1966,526419.0,3.046,526419.0,3.046,526419.0,3.046,526419.0,3.046,2.1,620173.0
1967,522796.0,2.953,522796.0,2.953,522796.0,2.953,522796.0,2.953,2.1,620173.0
1968,517481.0,2.871,517481.0,2.871,517481.0,2.871,517481.0,2.871,2.1,620173.0
1969,513340.0,2.8,513340.0,2.8,513340.0,2.8,513340.0,2.8,2.1,620173.0
1970,512407.0,2.737,512407.0,2.737,512407.0,2.737,512407.0,2.737,2.1,620173.0
1971,515449.0,2.68,515449.0,2.68,515449.0,2.68,515449.0,2.68,2.1,620173.0
1972,521785.0,2.624,521785.0,2.624,521785.0,2.624,521785.0,2.624,2.1,620173.0
1973,530220.0,2.567,530220.0,2.567,530220.0,2.567,530220.0,2.567,2.1,620173.0
1974,538902.0,2.507,538902.0,2.507,538902.0,2.507,538902.0,2.507,2.1,620173.0
1975,546487.0,2.447,546487.0,2.447,546487.0,2.447,546487.0,2.447,2.1,620173.0
1976,552562.0,2.391,552562.0,2.391,552562.0,2.391,552562.0,2.391,2.1,620173.0
1977,557576.0,2.341,557576.0,2.341,557576.0,2.341,557576.0,2.341,2.1,620173.0
1978,562065.0,2.3,562065.0,2.3,562065.0,2.3,562065.0,2.3,2.1,620173.0
1979,566888.0,2.268,566888.0,2.268,566888.0,2.268,566888.0,2.268,2.1,620173.0
1980,572608.0,2.243,572608.0,2.243,572608.0,2.243,572608.0,2.243,2.1,620173.0
1981,579445.0,2.224,579445.0,2.224,579445.0,2.224,579445.0,2.224,2.1,620173.0
1982,587001.0,2.208,587001.0,2.208,587001.0,2.208,587001.0,2.208,2.1,620173.0
1983,594506.0,2.192,594506.0,2.192,594506.0,2.192,594506.0,2.192,2.1,620173.0
1984,600884.0,2.175,600884.0,2.175,600884.0,2.175,600884.0,2.175,2.1,620173.0
1985,605398.0,2.156,605398.0,2.156,605398.0,2.156,605398.0,2.156,2.1,620173.0
1986,607711.0,2.137,607711.0,2.137,607711.0,2.137,607711.0,2.137,2.1,620173.0
1987,608144.0,2.12,608144.0,2.12,608144.0,2.12,608144.0,2.12,2.1,620173.0
1988,607413.0,2.104,607413.0,2.104,607413.0,2.104,607413.0,2.104,2.1,620173.0
1989,606571.0,2.091,606571.0,2.091,606571.0,2.091,606571.0,2.091,2.1,620173.0
1990,606372.0,2.078,606372.0,2.078,606372.0,2.078,606372.0,2.078,2.1,620173.0
1991,607105.0,2.063,607105.0,2.063,607105.0,2.063,607105.0,2.063,2.1,620173.0
1992,608516.0,2.046,608516.0,2.046,608516.0,2.046,608516.0,2.046,2.1,620173.0
1993,610170.0,2.025,610170.0,2.025,610170.0,2.025,610170.0,2.025,2.1,620173.0
1994,611389.0,2.002,611389.0,2.002,611389.0,2.002,611389.0,2.002,2.1,620173.0
1995,611712.0,1.977,611712.0,1.977,611712.0,1.977,611712.0,1.977,2.1,620173.0
1996,611003.0,1.951,611003.0,1.951,611003.0,1.951,611003.0,1.951,2.1,620173.0
1997,609520.0,1.927,609520.0,1.927,609520.0,1.927,609520.0,1.927,2.1,620173.0
1998,607662.0,1.906,607662.0,1.906,607662.0,1.906,607662.0,1.906,2.1,620173.0
1999,606001.0,1.888,606001.0,1.888,606001.0,1.888,606001.0,1.888,2.1,620173.0
2000,604950.0,1.875,604950.0,1.875,604950.0,1.875,604950.0,1.875,2.1,620173.0
2001,607389.0,1.865,607389.0,1.865,607389.0,1.865,607389.0,1.865,2.1,620173.0
2002,609828.0,1.858,609828.0,1.858,609828.0,1.858,609828.0,1.858,2.1,620173.0
2003,612267.0,1.852,612267.0,1.852,612267.0,1.852,612267.0,1.852,2.1,620173.0
2004,613353.0,1.847,613353.0,1.847,613353.0,1.847,613353.0,1.847,2.1,620173.0
2005,614261.0,1.69,614261.0,1.69,614261.0,1.69,614261.0,1.69,2.1,620173.0
2006,615025.0,1.73,615025.0,1.73,615025.0,1.73,615025.0,1.73,2.1,620173.0
2007,615875.0,1.8,615875.0,1.8,615875.0,1.8,615875.0,1.8,2.1,620173.0
2008,616969.0,1.89,616969.0,1.89,616969.0,1.89,616969.0,1.89,2.1,620173.0
2009,618294.0,1.98,618294.0,1.98,618294.0,1.98,618294.0,1.98,2.1,620173.0
2010,619428.0,1.7,619428.0,1.7,619428.0,1.7,619428.0,1.7,2.1,620173.0
2011,620079.0,1.65,620079.0,1.65,620079.0,1.65,620079.0,1.65,2.1,620173.0
2012,620601.0,1.72,620601.0,1.72,620601.0,1.72,620601.0,1.72,2.1,620173.0
2013,621207.0,1.73,621207.0,1.73,621207.0,1.73,621207.0,1.73,2.1,620173.0
2014,621810.0,1.75,621810.0,1.75,621810.0,1.75,621810.0,1.75,2.1,620173.0
2015,622159.0,1.74,622159.0,1.74,622159.0,1.74,622159.0,1.74,2.1,620173.0
2016,622303.0,1.79,622303.0,1.79,622303.0,1.79,622303.0,1.79,2.1,620173.0
2017,622373.0,1.78,622373.0,1.78,622373.0,1.78,622373.0,1.78,2.1,620173.0
2018,622227.0,1.76,622227.0,1.76,622227.0,1.76,622227.0,1.76,2.1,620173.0
2019,622028.0,1.77,622028.0,1.77,622028.0,1.77,622028.0,1.77,2.1,620173.0
2020,621306.0,1.75,621306.0,1.75,621306.0,1.75,621306.0,1.75,2.1,620173.0
2021,620173.0,1.75,620173.0,1.75,620173.0,1.75,620173.0,1.75,2.1,620173.0
2022,618731.661,1.729,618776.783,1.741,618793.526,1.745,618811.833,1.75,2.1,620173.0
2023,617211.093,1.709,617345.697,1.732,617395.793,1.741,617450.667,1.75,2.1,620173.0
2024,615612.23,1.689,615879.921,1.723,615979.851,1.736,616089.5,1.75,2.1,620173.0
2025,613935.995,1.669,614379.633,1.714,614545.748,1.731,614728.333,1.75,2.1,620173.0
2026,612183.299,1.649,612845.012,1.705,613093.534,1.727,613367.167,1.75,2.1,620173.0
2027,610355.042,1.63,611276.234,1.697,611623.258,1.722,612006.0,1.75,2.1,620173.0
2028,608452.114,1.611,609673.476,1.688,610134.967,1.717,610644.833,1.75,2.1,620173.0
2029,606475.396,1.592,608036.911,1.679,608628.71,1.713,609283.667,1.75,2.1,620173.0
2030,604425.756,1.573,606366.715,1.671,607104.536,1.708,607922.5,1.75,2.1,620173.0
2031,602304.054,1.554,604663.06,1.662,605562.493,1.703,606561.333,1.75,2.1,620173.0
2032,600111.138,1.536,602926.119,1.653,604002.628,1.699,605200.167,1.75,2.1,620173.0
2033,597847.848,1.518,601156.063,1.645,602424.991,1.694,603839.0,1.75,2.1,620173.0
2034,595515.012,1.5,599353.063,1.636,600829.628,1.69,602477.833,1.75,2.1,620173.0
