year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,955514.0,6.953,955514.0,6.953,955514.0,6.953,955514.0,6.953,2.1,3329282.0
1961,982181.0,7.168,982181.0,7.168,982181.0,7.168,982181.0,7.168,2.1,3329282.0
1962,1011327.0,7.347,1011327.0,7.347,1011327.0,7.347,1011327.0,7.347,2.1,3329282.0
1963,1042387.0,7.477,1042387.0,7.477,1042387.0,7.477,1042387.0,7.477,2.1,3329282.0
1964,1074518.0,7.558,1074518.0,7.558,1074518.0,7.558,1074518.0,7.558,2.1,3329282.0
1965,1107121.0,7.593,1107121.0,7.593,1107121.0,7.593,1107121.0,7.593,2.1,3329282.0
1966,1139962.0,7.599,1139962.0,7.599,1139962.0,7.599,1139962.0,7.599,2.1,3329282.0
1967,1173186.0,7.591,1173186.0,7.591,1173186.0,7.591,1173186.0,7.591,2.1,3329282.0
1968,1207104.0,7.584,1207104.0,7.584,1207104.0,7.584,1207104.0,7.584,2.1,3329282.0
1969,1242213.0,7.578,1242213.0,7.578,1242213.0,7.578,1242213.0,7.578,2.1,3329282.0
1970,1278819.0,7.569,1278819.0,7.569,1278819.0,7.569,1278819.0,7.569,2.1,3329282.0
1971,1317042.0,7.546,1317042.0,7.546,1317042.0,7.546,1317042.0,7.546,2.1,3329282.0
1972,1356673.0,7.497,1356673.0,7.497,1356673.0,7.497,1356673.0,7.497,2.1,3329282.0
1973,1397305.0,7.413,1397305.0,7.413,1397305.0,7.413,1397305.0,7.413,2.1,3329282.0
1974,1438421.0,7.294,1438421.0,7.294,1438421.0,7.294,1438421.0,7.294,2.1,3329282.0
1975,1479646.0,7.144,1479646.0,7.144,1479646.0,7.144,1479646.0,7.144,2.1,3329282.0
1976,1520868.0,6.969,1520868.0,6.969,1520868.0,6.969,1520868.0,6.969,2.1,3329282.0
1977,1562207.0,6.78,1562207.0,6.78,1562207.0,6.78,1562207.0,6.78,2.1,3329282.0
1978,1603910.0,6.587,1603910.0,6.587,1603910.0,6.587,1603910.0,6.587,2.1,3329282.0
1979,1646290.0,6.395,1646290.0,6.395,1646290.0,6.395,1646290.0,6.395,2.1,3329282.0
1980,1689622.0,6.209,1689622.0,6.209,1689622.0,6.209,1689622.0,6.209,2.1,3329282.0
1981,1733475.0,6.033,1733475.0,6.033,1733475.0,6.033,1733475.0,6.033,2.1,3329282.0
1982,1777727.0,5.864,1777727.0,5.864,1777727.0,5.864,1777727.0,5.864,2.1,3329282.0
1983,1823214.0,5.696,1823214.0,5.696,1823214.0,5.696,1823214.0,5.696,2.1,3329282.0
1984,1871089.0,5.526,1871089.0,5.526,1871089.0,5.526,1871089.0,5.526,2.1,3329282.0
1985,1921889.0,5.345,1921889.0,5.345,1921889.0,5.345,1921889.0,5.345,2.1,3329282.0
1986,1976313.0,5.14,1976313.0,5.14,1976313.0,5.14,1976313.0,5.14,2.1,3329282.0
1987,2033351.0,4.906,2033351.0,4.906,2033351.0,4.906,2033351.0,4.906,2.1,3329282.0
1988,2089709.0,4.644,2089709.0,4.644,2089709.0,4.644,2089709.0,4.644,2.1,3329282.0
1989,2141005.0,4.356,2141005.0,4.356,2141005.0,4.356,2141005.0,4.356,2.1,3329282.0
1990,2184139.0,4.052,2184139.0,4.052,2184139.0,4.052,2184139.0,4.052,2.1,3329282.0
1991,2217918.0,3.746,2217918.0,3.746,2217918.0,3.746,2217918.0,3.746,2.1,3329282.0
1992,2243495.0,3.45,2243495.0,3.45,2243495.0,3.45,2243495.0,3.45,2.1,3329282.0
1993,2263196.0,3.18,2263196.0,3.18,2263196.0,3.18,2263196.0,3.18,2.1,3329282.0
1994,2280475.0,2.941,2280475.0,2.941,2280475.0,2.941,2280475.0,2.941,2.1,3329282.0
1995,2298017.0,2.738,2298017.0,2.738,2298017.0,2.738,2298017.0,2.738,2.1,3329282.0
1996,2316571.0,2.57,2316571.0,2.57,2316571.0,2.57,2316571.0,2.57,2.1,3329282.0
1997,2335744.0,2.429,2335744.0,2.429,2335744.0,2.429,2335744.0,2.429,2.1,3329282.0
1998,2355667.0,2.31,2355667.0,2.31,2355667.0,2.31,2355667.0,2.31,2.1,3329282.0
1999,2376228.0,2.214,2376228.0,2.214,2376228.0,2.214,2376228.0,2.214,2.1,3329282.0
2000,2397417.0,2.141,2397417.0,2.141,2397417.0,2.141,2397417.0,2.141,2.1,3329282.0
