year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,9980.0,,9980.0,,9980.0,,9980.0,,2.1,57910.0
1961,10243.0,,10243.0,,10243.0,,10243.0,,2.1,57910.0
1962,10438.0,,10438.0,,10438.0,,10438.0,,2.1,57910.0
1963,10591.0,,10591.0,,10591.0,,10591.0,,2.1,57910.0
1964,10780.0,,10780.0,,10780.0,,10780.0,,2.1,57910.0
1965,11023.0,,11023.0,,11023.0,,11023.0,,2.1,57910.0
1966,11341.0,,11341.0,,11341.0,,11341.0,,2.1,57910.0
1967,11723.0,,11723.0,,11723.0,,11723.0,,2.1,57910.0
1968,12135.0,,12135.0,,12135.0,,12135.0,,2.1,57910.0
1969,12577.0,,12577.0,,12577.0,,12577.0,,2.1,57910.0
1970,13000.0,,13000.0,,13000.0,,13000.0,,2.1,57910.0
1971,13423.0,,13423.0,,13423.0,,13423.0,,2.1,57910.0
1972,13884.0,,13884.0,,13884.0,,13884.0,,2.1,57910.0
1973,14322.0,,14322.0,,14322.0,,14322.0,,2.1,57910.0
1974,14672.0,,14672.0,,14672.0,,14672.0,,2.1,57910.0
1975,14917.0,,14917.0,,14917.0,,14917.0,,2.1,57910.0
1976,15024.0,,15024.0,,15024.0,,15024.0,,2.1,57910.0
1977,15049.0,,15049.0,,15049.0,,15049.0,,2.1,57910.0
1978,15167.0,,15167.0,,15167.0,,15167.0,,2.1,57910.0
1979,15640.0,,15640.0,,15640.0,,15640.0,,2.1,57910.0
1980,16633.0,,16633.0,,16633.0,,16633.0,,2.1,57910.0
1981,18168.0,,18168.0,,18168.0,,18168.0,,2.1,57910.0
1982,20163.0,,20163.0,,20163.0,,20163.0,,2.1,57910.0
1983,22622.0,,22622.0,,22622.0,,22622.0,,2.1,57910.0
1984,25496.0,,25496.0,,25496.0,,25496.0,,2.1,57910.0
1985,28719.0,,28719.0,,28719.0,,28719.0,,2.1,57910.0
1986,32377.0,,32377.0,,32377.0,,32377.0,,2.1,57910.0
