year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,7184870.0,6.436,7184870.0,6.436,7184870.0,6.436,7184870.0,6.436,2.1,32163045.0
1961,7342117.0,6.481,7342117.0,6.481,7342117.0,6.481,7342117.0,6.481,2.1,32163045.0
1962,7507309.0,6.528,7507309.0,6.528,7507309.0,6.528,7507309.0,6.528,2.1,32163045.0
1963,7679465.0,6.574,7679465.0,6.574,7679465.0,6.574,7679465.0,6.574,2.1,32163045.0
1964,7857107.0,6.617,7857107.0,6.617,7857107.0,6.617,7857107.0,6.617,2.1,32163045.0
1965,8039217.0,6.653,8039217.0,6.653,8039217.0,6.653,8039217.0,6.653,2.1,32163045.0
1966,8225919.0,6.681,8225919.0,6.681,8225919.0,6.681,8225919.0,6.681,2.1,32163045.0
1967,8417698.0,6.702,8417698.0,6.702,8417698.0,6.702,8417698.0,6.702,2.1,32163045.0
1968,8614445.0,6.715,8614445.0,6.715,8614445.0,6.715,8614445.0,6.715,2.1,32163045.0
1969,8816056.0,6.719,8816056.0,6.719,8816056.0,6.719,8816056.0,6.719,2.1,32163045.0
1970,9022747.0,6.716,9022747.0,6.716,9022747.0,6.716,9022747.0,6.716,2.1,32163045.0
1971,9232655.0,6.706,9232655.0,6.706,9232655.0,6.706,9232655.0,6.706,2.1,32163045.0
1972,9446235.0,6.69,9446235.0,6.69,9446235.0,6.69,9446235.0,6.69,2.1,32163045.0
1973,9668655.0,6.67,9668655.0,6.67,9668655.0,6.67,9668655.0,6.67,2.1,32163045.0
1974,9906963.0,6.647,9906963.0,6.647,9906963.0,6.647,9906963.0,6.647,2.1,32163045.0
1975,10165216.0,6.622,10165216.0,6.622,10165216.0,6.622,10165216.0,6.622,2.1,32163045.0
1976,10443954.0,6.595,10443954.0,6.595,10443954.0,6.595,10443954.0,6.595,2.1,32163045.0
1977,10738534.0,6.565,10738534.0,6.565,10738534.0,6.565,10738534.0,6.565,2.1,32163045.0
1978,11041206.0,6.535,11041206.0,6.535,11041206.0,6.535,11041206.0,6.535,2.1,32163045.0
1979,11341405.0,6.504,11341405.0,6.504,11341405.0,6.504,11341405.0,6.504,2.1,32163045.0
1980,11630194.0,6.474,11630194.0,6.474,11630194.0,6.474,11630194.0,6.474,2.1,32163045.0
1981,11913085.0,6.445,11913085.0,6.445,11913085.0,6.445,11913085.0,6.445,2.1,32163045.0
1982,12189817.0,6.42,12189817.0,6.42,12189817.0,6.42,12189817.0,6.42,2.1,32163045.0
1983,12439773.0,6.396,12439773.0,6.396,12439773.0,6.396,12439773.0,6.396,2.1,32163045.0
1984,12636120.0,6.375,12636120.0,6.375,12636120.0,6.375,12636120.0,6.375,2.1,32163045.0
1985,12764385.0,6.354,12764385.0,6.354,12764385.0,6.354,12764385.0,6.354,2.1,32163045.0
1986,12808566.0,6.332,12808566.0,6.332,12808566.0,6.332,12808566.0,6.332,2.1,32163045.0
1987,12786353.0,6.308,12786353.0,6.308,12786353.0,6.308,12786353.0,6.308,2.1,32163045.0
1988,12758003.0,6.281,12758003.0,6.281,12758003.0,6.281,12758003.0,6.281,2.1,32163045.0
1989,12805950.0,6.248,12805950.0,6.248,12805950.0,6.248,12805950.0,6.248,2.1,32163045.0
1990,12987292.0,6.211,12987292.0,6.211,12987292.0,6.211,12987292.0,6.211,2.1,32163045.0
1991,13328029.0,6.167,13328029.0,6.167,13328029.0,6.167,13328029.0,6.167,2.1,32163045.0
1992,13805999.0,6.119,13805999.0,6.119,13805999.0,6.119,13805999.0,6.119,2.1,32163045.0
1993,14370950.0,6.067,14370950.0,6.067,14370950.0,6.067,14370950.0,6.067,2.1,32163045.0
1994,14948050.0,6.015,14948050.0,6.015,14948050.0,6.015,14948050.0,6.015,2.1,32163045.0
1995,15483277.0,5.965,15483277.0,5.965,15483277.0,5.965,15483277.0,5.965,2.1,32163045.0
1996,15960445.0,5.921,15960445.0,5.921,15960445.0,5.921,15960445.0,5.921,2.1,32163045.0
1997,16397175.0,5.886,16397175.0,5.886,16397175.0,5.886,16397175.0,5.886,2.1,32163045.0
1998,16813946.0,5.859,16813946.0,5.859,16813946.0,5.859,16813946.0,5.859,2.1,32163045.0
1999,17244176.0,5.84,17244176.0,5.84,17244176.0,5.84,17244176.0,5.84,2.1,32163045.0
2000,17711925.0,5.826,17711925.0,5.826,17711925.0,5.826,17711925.0,5.826,2.1,32163045.0
2001,18221884.0,5.813,18221884.0,5.813,18221884.0,5.813,18221884.0,5.813,2.1,32163045.0
2002,18764147.0,5.794,18764147.0,5.794,18764147.0,5.794,18764147.0,5.794,2.1,32163045.0
2003,19331097.0,5.768,19331097.0,5.768,19331097.0,5.768,19331097.0,5.768,2.1,32163045.0
2004,19910549.0,5.733,19910549.0,5.733,19910549.0,5.733,19910549.0,5.733,2.1,32163045.0
2005,20493927.0,5.688,20493927.0,5.688,20493927.0,5.688,20493927.0,5.688,2.1,32163045.0
2006,21080108.0,5.634,21080108.0,5.634,21080108.0,5.634,21080108.0,5.634,2.1,32163045.0
2007,21673319.0,5.576,21673319.0,5.576,21673319.0,5.576,21673319.0,5.576,2.1,32163045.0
2008,22276596.0,5.515,22276596.0,5.515,22276596.0,5.515,22276596.0,5.515,2.1,32163045.0
2009,22894718.0,5.454,22894718.0,5.454,22894718.0,5.454,22894718.0,5.454,2.1,32163045.0
2010,23531567.0,5.392,23531567.0,5.392,23531567.0,5.392,23531567.0,5.392,2.1,32163045.0
2011,24187500.0,5.329,24187500.0,5.329,24187500.0,5.329,24187500.0,5.329,2.1,32163045.0
2012,24862673.0,5.264,24862673.0,5.264,24862673.0,5.264,24862673.0,5.264,2.1,32163045.0
2013,25560752.0,5.198,25560752.0,5.198,25560752.0,5.198,25560752.0,5.198,2.1,32163045.0
2014,26286192.0,5.131,26286192.0,5.131,26286192.0,5.131,26286192.0,5.131,2.1,32163045.0
2015,27042001.0,5.062,27042001.0,5.062,27042001.0,5.062,27042001.0,5.062,2.1,32163045.0
2016,27829930.0,4.992,27829930.0,4.992,27829930.0,4.992,27829930.0,4.992,2.1,32163045.0
2017,28649007.0,4.922,28649007.0,4.922,28649007.0,4.922,28649007.0,4.922,2.1,32163045.0
2018,29496009.0,4.852,29496009.0,4.852,29496009.0,4.852,29496009.0,4.852,2.1,32163045.0
2019,30366043.0,4.783,30366043.0,4.783,30366043.0,4.783,30366043.0,4.783,2.1,32163045.0
2020,31255435.0,4.713,31255435.0,4.713,31255435.0,4.713,31255435.0,4.713,2.1,32163045.0
2021,32163045.0,4.713,32163045.0,4.713,32163045.0,4.713,32163045.0,4.713,2.1,32163045.0
2022,32808801.502,4.688,32798336.269,4.646,32803110.297,4.665,32814974.813,4.713,2.1,32163045.0
2023,33448417.102,4.664,33417224.43,4.581,33431430.79,4.618,33466904.626,4.713,2.1,32163045.0
2024,34081924.04,4.639,34019941.587,4.516,34048124.985,4.572,34118834.439,4.713,2.1,32163045.0
2025,34709354.388,4.615,34606716.558,4.452,34653310.191,4.526,34770764.251,4.713,2.1,32163045.0
2026,35330740.046,4.591,35177774.928,4.389,35247102.533,4.48,35422694.064,4.713,2.1,32163045.0
2027,35946112.75,4.566,35733339.084,4.327,35829616.967,4.435,36074623.877,4.713,2.1,32163045.0
2028,36555504.067,4.543,36273628.271,4.266,36400967.285,4.39,36726553.69,4.713,2.1,32163045.0
2029,37158945.401,4.519,36798858.629,4.205,36961266.134,4.346,37378483.503,4.713,2.1,32163045.0
2030,37756467.987,4.495,37309243.24,4.146,37510625.023,4.302,38030413.316,4.713,2.1,32163045.0
