year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,850377.0,6.775,850377.0,6.775,850377.0,6.775,850377.0,6.775,2.1,4775110.0
1961,875586.0,6.787,875586.0,6.787,875586.0,6.787,875586.0,6.787,2.1,4775110.0
1962,901690.0,6.794,901690.0,6.794,901690.0,6.794,901690.0,6.794,2.1,4775110.0
1963,928742.0,6.798,928742.0,6.798,928742.0,6.798,928742.0,6.798,2.1,4775110.0
1964,956794.0,6.799,956794.0,6.799,956794.0,6.799,956794.0,6.799,2.1,4775110.0
1965,985907.0,6.799,985907.0,6.799,985907.0,6.799,985907.0,6.799,2.1,4775110.0
1966,1016093.0,6.798,1016093.0,6.798,1016093.0,6.798,1016093.0,6.798,2.1,4775110.0
1967,1047345.0,6.798,1047345.0,6.798,1047345.0,6.798,1047345.0,6.798,2.1,4775110.0
1968,1079580.0,6.795,1079580.0,6.795,1079580.0,6.795,1079580.0,6.795,2.1,4775110.0
1969,1112749.0,6.791,1112749.0,6.791,1112749.0,6.791,1112749.0,6.791,2.1,4775110.0
1970,1146776.0,6.784,1146776.0,6.784,1146776.0,6.784,1146776.0,6.784,2.1,4775110.0
1971,1181659.0,6.774,1181659.0,6.774,1181659.0,6.774,1181659.0,6.774,2.1,4775110.0
1972,1217443.0,6.758,1217443.0,6.758,1217443.0,6.758,1217443.0,6.758,2.1,4775110.0
1973,1254156.0,6.738,1254156.0,6.738,1254156.0,6.738,1254156.0,6.738,2.1,4775110.0
1974,1291857.0,6.712,1291857.0,6.712,1291857.0,6.712,1291857.0,6.712,2.1,4775110.0
1975,1330594.0,6.679,1330594.0,6.679,1330594.0,6.679,1330594.0,6.679,2.1,4775110.0
1976,1370364.0,6.64,1370364.0,6.64,1370364.0,6.64,1370364.0,6.64,2.1,4775110.0
1977,1411139.0,6.596,1411139.0,6.596,1411139.0,6.596,1411139.0,6.596,2.1,4775110.0
1978,1453028.0,6.548,1453028.0,6.548,1453028.0,6.548,1453028.0,6.548,2.1,4775110.0
1979,1496174.0,6.496,1496174.0,6.496,1496174.0,6.496,1496174.0,6.496,2.1,4775110.0
1980,1540644.0,6.443,1540644.0,6.443,1540644.0,6.443,1540644.0,6.443,2.1,4775110.0
1981,1586496.0,6.389,1586496.0,6.389,1586496.0,6.389,1586496.0,6.389,2.1,4775110.0
1982,1633655.0,6.335,1633655.0,6.335,1633655.0,6.335,1633655.0,6.335,2.1,4775110.0
1983,1681859.0,6.282,1681859.0,6.282,1681859.0,6.282,1681859.0,6.282,2.1,4775110.0
1984,1730737.0,6.231,1730737.0,6.231,1730737.0,6.231,1730737.0,6.231,2.1,4775110.0
1985,1780033.0,6.179,1780033.0,6.179,1780033.0,6.179,1780033.0,6.179,2.1,4775110.0
1986,1829678.0,6.126,1829678.0,6.126,1829678.0,6.126,1829678.0,6.126,2.1,4775110.0
1987,1879756.0,6.069,1879756.0,6.069,1879756.0,6.069,1879756.0,6.069,2.1,4775110.0
