year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,659351.0,6.167,659351.0,6.167,659351.0,6.167,659351.0,6.167,2.1,1266060.0
1961,680757.0,6.178,680757.0,6.178,680757.0,6.178,680757.0,6.178,2.1,1266060.0
1962,700349.0,6.124,700349.0,6.124,700349.0,6.124,700349.0,6.124,2.1,1266060.0
1963,718861.0,5.993,718861.0,5.993,718861.0,5.993,718861.0,5.993,2.1,1266060.0
1964,736381.0,5.785,736381.0,5.785,736381.0,5.785,736381.0,5.785,2.1,1266060.0
1965,753000.0,5.51,753000.0,5.51,753000.0,5.51,753000.0,5.51,2.1,1266060.0
1966,768813.0,5.187,768813.0,5.187,768813.0,5.187,768813.0,5.187,2.1,1266060.0
1967,783917.0,4.847,783917.0,4.847,783917.0,4.847,783917.0,4.847,2.1,1266060.0
1968,798413.0,4.516,798413.0,4.516,798413.0,4.516,798413.0,4.516,2.1,1266060.0
1969,812405.0,4.213,812405.0,4.213,812405.0,4.213,812405.0,4.213,2.1,1266060.0
1970,826000.0,3.952,826000.0,3.952,826000.0,3.952,826000.0,3.952,2.1,1266060.0
1971,839230.0,3.741,839230.0,3.741,839230.0,3.741,839230.0,3.741,2.1,1266060.0
1972,852053.0,3.575,852053.0,3.575,852053.0,3.575,852053.0,3.575,2.1,1266060.0
1973,864819.0,3.444,864819.0,3.444,864819.0,3.444,864819.0,3.444,2.1,1266060.0
1974,878042.0,3.341,878042.0,3.341,878042.0,3.341,878042.0,3.341,2.1,1266060.0
1975,892000.0,3.255,892000.0,3.255,892000.0,3.255,892000.0,3.255,2.1,1266060.0
1976,906507.0,3.169,906507.0,3.169,906507.0,3.169,906507.0,3.169,2.1,1266060.0
1977,921379.0,3.071,921379.0,3.071,921379.0,3.071,921379.0,3.071,2.1,1266060.0
1978,933499.0,2.954,933499.0,2.954,933499.0,2.954,933499.0,2.954,2.1,1266060.0
1979,949888.0,2.818,949888.0,2.818,949888.0,2.818,949888.0,2.818,2.1,1266060.0
1980,966039.0,2.672,966039.0,2.672,966039.0,2.672,966039.0,2.672,2.1,1266060.0
1981,980462.0,2.532,980462.0,2.532,980462.0,2.532,980462.0,2.532,2.1,1266060.0
1982,992521.0,2.412,992521.0,2.412,992521.0,2.412,992521.0,2.412,2.1,1266060.0
1983,1001691.0,2.325,1001691.0,2.325,1001691.0,2.325,1001691.0,2.325,2.1,1266060.0
1984,1012221.0,2.16,1012221.0,2.16,1012221.0,2.16,1012221.0,2.16,2.1,1266060.0
1985,1020528.0,2.02,1020528.0,2.02,1020528.0,2.02,1020528.0,2.02,2.1,1266060.0
1986,1028360.0,1.99,1028360.0,1.99,1028360.0,1.99,1028360.0,1.99,2.1,1266060.0
1987,1036082.0,2.05,1036082.0,2.05,1036082.0,2.05,1036082.0,2.05,2.1,1266060.0
1988,1043239.0,2.14,1043239.0,2.14,1043239.0,2.14,1043239.0,2.14,2.1,1266060.0
1989,1051260.0,2.23,1051260.0,2.23,1051260.0,2.23,1051260.0,2.23,2.1,1266060.0
1990,1058775.0,2.32,1058775.0,2.32,1058775.0,2.32,1058775.0,2.32,2.1,1266060.0
1991,1070266.0,2.3,1070266.0,2.3,1070266.0,2.3,1070266.0,2.3,2.1,1266060.0
1992,1084441.0,2.37,1084441.0,2.37,1084441.0,2.37,1084441.0,2.37,2.1,1266060.0
1993,1097374.0,2.21,1097374.0,2.21,1097374.0,2.21,1097374.0,2.21,2.1,1266060.0
1994,1112846.0,2.25,1112846.0,2.25,1112846.0,2.25,1112846.0,2.25,2.1,1266060.0
1995,1122457.0,2.14,1122457.0,2.14,1122457.0,2.14,1122457.0,2.14,2.1,1266060.0
1996,1133996.0,2.12,1133996.0,2.12,1133996.0,2.12,1133996.0,2.12,2.1,1266060.0
1997,1148284.0,2.04,1148284.0,2.04,1148284.0,2.04,1148284.0,2.04,2.1,1266060.0
1998,1160421.0,1.97,1160421.0,1.97,1160421.0,1.97,1160421.0,1.97,2.1,1266060.0
1999,1175267.0,2.05,1175267.0,2.05,1175267.0,2.05,1175267.0,2.05,2.1,1266060.0
2000,1186873.0,1.99,1186873.0,1.99,1186873.0,1.99,1186873.0,1.99,2.1,1266060.0
2001,1196287.0,1.91,1196287.0,1.91,1196287.0,1.91,1196287.0,1.91,2.1,1266060.0
2002,1204621.0,1.94,1204621.0,1.94,1204621.0,1.94,1204621.0,1.94,2.1,1266060.0
2003,1213370.0,1.87,1213370.0,1.87,1213370.0,1.87,1213370.0,1.87,2.1,1266060.0
2004,1221003.0,1.92,1221003.0,1.92,1221003.0,1.92,1221003.0,1.92,2.1,1266060.0
2005,1228254.0,1.88,1228254.0,1.88,1228254.0,1.88,1228254.0,1.88,2.1,1266060.0
2006,1233996.0,1.77,1233996.0,1.77,1233996.0,1.77,1233996.0,1.77,2.1,1266060.0
2007,1239630.0,1.74,1239630.0,1.74,1239630.0,1.74,1239630.0,1.74,2.1,1266060.0
