year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,3659980.0,6.94,3659980.0,6.94,3659980.0,6.94,3659980.0,6.94,2.1,19647681.0
1961,3747758.0,6.964,3747758.0,6.964,3747758.0,6.964,3747758.0,6.964,2.1,19647681.0
1962,3839047.0,6.991,3839047.0,6.991,3839047.0,6.991,3839047.0,6.991,2.1,19647681.0
1963,3933914.0,7.023,3933914.0,7.023,3933914.0,7.023,3933914.0,7.023,2.1,19647681.0
1964,4032364.0,7.058,4032364.0,7.058,4032364.0,7.058,4032364.0,7.058,2.1,19647681.0
1965,4134464.0,7.096,4134464.0,7.096,4134464.0,7.096,4134464.0,7.096,2.1,19647681.0
1966,4240430.0,7.137,4240430.0,7.137,4240430.0,7.137,4240430.0,7.137,2.1,19647681.0
1967,4350456.0,7.179,4350456.0,7.179,4350456.0,7.179,4350456.0,7.179,2.1,19647681.0
1968,4464427.0,7.221,4464427.0,7.221,4464427.0,7.221,4464427.0,7.221,2.1,19647681.0
1969,4582197.0,7.262,4582197.0,7.262,4582197.0,7.262,4582197.0,7.262,2.1,19647681.0
1970,4703783.0,7.303,4703783.0,7.303,4703783.0,7.303,4703783.0,7.303,2.1,19647681.0
1971,4829092.0,7.345,4829092.0,7.345,4829092.0,7.345,4829092.0,7.345,2.1,19647681.0
1972,4958556.0,7.389,4958556.0,7.389,4958556.0,7.389,4958556.0,7.389,2.1,19647681.0
1973,5093368.0,7.432,5093368.0,7.432,5093368.0,7.432,5093368.0,7.432,2.1,19647681.0
1974,5235074.0,7.476,5235074.0,7.476,5235074.0,7.476,5235074.0,7.476,2.1,19647681.0
1975,5384798.0,7.517,5384798.0,7.517,5384798.0,7.517,5384798.0,7.517,2.1,19647681.0
1976,5545653.0,7.556,5545653.0,7.556,5545653.0,7.556,5545653.0,7.556,2.1,19647681.0
1977,5717954.0,7.59,5717954.0,7.59,5717954.0,7.59,5717954.0,7.59,2.1,19647681.0
1978,5896864.0,7.618,5896864.0,7.618,5896864.0,7.618,5896864.0,7.618,2.1,19647681.0
1979,6075485.0,7.636,6075485.0,7.636,6075485.0,7.636,6075485.0,7.636,2.1,19647681.0
