year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,8156342.0,6.45,8156342.0,6.45,8156342.0,6.45,8156342.0,6.45,2.1,32776195.0
1961,8417821.0,6.42,8417821.0,6.42,8417821.0,6.42,8417821.0,6.42,2.1,32776195.0
1962,8692337.0,6.353,8692337.0,6.353,8692337.0,6.353,8692337.0,6.353,2.1,32776195.0
1963,8973791.0,6.246,8973791.0,6.246,8973791.0,6.246,8973791.0,6.246,2.1,32776195.0
1964,9253827.0,6.1,9253827.0,6.1,9253827.0,6.1,9253827.0,6.1,2.1,32776195.0
1965,9526558.0,5.923,9526558.0,5.923,9526558.0,5.923,9526558.0,5.923,2.1,32776195.0
1966,9790083.0,5.728,9790083.0,5.728,9790083.0,5.728,9790083.0,5.728,2.1,32776195.0
1967,10046321.0,5.529,10046321.0,5.529,10046321.0,5.529,10046321.0,5.529,2.1,32776195.0
1968,10297983.0,5.34,10297983.0,5.34,10297983.0,5.34,10297983.0,5.34,2.1,32776195.0
1969,10549395.0,5.167,10549395.0,5.167,10549395.0,5.167,10549395.0,5.167,2.1,32776195.0
1970,10804131.0,5.014,10804131.0,5.014,10804131.0,5.014,10804131.0,5.014,2.1,32776195.0
1971,11062434.0,4.88,11062434.0,4.88,11062434.0,4.88,11062434.0,4.88,2.1,32776195.0
1972,11324277.0,4.757,11324277.0,4.757,11324277.0,4.757,11324277.0,4.757,2.1,32776195.0
1973,11592638.0,4.64,11592638.0,4.64,11592638.0,4.64,11592638.0,4.64,2.1,32776195.0
1974,11871102.0,4.528,11871102.0,4.528,11871102.0,4.528,11871102.0,4.528,2.1,32776195.0
1975,12162189.0,4.425,12162189.0,4.425,12162189.0,4.425,12162189.0,4.425,2.1,32776195.0
1976,12468688.0,4.331,12468688.0,4.331,12468688.0,4.331,12468688.0,4.331,2.1,32776195.0
1977,12790313.0,4.249,12790313.0,4.249,12790313.0,4.249,12790313.0,4.249,2.1,32776195.0
1978,13122833.0,4.179,13122833.0,4.179,13122833.0,4.179,13122833.0,4.179,2.1,32776195.0
1979,13460035.0,4.12,13460035.0,4.12,13460035.0,4.12,13460035.0,4.12,2.1,32776195.0
1980,13798094.0,4.068,13798094.0,4.068,13798094.0,4.068,13798094.0,4.068,2.1,32776195.0
1981,14134060.0,4.021,14134060.0,4.021,14134060.0,4.021,14134060.0,4.021,2.1,32776195.0
1982,14471215.0,3.974,14471215.0,3.974,14471215.0,3.974,14471215.0,3.974,2.1,32776195.0
1983,14819430.0,3.925,14819430.0,3.925,14819430.0,3.925,14819430.0,3.925,2.1,32776195.0
1984,15192300.0,3.872,15192300.0,3.872,15192300.0,3.872,15192300.0,3.872,2.1,32776195.0
1985,15598924.0,3.816,15598924.0,3.816,15598924.0,3.816,15598924.0,3.816,2.1,32776195.0
1986,16043736.0,3.759,16043736.0,3.759,16043736.0,3.759,16043736.0,3.759,2.1,32776195.0
1987,16522004.0,3.703,16522004.0,3.703,16522004.0,3.703,16522004.0,3.703,2.1,32776195.0
1988,17022470.0,3.65,17022470.0,3.65,17022470.0,3.65,17022470.0,3.65,2.1,32776195.0
1989,17528961.0,3.6,17528961.0,3.6,17528961.0,3.6,17528961.0,3.6,2.1,32776195.0
1990,18029824.0,3.554,18029824.0,3.554,18029824.0,3.554,18029824.0,3.554,2.1,32776195.0
1991,18519941.0,3.51,18519941.0,3.51,18519941.0,3.51,18519941.0,3.51,2.1,32776195.0
1992,19002660.0,3.466,19002660.0,3.466,19002660.0,3.466,19002660.0,3.466,2.1,32776195.0
1993,19484901.0,3.422,19484901.0,3.422,19484901.0,3.422,19484901.0,3.422,2.1,32776195.0
1994,19977508.0,3.372,19977508.0,3.372,19977508.0,3.372,19977508.0,3.372,2.1,32776195.0
1995,20487604.0,3.313,20487604.0,3.313,20487604.0,3.313,20487604.0,3.313,2.1,32776195.0
1996,21017619.0,3.238,21017619.0,3.238,21017619.0,3.238,21017619.0,3.238,2.1,32776195.0
1997,21562790.0,3.145,21562790.0,3.145,21562790.0,3.145,21562790.0,3.145,2.1,32776195.0
1998,22114647.0,3.036,22114647.0,3.036,22114647.0,3.036,22114647.0,3.036,2.1,32776195.0
1999,22661293.0,2.913,22661293.0,2.913,22661293.0,2.913,22661293.0,2.913,2.1,32776195.0
2000,23194252.0,2.784,23194252.0,2.784,23194252.0,2.784,23194252.0,2.784,2.1,32776195.0
2001,23709115.0,2.657,23709115.0,2.657,23709115.0,2.657,23709115.0,2.657,2.1,32776195.0
2002,24208391.0,2.539,24208391.0,2.539,24208391.0,2.539,24208391.0,2.539,2.1,32776195.0
2003,24698821.0,2.438,24698821.0,2.438,24698821.0,2.438,24698821.0,2.438,2.1,32776195.0
