year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,198624409.0,3.668386718,198624409.0,3.668386718,198624409.0,3.668386718,198624409.0,3.668386718,2.1,370203720.0
1961,202007500.0,3.632240494,202007500.0,3.632240494,202007500.0,3.632240494,202007500.0,3.632240494,2.1,370203720.0
1962,205198600.0,3.481316723,205198600.0,3.481316723,205198600.0,3.481316723,205198600.0,3.481316723,2.1,370203720.0
1963,208253700.0,3.345696904,208253700.0,3.345696904,208253700.0,3.345696904,208253700.0,3.345696904,2.1,370203720.0
1964,211262900.0,3.214764533,211262900.0,3.214764533,211262900.0,3.214764533,211262900.0,3.214764533,2.1,370203720.0
1965,214031100.0,2.931904424,214031100.0,2.931904424,214031100.0,2.931904424,214031100.0,2.931904424,2.1,370203720.0
1966,216659000.0,2.72364019,216659000.0,2.72364019,216659000.0,2.72364019,216659000.0,2.72364019,2.1,370203720.0
1967,219176000.0,2.555146424,219176000.0,2.555146424,219176000.0,2.555146424,219176000.0,2.555146424,2.1,370203720.0
1968,221503000.0,2.456517576,221503000.0,2.456517576,221503000.0,2.456517576,221503000.0,2.456517576,2.1,370203720.0
1969,223759000.0,2.444224512,223759000.0,2.444224512,223759000.0,2.444224512,223759000.0,2.444224512,2.1,370203720.0
1970,226431000.0,2.458482587,226431000.0,2.458482587,226431000.0,2.458482587,226431000.0,2.458482587,2.1,370203720.0
1971,229677632.0,2.253659775,229677632.0,2.253659775,229677632.0,2.253659775,229677632.0,2.253659775,2.1,370203720.0
1972,232168663.0,2.007030467,232168663.0,2.007030467,232168663.0,2.007030467,232168663.0,2.007030467,2.1,370203720.0
1973,234454577.0,1.880092535,234454577.0,1.880092535,234454577.0,1.880092535,234454577.0,1.880092535,2.1,370203720.0
1974,236715369.0,1.835199712,236715369.0,1.835199712,236715369.0,1.835199712,236715369.0,1.835199712,2.1,370203720.0
1975,239169275.0,1.779021841,239169275.0,1.779021841,239169275.0,1.779021841,239169275.0,1.779021841,2.1,370203720.0
1976,241538008.0,1.743845482,241538008.0,1.743845482,241538008.0,1.743845482,241538008.0,1.743845482,2.1,370203720.0
1977,244018243.0,1.78919167,244018243.0,1.78919167,244018243.0,1.78919167,244018243.0,1.78919167,2.1,370203720.0
1978,246601803.0,1.760808964,246601803.0,1.760808964,246601803.0,1.760808964,246601803.0,1.760808964,2.1,370203720.0
1979,249310344.0,1.802540573,249310344.0,1.802540573,249310344.0,1.802540573,249310344.0,1.802540573,2.1,370203720.0
1980,251795337.0,1.829410971,251795337.0,1.829410971,251795337.0,1.829410971,251795337.0,1.829410971,2.1,370203720.0
1981,254340965.0,1.800628121,254340965.0,1.800628121,254340965.0,1.800628121,254340965.0,1.800628121,2.1,370203720.0
1982,256836391.0,1.813532799,256836391.0,1.813532799,256836391.0,1.813532799,256836391.0,1.813532799,2.1,370203720.0
1983,259214381.0,1.786931331,259214381.0,1.786931331,259214381.0,1.786931331,259214381.0,1.786931331,2.1,370203720.0
1984,261488476.0,1.790655884,261488476.0,1.790655884,261488476.0,1.790655884,261488476.0,1.790655884,2.1,370203720.0
1985,263823014.0,1.826422257,263823014.0,1.826422257,263823014.0,1.826422257,263823014.0,1.826422257,2.1,370203720.0
1986,266290660.0,1.821078366,266290660.0,1.821078366,266290660.0,1.821078366,266290660.0,1.821078366,2.1,370203720.0
1987,268793450.0,1.852529712,268793450.0,1.852529712,268793450.0,1.852529712,268793450.0,1.852529712,2.1,370203720.0
1988,271349094.0,1.908162066,271349094.0,1.908162066,271349094.0,1.908162066,271349094.0,1.908162066,2.1,370203720.0
1989,274154622.0,1.988999261,274154622.0,1.988999261,274154622.0,1.988999261,274154622.0,1.988999261,2.1,370203720.0
1990,277373464.0,2.055205556,277373464.0,2.055205556,277373464.0,2.055205556,277373464.0,2.055205556,2.1,370203720.0
1991,281077441.0,2.027339071,281077441.0,2.027339071,281077441.0,2.027339071,281077441.0,2.027339071,2.1,370203720.0
1992,284943859.0,2.011581456,284943859.0,2.011581456,284943859.0,2.011581456,284943859.0,2.011581456,2.1,370203720.0
1993,288662674.0,1.984805585,288662674.0,1.984805585,288662674.0,1.984805585,288662674.0,1.984805585,2.1,370203720.0
1994,292185983.0,1.969719466,292185983.0,1.969719466,292185983.0,1.969719466,292185983.0,1.969719466,2.1,370203720.0
1995,295640057.0,1.946641629,295640057.0,1.946641629,295640057.0,1.946641629,295640057.0,1.946641629,2.1,370203720.0
1996,299064347.0,1.940831636,299064347.0,1.940831636,299064347.0,1.940831636,299064347.0,1.940831636,2.1,370203720.0
1997,302623445.0,1.930342921,302623445.0,1.930342921,302623445.0,1.930342921,302623445.0,1.930342921,2.1,370203720.0
1998,306070116.0,1.954646173,306070116.0,1.954646173,306070116.0,1.954646173,306070116.0,1.954646173,2.1,370203720.0
1999,309502571.0,1.96042754,309502571.0,1.96042754,309502571.0,1.96042754,309502571.0,1.96042754,2.1,370203720.0
2000,312909974.0,2.001137713,312909974.0,2.001137713,312909974.0,2.001137713,312909974.0,2.001137713,2.1,370203720.0
2001,316052361.0,1.981181203,316052361.0,1.981181203,316052361.0,1.981181203,316052361.0,1.981181203,2.1,370203720.0
2002,319048184.0,1.969104172,319048184.0,1.969104172,319048184.0,1.969104172,319048184.0,1.969104172,2.1,370203720.0
2003,321815286.0,1.996403809,321815286.0,1.996403809,321815286.0,1.996403809,321815286.0,1.996403809,2.1,370203720.0
2004,324809693.0,2.001042084,324809693.0,2.001042084,324809693.0,2.001042084,324809693.0,2.001042084,2.1,370203720.0
2005,327824506.0,2.008054212,327824506.0,2.008054212,327824506.0,2.008054212,327824506.0,2.008054212,2.1,370203720.0
2006,331015609.0,2.057826084,331015609.0,2.057826084,331015609.0,2.057826084,331015609.0,2.057826084,2.1,370203720.0
2007,334185120.0,2.073585058,334185120.0,2.073585058,334185120.0,2.073585058,334185120.0,2.073585058,2.1,370203720.0
2008,337406357.0,2.033381796,337406357.0,2.033381796,337406357.0,2.033381796,337406357.0,2.033381796,2.1,370203720.0
2009,340466060.0,1.969366048,340466060.0,1.969366048,340466060.0,1.969366048,340466060.0,1.969366048,2.1,370203720.0
2010,343397156.0,1.901449622,343397156.0,1.901449622,343397156.0,1.901449622,343397156.0,1.901449622,2.1,370203720.0
2011,345987373.0,1.866658067,345987373.0,1.866658067,345987373.0,1.866658067,345987373.0,1.866658067,2.1,370203720.0
2012,348656682.0,1.854091654,348656682.0,1.854091654,348656682.0,1.854091654,348656682.0,1.854091654,2.1,370203720.0
2013,351207902.0,1.831411463,351207902.0,1.831411463,351207902.0,1.831411463,351207902.0,1.831411463,2.1,370203720.0
2014,353888902.0,1.836955133,353888902.0,1.836955133,353888902.0,1.836955133,353888902.0,1.836955133,2.1,370203720.0
2015,356507139.0,1.818954551,356507139.0,1.818954551,356507139.0,1.818954551,356507139.0,1.818954551,2.1,370203720.0
2016,359245796.0,1.797245228,359245796.0,1.797245228,359245796.0,1.797245228,359245796.0,1.797245228,2.1,370203720.0
2017,361731237.0,1.742693654,361731237.0,1.742693654,361731237.0,1.742693654,361731237.0,1.742693654,2.1,370203720.0
2018,363967201.0,1.706160082,363967201.0,1.706160082,363967201.0,1.706160082,363967201.0,1.706160082,2.1,370203720.0
2019,365995094.0,1.681839397,365995094.0,1.681839397,365995094.0,1.681839397,365995094.0,1.681839397,2.1,370203720.0
2020,369602177.0,1.61319227,369602177.0,1.61319227,369602177.0,1.61319227,369602177.0,1.61319227,2.1,370203720.0
2021,370203720.0,1.61319227,370203720.0,1.61319227,370203720.0,1.61319227,370203720.0,1.61319227,2.1,370203720.0
2022,369050952.503,1.592,369031235.302,1.583,369072901.15,1.601,369099824.823,1.613,2.1,370203720.0
2023,367849965.62,1.57,367791447.135,1.553,367915356.784,1.59,367995929.647,1.613,2.1,370203720.0
2024,366601403.561,1.549,366485617.441,1.524,366731283.603,1.578,366892034.47,1.613,2.1,370203720.0
2025,365305901.931,1.529,365114984.497,1.496,365520876.859,1.566,365788139.294,1.613,2.1,370203720.0
2026,363964087.843,1.508,363680763.364,1.468,364284330.366,1.555,364684244.117,1.613,2.1,370203720.0
2027,362576580.031,1.488,362184146.322,1.44,363021836.513,1.543,363580348.941,1.613,2.1,370203720.0
2028,361143988.964,1.468,360626303.293,1.413,361733586.273,1.532,362476453.764,1.613,2.1,370203720.0
2029,359666916.953,1.449,359008382.264,1.387,360419769.213,1.521,361372558.588,1.613,2.1,370203720.0
2030,358145958.264,1.429,357331509.698,1.361,359080573.504,1.509,360268663.411,1.613,2.1,370203720.0
2031,356581699.223,1.41,355596790.937,1.335,357716185.933,1.498,359164768.235,1.613,2.1,370203720.0
2032,354974718.323,1.391,353805310.596,1.31,356326791.913,1.487,358060873.058,1.613,2.1,370203720.0
2033,353325586.327,1.373,351958132.956,1.285,354912575.491,1.476,356956977.882,1.613,2.1,370203720.0
2034,351634866.375,1.354,350056302.339,1.261,353473719.359,1.465,355853082.705,1.613,2.1,370203720.0
2035,349903114.082,1.336,348100843.491,1.238,352010404.867,1.455,354749187.529,1.613,2.1,370203720.0
2036,348130877.638,1.318,346092761.94,1.214,350522812.027,1.444,353645292.352,1.613,2.1,370203720.0
2037,346318697.914,1.301,344033044.362,1.192,349011119.528,1.433,352541397.176,1.613,2.1,370203720.0
2038,344467108.551,1.283,341922658.932,1.169,347475504.745,1.423,351437501.999,1.613,2.1,370203720.0
2039,342576636.061,1.266,339762555.672,1.147,345916143.743,1.412,350333606.823,1.613,2.1,370203720.0
2040,340647799.924,1.249,337553666.793,1.126,344333211.297,1.402,349229711.646,1.613,2.1,370203720.0
2041,338681112.678,1.233,335296907.023,1.105,342726880.892,1.392,348125816.47,1.613,2.1,370203720.0
2042,336677080.013,1.216,332993173.943,1.084,341097324.736,1.381,347021921.293,1.613,2.1,370203720.0
2043,334636200.865,1.2,330643348.303,1.064,339444713.771,1.371,345918026.117,1.613,2.1,370203720.0
2044,332558967.502,1.184,328248294.336,1.044,337769217.681,1.361,344814130.94,1.613,2.1,370203720.0
2045,330445865.616,1.168,325808860.075,1.024,336071004.9,1.351,343710235.764,1.613,2.1,370203720.0
2046,328297374.412,1.153,323325877.651,1.005,334350242.623,1.341,342606340.587,1.613,2.1,370203720.0
2047,326113966.69,1.137,320800163.59,0.986,332607096.815,1.331,341502445.411,1.613,2.1,370203720.0
2048,323896108.935,1.122,318232519.112,0.968,330841732.217,1.321,340398550.234,1.613,2.1,370203720.0
2049,321644261.399,1.107,315623730.412,0.95,329054312.361,1.312,339294655.058,1.613,2.1,370203720.0
2050,319358878.187,1.092,312974568.944,0.932,327244999.573,1.302,338190759.881,1.613,2.1,370203720.0
2051,317040407.334,1.078,310285791.696,0.914,325413954.985,1.293,337086864.705,1.613,2.1,370203720.0
2052,314689290.892,1.063,307558141.466,0.897,323561338.543,1.283,335982969.528,1.613,2.1,370203720.0
2053,312305965.005,1.049,304792347.122,0.88,321687309.016,1.274,334879074.351,1.613,2.1,370203720.0
2054,309890859.993,1.035,301989123.865,0.864,319792024.004,1.264,333775179.175,1.613,2.1,370203720.0
2055,307444400.423,1.021,299149173.488,0.848,317875639.948,1.255,332671283.998,1.613,2.1,370203720.0
2056,304967005.192,1.007,296273184.625,0.832,315938312.136,1.246,331567388.822,1.613,2.1,370203720.0
2057,302459087.602,0.994,293361832.996,0.816,313980194.715,1.236,330463493.645,1.613,2.1,370203720.0
2058,299921055.431,0.981,290415781.654,0.801,312001440.696,1.227,329359598.469,1.613,2.1,370203720.0
2059,297353311.01,0.968,287435681.219,0.786,310002201.965,1.218,328255703.292,1.613,2.1,370203720.0
2060,294756251.294,0.955,284422170.11,0.771,307982629.288,1.209,327151808.116,1.613,2.1,370203720.0
2061,292130267.936,0.942,281375874.779,0.757,305942872.325,1.2,326047912.939,1.613,2.1,370203720.0
2062,289475747.355,0.929,278297409.928,0.742,303883079.63,1.192,324944017.763,1.613,2.1,370203720.0
2063,286793070.809,0.917,275187378.738,0.729,301803398.668,1.183,323840122.586,1.613,2.1,370203720.0
2064,284082614.462,0.905,272046373.076,0.715,299703975.816,1.174,322736227.41,1.613,2.1,370203720.0
2065,281344749.452,0.893,268874973.714,0.701,297584956.373,1.166,321632332.233,1.613,2.1,370203720.0
2066,278579841.958,0.881,265673750.533,0.688,295446484.572,1.157,320528437.057,1.613,2.1,370203720.0
2067,275788253.268,0.869,262443262.731,0.675,293288703.581,1.148,319424541.88,1.613,2.1,370203720.0
2068,272970339.842,0.857,259184059.019,0.663,291111755.516,1.14,318320646.704,1.613,2.1,370203720.0
2069,270126453.381,0.846,255896677.821,0.65,288915781.447,1.132,317216751.527,1.613,2.1,370203720.0
2070,267256940.882,0.835,252581647.463,0.638,286700921.405,1.123,316112856.351,1.613,2.1,370203720.0
2071,264362144.71,0.823,249239486.369,0.626,284467314.39,1.115,315008961.174,1.613,2.1,370203720.0
2072,261442402.655,0.812,245870703.239,0.614,282215098.382,1.107,313905065.998,1.613,2.1,370203720.0
2073,258498047.993,0.802,242475797.236,0.603,279944410.341,1.099,312801170.821,1.613,2.1,370203720.0
2074,255529409.55,0.791,239055258.165,0.592,277655386.221,1.091,311697275.645,1.613,2.1,370203720.0
2075,252536811.756,0.78,235609566.645,0.58,275348160.978,1.083,310593380.468,1.613,2.1,370203720.0
2076,249520574.709,0.77,232139194.284,0.57,273022868.57,1.075,309489485.292,1.613,2.1,370203720.0
2077,246481014.229,0.76,228644603.85,0.559,270679641.972,1.067,308385590.115,1.613,2.1,370203720.0
2078,243418441.916,0.749,225126249.429,0.548,268318613.179,1.059,307281694.939,1.613,2.1,370203720.0
2079,240333165.21,0.739,221584576.598,0.538,265939913.217,1.051,306177799.762,1.613,2.1,370203720.0
2080,237225487.44,0.73,218020022.576,0.528,263543672.144,1.043,305073904.586,1.613,2.1,370203720.0
2081,234095707.886,0.72,214433016.386,0.518,261130019.063,1.036,303970009.409,1.613,2.1,370203720.0
2082,230944121.826,0.71,210823979.005,0.508,258699082.127,1.028,302866114.233,1.613,2.1,370203720.0
2083,227771020.595,0.701,207193323.52,0.499,256250988.545,1.02,301762219.056,1.613,2.1,370203720.0
2084,224576691.637,0.691,203541455.268,0.49,253785864.59,1.013,300658323.88,1.613,2.1,370203720.0
2085,221361418.554,0.682,199868771.99,0.48,251303835.604,1.005,299554428.703,1.613,2.1,370203720.0
2086,218125481.159,0.673,196175663.967,0.471,248805026.01,0.998,298450533.526,1.613,2.1,370203720.0
2087,214869155.528,0.664,192462514.163,0.463,246289559.313,0.991,297346638.35,1.613,2.1,370203720.0
2088,211592714.047,0.655,188729698.362,0.454,243757558.108,0.983,296242743.173,1.613,2.1,370203720.0
2089,208296425.464,0.646,184977585.3,0.445,241209144.09,0.976,295138847.997,1.613,2.1,370203720.0
2090,204980554.937,0.638,181206536.803,0.437,238644438.057,0.969,294034952.82,1.613,2.1,370203720.0
2091,201645364.079,0.629,177416907.908,0.429,236063559.919,0.962,292931057.644,1.613,2.1,370203720.0
2092,198291111.012,0.621,173609046.999,0.421,233466628.701,0.955,291827162.467,1.613,2.1,370203720.0
2093,194918050.405,0.613,169783295.926,0.413,230853762.555,0.948,290723267.291,1.613,2.1,370203720.0
2094,191526433.528,0.604,165939990.129,0.405,228225078.762,0.941,289619372.114,1.613,2.1,370203720.0
2095,188116508.293,0.596,162079458.76,0.398,225580693.74,0.934,288515476.938,1.613,2.1,370203720.0
2096,184688519.298,0.588,158202024.797,0.39,222920723.049,0.927,287411581.761,1.613,2.1,370203720.0
2097,181242707.876,0.58,154308005.166,0.383,220245281.401,0.92,286307686.585,1.613,2.1,370203720.0
2098,177779312.135,0.573,150397710.845,0.376,217554482.661,0.913,285203791.408,1.613,2.1,370203720.0
2099,174298567.001,0.565,146471446.988,0.369,214848439.857,0.907,284099896.232,1.613,2.1,370203720.0
2100,170800704.262,0.557,142529513.021,0.362,212127265.187,0.9,282996001.055,1.613,2.1,370203720.0
2101,167285952.609,0.55,138572202.76,0.355,209391070.02,0.893,281892105.879,1.613,2.1,370203720.0
2102,163754537.678,0.543,134599804.51,0.348,206639964.907,0.887,280788210.702,1.613,2.1,370203720.0
2103,160206682.09,0.535,130612601.171,0.342,203874059.586,0.88,279684315.526,1.613,2.1,370203720.0
2104,156642605.493,0.528,126610870.338,0.335,201093462.986,0.874,278580420.349,1.613,2.1,370203720.0
2105,153062524.599,0.521,122594884.402,0.329,198298283.235,0.867,277476525.173,1.613,2.1,370203720.0
2106,149466653.226,0.514,118564910.647,0.323,195488627.665,0.861,276372629.996,1.613,2.1,370203720.0
2107,145855202.334,0.507,114521211.343,0.317,192664602.817,0.855,275268734.82,1.613,2.1,370203720.0
2108,142228380.066,0.501,110464043.844,0.311,189826314.451,0.848,274164839.643,1.613,2.1,370203720.0
2109,138586391.784,0.494,106393660.68,0.305,186973867.545,0.842,273060944.467,1.613,2.1,370203720.0
2110,134929440.105,0.487,102310309.644,0.299,184107366.305,0.836,271957049.29,1.613,2.1,370203720.0
2111,131257724.94,0.481,98214233.884,0.294,181226914.173,0.83,270853154.114,1.613,2.1,370203720.0
2112,127571443.53,0.474,94105671.988,0.288,178332613.827,0.824,269749258.937,1.613,2.1,370203720.0
2113,123870790.479,0.468,89984858.071,0.283,175424567.189,0.818,268645363.761,1.613,2.1,370203720.0
2114,120155957.793,0.462,85852021.859,0.277,172502875.432,0.812,267541468.584,1.613,2.1,370203720.0
2115,116427134.912,0.456,81707388.77,0.272,169567638.985,0.806,266437573.408,1.613,2.1,370203720.0
2116,112684508.744,0.45,77551179.995,0.267,166618957.535,0.8,265333678.231,1.613,2.1,370203720.0
2117,108928263.701,0.444,73383612.578,0.262,163656930.04,0.794,264229783.054,1.613,2.1,370203720.0
2118,105158581.733,0.438,69204899.494,0.257,160681654.724,0.788,263125887.878,1.613,2.1,370203720.0
2119,101375642.355,0.432,65015249.724,0.252,157693229.092,0.782,262021992.701,1.613,2.1,370203720.0
2120,97579622.688,0.426,60814868.331,0.248,154691749.932,0.776,260918097.525,1.613,2.1,370203720.0
2121,93770697.483,0.42,56603956.533,0.243,151677313.315,0.771,259814202.348,1.613,2.1,370203720.0
