year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,634138.0,6.149,634138.0,6.149,634138.0,6.149,634138.0,6.149,2.1,2587344.0
1961,649274.0,6.167,649274.0,6.167,649274.0,6.167,649274.0,6.167,2.1,2587344.0
1962,665119.0,6.184,665119.0,6.184,665119.0,6.184,665119.0,6.184,2.1,2587344.0
1963,681633.0,6.199,681633.0,6.199,681633.0,6.199,681633.0,6.199,2.1,2587344.0
1964,698797.0,6.216,698797.0,6.216,698797.0,6.216,698797.0,6.216,2.1,2587344.0
1965,716588.0,6.236,716588.0,6.236,716588.0,6.236,716588.0,6.236,2.1,2587344.0
1966,734866.0,6.265,734866.0,6.265,734866.0,6.265,734866.0,6.265,2.1,2587344.0
1967,753683.0,6.305,753683.0,6.305,753683.0,6.305,753683.0,6.305,2.1,2587344.0
1968,773428.0,6.354,773428.0,6.354,773428.0,6.354,773428.0,6.354,2.1,2587344.0
1969,794588.0,6.411,794588.0,6.411,794588.0,6.411,794588.0,6.411,2.1,2587344.0
1970,817474.0,6.469,817474.0,6.469,817474.0,6.469,817474.0,6.469,2.1,2587344.0
1971,842353.0,6.521,842353.0,6.521,842353.0,6.521,842353.0,6.521,2.1,2587344.0
1972,868954.0,6.561,868954.0,6.561,868954.0,6.561,868954.0,6.561,2.1,2587344.0
1973,896264.0,6.585,896264.0,6.585,896264.0,6.585,896264.0,6.585,2.1,2587344.0
1974,922900.0,6.589,922900.0,6.589,922900.0,6.589,922900.0,6.589,2.1,2587344.0
1975,947925.0,6.576,947925.0,6.576,947925.0,6.576,947925.0,6.576,2.1,2587344.0
1976,971117.0,6.549,971117.0,6.549,971117.0,6.549,971117.0,6.549,2.1,2587344.0
1977,992955.0,6.513,992955.0,6.513,992955.0,6.513,992955.0,6.513,2.1,2587344.0
1978,1014055.0,6.472,1014055.0,6.472,1014055.0,6.472,1014055.0,6.472,2.1,2587344.0
1979,1035379.0,6.426,1035379.0,6.426,1035379.0,6.426,1035379.0,6.426,2.1,2587344.0
1980,1057723.0,6.373,1057723.0,6.373,1057723.0,6.373,1057723.0,6.373,2.1,2587344.0
1981,1080938.0,6.31,1080938.0,6.31,1080938.0,6.31,1080938.0,6.31,2.1,2587344.0
1982,1105103.0,6.231,1105103.0,6.231,1105103.0,6.231,1105103.0,6.231,2.1,2587344.0
1983,1131624.0,6.137,1131624.0,6.137,1131624.0,6.137,1131624.0,6.137,2.1,2587344.0
1984,1162282.0,6.027,1162282.0,6.027,1162282.0,6.027,1162282.0,6.027,2.1,2587344.0
1985,1198149.0,5.904,1198149.0,5.904,1198149.0,5.904,1198149.0,5.904,2.1,2587344.0
1986,1239923.0,5.771,1239923.0,5.771,1239923.0,5.771,1239923.0,5.771,2.1,2587344.0
1987,1286796.0,5.632,1286796.0,5.632,1286796.0,5.632,1286796.0,5.632,2.1,2587344.0
1988,1336545.0,5.493,1336545.0,5.493,1336545.0,5.493,1336545.0,5.493,2.1,2587344.0
1989,1386011.0,5.354,1386011.0,5.354,1386011.0,5.354,1386011.0,5.354,2.1,2587344.0
1990,1432899.0,5.219,1432899.0,5.219,1432899.0,5.219,1432899.0,5.219,2.1,2587344.0
1991,1476399.0,5.087,1476399.0,5.087,1476399.0,5.087,1476399.0,5.087,2.1,2587344.0
1992,1516951.0,4.958,1516951.0,4.958,1516951.0,4.958,1516951.0,4.958,2.1,2587344.0
1993,1555098.0,4.83,1555098.0,4.83,1555098.0,4.83,1555098.0,4.83,2.1,2587344.0
1994,1591826.0,4.703,1591826.0,4.703,1591826.0,4.703,1591826.0,4.703,2.1,2587344.0
1995,1627866.0,4.574,1627866.0,4.574,1627866.0,4.574,1627866.0,4.574,2.1,2587344.0
1996,1663378.0,4.44,1663378.0,4.44,1663378.0,4.44,1663378.0,4.44,2.1,2587344.0
1997,1698029.0,4.3,1698029.0,4.3,1698029.0,4.3,1698029.0,4.3,2.1,2587344.0
1998,1731635.0,4.157,1731635.0,4.157,1731635.0,4.157,1731635.0,4.157,2.1,2587344.0
1999,1763861.0,4.014,1763861.0,4.014,1763861.0,4.014,1763861.0,4.014,2.1,2587344.0
2000,1794583.0,3.88,1794583.0,3.88,1794583.0,3.88,1794583.0,3.88,2.1,2587344.0
2001,1823667.0,3.763,1823667.0,3.763,1823667.0,3.763,1823667.0,3.763,2.1,2587344.0
2002,1851519.0,3.67,1851519.0,3.67,1851519.0,3.67,1851519.0,3.67,2.1,2587344.0
2003,1879113.0,3.604,1879113.0,3.604,1879113.0,3.604,1879113.0,3.604,2.1,2587344.0
2004,1907737.0,3.565,1907737.0,3.565,1907737.0,3.565,1907737.0,3.565,2.1,2587344.0
2005,1938316.0,3.552,1938316.0,3.552,1938316.0,3.552,1938316.0,3.552,2.1,2587344.0
2006,1971318.0,3.56,1971318.0,3.56,1971318.0,3.56,1971318.0,3.56,2.1,2587344.0
2007,2006516.0,3.579,2006516.0,3.579,2006516.0,3.579,2006516.0,3.579,2.1,2587344.0
2008,2043382.0,3.601,2043382.0,3.601,2043382.0,3.601,2043382.0,3.601,2.1,2587344.0
2009,2081039.0,3.62,2081039.0,3.62,2081039.0,3.62,2081039.0,3.62,2.1,2587344.0
2010,2118877.0,3.631,2118877.0,3.631,2118877.0,3.631,2118877.0,3.631,2.1,2587344.0
2011,2156698.0,3.632,2156698.0,3.632,2156698.0,3.632,2156698.0,3.632,2.1,2587344.0
2012,2194777.0,3.623,2194777.0,3.623,2194777.0,3.623,2194777.0,3.623,2.1,2587344.0
2013,2233506.0,3.604,2233506.0,3.604,2233506.0,3.604,2233506.0,3.604,2.1,2587344.0
2014,2273426.0,3.577,2273426.0,3.577,2273426.0,3.577,2273426.0,3.577,2.1,2587344.0
2015,2314901.0,3.54,2314901.0,3.54,2314901.0,3.54,2314901.0,3.54,2.1,2587344.0
2016,2358044.0,3.496,2358044.0,3.496,2358044.0,3.496,2358044.0,3.496,2.1,2587344.0
2017,2402623.0,3.447,2402623.0,3.447,2402623.0,3.447,2402623.0,3.447,2.1,2587344.0
2018,2448300.0,3.396,2448300.0,3.396,2448300.0,3.396,2448300.0,3.396,2.1,2587344.0
2019,2494524.0,3.344,2494524.0,3.344,2494524.0,3.344,2494524.0,3.344,2.1,2587344.0
2020,2540916.0,3.293,2540916.0,3.293,2540916.0,3.293,2540916.0,3.293,2.1,2587344.0
2021,2587344.0,3.293,2587344.0,3.293,2587344.0,3.293,2587344.0,3.293,2.1,2587344.0
2022,2609632.559,3.259,2609828.304,3.269,2609613.555,3.258,2610293.911,3.293,2.1,2587344.0
2023,2631266.671,3.225,2631850.424,3.245,2631210.06,3.223,2633243.823,3.293,2.1,2587344.0
2024,2652253.167,3.191,2653413.755,3.221,2652140.745,3.188,2656193.734,3.293,2.1,2587344.0
2025,2672598.809,3.158,2674521.671,3.197,2672412.759,3.154,2679143.646,3.293,2.1,2587344.0
2026,2692310.288,3.125,2695177.518,3.174,2692033.177,3.12,2702093.557,3.293,2.1,2587344.0
2027,2711394.223,3.092,2715384.619,3.15,2711008.998,3.086,2725043.469,3.293,2.1,2587344.0
2028,2729857.168,3.06,2735146.273,3.127,2729347.143,3.053,2747993.38,3.293,2.1,2587344.0
2029,2747705.604,3.028,2754465.754,3.104,2747054.463,3.02,2770943.291,3.293,2.1,2587344.0
2030,2764945.947,2.996,2773346.311,3.081,2764137.731,2.988,2793893.203,3.293,2.1,2587344.0
2031,2781584.545,2.965,2791791.17,3.059,2780603.651,2.956,2816843.114,3.293,2.1,2587344.0
2032,2797627.682,2.934,2809803.535,3.036,2796458.852,2.924,2839793.026,3.293,2.1,2587344.0
2033,2813081.573,2.903,2827386.583,3.014,2811709.893,2.893,2862742.937,3.293,2.1,2587344.0
2034,2827952.371,2.873,2844543.471,2.992,2826363.264,2.862,2885692.849,3.293,2.1,2587344.0
2035,2842246.162,2.843,2861277.33,2.97,2840425.383,2.831,2908642.76,3.293,2.1,2587344.0
2036,2855968.971,2.813,2877591.27,2.948,2853902.601,2.801,2931592.671,3.293,2.1,2587344.0
2037,2869126.759,2.784,2893488.378,2.926,2866801.199,2.771,2954542.583,3.293,2.1,2587344.0
