year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,79000.0,6.278,79000.0,6.278,79000.0,6.278,79000.0,6.278,2.1,272620.0
1961,81200.0,6.144,81200.0,6.144,81200.0,6.144,81200.0,6.144,2.1,272620.0
1962,83400.0,6.01,83400.0,6.01,83400.0,6.01,83400.0,6.01,2.1,272620.0
1963,85700.0,5.9,85700.0,5.9,85700.0,5.9,85700.0,5.9,2.1,272620.0
1964,88100.0,5.7,88100.0,5.7,88100.0,5.7,88100.0,5.7,2.1,272620.0
1965,90500.0,5.6,90500.0,5.6,90500.0,5.6,90500.0,5.6,2.1,272620.0
1966,93500.0,5.385,93500.0,5.385,93500.0,5.385,93500.0,5.385,2.1,272620.0
1967,96500.0,5.17,96500.0,5.17,96500.0,5.17,96500.0,5.17,2.1,272620.0
1968,99500.0,4.88,99500.0,4.88,99500.0,4.88,99500.0,4.88,2.1,272620.0
1969,104000.0,4.59,104000.0,4.59,104000.0,4.59,104000.0,4.59,2.1,272620.0
1970,112000.0,4.3,112000.0,4.3,112000.0,4.3,112000.0,4.3,2.1,272620.0
1971,120000.0,4.2,120000.0,4.2,120000.0,4.2,120000.0,4.2,2.1,272620.0
1972,125500.0,4.1,125500.0,4.1,125500.0,4.1,125500.0,4.1,2.1,272620.0
1973,128500.0,3.9,128500.0,3.9,128500.0,3.9,128500.0,3.9,2.1,272620.0
1974,131000.0,3.8,131000.0,3.8,131000.0,3.8,131000.0,3.8,2.1,272620.0
1975,132500.0,3.7,132500.0,3.7,132500.0,3.7,132500.0,3.7,2.1,272620.0
1976,134000.0,3.6,134000.0,3.6,134000.0,3.6,134000.0,3.6,2.1,272620.0
1977,136000.0,3.43,136000.0,3.43,136000.0,3.43,136000.0,3.43,2.1,272620.0
1978,137500.0,3.428,137500.0,3.428,137500.0,3.428,137500.0,3.428,2.1,272620.0
1979,138500.0,3.426,138500.0,3.426,138500.0,3.426,138500.0,3.426,2.1,272620.0
1980,140050.0,3.424,140050.0,3.424,140050.0,3.424,140050.0,3.424,2.1,272620.0
