year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,3388774.0,7.454,3388774.0,7.454,3388774.0,7.454,3388774.0,7.454,2.1,25130810.0
1961,3486322.0,7.473,3486322.0,7.473,3486322.0,7.473,3486322.0,7.473,2.1,25130810.0
1962,3588228.0,7.49,3588228.0,7.49,3588228.0,7.49,3588228.0,7.49,2.1,25130810.0
1963,3693985.0,7.505,3693985.0,7.505,3693985.0,7.505,3693985.0,7.505,2.1,25130810.0
1964,3802802.0,7.518,3802802.0,7.518,3802802.0,7.518,3802802.0,7.518,2.1,25130810.0
1965,3914118.0,7.529,3914118.0,7.529,3914118.0,7.529,3914118.0,7.529,2.1,25130810.0
1966,4027969.0,7.537,4027969.0,7.537,4027969.0,7.537,4027969.0,7.537,2.1,25130810.0
1967,4144588.0,7.544,4144588.0,7.544,4144588.0,7.544,4144588.0,7.544,2.1,25130810.0
1968,4263925.0,7.551,4263925.0,7.551,4263925.0,7.551,4263925.0,7.551,2.1,25130810.0
1969,4385925.0,7.558,4385925.0,7.558,4385925.0,7.558,4385925.0,7.558,2.1,25130810.0
1970,4510645.0,7.567,4510645.0,7.567,4510645.0,7.567,4510645.0,7.567,2.1,25130810.0
1971,4637984.0,7.58,4637984.0,7.58,4637984.0,7.58,4637984.0,7.58,2.1,25130810.0
1972,4768225.0,7.596,4768225.0,7.596,4768225.0,7.596,4768225.0,7.596,2.1,25130810.0
1973,4902151.0,7.616,4902151.0,7.616,4902151.0,7.616,4902151.0,7.616,2.1,25130810.0
1974,5040795.0,7.64,5040795.0,7.64,5040795.0,7.64,5040795.0,7.64,2.1,25130810.0
1975,5184940.0,7.668,5184940.0,7.668,5184940.0,7.668,5184940.0,7.668,2.1,25130810.0
1976,5335083.0,7.701,5335083.0,7.701,5335083.0,7.701,5335083.0,7.701,2.1,25130810.0
1977,5491158.0,7.738,5491158.0,7.738,5491158.0,7.738,5491158.0,7.738,2.1,25130810.0
1978,5652655.0,7.775,5652655.0,7.775,5652655.0,7.775,5652655.0,7.775,2.1,25130810.0
1979,5818763.0,7.812,5818763.0,7.812,5818763.0,7.812,5818763.0,7.812,2.1,25130810.0
1980,5989000.0,7.844,5989000.0,7.844,5989000.0,7.844,5989000.0,7.844,2.1,25130810.0
