year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,45138460.0,6.354,45138460.0,6.354,45138460.0,6.354,45138460.0,6.354,2.1,211400704.0
1961,46063570.0,6.351,46063570.0,6.351,46063570.0,6.351,46063570.0,6.351,2.1,211400704.0
1962,47029818.0,6.346,47029818.0,6.346,47029818.0,6.346,47029818.0,6.346,2.1,211400704.0
1963,48032932.0,6.341,48032932.0,6.341,48032932.0,6.341,48032932.0,6.341,2.1,211400704.0
1964,49066762.0,6.336,49066762.0,6.336,49066762.0,6.336,49066762.0,6.336,2.1,211400704.0
1965,50127920.0,6.335,50127920.0,6.335,50127920.0,6.335,50127920.0,6.335,2.1,211400704.0
1966,51217969.0,6.342,51217969.0,6.342,51217969.0,6.342,51217969.0,6.342,2.1,211400704.0
1967,52342231.0,6.359,52342231.0,6.359,52342231.0,6.359,52342231.0,6.359,2.1,211400704.0
1968,53506201.0,6.387,53506201.0,6.387,53506201.0,6.387,53506201.0,6.387,2.1,211400704.0
1969,54717035.0,6.425,54717035.0,6.425,54717035.0,6.425,54717035.0,6.425,2.1,211400704.0
1970,55982142.0,6.471,55982142.0,6.471,55982142.0,6.471,55982142.0,6.471,2.1,211400704.0
1971,57296988.0,6.522,57296988.0,6.522,57296988.0,6.522,57296988.0,6.522,2.1,211400704.0
1972,58665813.0,6.575,58665813.0,6.575,58665813.0,6.575,58665813.0,6.575,2.1,211400704.0
1973,60114615.0,6.625,60114615.0,6.625,60114615.0,6.625,60114615.0,6.625,2.1,211400704.0
1974,61677167.0,6.669,61677167.0,6.669,61677167.0,6.669,61677167.0,6.669,2.1,211400704.0
1975,63374289.0,6.706,63374289.0,6.706,63374289.0,6.706,63374289.0,6.706,2.1,211400704.0
1976,65221379.0,6.735,65221379.0,6.735,65221379.0,6.735,65221379.0,6.735,2.1,211400704.0
1977,67203134.0,6.757,67203134.0,6.757,67203134.0,6.757,67203134.0,6.757,2.1,211400704.0
1978,69271915.0,6.772,69271915.0,6.772,69271915.0,6.772,69271915.0,6.772,2.1,211400704.0
1979,71361141.0,6.781,71361141.0,6.781,71361141.0,6.781,71361141.0,6.781,2.1,211400704.0
