year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,1773132.0,7.365,1773132.0,7.365,1773132.0,7.365,1773132.0,7.365,2.1,6702379.0
1961,1829772.0,7.31,1829772.0,7.31,1829772.0,7.31,1829772.0,7.31,2.1,6702379.0
1962,1887426.0,7.25,1887426.0,7.25,1887426.0,7.25,1887426.0,7.25,2.1,6702379.0
1963,1946240.0,7.188,1946240.0,7.188,1946240.0,7.188,1946240.0,7.188,2.1,6702379.0
1964,2006478.0,7.128,2006478.0,7.128,2006478.0,7.128,2006478.0,7.128,2.1,6702379.0
1965,2068379.0,7.073,2068379.0,7.073,2068379.0,7.073,2068379.0,7.073,2.1,6702379.0
1966,2131973.0,7.025,2131973.0,7.025,2131973.0,7.025,2131973.0,7.025,2.1,6702379.0
1967,2197303.0,6.982,2197303.0,6.982,2197303.0,6.982,2197303.0,6.982,2.1,6702379.0
1968,2264623.0,6.941,2264623.0,6.941,2264623.0,6.941,2264623.0,6.941,2.1,6702379.0
1969,2334285.0,6.902,2334285.0,6.902,2334285.0,6.902,2334285.0,6.902,2.1,6702379.0
1970,2406523.0,6.862,2406523.0,6.862,2406523.0,6.862,2406523.0,6.862,2.1,6702379.0
1971,2481345.0,6.819,2481345.0,6.819,2481345.0,6.819,2481345.0,6.819,2.1,6702379.0
1972,2558705.0,6.769,2558705.0,6.769,2558705.0,6.769,2558705.0,6.769,2.1,6702379.0
1973,2638699.0,6.713,2638699.0,6.713,2638699.0,6.713,2638699.0,6.713,2.1,6702379.0
1974,2721417.0,6.647,2721417.0,6.647,2721417.0,6.647,2721417.0,6.647,2.1,6702379.0
1975,2806859.0,6.574,2806859.0,6.574,2806859.0,6.574,2806859.0,6.574,2.1,6702379.0
1976,2894967.0,6.495,2894967.0,6.495,2894967.0,6.495,2894967.0,6.495,2.1,6702379.0
1977,2985480.0,6.411,2985480.0,6.411,2985480.0,6.411,2985480.0,6.411,2.1,6702379.0
1978,3077861.0,6.325,3077861.0,6.325,3077861.0,6.325,3077861.0,6.325,2.1,6702379.0
1979,3171404.0,6.233,3171404.0,6.233,3171404.0,6.233,3171404.0,6.233,2.1,6702379.0
1980,3265520.0,6.135,3265520.0,6.135,3265520.0,6.135,3265520.0,6.135,2.1,6702379.0
1981,3360142.0,6.025,3360142.0,6.025,3360142.0,6.025,3360142.0,6.025,2.1,6702379.0
1982,3455129.0,5.902,3455129.0,5.902,3455129.0,5.902,3455129.0,5.902,2.1,6702379.0
1983,3549711.0,5.764,3549711.0,5.764,3549711.0,5.764,3549711.0,5.764,2.1,6702379.0
1984,3642978.0,5.612,3642978.0,5.612,3642978.0,5.612,3642978.0,5.612,2.1,6702379.0
1985,3734343.0,5.448,3734343.0,5.448,3734343.0,5.448,3734343.0,5.448,2.1,6702379.0
1986,3823133.0,5.278,3823133.0,5.278,3823133.0,5.278,3823133.0,5.278,2.1,6702379.0
1987,3909672.0,5.104,3909672.0,5.104,3909672.0,5.104,3909672.0,5.104,2.1,6702379.0
1988,3995529.0,4.931,3995529.0,4.931,3995529.0,4.931,3995529.0,4.931,2.1,6702379.0
1989,4082958.0,4.762,4082958.0,4.762,4082958.0,4.762,4082958.0,4.762,2.1,6702379.0
1990,4173435.0,4.596,4173435.0,4.596,4173435.0,4.596,4173435.0,4.596,2.1,6702379.0
1991,4267570.0,4.432,4267570.0,4.432,4267570.0,4.432,4267570.0,4.432,2.1,6702379.0
1992,4364514.0,4.267,4364514.0,4.267,4364514.0,4.267,4364514.0,4.267,2.1,6702379.0
1993,4462496.0,4.102,4462496.0,4.102,4462496.0,4.102,4462496.0,4.102,2.1,6702379.0
1994,4559010.0,3.937,4559010.0,3.937,4559010.0,3.937,4559010.0,3.937,2.1,6702379.0
1995,4652185.0,3.775,4652185.0,3.775,4652185.0,3.775,4652185.0,3.775,2.1,6702379.0
1996,4741571.0,3.62,4741571.0,3.62,4741571.0,3.62,4741571.0,3.62,2.1,6702379.0
1997,4827658.0,3.473,4827658.0,3.473,4827658.0,3.473,4827658.0,3.473,2.1,6702379.0
1998,4910642.0,3.339,4910642.0,3.339,4910642.0,3.339,4910642.0,3.339,2.1,6702379.0
1999,4991041.0,3.218,4991041.0,3.218,4991041.0,3.218,4991041.0,3.218,2.1,6702379.0
2000,5069310.0,3.111,5069310.0,3.111,5069310.0,3.111,5069310.0,3.111,2.1,6702379.0
2001,5145367.0,3.019,5145367.0,3.019,5145367.0,3.019,5145367.0,3.019,2.1,6702379.0
2002,5219324.0,2.941,5219324.0,2.941,5219324.0,2.941,5219324.0,2.941,2.1,6702379.0
2003,5292115.0,2.874,5292115.0,2.874,5292115.0,2.874,5292115.0,2.874,2.1,6702379.0
2004,5364930.0,2.816,5364930.0,2.816,5364930.0,2.816,5364930.0,2.816,2.1,6702379.0
2005,5438692.0,2.767,5438692.0,2.767,5438692.0,2.767,5438692.0,2.767,2.1,6702379.0
2006,5513757.0,2.725,5513757.0,2.725,5513757.0,2.725,5513757.0,2.725,2.1,6702379.0
2007,5590066.0,2.689,5590066.0,2.689,5590066.0,2.689,5590066.0,2.689,2.1,6702379.0
2008,5667436.0,2.657,5667436.0,2.657,5667436.0,2.657,5667436.0,2.657,2.1,6702379.0
2009,5745538.0,2.628,5745538.0,2.628,5745538.0,2.628,5745538.0,2.628,2.1,6702379.0
2010,5824058.0,2.601,5824058.0,2.601,5824058.0,2.601,5824058.0,2.601,2.1,6702379.0
2011,5903035.0,2.575,5903035.0,2.575,5903035.0,2.575,5903035.0,2.575,2.1,6702379.0
2012,5982530.0,2.55,5982530.0,2.55,5982530.0,2.55,5982530.0,2.55,2.1,6702379.0
2013,6062462.0,2.526,6062462.0,2.526,6062462.0,2.526,6062462.0,2.526,2.1,6702379.0
2014,6142734.0,2.503,6142734.0,2.503,6142734.0,2.503,6142734.0,2.503,2.1,6702379.0
2015,6223234.0,2.48,6223234.0,2.48,6223234.0,2.48,6223234.0,2.48,2.1,6702379.0
2016,6303970.0,2.455,6303970.0,2.455,6303970.0,2.455,6303970.0,2.455,2.1,6702379.0
2017,6384843.0,2.43,6384843.0,2.43,6384843.0,2.43,6384843.0,2.43,2.1,6702379.0
2018,6465502.0,2.404,6465502.0,2.404,6465502.0,2.404,6465502.0,2.404,2.1,6702379.0
2019,6545503.0,2.377,6545503.0,2.377,6545503.0,2.377,6545503.0,2.377,2.1,6702379.0
2020,6624554.0,2.349,6624554.0,2.349,6624554.0,2.349,6624554.0,2.349,2.1,6702379.0
