year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,11486631.0,3.12,11486631.0,3.12,11486631.0,3.12,11486631.0,3.12,2.1,17533405.0
1961,11638712.0,3.22,11638712.0,3.22,11638712.0,3.22,11638712.0,3.22,2.1,17533405.0
1962,11805689.0,3.18,11805689.0,3.18,11805689.0,3.18,11805689.0,3.18,2.1,17533405.0
1963,11965966.0,3.19,11965966.0,3.19,11965966.0,3.19,11965966.0,3.19,2.1,17533405.0
1964,12127120.0,3.17,12127120.0,3.17,12127120.0,3.17,12127120.0,3.17,2.1,17533405.0
1965,12294732.0,3.04,12294732.0,3.04,12294732.0,3.04,12294732.0,3.04,2.1,17533405.0
1966,12456251.0,2.9,12456251.0,2.9,12456251.0,2.9,12456251.0,2.9,2.1,17533405.0
1967,12598201.0,2.81,12598201.0,2.81,12598201.0,2.81,12598201.0,2.81,2.1,17533405.0
1968,12729721.0,2.72,12729721.0,2.72,12729721.0,2.72,12729721.0,2.72,2.1,17533405.0
1969,12877984.0,2.75,12877984.0,2.75,12877984.0,2.75,12877984.0,2.75,2.1,17533405.0
1970,13038526.0,2.57,13038526.0,2.57,13038526.0,2.57,13038526.0,2.57,2.1,17533405.0
1971,13194497.0,2.36,13194497.0,2.36,13194497.0,2.36,13194497.0,2.36,2.1,17533405.0
1972,13328593.0,2.15,13328593.0,2.15,13328593.0,2.15,13328593.0,2.15,2.1,17533405.0
1973,13439322.0,1.9,13439322.0,1.9,13439322.0,1.9,13439322.0,1.9,2.1,17533405.0
1974,13545056.0,1.77,13545056.0,1.77,13545056.0,1.77,13545056.0,1.77,2.1,17533405.0
1975,13666335.0,1.66,13666335.0,1.66,13666335.0,1.66,13666335.0,1.66,2.1,17533405.0
1976,13774037.0,1.63,13774037.0,1.63,13774037.0,1.63,13774037.0,1.63,2.1,17533405.0
1977,13856185.0,1.58,13856185.0,1.58,13856185.0,1.58,13856185.0,1.58,2.1,17533405.0
1978,13941700.0,1.58,13941700.0,1.58,13941700.0,1.58,13941700.0,1.58,2.1,17533405.0
1979,14038270.0,1.56,14038270.0,1.56,14038270.0,1.56,14038270.0,1.56,2.1,17533405.0
1980,14149800.0,1.6,14149800.0,1.6,14149800.0,1.6,14149800.0,1.6,2.1,17533405.0
1981,14247208.0,1.56,14247208.0,1.56,14247208.0,1.56,14247208.0,1.56,2.1,17533405.0
