year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,3581239.0,2.85,3581239.0,2.85,3581239.0,2.85,3581239.0,2.85,2.1,5408320.0
1961,3609800.0,2.94,3609800.0,2.94,3609800.0,2.94,3609800.0,2.94,2.1,5408320.0
1962,3638918.0,2.91,3638918.0,2.91,3638918.0,2.91,3638918.0,2.91,2.1,5408320.0
1963,3666537.0,2.93,3666537.0,2.93,3666537.0,2.93,3666537.0,2.93,2.1,5408320.0
1964,3694339.0,2.98,3694339.0,2.98,3694339.0,2.98,3694339.0,2.98,2.1,5408320.0
1965,3723168.0,2.94,3723168.0,2.94,3723168.0,2.94,3723168.0,2.94,2.1,5408320.0
1966,3753012.0,2.9,3753012.0,2.9,3753012.0,2.9,3753012.0,2.9,2.1,5408320.0
1967,3784539.0,2.81,3784539.0,2.81,3784539.0,2.81,3784539.0,2.81,2.1,5408320.0
1968,3816486.0,2.75,3816486.0,2.75,3816486.0,2.75,3816486.0,2.75,2.1,5408320.0
1969,3847707.0,2.7,3847707.0,2.7,3847707.0,2.7,3847707.0,2.7,2.1,5408320.0
1970,3875763.0,2.5,3875763.0,2.5,3875763.0,2.5,3875763.0,2.5,2.1,5408320.0
1971,3903039.0,2.49,3903039.0,2.49,3903039.0,2.49,3903039.0,2.49,2.1,5408320.0
1972,3933004.0,2.38,3933004.0,2.38,3933004.0,2.38,3933004.0,2.38,2.1,5408320.0
1973,3960612.0,2.23,3960612.0,2.23,3960612.0,2.23,3960612.0,2.23,2.1,5408320.0
1974,3985258.0,2.13,3985258.0,2.13,3985258.0,2.13,3985258.0,2.13,2.1,5408320.0
1975,4007313.0,1.98,4007313.0,1.98,4007313.0,1.98,4007313.0,1.98,2.1,5408320.0
1976,4026152.0,1.86,4026152.0,1.86,4026152.0,1.86,4026152.0,1.86,2.1,5408320.0
1977,4043205.0,1.75,4043205.0,1.75,4043205.0,1.75,4043205.0,1.75,2.1,5408320.0
1978,4058671.0,1.77,4058671.0,1.77,4058671.0,1.77,4058671.0,1.77,2.1,5408320.0
1979,4072517.0,1.75,4072517.0,1.75,4072517.0,1.75,4072517.0,1.75,2.1,5408320.0
1980,4085620.0,1.72,4085620.0,1.72,4085620.0,1.72,4085620.0,1.72,2.1,5408320.0
1981,4099702.0,1.7,4099702.0,1.7,4099702.0,1.7,4099702.0,1.7,2.1,5408320.0
1982,4114787.0,1.71,4114787.0,1.71,4114787.0,1.71,4114787.0,1.71,2.1,5408320.0
1983,4128432.0,1.66,4128432.0,1.66,4128432.0,1.66,4128432.0,1.66,2.1,5408320.0
1984,4140099.0,1.66,4140099.0,1.66,4140099.0,1.66,4140099.0,1.66,2.1,5408320.0
1985,4152516.0,1.68,4152516.0,1.68,4152516.0,1.68,4152516.0,1.68,2.1,5408320.0
1986,4167354.0,1.71,4167354.0,1.71,4167354.0,1.71,4167354.0,1.71,2.1,5408320.0
1987,4186905.0,1.74,4186905.0,1.74,4186905.0,1.74,4186905.0,1.74,2.1,5408320.0
1988,4209488.0,1.84,4209488.0,1.84,4209488.0,1.84,4209488.0,1.84,2.1,5408320.0
1989,4226901.0,1.89,4226901.0,1.89,4226901.0,1.89,4226901.0,1.89,2.1,5408320.0
1990,4241473.0,1.93,4241473.0,1.93,4241473.0,1.93,4241473.0,1.93,2.1,5408320.0
1991,4261732.0,1.92,4261732.0,1.92,4261732.0,1.92,4261732.0,1.92,2.1,5408320.0
1992,4286401.0,1.88,4286401.0,1.88,4286401.0,1.88,4286401.0,1.88,2.1,5408320.0
1993,4311991.0,1.86,4311991.0,1.86,4311991.0,1.86,4311991.0,1.86,2.1,5408320.0
1994,4336613.0,1.87,4336613.0,1.87,4336613.0,1.87,4336613.0,1.87,2.1,5408320.0
1995,4359184.0,1.87,4359184.0,1.87,4359184.0,1.87,4359184.0,1.87,2.1,5408320.0
1996,4381336.0,1.89,4381336.0,1.89,4381336.0,1.89,4381336.0,1.89,2.1,5408320.0
1997,4405157.0,1.86,4405157.0,1.86,4405157.0,1.86,4405157.0,1.86,2.1,5408320.0
1998,4431464.0,1.81,4431464.0,1.81,4431464.0,1.81,4431464.0,1.81,2.1,5408320.0
1999,4461913.0,1.85,4461913.0,1.85,4461913.0,1.85,4461913.0,1.85,2.1,5408320.0
2000,4490967.0,1.85,4490967.0,1.85,4490967.0,1.85,4490967.0,1.85,2.1,5408320.0
2001,4513751.0,1.78,4513751.0,1.78,4513751.0,1.78,4513751.0,1.78,2.1,5408320.0
2002,4538159.0,1.75,4538159.0,1.75,4538159.0,1.75,4538159.0,1.75,2.1,5408320.0
2003,4564855.0,1.8,4564855.0,1.8,4564855.0,1.8,4564855.0,1.8,2.1,5408320.0
2004,4591910.0,1.83,4591910.0,1.83,4591910.0,1.83,4591910.0,1.83,2.1,5408320.0
2005,4623291.0,1.84,4623291.0,1.84,4623291.0,1.84,4623291.0,1.84,2.1,5408320.0
2006,4660677.0,1.9,4660677.0,1.9,4660677.0,1.9,4660677.0,1.9,2.1,5408320.0
2007,4709153.0,1.9,4709153.0,1.9,4709153.0,1.9,4709153.0,1.9,2.1,5408320.0
2008,4768212.0,1.96,4768212.0,1.96,4768212.0,1.96,4768212.0,1.96,2.1,5408320.0
2009,4828726.0,1.98,4828726.0,1.98,4828726.0,1.98,4828726.0,1.98,2.1,5408320.0
2010,4889252.0,1.95,4889252.0,1.95,4889252.0,1.95,4889252.0,1.95,2.1,5408320.0
2011,4953088.0,1.88,4953088.0,1.88,4953088.0,1.88,4953088.0,1.88,2.1,5408320.0
2012,5018573.0,1.85,5018573.0,1.85,5018573.0,1.85,5018573.0,1.85,2.1,5408320.0
2013,5079623.0,1.78,5079623.0,1.78,5079623.0,1.78,5079623.0,1.78,2.1,5408320.0
2014,5137232.0,1.75,5137232.0,1.75,5137232.0,1.75,5137232.0,1.75,2.1,5408320.0
2015,5188607.0,1.72,5188607.0,1.72,5188607.0,1.72,5188607.0,1.72,2.1,5408320.0
2016,5234519.0,1.71,5234519.0,1.71,5234519.0,1.71,5234519.0,1.71,2.1,5408320.0
2017,5276968.0,1.62,5276968.0,1.62,5276968.0,1.62,5276968.0,1.62,2.1,5408320.0
2018,5311916.0,1.56,5311916.0,1.56,5311916.0,1.56,5311916.0,1.56,2.1,5408320.0
2019,5347896.0,1.53,5347896.0,1.53,5347896.0,1.53,5347896.0,1.53,2.1,5408320.0
2020,5379475.0,1.48,5379475.0,1.48,5379475.0,1.48,5379475.0,1.48,2.1,5408320.0
2021,5408320.0,1.48,5408320.0,1.48,5408320.0,1.48,5408320.0,1.48,2.1,5408320.0
2022,5388642.863,1.464,5388015.77,1.444,5388761.961,1.468,5389130.705,1.48,2.1,5408320.0
2023,5368483.081,1.449,5366623.741,1.409,5368838.146,1.456,5369941.41,1.48,2.1,5408320.0
2024,5347845.793,1.433,5344170.393,1.375,5348551.5,1.445,5350752.114,1.48,2.1,5408320.0
2025,5326736.084,1.418,5320681.556,1.341,5327904.944,1.433,5331562.819,1.48,2.1,5408320.0
2026,5305158.986,1.403,5296182.435,1.308,5306901.375,1.421,5312373.524,1.48,2.1,5408320.0
2027,5283119.478,1.388,5270697.619,1.277,5285543.666,1.41,5293184.229,1.48,2.1,5408320.0
2028,5260622.482,1.373,5244251.102,1.246,5263834.67,1.399,5273994.933,1.48,2.1,5408320.0
2029,5237672.872,1.359,5216866.29,1.215,5241777.213,1.387,5254805.638,1.48,2.1,5408320.0
2030,5214275.468,1.344,5188566.022,1.186,5219374.101,1.376,5235616.343,1.48,2.1,5408320.0
2031,5190435.039,1.33,5159372.579,1.157,5196628.116,1.365,5216427.048,1.48,2.1,5408320.0
2032,5166156.304,1.316,5129307.703,1.129,5173542.018,1.354,5197237.752,1.48,2.1,5408320.0
2033,5141443.929,1.302,5098392.602,1.101,5150118.546,1.343,5178048.457,1.48,2.1,5408320.0
2034,5116302.534,1.288,5066647.973,1.074,5126360.415,1.332,5158859.162,1.48,2.1,5408320.0
2035,5090736.687,1.274,5034094.006,1.048,5102270.319,1.322,5139669.867,1.48,2.1,5408320.0
2036,5064750.909,1.26,5000750.399,1.023,5077850.931,1.311,5120480.571,1.48,2.1,5408320.0
2037,5038349.672,1.247,4966636.373,0.998,5053104.9,1.3,5101291.276,1.48,2.1,5408320.0
2038,5011537.401,1.234,4931770.68,0.974,5028034.858,1.29,5082101.981,1.48,2.1,5408320.0
2039,4984318.473,1.221,4896171.615,0.95,5002643.411,1.28,5062912.686,1.48,2.1,5408320.0
2040,4956697.22,1.208,4859857.029,0.927,4976933.148,1.269,5043723.39,1.48,2.1,5408320.0
2041,4928677.925,1.195,4822844.337,0.904,4950906.635,1.259,5024534.095,1.48,2.1,5408320.0
2042,4900264.828,1.182,4785150.531,0.882,4924566.418,1.249,5005344.8,1.48,2.1,5408320.0
2043,4871462.124,1.169,4746792.19,0.861,4897915.021,1.239,4986155.505,1.48,2.1,5408320.0
2044,4842273.961,1.157,4707785.489,0.84,4870954.95,1.229,4966966.21,1.48,2.1,5408320.0
2045,4812704.444,1.145,4668146.207,0.819,4843688.69,1.219,4947776.914,1.48,2.1,5408320.0
2046,4782757.636,1.132,4627889.744,0.799,4816118.706,1.209,4928587.619,1.48,2.1,5408320.0
2047,4752437.553,1.12,4587031.12,0.78,4788247.442,1.199,4909398.324,1.48,2.1,5408320.0
2048,4721748.172,1.108,4545584.992,0.761,4760077.324,1.19,4890209.029,1.48,2.1,5408320.0
2049,4690693.426,1.097,4503565.66,0.742,4731610.758,1.18,4871019.733,1.48,2.1,5408320.0
2050,4659277.205,1.085,4460987.077,0.724,4702850.13,1.171,4851830.438,1.48,2.1,5408320.0
2051,4627503.36,1.073,4417862.853,0.707,4673797.807,1.161,4832641.143,1.48,2.1,5408320.0
2052,4595375.698,1.062,4374206.27,0.689,4644456.137,1.152,4813451.848,1.48,2.1,5408320.0
2053,4562897.989,1.051,4330030.286,0.673,4614827.45,1.143,4794262.552,1.48,2.1,5408320.0
2054,4530073.96,1.039,4285347.543,0.656,4584914.056,1.134,4775073.257,1.48,2.1,5408320.0
2055,4496907.299,1.028,4240170.375,0.64,4554718.248,1.124,4755883.962,1.48,2.1,5408320.0
2056,4463401.656,1.017,4194510.817,0.625,4524242.297,1.115,4736694.667,1.48,2.1,5408320.0
2057,4429560.641,1.007,4148380.609,0.61,4493488.461,1.106,4717505.371,1.48,2.1,5408320.0
2058,4395387.825,0.996,4101791.209,0.595,4462458.974,1.097,4698316.076,1.48,2.1,5408320.0
2059,4360886.742,0.985,4054753.791,0.58,4431156.058,1.089,4679126.781,1.48,2.1,5408320.0
2060,4326060.889,0.975,4007279.262,0.566,4399581.912,1.08,4659937.486,1.48,2.1,5408320.0
2061,4290913.723,0.964,3959378.26,0.552,4367738.72,1.071,4640748.19,1.48,2.1,5408320.0
2062,4255448.667,0.954,3911061.166,0.539,4335628.648,1.063,4621558.895,1.48,2.1,5408320.0
2063,4219669.107,0.944,3862338.108,0.526,4303253.845,1.054,4602369.6,1.48,2.1,5408320.0
2064,4183578.391,0.934,3813218.965,0.513,4270616.44,1.045,4583180.305,1.48,2.1,5408320.0
2065,4147179.835,0.924,3763713.381,0.5,4237718.55,1.037,4563991.01,1.48,2.1,5408320.0
2066,4110476.715,0.914,3713830.759,0.488,4204562.269,1.029,4544801.714,1.48,2.1,5408320.0
2067,4073472.277,0.904,3663580.278,0.476,4171149.678,1.02,4525612.419,1.48,2.1,5408320.0
2068,4036169.728,0.895,3612970.891,0.465,4137482.841,1.012,4506423.124,1.48,2.1,5408320.0
2069,3998572.244,0.885,3562011.334,0.454,4103563.805,1.004,4487233.829,1.48,2.1,5408320.0
2070,3960682.966,0.876,3510710.13,0.442,4069394.598,0.996,4468044.533,1.48,2.1,5408320.0
2071,3922505.001,0.866,3459075.594,0.432,4034977.237,0.988,4448855.238,1.48,2.1,5408320.0
2072,3884041.424,0.857,3407115.841,0.421,4000313.717,0.98,4429665.943,1.48,2.1,5408320.0
2073,3845295.277,0.848,3354838.785,0.411,3965406.02,0.972,4410476.648,1.48,2.1,5408320.0
2074,3806269.568,0.839,3302252.15,0.401,3930256.113,0.964,4391287.352,1.48,2.1,5408320.0
