year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,10105060.0,5.959,10105060.0,5.959,10105060.0,5.959,10105060.0,5.959,2.1,29674920.0
1961,10267260.0,5.96,10267260.0,5.96,10267260.0,5.96,10267260.0,5.96,2.1,29674920.0
1962,10433147.0,5.962,10433147.0,5.962,10433147.0,5.962,10433147.0,5.962,2.1,29674920.0
1963,10604620.0,5.964,10604620.0,5.964,10604620.0,5.964,10604620.0,5.964,2.1,29674920.0
1964,10783958.0,5.965,10783958.0,5.965,10783958.0,5.965,10783958.0,5.965,2.1,29674920.0
1965,10972912.0,5.966,10972912.0,5.966,10972912.0,5.966,10972912.0,5.966,2.1,29674920.0
1966,11172530.0,5.963,11172530.0,5.963,11172530.0,5.963,11172530.0,5.963,2.1,29674920.0
1967,11382965.0,5.958,11382965.0,5.958,11382965.0,5.958,11382965.0,5.958,2.1,29674920.0
1968,11603921.0,5.948,11603921.0,5.948,11603921.0,5.948,11603921.0,5.948,2.1,29674920.0
1969,11834657.0,5.934,11834657.0,5.934,11834657.0,5.934,11834657.0,5.934,2.1,29674920.0
1970,12074628.0,5.918,12074628.0,5.918,12074628.0,5.918,12074628.0,5.918,2.1,29674920.0
1971,12323984.0,5.901,12323984.0,5.901,12323984.0,5.901,12323984.0,5.901,2.1,29674920.0
1972,12583142.0,5.884,12583142.0,5.884,12583142.0,5.884,12583142.0,5.884,2.1,29674920.0
1973,12852205.0,5.868,12852205.0,5.868,12852205.0,5.868,12852205.0,5.868,2.1,29674920.0
1974,13131260.0,5.853,13131260.0,5.853,13131260.0,5.853,13131260.0,5.853,2.1,29674920.0
1975,13420367.0,5.838,13420367.0,5.838,13420367.0,5.838,13420367.0,5.838,2.1,29674920.0
1976,13719466.0,5.822,13719466.0,5.822,13719466.0,5.822,13719466.0,5.822,2.1,29674920.0
1977,14028535.0,5.804,14028535.0,5.804,14028535.0,5.804,14028535.0,5.804,2.1,29674920.0
1978,14347653.0,5.783,14347653.0,5.783,14347653.0,5.783,14347653.0,5.783,2.1,29674920.0
1979,14676932.0,5.756,14676932.0,5.756,14676932.0,5.756,14676932.0,5.756,2.1,29674920.0
1980,15016408.0,5.725,15016408.0,5.725,15016408.0,5.725,15016408.0,5.725,2.1,29674920.0
1981,15367229.0,5.687,15367229.0,5.687,15367229.0,5.687,15367229.0,5.687,2.1,29674920.0
1982,15729431.0,5.645,15729431.0,5.645,15729431.0,5.645,15729431.0,5.645,2.1,29674920.0
1983,16100623.0,5.597,16100623.0,5.597,16100623.0,5.597,16100623.0,5.597,2.1,29674920.0
1984,16477488.0,5.546,16477488.0,5.546,16477488.0,5.546,16477488.0,5.546,2.1,29674920.0
1985,16858315.0,5.49,16858315.0,5.49,16858315.0,5.49,16858315.0,5.49,2.1,29674920.0
1986,17239677.0,5.431,17239677.0,5.431,17239677.0,5.431,17239677.0,5.431,2.1,29674920.0
1987,17623697.0,5.371,17623697.0,5.371,17623697.0,5.371,17623697.0,5.371,2.1,29674920.0
1988,18020755.0,5.308,18020755.0,5.308,18020755.0,5.308,18020755.0,5.308,2.1,29674920.0
1989,18445021.0,5.242,18445021.0,5.242,18445021.0,5.242,18445021.0,5.242,2.1,29674920.0
1990,18905480.0,5.172,18905480.0,5.172,18905480.0,5.172,18905480.0,5.172,2.1,29674920.0
1991,19405506.0,5.099,19405506.0,5.099,19405506.0,5.099,19405506.0,5.099,2.1,29674920.0
1992,19938322.0,5.02,19938322.0,5.02,19938322.0,5.02,19938322.0,5.02,2.1,29674920.0
1993,20489973.0,4.934,20489973.0,4.934,20489973.0,4.934,20489973.0,4.934,2.1,29674920.0
1994,21040899.0,4.839,21040899.0,4.839,21040899.0,4.839,21040899.0,4.839,2.1,29674920.0
1995,21576074.0,4.731,21576074.0,4.731,21576074.0,4.731,21576074.0,4.731,2.1,29674920.0
1996,22090352.0,4.606,22090352.0,4.606,22090352.0,4.606,22090352.0,4.606,2.1,29674920.0
1997,22584772.0,4.464,22584772.0,4.464,22584772.0,4.464,22584772.0,4.464,2.1,29674920.0
1998,23057875.0,4.306,23057875.0,4.306,23057875.0,4.306,23057875.0,4.306,2.1,29674920.0
1999,23509971.0,4.135,23509971.0,4.135,23509971.0,4.135,23509971.0,4.135,2.1,29674920.0
2000,23941099.0,3.955,23941099.0,3.955,23941099.0,3.955,23941099.0,3.955,2.1,29674920.0
2001,24347113.0,3.772,24347113.0,3.772,24347113.0,3.772,24347113.0,3.772,2.1,29674920.0
2002,24725625.0,3.593,24725625.0,3.593,24725625.0,3.593,24725625.0,3.593,2.1,29674920.0
2003,25080880.0,3.422,25080880.0,3.422,25080880.0,3.422,25080880.0,3.422,2.1,29674920.0
2004,25419337.0,3.263,25419337.0,3.263,25419337.0,3.263,25419337.0,3.263,2.1,29674920.0
2005,25744500.0,3.118,25744500.0,3.118,25744500.0,3.118,25744500.0,3.118,2.1,29674920.0
2006,26066687.0,2.986,26066687.0,2.986,26066687.0,2.986,26066687.0,2.986,2.1,29674920.0
2007,26382586.0,2.865,26382586.0,2.865,26382586.0,2.865,26382586.0,2.865,2.1,29674920.0
2008,26666581.0,2.751,26666581.0,2.751,26666581.0,2.751,26666581.0,2.751,2.1,29674920.0
2009,26883531.0,2.644,26883531.0,2.644,26883531.0,2.644,26883531.0,2.644,2.1,29674920.0
2010,27013207.0,2.542,27013207.0,2.542,27013207.0,2.542,27013207.0,2.542,2.1,29674920.0
2011,27041220.0,2.444,27041220.0,2.444,27041220.0,2.444,27041220.0,2.444,2.1,29674920.0
2012,26989160.0,2.351,26989160.0,2.351,26989160.0,2.351,26989160.0,2.351,2.1,29674920.0
2013,26916795.0,2.261,26916795.0,2.261,26916795.0,2.261,26916795.0,2.261,2.1,29674920.0
2014,26905982.0,2.176,26905982.0,2.176,26905982.0,2.176,26905982.0,2.176,2.1,29674920.0
2015,27015033.0,2.098,27015033.0,2.098,27015033.0,2.098,27015033.0,2.098,2.1,29674920.0
2016,27263430.0,2.027,27263430.0,2.027,27263430.0,2.027,27263430.0,2.027,2.1,29674920.0
2017,27632682.0,1.967,27632682.0,1.967,27632682.0,1.967,27632682.0,1.967,2.1,29674920.0
2018,28095712.0,1.917,28095712.0,1.917,28095712.0,1.917,28095712.0,1.917,2.1,29674920.0
2019,28608715.0,1.876,28608715.0,1.876,28608715.0,1.876,28608715.0,1.876,2.1,29674920.0
2020,29136808.0,1.845,29136808.0,1.845,29136808.0,1.845,29136808.0,1.845,2.1,29674920.0
2021,29674920.0,1.845,29674920.0,1.845,29674920.0,1.845,29674920.0,1.845,2.1,29674920.0
