year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,4377.0,,4377.0,,4377.0,,4377.0,,2.1,10873.0
1961,4627.0,,4627.0,,4627.0,,4627.0,,2.1,10873.0
1962,4942.0,,4942.0,,4942.0,,4942.0,,2.1,10873.0
1963,5270.0,,5270.0,,5270.0,,5270.0,,2.1,10873.0
1964,5590.0,,5590.0,,5590.0,,5590.0,,2.1,10873.0
1965,5859.0,,5859.0,,5859.0,,5859.0,,2.1,10873.0
1966,6065.0,,6065.0,,6065.0,,6065.0,,2.1,10873.0
1967,6221.0,,6221.0,,6221.0,,6221.0,,2.1,10873.0
1968,6343.0,,6343.0,,6343.0,,6343.0,,2.1,10873.0
1969,6445.0,,6445.0,,6445.0,,6445.0,,2.1,10873.0
1970,6553.0,,6553.0,,6553.0,,6553.0,,2.1,10873.0
1971,6669.0,,6669.0,,6669.0,,6669.0,,2.1,10873.0
1972,6798.0,,6798.0,,6798.0,,6798.0,,2.1,10873.0
1973,6929.0,,6929.0,,6929.0,,6929.0,,2.1,10873.0
1974,7062.0,,7062.0,,7062.0,,7062.0,,2.1,10873.0
1975,7178.0,,7178.0,,7178.0,,7178.0,,2.1,10873.0
1976,7284.0,,7284.0,,7284.0,,7284.0,,2.1,10873.0
1977,7396.0,,7396.0,,7396.0,,7396.0,,2.1,10873.0
1978,7505.0,,7505.0,,7505.0,,7505.0,,2.1,10873.0
1979,7626.0,,7626.0,,7626.0,,7626.0,,2.1,10873.0
1980,7751.0,,7751.0,,7751.0,,7751.0,,2.1,10873.0
1981,7871.0,,7871.0,,7871.0,,7871.0,,2.1,10873.0
1982,8016.0,,8016.0,,8016.0,,8016.0,,2.1,10873.0
1983,8163.0,,8163.0,,8163.0,,8163.0,,2.1,10873.0
1984,8331.0,,8331.0,,8331.0,,8331.0,,2.1,10873.0
1985,8501.0,,8501.0,,8501.0,,8501.0,,2.1,10873.0
1986,8679.0,,8679.0,,8679.0,,8679.0,,2.1,10873.0
1987,8868.0,,8868.0,,8868.0,,8868.0,,2.1,10873.0
1988,9058.0,,9058.0,,9058.0,,9058.0,,2.1,10873.0
1989,9275.0,,9275.0,,9275.0,,9275.0,,2.1,10873.0
1990,9506.0,,9506.0,,9506.0,,9506.0,,2.1,10873.0
1991,9766.0,,9766.0,,9766.0,,9766.0,,2.1,10873.0
1992,10030.0,,10030.0,,10030.0,,10030.0,,2.1,10873.0
1993,10287.0,,10287.0,,10287.0,,10287.0,,2.1,10873.0
1994,10496.0,,10496.0,,10496.0,,10496.0,,2.1,10873.0
1995,10626.0,,10626.0,,10626.0,,10626.0,,2.1,10873.0
1996,10677.0,,10677.0,,10677.0,,10677.0,,2.1,10873.0
1997,10643.0,,10643.0,,10643.0,,10643.0,,2.1,10873.0
1998,10567.0,,10567.0,,10567.0,,10567.0,,2.1,10873.0
1999,10449.0,,10449.0,,10449.0,,10449.0,,2.1,10873.0
2000,10335.0,,10335.0,,10335.0,,10335.0,,2.1,10873.0
2001,10219.0,,10219.0,,10219.0,,10219.0,,2.1,10873.0
2002,10102.0,,10102.0,,10102.0,,10102.0,,2.1,10873.0
2003,9990.0,,9990.0,,9990.0,,9990.0,,2.1,10873.0
2004,9906.0,,9906.0,,9906.0,,9906.0,,2.1,10873.0
2005,9848.0,,9848.0,,9848.0,,9848.0,,2.1,10873.0
2006,9827.0,,9827.0,,9827.0,,9827.0,,2.1,10873.0
2007,9846.0,,9846.0,,9846.0,,9846.0,,2.1,10873.0
2008,9880.0,,9880.0,,9880.0,,9880.0,,2.1,10873.0
2009,9945.0,,9945.0,,9945.0,,9945.0,,2.1,10873.0
2010,10009.0,,10009.0,,10009.0,,10009.0,,2.1,10873.0
2011,10069.0,,10069.0,,10069.0,,10069.0,,2.1,10873.0
2012,10136.0,,10136.0,,10136.0,,10136.0,,2.1,10873.0
2013,10208.0,,10208.0,,10208.0,,10208.0,,2.1,10873.0
2014,10289.0,,10289.0,,10289.0,,10289.0,,2.1,10873.0
2015,10374.0,,10374.0,,10374.0,,10374.0,,2.1,10873.0
2016,10474.0,,10474.0,,10474.0,,10474.0,,2.1,10873.0
2017,10577.0,,10577.0,,10577.0,,10577.0,,2.1,10873.0
2018,10678.0,,10678.0,,10678.0,,10678.0,,2.1,10873.0
2019,10764.0,,10764.0,,10764.0,,10764.0,,2.1,10873.0
2020,10834.0,,10834.0,,10834.0,,10834.0,,2.1,10873.0
2021,10873.0,,10873.0,,10873.0,,10873.0,,2.1,10873.0
2022,,,,,,,,,2.1,10873.0
2023,,,,,,,,,2.1,10873.0
2024,,,,,,,,,2.1,10873.0
2025,,,,,,,,,2.1,10873.0
2026,,,,,,,,,2.1,10873.0
2027,,,,,,,,,2.1,10873.0
2028,,,,,,,,,2.1,10873.0
2029,,,,,,,,,2.1,10873.0
2030,,,,,,,,,2.1,10873.0
2031,,,,,,,,,2.1,10873.0
2032,,,,,,,,,2.1,10873.0
2033,,,,,,,,,2.1,10873.0
2034,,,,,,,,,2.1,10873.0
2035,,,,,,,,,2.1,10873.0
2036,,,,,,,,,2.1,10873.0
2037,,,,,,,,,2.1,10873.0
2038,,,,,,,,,2.1,10873.0
2039,,,,,,,,,2.1,10873.0
2040,,,,,,,,,2.1,10873.0
2041,,,,,,,,,2.1,10873.0
2042,,,,,,,,,2.1,10873.0
2043,,,,,,,,,2.1,10873.0
2044,,,,,,,,,2.1,10873.0
2045,,,,,,,,,2.1,10873.0
2046,,,,,,,,,2.1,10873.0
2047,,,,,,,,,2.1,10873.0
2048,,,,,,,,,2.1,10873.0
2049,,,,,,,,,2.1,10873.0
2050,,,,,,,,,2.1,10873.0
2051,,,,,,,,,2.1,10873.0
2052,,,,,,,,,2.1,10873.0
2053,,,,,,,,,2.1,10873.0
2054,,,,,,,,,2.1,10873.0
2055,,,,,,,,,2.1,10873.0
2056,,,,,,,,,2.1,10873.0
2057,,,,,,,,,2.1,10873.0
2058,,,,,,,,,2.1,10873.0
2059,,,,,,,,,2.1,10873.0
