year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,2371800.0,4.03,2371800.0,4.03,2371800.0,4.03,2371800.0,4.03,2.1,5122600.0
1961,2419700.0,3.975,2419700.0,3.975,2419700.0,3.975,2419700.0,3.975,2.1,5122600.0
1962,2482000.0,4.107,2482000.0,4.107,2482000.0,4.107,2482000.0,4.107,2.1,5122600.0
1963,2531800.0,3.989,2531800.0,3.989,2531800.0,3.989,2531800.0,3.989,2.1,5122600.0
1964,2585400.0,3.733,2585400.0,3.733,2585400.0,3.733,2585400.0,3.733,2.1,5122600.0
1965,2628400.0,3.54,2628400.0,3.54,2628400.0,3.54,2628400.0,3.54,2.1,5122600.0
1966,2675900.0,3.41,2675900.0,3.41,2675900.0,3.41,2675900.0,3.41,2.1,5122600.0
1967,2724100.0,3.354,2724100.0,3.354,2724100.0,3.354,2724100.0,3.354,2.1,5122600.0
1968,2748100.0,3.332,2748100.0,3.332,2748100.0,3.332,2748100.0,3.332,2.1,5122600.0
1969,2772800.0,3.269,2772800.0,3.269,2772800.0,3.269,2772800.0,3.269,2.1,5122600.0
1970,2810700.0,3.158,2810700.0,3.158,2810700.0,3.158,2810700.0,3.158,2.1,5122600.0
1971,2853000.0,3.194,2853000.0,3.194,2853000.0,3.194,2853000.0,3.194,2.1,5122600.0
1972,2903900.0,3.0,2903900.0,3.0,2903900.0,3.0,2903900.0,3.0,2.1,5122600.0
1973,2961300.0,2.696,2961300.0,2.696,2961300.0,2.696,2961300.0,2.696,2.1,5122600.0
1974,3023700.0,2.57,3023700.0,2.57,3023700.0,2.57,3023700.0,2.57,2.1,5122600.0
1975,3083100.0,2.331,3083100.0,2.331,3083100.0,2.331,3083100.0,2.331,2.1,5122600.0
1976,3110500.0,2.273,3110500.0,2.273,3110500.0,2.273,3110500.0,2.273,2.1,5122600.0
1977,3120200.0,2.229,3120200.0,2.229,3120200.0,2.229,3120200.0,2.229,2.1,5122600.0
1978,3121200.0,2.07,3121200.0,2.07,3121200.0,2.07,3121200.0,2.07,2.1,5122600.0
1979,3109000.0,2.12,3109000.0,2.12,3109000.0,2.12,3109000.0,2.12,2.1,5122600.0
1980,3112900.0,2.03,3112900.0,2.03,3112900.0,2.03,3112900.0,2.03,2.1,5122600.0
1981,3124900.0,2.01,3124900.0,2.01,3124900.0,2.01,3124900.0,2.01,2.1,5122600.0
1982,3156100.0,1.95,3156100.0,1.95,3156100.0,1.95,3156100.0,1.95,2.1,5122600.0
