year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,809413164.0,3.296778204,809413164.0,3.296778204,809413164.0,3.296778204,809413164.0,3.296778204,2.1,1375820281.0
1961,820690358.0,3.3059488,820690358.0,3.3059488,820690358.0,3.3059488,820690358.0,3.3059488,2.1,1375820281.0
1962,832204126.0,3.263245296,832204126.0,3.263245296,832204126.0,3.263245296,832204126.0,3.263245296,2.1,1375820281.0
1963,843700013.0,3.244652402,843700013.0,3.244652402,843700013.0,3.244652402,843700013.0,3.244652402,2.1,1375820281.0
1964,855187441.0,3.225919706,855187441.0,3.225919706,855187441.0,3.225919706,855187441.0,3.225919706,2.1,1375820281.0
1965,866357882.0,3.135400905,866357882.0,3.135400905,866357882.0,3.135400905,866357882.0,3.135400905,2.1,1375820281.0
1966,877034871.0,2.983039737,877034871.0,2.983039737,877034871.0,2.983039737,877034871.0,2.983039737,2.1,1375820281.0
1967,887433263.0,2.971000636,887433263.0,2.971000636,887433263.0,2.971000636,887433263.0,2.971000636,2.1,1375820281.0
1968,897619456.0,2.921177841,897619456.0,2.921177841,897619456.0,2.921177841,897619456.0,2.921177841,2.1,1375820281.0
1969,907848349.0,2.881046735,907848349.0,2.881046735,907848349.0,2.881046735,907848349.0,2.881046735,2.1,1375820281.0
1970,917970733.0,2.846680882,917970733.0,2.846680882,917970733.0,2.846680882,917970733.0,2.846680882,2.1,1375820281.0
1971,929959388.0,2.780532851,929959388.0,2.780532851,929959388.0,2.780532851,929959388.0,2.780532851,2.1,1375820281.0
1972,940747243.0,2.645788789,940747243.0,2.645788789,940747243.0,2.645788789,940747243.0,2.645788789,2.1,1375820281.0
1973,951245160.0,2.559948453,951245160.0,2.559948453,951245160.0,2.559948453,951245160.0,2.559948453,2.1,1375820281.0
1974,961564535.0,2.502146473,961564535.0,2.502146473,961564535.0,2.502146473,961564535.0,2.502146473,2.1,1375820281.0
1975,971664215.0,2.410727012,971664215.0,2.410727012,971664215.0,2.410727012,971664215.0,2.410727012,2.1,1375820281.0
1976,981155050.0,2.34456716,981155050.0,2.34456716,981155050.0,2.34456716,981155050.0,2.34456716,2.1,1375820281.0
1977,990517797.0,2.303609601,990517797.0,2.303609601,990517797.0,2.303609601,990517797.0,2.303609601,2.1,1375820281.0
1978,999924442.0,2.249878132,999924442.0,2.249878132,999924442.0,2.249878132,999924442.0,2.249878132,2.1,1375820281.0
1979,1009488956.0,2.244464103,1009488956.0,2.244464103,1009488956.0,2.244464103,1009488956.0,2.244464103,2.1,1375820281.0
1980,1018954080.0,2.222008236,1018954080.0,2.222008236,1018954080.0,2.222008236,1018954080.0,2.222008236,2.1,1375820281.0
1981,1028314741.0,2.16880284,1028314741.0,2.16880284,1028314741.0,2.16880284,1028314741.0,2.16880284,2.1,1375820281.0
1982,1037309705.0,2.147613216,1037309705.0,2.147613216,1037309705.0,2.147613216,1037309705.0,2.147613216,2.1,1375820281.0
1983,1045955467.0,2.102026185,1045955467.0,2.102026185,1045955467.0,2.102026185,1045955467.0,2.102026185,2.1,1375820281.0
1984,1054256534.0,2.065729426,1054256534.0,2.065729426,1054256534.0,2.065729426,1054256534.0,2.065729426,2.1,1375820281.0
1985,1062613469.0,2.053552848,1062613469.0,2.053552848,1062613469.0,2.053552848,1062613469.0,2.053552848,2.1,1375820281.0
1986,1071150369.0,2.025105664,1071150369.0,2.025105664,1071150369.0,2.025105664,1071150369.0,2.025105664,2.1,1375820281.0
1987,1079711152.0,2.010043824,1079711152.0,2.010043824,1079711152.0,2.010043824,1079711152.0,2.010043824,2.1,1375820281.0
1988,1088387125.0,2.014244391,1088387125.0,2.014244391,1088387125.0,2.014244391,1088387125.0,2.014244391,2.1,1375820281.0
1989,1097531158.0,2.003341399,1097531158.0,2.003341399,1097531158.0,2.003341399,1097531158.0,2.003341399,2.1,1375820281.0
1990,1107196961.0,2.013754004,1107196961.0,2.013754004,1107196961.0,2.013754004,1107196961.0,2.013754004,2.1,1375820281.0
1991,1117820520.0,1.988274764,1117820520.0,1.988274764,1117820520.0,1.988274764,1117820520.0,1.988274764,2.1,1375820281.0
1992,1128349539.0,1.96151748,1128349539.0,1.96151748,1128349539.0,1.96151748,1128349539.0,1.96151748,2.1,1375820281.0
1993,1138362949.0,1.921429903,1138362949.0,1.921429903,1138362949.0,1.921429903,1138362949.0,1.921429903,2.1,1375820281.0
1994,1147748534.0,1.89831023,1147748534.0,1.89831023,1147748534.0,1.89831023,1147748534.0,1.89831023,2.1,1375820281.0
1995,1156879819.0,1.860317653,1156879819.0,1.860317653,1156879819.0,1.860317653,1156879819.0,1.860317653,2.1,1375820281.0
1996,1165880992.0,1.8495769,1165880992.0,1.8495769,1165880992.0,1.8495769,1165880992.0,1.8495769,2.1,1375820281.0
1997,1174865635.0,1.835242684,1174865635.0,1.835242684,1174865635.0,1.835242684,1174865635.0,1.835242684,2.1,1375820281.0
1998,1183546848.0,1.827454765,1183546848.0,1.827454765,1183546848.0,1.827454765,1183546848.0,1.827454765,2.1,1375820281.0
1999,1192267323.0,1.816081304,1192267323.0,1.816081304,1192267323.0,1.816081304,1192267323.0,1.816081304,2.1,1375820281.0
2000,1200836415.0,1.833894854,1200836415.0,1.833894854,1200836415.0,1.833894854,1200836415.0,1.833894854,2.1,1375820281.0
