year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,551735.0,7.247,551735.0,7.247,551735.0,7.247,551735.0,7.247,2.1,5223376.0
1961,564891.0,7.248,564891.0,7.248,564891.0,7.248,564891.0,7.248,2.1,5223376.0
1962,578827.0,7.251,578827.0,7.251,578827.0,7.251,578827.0,7.251,2.1,5223376.0
1963,593498.0,7.256,593498.0,7.256,593498.0,7.256,593498.0,7.256,2.1,5223376.0
1964,608890.0,7.263,608890.0,7.263,608890.0,7.263,608890.0,7.263,2.1,5223376.0
1965,625006.0,7.271,625006.0,7.271,625006.0,7.271,625006.0,7.271,2.1,5223376.0
1966,642007.0,7.277,642007.0,7.277,642007.0,7.277,642007.0,7.277,2.1,5223376.0
1967,660117.0,7.282,660117.0,7.282,660117.0,7.282,660117.0,7.282,2.1,5223376.0
1968,679592.0,7.286,679592.0,7.286,679592.0,7.286,679592.0,7.286,2.1,5223376.0
1969,700725.0,7.293,700725.0,7.293,700725.0,7.293,700725.0,7.293,2.1,5223376.0
1970,723842.0,7.311,723842.0,7.311,723842.0,7.311,723842.0,7.311,2.1,5223376.0
1971,748968.0,7.35,748968.0,7.35,748968.0,7.35,748968.0,7.35,2.1,5223376.0
1972,776385.0,7.414,776385.0,7.414,776385.0,7.414,776385.0,7.414,2.1,5223376.0
1973,806985.0,7.504,806985.0,7.504,806985.0,7.504,806985.0,7.504,2.1,5223376.0
1974,841952.0,7.617,841952.0,7.617,841952.0,7.617,841952.0,7.617,2.1,5223376.0
1975,882038.0,7.747,882038.0,7.747,882038.0,7.747,882038.0,7.747,2.1,5223376.0
1976,927434.0,7.885,927434.0,7.885,927434.0,7.885,927434.0,7.885,2.1,5223376.0
1977,977804.0,8.018,977804.0,8.018,977804.0,8.018,977804.0,8.018,2.1,5223376.0
1978,1032797.0,8.137,1032797.0,8.137,1032797.0,8.137,1032797.0,8.137,2.1,5223376.0
1979,1091858.0,8.232,1091858.0,8.232,1091858.0,8.232,1091858.0,8.232,2.1,5223376.0
1980,1154373.0,8.299,1154373.0,8.299,1154373.0,8.299,1154373.0,8.299,2.1,5223376.0
1981,1220578.0,8.338,1220578.0,8.338,1220578.0,8.338,1220578.0,8.338,2.1,5223376.0
1982,1290121.0,8.352,1290121.0,8.352,1290121.0,8.352,1290121.0,8.352,2.1,5223376.0
1983,1361085.0,8.34,1361085.0,8.34,1361085.0,8.34,1361085.0,8.34,2.1,5223376.0
1984,1431066.0,8.299,1431066.0,8.299,1431066.0,8.299,1431066.0,8.299,2.1,5223376.0
