year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,9151857.0,5.080087197,9151857.0,5.080087197,9151857.0,5.080087197,9151857.0,5.080087197,2.1,32464282.0
1961,9315834.0,5.071002743,9315834.0,5.071002743,9315834.0,5.071002743,9315834.0,5.071002743,2.1,32464282.0
1962,9485194.0,5.068117941,9485194.0,5.068117941,9485194.0,5.068117941,9485194.0,5.068117941,2.1,32464282.0
1963,9659416.0,5.040369108,9659416.0,5.040369108,9659416.0,5.040369108,9659416.0,5.040369108,2.1,32464282.0
1964,9840401.0,5.026037231,9840401.0,5.026037231,9840401.0,5.026037231,9840401.0,5.026037231,2.1,32464282.0
1965,10026023.0,4.984338551,10026023.0,4.984338551,10026023.0,4.984338551,10026023.0,4.984338551,2.1,32464282.0
1966,10214282.0,4.952511963,10214282.0,4.952511963,10214282.0,4.952511963,10214282.0,4.952511963,2.1,32464282.0
1967,10406007.0,4.927693303,10406007.0,4.927693303,10406007.0,4.927693303,10406007.0,4.927693303,2.1,32464282.0
1968,10606217.0,4.918841526,10606217.0,4.918841526,10606217.0,4.918841526,10606217.0,4.918841526,2.1,32464282.0
1969,10813719.0,4.912437786,10813719.0,4.912437786,10813719.0,4.912437786,10813719.0,4.912437786,2.1,32464282.0
1970,11029164.0,4.902425817,11029164.0,4.902425817,11029164.0,4.902425817,11029164.0,4.902425817,2.1,32464282.0
1971,11255188.0,4.889563323,11255188.0,4.889563323,11255188.0,4.889563323,11255188.0,4.889563323,2.1,32464282.0
1972,11488070.0,4.867432271,11488070.0,4.867432271,11488070.0,4.867432271,11488070.0,4.867432271,2.1,32464282.0
1973,11725338.0,4.83177984,11725338.0,4.83177984,11725338.0,4.83177984,11725338.0,4.83177984,2.1,32464282.0
1974,11968057.0,4.815963682,11968057.0,4.815963682,11968057.0,4.815963682,11968057.0,4.815963682,2.1,32464282.0
1975,12219420.0,4.818124198,12219420.0,4.818124198,12219420.0,4.818124198,12219420.0,4.818124198,2.1,32464282.0
1976,12475005.0,4.805512172,12475005.0,4.805512172,12475005.0,4.805512172,12475005.0,4.805512172,2.1,32464282.0
1977,12737700.0,4.791460194,12737700.0,4.791460194,12737700.0,4.791460194,12737700.0,4.791460194,2.1,32464282.0
1978,13008020.0,4.778484481,13008020.0,4.778484481,13008020.0,4.778484481,13008020.0,4.778484481,2.1,32464282.0
1979,13294824.0,4.773844537,13294824.0,4.773844537,13294824.0,4.773844537,13294824.0,4.773844537,2.1,32464282.0
1980,13598547.0,4.765319465,13598547.0,4.765319465,13598547.0,4.765319465,13598547.0,4.765319465,2.1,32464282.0
1981,13917150.0,4.749915629,13917150.0,4.749915629,13917150.0,4.749915629,13917150.0,4.749915629,2.1,32464282.0
1982,14253285.0,4.722250907,14253285.0,4.722250907,14253285.0,4.722250907,14253285.0,4.722250907,2.1,32464282.0
1983,14600166.0,4.710230135,14600166.0,4.710230135,14600166.0,4.710230135,14600166.0,4.710230135,2.1,32464282.0
1984,14962369.0,4.667781739,14962369.0,4.667781739,14962369.0,4.667781739,14962369.0,4.667781739,2.1,32464282.0
1985,15347574.0,4.612560142,15347574.0,4.612560142,15347574.0,4.612560142,15347574.0,4.612560142,2.1,32464282.0
1986,15754491.0,4.571251909,15754491.0,4.571251909,15754491.0,4.571251909,15754491.0,4.571251909,2.1,32464282.0
1987,16180206.0,4.534778522,16180206.0,4.534778522,16180206.0,4.534778522,16180206.0,4.534778522,2.1,32464282.0
1988,16610046.0,4.504088968,16610046.0,4.504088968,16610046.0,4.504088968,16610046.0,4.504088968,2.1,32464282.0
1989,17031505.0,4.453829984,17031505.0,4.453829984,17031505.0,4.453829984,17031505.0,4.453829984,2.1,32464282.0
1990,17430785.0,4.390490289,17430785.0,4.390490289,17430785.0,4.390490289,17430785.0,4.390490289,2.1,32464282.0
1991,17813808.0,4.301936587,17813808.0,4.301936587,17813808.0,4.301936587,17813808.0,4.301936587,2.1,32464282.0
1992,18156582.0,4.232151201,18156582.0,4.232151201,18156582.0,4.232151201,18156582.0,4.232151201,2.1,32464282.0
1993,18476080.0,4.140975606,18476080.0,4.140975606,18476080.0,4.140975606,18476080.0,4.140975606,2.1,32464282.0
1994,18801091.0,4.06620902,18801091.0,4.06620902,18801091.0,4.06620902,18801091.0,4.06620902,2.1,32464282.0
1995,19125038.0,3.984832241,19125038.0,3.984832241,19125038.0,3.984832241,19125038.0,3.984832241,2.1,32464282.0
1996,19460551.0,3.91705576,19460551.0,3.91705576,19460551.0,3.91705576,19460551.0,3.91705576,2.1,32464282.0
1997,19809591.0,3.828680756,19809591.0,3.828680756,19809591.0,3.828680756,19809591.0,3.828680756,2.1,32464282.0
1998,20163900.0,3.754202566,20163900.0,3.754202566,20163900.0,3.754202566,20163900.0,3.754202566,2.1,32464282.0
1999,20540135.0,3.695121614,20540135.0,3.695121614,20540135.0,3.695121614,20540135.0,3.695121614,2.1,32464282.0
2000,20917080.0,3.638494837,20917080.0,3.638494837,20917080.0,3.638494837,20917080.0,3.638494837,2.1,32464282.0
2001,21276754.0,3.575747751,21276754.0,3.575747751,21276754.0,3.575747751,21276754.0,3.575747751,2.1,32464282.0
2002,21639144.0,3.535050291,21639144.0,3.535050291,21639144.0,3.535050291,21639144.0,3.535050291,2.1,32464282.0
2003,22018460.0,3.491403823,22018460.0,3.491403823,22018460.0,3.491403823,22018460.0,3.491403823,2.1,32464282.0
2004,22442097.0,3.46016981,22442097.0,3.46016981,22442097.0,3.46016981,22442097.0,3.46016981,2.1,32464282.0
