year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,44988690.0,6.6,44988690.0,6.6,44988690.0,6.6,44988690.0,6.6,2.1,225199929.0
1961,46065229.0,6.6,46065229.0,6.6,46065229.0,6.6,46065229.0,6.6,2.1,225199929.0
1962,47198886.0,6.6,47198886.0,6.6,47198886.0,6.6,47198886.0,6.6,2.1,225199929.0
1963,48387293.0,6.6,48387293.0,6.6,48387293.0,6.6,48387293.0,6.6,2.1,225199929.0
1964,49627623.0,6.6,49627623.0,6.6,49627623.0,6.6,49627623.0,6.6,2.1,225199929.0
1965,50917975.0,6.6,50917975.0,6.6,50917975.0,6.6,50917975.0,6.6,2.1,225199929.0
1966,52260183.0,6.6,52260183.0,6.6,52260183.0,6.6,52260183.0,6.6,2.1,225199929.0
1967,53655783.0,6.6,53655783.0,6.6,53655783.0,6.6,53655783.0,6.6,2.1,225199929.0
1968,55102690.0,6.6,55102690.0,6.6,55102690.0,6.6,55102690.0,6.6,2.1,225199929.0
1969,56598148.0,6.6,56598148.0,6.6,56598148.0,6.6,56598148.0,6.6,2.1,225199929.0
1970,58142062.0,6.601,58142062.0,6.601,58142062.0,6.601,58142062.0,6.601,2.1,225199929.0
1971,59734479.0,6.602,59734479.0,6.602,59734479.0,6.602,59734479.0,6.602,2.1,225199929.0
1972,61381982.0,6.605,61381982.0,6.605,61381982.0,6.605,61381982.0,6.605,2.1,225199929.0
1973,63099404.0,6.608,63099404.0,6.608,63099404.0,6.608,63099404.0,6.608,2.1,225199929.0
1974,64905996.0,6.611,64905996.0,6.611,64905996.0,6.611,64905996.0,6.611,2.1,225199929.0
1975,66816875.0,6.612,66816875.0,6.612,66816875.0,6.612,66816875.0,6.612,2.1,225199929.0
1976,68834324.0,6.608,68834324.0,6.608,68834324.0,6.608,68834324.0,6.608,2.1,225199929.0
1977,70958168.0,6.599,70958168.0,6.599,70958168.0,6.599,70958168.0,6.599,2.1,225199929.0
1978,73197254.0,6.583,73197254.0,6.583,73197254.0,6.583,73197254.0,6.583,2.1,225199929.0
1979,75561128.0,6.561,75561128.0,6.561,75561128.0,6.561,75561128.0,6.561,2.1,225199929.0
1980,78054346.0,6.534,78054346.0,6.534,78054346.0,6.534,78054346.0,6.534,2.1,225199929.0
1981,80680461.0,6.504,80680461.0,6.504,80680461.0,6.504,80680461.0,6.504,2.1,225199929.0
1982,83431597.0,6.474,83431597.0,6.474,83431597.0,6.474,83431597.0,6.474,2.1,225199929.0
1983,86285936.0,6.444,86285936.0,6.444,86285936.0,6.444,86285936.0,6.444,2.1,225199929.0
1984,89213708.0,6.415,89213708.0,6.415,89213708.0,6.415,89213708.0,6.415,2.1,225199929.0
1985,92191505.0,6.385,92191505.0,6.385,92191505.0,6.385,92191505.0,6.385,2.1,225199929.0
1986,95215375.0,6.354,95215375.0,6.354,95215375.0,6.354,95215375.0,6.354,2.1,225199929.0
1987,98285762.0,6.318,98285762.0,6.318,98285762.0,6.318,98285762.0,6.318,2.1,225199929.0
1988,101389603.0,6.276,101389603.0,6.276,101389603.0,6.276,101389603.0,6.276,2.1,225199929.0
1989,104512874.0,6.225,104512874.0,6.225,104512874.0,6.225,104512874.0,6.225,2.1,225199929.0
1990,107647918.0,6.164,107647918.0,6.164,107647918.0,6.164,107647918.0,6.164,2.1,225199929.0
1991,110778655.0,6.091,110778655.0,6.091,110778655.0,6.091,110778655.0,6.091,2.1,225199929.0
1992,113911126.0,6.007,113911126.0,6.007,113911126.0,6.007,113911126.0,6.007,2.1,225199929.0
1993,117086680.0,5.912,117086680.0,5.912,117086680.0,5.912,117086680.0,5.912,2.1,225199929.0
1994,120362764.0,5.808,120362764.0,5.808,120362764.0,5.808,120362764.0,5.808,2.1,225199929.0
1995,123776835.0,5.694,123776835.0,5.694,123776835.0,5.694,123776835.0,5.694,2.1,225199929.0
1996,127349293.0,5.571,127349293.0,5.571,127349293.0,5.571,127349293.0,5.571,2.1,225199929.0
1997,131057432.0,5.442,131057432.0,5.442,131057432.0,5.442,131057432.0,5.442,2.1,225199929.0
1998,134843233.0,5.308,134843233.0,5.308,134843233.0,5.308,134843233.0,5.308,2.1,225199929.0
1999,138624625.0,5.172,138624625.0,5.172,138624625.0,5.172,138624625.0,5.172,2.1,225199929.0
2000,142343583.0,5.037,142343583.0,5.037,142343583.0,5.037,142343583.0,5.037,2.1,225199929.0
2001,145978408.0,4.904,145978408.0,4.904,145978408.0,4.904,145978408.0,4.904,2.1,225199929.0
2002,149549695.0,4.774,149549695.0,4.774,149549695.0,4.774,149549695.0,4.774,2.1,225199929.0
2003,153093371.0,4.648,153093371.0,4.648,153093371.0,4.648,153093371.0,4.648,2.1,225199929.0
2004,156664698.0,4.528,156664698.0,4.528,156664698.0,4.528,156664698.0,4.528,2.1,225199929.0
2005,160304007.0,4.416,160304007.0,4.416,160304007.0,4.416,160304007.0,4.416,2.1,225199929.0
2006,164022626.0,4.31,164022626.0,4.31,164022626.0,4.31,164022626.0,4.31,2.1,225199929.0
2007,167808106.0,4.211,167808106.0,4.211,167808106.0,4.211,167808106.0,4.211,2.1,225199929.0
2008,171648984.0,4.118,171648984.0,4.118,171648984.0,4.118,171648984.0,4.118,2.1,225199929.0
2009,175525610.0,4.031,175525610.0,4.031,175525610.0,4.031,175525610.0,4.031,2.1,225199929.0
2010,179424643.0,3.951,179424643.0,3.951,179424643.0,3.951,179424643.0,3.951,2.1,225199929.0
2011,183340168.0,3.88,183340168.0,3.88,183340168.0,3.88,183340168.0,3.88,2.1,225199929.0
2012,187280125.0,3.816,187280125.0,3.816,187280125.0,3.816,187280125.0,3.816,2.1,225199929.0
2013,191260799.0,3.759,191260799.0,3.759,191260799.0,3.759,191260799.0,3.759,2.1,225199929.0
2014,195305012.0,3.708,195305012.0,3.708,195305012.0,3.708,195305012.0,3.708,2.1,225199929.0
2015,199426953.0,3.66,199426953.0,3.66,199426953.0,3.66,199426953.0,3.66,2.1,225199929.0
2016,203631356.0,3.612,203631356.0,3.612,203631356.0,3.612,203631356.0,3.612,2.1,225199929.0
2017,207906210.0,3.562,207906210.0,3.562,207906210.0,3.562,207906210.0,3.562,2.1,225199929.0
2018,212228288.0,3.51,212228288.0,3.51,212228288.0,3.51,212228288.0,3.51,2.1,225199929.0
2019,216565317.0,3.454,216565317.0,3.454,216565317.0,3.454,216565317.0,3.454,2.1,225199929.0
2020,220892331.0,3.394,220892331.0,3.394,220892331.0,3.394,220892331.0,3.394,2.1,225199929.0
2021,225199929.0,3.394,225199929.0,3.394,225199929.0,3.394,225199929.0,3.394,2.1,225199929.0
2022,227197677.124,3.356,227163778.657,3.335,227143212.867,3.322,227257917.075,3.394,2.1,225199929.0
2023,229135857.575,3.319,229035131.67,3.277,228974229.991,3.251,229315905.15,3.394,2.1,225199929.0
2024,231015135.128,3.282,230815601.181,3.22,230695366.04,3.182,231373893.226,3.394,2.1,225199929.0
2025,232836167.14,3.245,232506772.197,3.163,232308955.987,3.115,233431881.301,3.394,2.1,225199929.0
2026,234599603.63,3.209,234110202.084,3.108,233817285.186,3.048,235489869.376,3.394,2.1,225199929.0
2027,236306087.365,3.173,235627421.048,3.054,235222590.428,2.984,237547857.451,3.394,2.1,225199929.0
2028,237956253.937,3.138,237059932.608,3.001,236527060.972,2.92,239605845.527,3.394,2.1,225199929.0
2029,239550731.846,3.103,238409214.059,2.948,237732839.557,2.858,241663833.602,3.394,2.1,225199929.0
2030,241090142.577,3.068,239676716.936,2.897,238842023.385,2.797,243721821.677,3.394,2.1,225199929.0
2031,242575100.681,3.034,240863867.457,2.846,239856665.095,2.738,245779809.752,3.394,2.1,225199929.0
2032,244006213.848,3.0,241972066.967,2.797,240778773.708,2.68,247837797.828,3.394,2.1,225199929.0
2033,245384082.988,2.966,243002692.371,2.748,241610315.552,2.623,249895785.903,3.394,2.1,225199929.0
2034,246709302.304,2.933,243957096.562,2.7,242353215.17,2.567,251953773.978,3.394,2.1,225199929.0
2035,247982459.369,2.901,244836608.838,2.653,243009356.21,2.513,254011762.053,3.394,2.1,225199929.0
2036,249204135.196,2.868,245642535.313,2.607,243580582.291,2.459,256069750.129,3.394,2.1,225199929.0
2037,250374904.317,2.836,246376159.325,2.561,244068697.858,2.407,258127738.204,3.394,2.1,225199929.0
2038,251495334.851,2.804,247038741.828,2.517,244475469.007,2.356,260185726.279,3.394,2.1,225199929.0
2039,252565988.576,2.773,247631521.786,2.473,244802624.308,2.306,262243714.354,3.394,2.1,225199929.0
2040,253587421.001,2.742,248155716.556,2.43,245051855.597,2.257,264301702.43,3.394,2.1,225199929.0
2041,254560181.436,2.712,248612522.262,2.387,245224818.761,2.209,266359690.505,3.394,2.1,225199929.0
2042,255484813.061,2.681,249003114.171,2.346,245323134.496,2.162,268417678.58,3.394,2.1,225199929.0
2043,256361852.993,2.651,249328647.051,2.305,245348389.06,2.116,270475666.655,3.394,2.1,225199929.0
2044,257191832.354,2.622,249590255.532,2.264,245302135.004,2.071,272533654.73,3.394,2.1,225199929.0
2045,257975276.342,2.593,249789054.454,2.225,245185891.885,2.027,274591642.806,3.394,2.1,225199929.0
2046,258712704.291,2.564,249926139.218,2.186,245001146.971,1.984,276649630.881,3.394,2.1,225199929.0
2047,259404629.74,2.535,250002586.117,2.148,244749355.925,1.942,278707618.956,3.394,2.1,225199929.0
2048,260051560.497,2.507,250019452.676,2.111,244431943.478,1.9,280765607.031,3.394,2.1,225199929.0
2049,260653998.703,2.479,249977777.976,2.074,244050304.084,1.86,282823595.107,3.394,2.1,225199929.0
2050,261212440.894,2.451,249878582.976,2.038,243605802.566,1.821,284881583.182,3.394,2.1,225199929.0
2051,261727378.066,2.424,249722870.832,2.002,243099774.744,1.782,286939571.257,3.394,2.1,225199929.0
2052,262199295.735,2.397,249511627.201,1.967,242533528.051,1.744,288997559.332,3.394,2.1,225199929.0
2053,262628673.998,2.37,249245820.553,1.933,241908342.14,1.707,291055547.408,3.394,2.1,225199929.0
2054,263015987.596,2.344,248926402.467,1.899,241225469.468,1.671,293113535.483,3.394,2.1,225199929.0
2055,263361705.971,2.317,248554307.926,1.866,240486135.88,1.635,295171523.558,3.394,2.1,225199929.0
2056,263666293.324,2.292,248130455.608,1.833,239691541.168,1.6,297229511.633,3.394,2.1,225199929.0
2057,263930208.678,2.266,247655748.168,1.802,238842859.633,1.566,299287499.709,3.394,2.1,225199929.0
2058,264153905.933,2.241,247131072.52,1.77,237941240.62,1.533,301345487.784,3.394,2.1,225199929.0
2059,264337833.922,2.216,246557300.109,1.739,236987809.049,1.501,303403475.859,3.394,2.1,225199929.0
2060,264482436.471,2.191,245935287.183,1.709,235983665.938,1.469,305461463.934,3.394,2.1,225199929.0
2061,264588152.451,2.166,245265875.057,1.679,234929888.907,1.437,307519452.01,3.394,2.1,225199929.0
2062,264655415.836,2.142,244549890.371,1.65,233827532.676,1.407,309577440.085,3.394,2.1,225199929.0
2063,264684655.759,2.118,243788145.353,1.621,232677629.554,1.377,311635428.16,3.394,2.1,225199929.0
2064,264676296.559,2.095,242981438.061,1.593,231481189.912,1.348,313693416.235,3.394,2.1,225199929.0
2065,264630757.844,2.071,242130552.639,1.565,230239202.651,1.319,315751404.31,3.394,2.1,225199929.0
2066,264548454.537,2.048,241236259.552,1.538,228952635.659,1.291,317809392.386,3.394,2.1,225199929.0
2067,264429796.931,2.025,240299315.831,1.511,227622436.253,1.264,319867380.461,3.394,2.1,225199929.0
2068,264275190.74,2.003,239320465.302,1.485,226249531.624,1.237,321925368.536,3.394,2.1,225199929.0
2069,264085037.149,1.98,238300438.821,1.459,224834829.257,1.21,323983356.611,3.394,2.1,225199929.0
2070,263859732.869,1.958,237239954.495,1.433,223379217.354,1.185,326041344.687,3.394,2.1,225199929.0
2071,263599670.18,1.936,236139717.909,1.408,221883565.242,1.16,328099332.762,3.394,2.1,225199929.0
2072,263305236.986,1.915,235000422.344,1.384,220348723.777,1.135,330157320.837,3.394,2.1,225199929.0
2073,262976816.863,1.893,233822748.987,1.36,218775525.732,1.111,332215308.912,3.394,2.1,225199929.0
2074,262614789.105,1.872,232607367.147,1.336,217164786.184,1.087,334273296.988,3.394,2.1,225199929.0
2075,262219528.772,1.851,231354934.461,1.313,215517302.89,1.064,336331285.063,3.394,2.1,225199929.0
2076,261791406.74,1.831,230066097.094,1.29,213833856.654,1.042,338389273.138,3.394,2.1,225199929.0
2077,261330789.746,1.81,228741489.946,1.267,212115211.69,1.019,340447261.213,3.394,2.1,225199929.0
2078,260838040.434,1.79,227381736.839,1.245,210362115.971,0.998,342505249.289,3.394,2.1,225199929.0
2079,260313517.399,1.77,225987450.721,1.223,208575301.574,0.977,344563237.364,3.394,2.1,225199929.0
2080,259757575.238,1.75,224559233.847,1.202,206755485.021,0.956,346621225.439,3.394,2.1,225199929.0
2081,259170564.587,1.731,223097677.969,1.181,204903367.609,0.935,348679213.514,3.394,2.1,225199929.0
2082,258552832.171,1.712,221603364.519,1.16,203019635.731,0.916,350737201.59,3.394,2.1,225199929.0
2083,257904720.845,1.692,220076864.79,1.14,201104961.195,0.896,352795189.665,3.394,2.1,225199929.0
2084,257226569.636,1.674,218518740.11,1.12,199160001.53,0.877,354853177.74,3.394,2.1,225199929.0
2085,256518713.791,1.655,216929542.018,1.101,197185400.298,0.858,356911165.815,3.394,2.1,225199929.0
2086,255781484.814,1.636,215309812.435,1.082,195181787.38,0.84,358969153.89,3.394,2.1,225199929.0
2087,255015210.507,1.618,213660083.83,1.063,193149779.276,0.822,361027141.966,3.394,2.1,225199929.0
2088,254220215.018,1.6,211980879.386,1.044,191089979.382,0.805,363085130.041,3.394,2.1,225199929.0
2089,253396818.874,1.582,210272713.161,1.026,189002978.275,0.788,365143118.116,3.394,2.1,225199929.0
2090,252545339.027,1.565,208536090.248,1.008,186889353.98,0.771,367201106.191,3.394,2.1,225199929.0
2091,251666088.891,1.547,206771506.934,0.99,184749672.241,0.755,369259094.267,3.394,2.1,225199929.0
2092,250759378.383,1.53,204979450.846,0.973,182584486.777,0.739,371317082.342,3.394,2.1,225199929.0
2093,249825513.959,1.513,203160401.111,0.956,180394339.543,0.723,373375070.417,3.394,2.1,225199929.0
2094,248864798.659,1.496,201314828.496,0.94,178179760.976,0.708,375433058.492,3.394,2.1,225199929.0
2095,247877532.137,1.479,199443195.563,0.923,175941270.243,0.693,377491046.568,3.394,2.1,225199929.0
2096,246864010.705,1.463,197545956.801,0.907,173679375.476,0.678,379549034.643,3.394,2.1,225199929.0
2097,245824527.368,1.446,195623558.777,0.891,171394574.012,0.663,381607022.718,3.394,2.1,225199929.0
2098,244759371.862,1.43,193676440.269,0.876,169087352.618,0.649,383665010.793,3.394,2.1,225199929.0
2099,243668830.686,1.414,191705032.401,0.86,166758187.717,0.635,385722998.869,3.394,2.1,225199929.0
2100,242553187.146,1.399,189709758.781,0.845,164407545.609,0.622,387780986.944,3.394,2.1,225199929.0
2101,241412721.384,1.383,187691035.626,0.831,162035882.685,0.609,389838975.019,3.394,2.1,225199929.0
2102,240247710.416,1.367,185649271.898,0.816,159643645.637,0.596,391896963.094,3.394,2.1,225199929.0
2103,239058428.166,1.352,183584869.422,0.802,157231271.664,0.583,393954951.17,3.394,2.1,225199929.0
2104,237845145.501,1.337,181498223.02,0.788,154799188.678,0.571,396012939.245,3.394,2.1,225199929.0
2105,236608130.267,1.322,179389720.624,0.774,152347815.493,0.559,398070927.32,3.394,2.1,225199929.0
2106,235347647.319,1.307,177259743.405,0.761,149877562.027,0.547,400128915.395,3.394,2.1,225199929.0
2107,234063958.557,1.293,175108665.882,0.747,147388829.487,0.535,402186903.47,3.394,2.1,225199929.0
2108,232757322.957,1.278,172936856.045,0.734,144882010.551,0.524,404244891.546,3.394,2.1,225199929.0
2109,231427996.606,1.264,170744675.466,0.722,142357489.557,0.513,406302879.621,3.394,2.1,225199929.0
2110,230076232.733,1.25,168532479.409,0.709,139815642.673,0.502,408360867.696,3.394,2.1,225199929.0
2111,228702281.741,1.236,166300616.946,0.697,137256838.073,0.491,410418855.771,3.394,2.1,225199929.0
2112,227306391.238,1.222,164049431.058,0.685,134681436.11,0.481,412476843.847,3.394,2.1,225199929.0
2113,225888806.069,1.209,161779258.746,0.673,132089789.478,0.47,414534831.922,3.394,2.1,225199929.0
2114,224449768.346,1.195,159490431.133,0.661,129482243.375,0.46,416592819.997,3.394,2.1,225199929.0
2115,222989517.48,1.182,157183273.568,0.649,126859135.666,0.451,418650808.072,3.394,2.1,225199929.0
2116,221508290.209,1.169,154858105.724,0.638,124220797.034,0.441,420708796.148,3.394,2.1,225199929.0
2117,220006320.631,1.156,152515241.701,0.627,121567551.137,0.432,422766784.223,3.394,2.1,225199929.0
2118,218483840.229,1.143,150154990.121,0.616,118899714.754,0.423,424824772.298,3.394,2.1,225199929.0
2119,216941077.904,1.13,147777654.223,0.605,116217597.933,0.414,426882760.373,3.394,2.1,225199929.0
2120,215378260.003,1.117,145383531.956,0.595,113521504.133,0.405,428940748.449,3.394,2.1,225199929.0
2121,213795610.345,1.105,142972916.076,0.584,110811730.365,0.396,430998736.524,3.394,2.1,225199929.0
