year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,1133005.0,5.87,1133005.0,5.87,1133005.0,5.87,1133005.0,5.87,2.1,4381583.0
1961,1167120.0,5.846,1167120.0,5.846,1167120.0,5.846,1167120.0,5.846,2.1,4381583.0
1962,1202447.0,5.812,1202447.0,5.812,1202447.0,5.812,1202447.0,5.812,2.1,4381583.0
1963,1238893.0,5.765,1238893.0,5.765,1238893.0,5.765,1238893.0,5.765,2.1,4381583.0
1964,1276331.0,5.707,1276331.0,5.707,1276331.0,5.707,1276331.0,5.707,2.1,4381583.0
1965,1314679.0,5.638,1314679.0,5.638,1314679.0,5.638,1314679.0,5.638,2.1,4381583.0
1966,1353847.0,5.559,1353847.0,5.559,1353847.0,5.559,1353847.0,5.559,2.1,4381583.0
1967,1393824.0,5.472,1393824.0,5.472,1393824.0,5.472,1393824.0,5.472,2.1,4381583.0
1968,1434676.0,5.378,1434676.0,5.378,1434676.0,5.378,1434676.0,5.378,2.1,4381583.0
1969,1476481.0,5.279,1476481.0,5.279,1476481.0,5.279,1476481.0,5.279,2.1,4381583.0
1970,1519286.0,5.173,1519286.0,5.173,1519286.0,5.173,1519286.0,5.173,2.1,4381583.0
1971,1563093.0,5.06,1563093.0,5.06,1563093.0,5.06,1563093.0,5.06,2.1,4381583.0
1972,1607797.0,4.939,1607797.0,4.939,1607797.0,4.939,1607797.0,4.939,2.1,4381583.0
1973,1653208.0,4.81,1653208.0,4.81,1653208.0,4.81,1653208.0,4.81,2.1,4381583.0
1974,1699056.0,4.675,1699056.0,4.675,1699056.0,4.675,1699056.0,4.675,2.1,4381583.0
1975,1745142.0,4.537,1745142.0,4.537,1745142.0,4.537,1745142.0,4.537,2.1,4381583.0
1976,1791389.0,4.398,1791389.0,4.398,1791389.0,4.398,1791389.0,4.398,2.1,4381583.0
1977,1837804.0,4.26,1837804.0,4.26,1837804.0,4.26,1837804.0,4.26,2.1,4381583.0
1978,1884427.0,4.128,1884427.0,4.128,1884427.0,4.128,1884427.0,4.128,2.1,4381583.0
1979,1931302.0,4.002,1931302.0,4.002,1931302.0,4.002,1931302.0,4.002,2.1,4381583.0
1980,1978489.0,3.884,1978489.0,3.884,1978489.0,3.884,1978489.0,3.884,2.1,4381583.0
1981,2025965.0,3.775,2025965.0,3.775,2025965.0,3.775,2025965.0,3.775,2.1,4381583.0
