year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,10155011.0,6.941,10155011.0,6.941,10155011.0,6.941,10155011.0,6.941,2.1,33359416.0
1961,10446618.0,6.923,10446618.0,6.923,10446618.0,6.923,10446618.0,6.923,2.1,33359416.0
1962,10749463.0,6.895,10749463.0,6.895,10749463.0,6.895,10749463.0,6.895,2.1,33359416.0
1963,11062295.0,6.858,11062295.0,6.858,11062295.0,6.858,11062295.0,6.858,2.1,33359416.0
1964,11383364.0,6.81,11383364.0,6.81,11383364.0,6.81,11383364.0,6.81,2.1,33359416.0
1965,11711402.0,6.75,11711402.0,6.75,11711402.0,6.75,11711402.0,6.75,2.1,33359416.0
1966,12045783.0,6.68,12045783.0,6.68,12045783.0,6.68,12045783.0,6.68,2.1,33359416.0
1967,12386868.0,6.6,12386868.0,6.6,12386868.0,6.6,12386868.0,6.6,2.1,33359416.0
1968,12735491.0,6.513,12735491.0,6.513,12735491.0,6.513,12735491.0,6.513,2.1,33359416.0
1969,13092846.0,6.418,13092846.0,6.418,13092846.0,6.418,13092846.0,6.418,2.1,33359416.0
1970,13459789.0,6.316,13459789.0,6.316,13459789.0,6.316,13459789.0,6.316,2.1,33359416.0
1971,13836365.0,6.207,13836365.0,6.207,13836365.0,6.207,13836365.0,6.207,2.1,33359416.0
1972,14221954.0,6.091,14221954.0,6.091,14221954.0,6.091,14221954.0,6.091,2.1,33359416.0
1973,14615847.0,5.968,14615847.0,5.968,14615847.0,5.968,14615847.0,5.968,2.1,33359416.0
1974,15017060.0,5.841,15017060.0,5.841,15017060.0,5.841,15017060.0,5.841,2.1,33359416.0
1975,15424745.0,5.709,15424745.0,5.709,15424745.0,5.709,15424745.0,5.709,2.1,33359416.0
1976,15838568.0,5.575,15838568.0,5.575,15838568.0,5.575,15838568.0,5.575,2.1,33359416.0
1977,16258323.0,5.44,16258323.0,5.44,16258323.0,5.44,16258323.0,5.44,2.1,33359416.0
1978,16683451.0,5.305,16683451.0,5.305,16683451.0,5.305,16683451.0,5.305,2.1,33359416.0
1979,17113393.0,5.171,17113393.0,5.171,17113393.0,5.171,17113393.0,5.171,2.1,33359416.0
1980,17547612.0,5.041,17547612.0,5.041,17547612.0,5.041,17547612.0,5.041,2.1,33359416.0
1981,17985398.0,4.915,17985398.0,4.915,17985398.0,4.915,17985398.0,4.915,2.1,33359416.0
1982,18426420.0,4.795,18426420.0,4.795,18426420.0,4.795,18426420.0,4.795,2.1,33359416.0
1983,18870988.0,4.68,18870988.0,4.68,18870988.0,4.68,18870988.0,4.68,2.1,33359416.0
1984,19319746.0,4.568,19319746.0,4.568,19319746.0,4.568,19319746.0,4.568,2.1,33359416.0
1985,19772871.0,4.46,19772871.0,4.46,19772871.0,4.46,19772871.0,4.46,2.1,33359416.0
1986,20230385.0,4.354,20230385.0,4.354,20230385.0,4.354,20230385.0,4.354,2.1,33359416.0
1987,20691285.0,4.247,20691285.0,4.247,20691285.0,4.247,20691285.0,4.247,2.1,33359416.0
1988,21153462.0,4.138,21153462.0,4.138,21153462.0,4.138,21153462.0,4.138,2.1,33359416.0
1989,21614193.0,4.026,21614193.0,4.026,21614193.0,4.026,21614193.0,4.026,2.1,33359416.0
1990,22071433.0,3.912,22071433.0,3.912,22071433.0,3.912,22071433.0,3.912,2.1,33359416.0
1991,22522383.0,3.794,22522383.0,3.794,22522383.0,3.794,22522383.0,3.794,2.1,33359416.0
1992,22966822.0,3.673,22966822.0,3.673,22966822.0,3.673,22966822.0,3.673,2.1,33359416.0
1993,23408135.0,3.552,23408135.0,3.552,23408135.0,3.552,23408135.0,3.552,2.1,33359416.0
1994,23851405.0,3.432,23851405.0,3.432,23851405.0,3.432,23851405.0,3.432,2.1,33359416.0
1995,24299168.0,3.315,24299168.0,3.315,24299168.0,3.315,24299168.0,3.315,2.1,33359416.0
1996,24753825.0,3.203,24753825.0,3.203,24753825.0,3.203,24753825.0,3.203,2.1,33359416.0
1997,25210957.0,3.099,25210957.0,3.099,25210957.0,3.099,25210957.0,3.099,2.1,33359416.0
1998,25658070.0,3.002,25658070.0,3.002,25658070.0,3.002,25658070.0,3.002,2.1,33359416.0
1999,26078295.0,2.917,26078295.0,2.917,26078295.0,2.917,26078295.0,2.917,2.1,33359416.0
2000,26459944.0,2.845,26459944.0,2.845,26459944.0,2.845,26459944.0,2.845,2.1,33359416.0
2001,26799289.0,2.789,26799289.0,2.789,26799289.0,2.789,26799289.0,2.789,2.1,33359416.0
2002,27100964.0,2.749,27100964.0,2.749,27100964.0,2.749,27100964.0,2.749,2.1,33359416.0
