year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,26269741.0,7.148,26269741.0,7.148,26269741.0,7.148,26269741.0,7.148,2.1,111046910.0
1961,27161052.0,7.087,27161052.0,7.087,27161052.0,7.087,27161052.0,7.087,2.1,111046910.0
1962,28077345.0,7.02,28077345.0,7.02,28077345.0,7.02,28077345.0,7.02,2.1,111046910.0
1963,29012630.0,6.947,29012630.0,6.947,29012630.0,6.947,29012630.0,6.947,2.1,111046910.0
1964,29958687.0,6.867,29958687.0,6.867,29958687.0,6.867,29958687.0,6.867,2.1,111046910.0
1965,30909997.0,6.781,30909997.0,6.781,30909997.0,6.781,30909997.0,6.781,2.1,111046910.0
1966,31864175.0,6.689,31864175.0,6.689,31864175.0,6.689,31864175.0,6.689,2.1,111046910.0
1967,32823970.0,6.589,32823970.0,6.589,32823970.0,6.589,32823970.0,6.589,2.1,111046910.0
1968,33795203.0,6.485,33795203.0,6.485,33795203.0,6.485,33795203.0,6.485,2.1,111046910.0
1969,34786309.0,6.376,34786309.0,6.376,34786309.0,6.376,34786309.0,6.376,2.1,111046910.0
1970,35803591.0,6.264,35803591.0,6.264,35803591.0,6.264,35803591.0,6.264,2.1,111046910.0
1971,36849678.0,6.152,36849678.0,6.152,36849678.0,6.152,36849678.0,6.152,2.1,111046910.0
1972,37923400.0,6.041,37923400.0,6.041,37923400.0,6.041,37923400.0,6.041,2.1,111046910.0
1973,39022759.0,5.931,39022759.0,5.931,39022759.0,5.931,39022759.0,5.931,2.1,111046910.0
1974,40144250.0,5.824,40144250.0,5.824,40144250.0,5.824,40144250.0,5.824,2.1,111046910.0
1975,41285741.0,5.718,41285741.0,5.718,41285741.0,5.718,41285741.0,5.718,2.1,111046910.0
1976,42446659.0,5.613,42446659.0,5.613,42446659.0,5.613,42446659.0,5.613,2.1,111046910.0
1977,43629415.0,5.506,43629415.0,5.506,43629415.0,5.506,43629415.0,5.506,2.1,111046910.0
1978,44838485.0,5.399,44838485.0,5.399,44838485.0,5.399,44838485.0,5.399,2.1,111046910.0
1979,46079844.0,5.29,46079844.0,5.29,46079844.0,5.29,46079844.0,5.29,2.1,111046910.0
1980,47357741.0,5.183,47357741.0,5.183,47357741.0,5.183,47357741.0,5.183,2.1,111046910.0
1981,48672831.0,5.078,48672831.0,5.078,48672831.0,5.078,48672831.0,5.078,2.1,111046910.0
1982,50023564.0,4.978,50023564.0,4.978,50023564.0,4.978,50023564.0,4.978,2.1,111046910.0
1983,51408910.0,4.883,51408910.0,4.883,51408910.0,4.883,51408910.0,4.883,2.1,111046910.0
1984,52827047.0,4.795,52827047.0,4.795,52827047.0,4.795,52827047.0,4.795,2.1,111046910.0
1985,54275836.0,4.712,54275836.0,4.712,54275836.0,4.712,54275836.0,4.712,2.1,111046910.0
1986,55755346.0,4.632,55755346.0,4.632,55755346.0,4.632,55755346.0,4.632,2.1,111046910.0
1987,57263835.0,4.554,57263835.0,4.554,57263835.0,4.554,57263835.0,4.554,2.1,111046910.0
1988,58794999.0,4.476,58794999.0,4.476,58794999.0,4.476,58794999.0,4.476,2.1,111046910.0
1989,60340768.0,4.397,60340768.0,4.397,60340768.0,4.397,60340768.0,4.397,2.1,111046910.0
