year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,9769.0,,9769.0,,9769.0,,9769.0,,2.1,18174.0
1961,10046.0,,10046.0,,10046.0,,10046.0,,2.1,18174.0
1962,10329.0,,10329.0,,10329.0,,10329.0,,2.1,18174.0
1963,10566.0,,10566.0,,10566.0,,10566.0,,2.1,18174.0
1964,10792.0,,10792.0,,10792.0,,10792.0,,2.1,18174.0
1965,11005.0,,11005.0,,11005.0,,11005.0,,2.1,18174.0
1966,11178.0,,11178.0,,11178.0,,11178.0,,2.1,18174.0
1967,11329.0,,11329.0,,11329.0,,11329.0,,2.1,18174.0
1968,11460.0,,11460.0,,11460.0,,11460.0,,2.1,18174.0
1969,11617.0,,11617.0,,11617.0,,11617.0,,2.1,18174.0
1970,11803.0,,11803.0,,11803.0,,11803.0,,2.1,18174.0
1971,12051.0,,12051.0,,12051.0,,12051.0,,2.1,18174.0
1972,12342.0,,12342.0,,12342.0,,12342.0,,2.1,18174.0
1973,12625.0,,12625.0,,12625.0,,12625.0,,2.1,18174.0
1974,12823.0,,12823.0,,12823.0,,12823.0,,2.1,18174.0
1975,12898.0,,12898.0,,12898.0,,12898.0,,2.1,18174.0
1976,12835.0,,12835.0,,12835.0,,12835.0,,2.1,18174.0
1977,12646.0,,12646.0,,12646.0,,12646.0,,2.1,18174.0
1978,12409.0,,12409.0,,12409.0,,12409.0,,2.1,18174.0
1979,12231.0,,12231.0,,12231.0,,12231.0,,2.1,18174.0
1980,12178.0,,12178.0,,12178.0,,12178.0,,2.1,18174.0
1981,12281.0,,12281.0,,12281.0,,12281.0,,2.1,18174.0
1982,12519.0,,12519.0,,12519.0,,12519.0,,2.1,18174.0
1983,12842.0,,12842.0,,12842.0,,12842.0,,2.1,18174.0
1984,13190.0,,13190.0,,13190.0,,13190.0,,2.1,18174.0
1985,13534.0,,13534.0,,13534.0,,13534.0,,2.1,18174.0
1986,13835.0,,13835.0,,13835.0,,13835.0,,2.1,18174.0
1987,14121.0,,14121.0,,14121.0,,14121.0,,2.1,18174.0
