year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,2255858.0,6.275,2255858.0,6.275,2255858.0,6.275,2255858.0,6.275,2.1,9119005.0
1961,2297052.0,6.278,2297052.0,6.278,2297052.0,6.278,2297052.0,6.278,2.1,9119005.0
1962,2340349.0,6.278,2340349.0,6.278,2340349.0,6.278,2340349.0,6.278,2.1,9119005.0
1963,2385943.0,6.275,2385943.0,6.275,2385943.0,6.275,2385943.0,6.275,2.1,9119005.0
1964,2434220.0,6.268,2434220.0,6.268,2434220.0,6.268,2434220.0,6.268,2.1,9119005.0
1965,2485433.0,6.258,2485433.0,6.258,2485433.0,6.258,2485433.0,6.258,2.1,9119005.0
1966,2539683.0,6.244,2539683.0,6.244,2539683.0,6.244,2539683.0,6.244,2.1,9119005.0
1967,2596820.0,6.227,2596820.0,6.227,2596820.0,6.227,2596820.0,6.227,2.1,9119005.0
1968,2656636.0,6.208,2656636.0,6.208,2656636.0,6.208,2656636.0,6.208,2.1,9119005.0
1969,2718805.0,6.187,2718805.0,6.187,2718805.0,6.187,2718805.0,6.187,2.1,9119005.0
1970,2783132.0,6.163,2783132.0,6.163,2783132.0,6.163,2783132.0,6.163,2.1,9119005.0
1971,2849522.0,6.137,2849522.0,6.137,2849522.0,6.137,2849522.0,6.137,2.1,9119005.0
1972,2918138.0,6.108,2918138.0,6.108,2918138.0,6.108,2918138.0,6.108,2.1,9119005.0
1973,2989201.0,6.077,2989201.0,6.077,2989201.0,6.077,2989201.0,6.077,2.1,9119005.0
1974,3063051.0,6.041,3063051.0,6.041,3063051.0,6.041,3063051.0,6.041,2.1,9119005.0
1975,3139944.0,6.0,3139944.0,6.0,3139944.0,6.0,3139944.0,6.0,2.1,9119005.0
1976,3219825.0,5.954,3219825.0,5.954,3219825.0,5.954,3219825.0,5.954,2.1,9119005.0
1977,3302636.0,5.9,3302636.0,5.9,3302636.0,5.9,3302636.0,5.9,2.1,9119005.0
1978,3388631.0,5.839,3388631.0,5.839,3388631.0,5.839,3388631.0,5.839,2.1,9119005.0
1979,3478093.0,5.771,3478093.0,5.771,3478093.0,5.771,3478093.0,5.771,2.1,9119005.0
1980,3571209.0,5.694,3571209.0,5.694,3571209.0,5.694,3571209.0,5.694,2.1,9119005.0
1981,3668102.0,5.609,3668102.0,5.609,3668102.0,5.609,3668102.0,5.609,2.1,9119005.0
1982,3768489.0,5.515,3768489.0,5.515,3768489.0,5.515,3768489.0,5.515,2.1,9119005.0
1983,3871490.0,5.415,3871490.0,5.415,3871490.0,5.415,3871490.0,5.415,2.1,9119005.0
1984,3975950.0,5.312,3975950.0,5.312,3975950.0,5.312,3975950.0,5.312,2.1,9119005.0
1985,4081022.0,5.21,4081022.0,5.21,4081022.0,5.21,4081022.0,5.21,2.1,9119005.0
1986,4186499.0,5.11,4186499.0,5.11,4186499.0,5.11,4186499.0,5.11,2.1,9119005.0
1987,4292575.0,5.018,4292575.0,5.018,4292575.0,5.018,4292575.0,5.018,2.1,9119005.0
1988,4399320.0,4.934,4399320.0,4.934,4399320.0,4.934,4399320.0,4.934,2.1,9119005.0
1989,4506996.0,4.861,4506996.0,4.861,4506996.0,4.861,4506996.0,4.861,2.1,9119005.0
1990,4615843.0,4.802,4615843.0,4.802,4615843.0,4.802,4615843.0,4.802,2.1,9119005.0
1991,4725543.0,4.756,4725543.0,4.756,4725543.0,4.756,4725543.0,4.756,2.1,9119005.0
