year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,29637450.0,2.98,29637450.0,2.98,29637450.0,2.98,29637450.0,2.98,2.1,37781024.0
1961,29964000.0,2.83,29964000.0,2.83,29964000.0,2.83,29964000.0,2.83,2.1,37781024.0
1962,30308500.0,2.72,30308500.0,2.72,30308500.0,2.72,30308500.0,2.72,2.1,37781024.0
1963,30712000.0,2.7,30712000.0,2.7,30712000.0,2.7,30712000.0,2.7,2.1,37781024.0
1964,31139450.0,2.57,31139450.0,2.57,31139450.0,2.57,31139450.0,2.57,2.1,37781024.0
1965,31444950.0,2.52,31444950.0,2.52,31444950.0,2.52,31444950.0,2.52,2.1,37781024.0
1966,31681000.0,2.34,31681000.0,2.34,31681000.0,2.34,31681000.0,2.34,2.1,37781024.0
1967,31987155.0,2.33,31987155.0,2.33,31987155.0,2.33,31987155.0,2.33,2.1,37781024.0
1968,32294655.0,2.24,32294655.0,2.24,32294655.0,2.24,32294655.0,2.24,2.1,37781024.0
1969,32548300.0,2.2,32548300.0,2.2,32548300.0,2.2,32548300.0,2.2,2.1,37781024.0
1970,32664300.0,2.2,32664300.0,2.2,32664300.0,2.2,32664300.0,2.2,2.1,37781024.0
1971,32783500.0,2.25,32783500.0,2.25,32783500.0,2.25,32783500.0,2.25,2.1,37781024.0
1972,33055650.0,2.24,33055650.0,2.24,33055650.0,2.24,33055650.0,2.24,2.1,37781024.0
1973,33357200.0,2.26,33357200.0,2.26,33357200.0,2.26,33357200.0,2.26,2.1,37781024.0
1974,33678899.0,2.26,33678899.0,2.26,33678899.0,2.26,33678899.0,2.26,2.1,37781024.0
1975,34015199.0,2.27,34015199.0,2.27,34015199.0,2.27,34015199.0,2.27,2.1,37781024.0
1976,34356300.0,2.3,34356300.0,2.3,34356300.0,2.3,34356300.0,2.3,2.1,37781024.0
1977,34689050.0,2.23,34689050.0,2.23,34689050.0,2.23,34689050.0,2.23,2.1,37781024.0
1978,34965600.0,2.21,34965600.0,2.21,34965600.0,2.21,34965600.0,2.21,2.1,37781024.0
1979,35247217.0,2.28,35247217.0,2.28,35247217.0,2.28,35247217.0,2.28,2.1,37781024.0
1980,35574150.0,2.28,35574150.0,2.28,35574150.0,2.28,35574150.0,2.28,2.1,37781024.0
1981,35898587.0,2.24,35898587.0,2.24,35898587.0,2.24,35898587.0,2.24,2.1,37781024.0
1982,36230481.0,2.34,36230481.0,2.34,36230481.0,2.34,36230481.0,2.34,2.1,37781024.0
1983,36571808.0,2.42,36571808.0,2.42,36571808.0,2.42,36571808.0,2.42,2.1,37781024.0
1984,36904134.0,2.37,36904134.0,2.37,36904134.0,2.37,36904134.0,2.37,2.1,37781024.0
1985,37201885.0,2.33,37201885.0,2.33,37201885.0,2.33,37201885.0,2.33,2.1,37781024.0
1986,37456119.0,2.22,37456119.0,2.22,37456119.0,2.22,37456119.0,2.22,2.1,37781024.0
1987,37668045.0,2.15,37668045.0,2.15,37668045.0,2.15,37668045.0,2.15,2.1,37781024.0
1988,37824487.0,2.13,37824487.0,2.13,37824487.0,2.13,37824487.0,2.13,2.1,37781024.0
