year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,187617086.0,6.617720436,187617086.0,6.617720436,187617086.0,6.617720436,187617086.0,6.617720436,2.1,997158227.0
1961,191889668.0,6.640000944,191889668.0,6.640000944,191889668.0,6.640000944,191889668.0,6.640000944,2.1,997158227.0
1962,196349130.0,6.663383197,196349130.0,6.663383197,196349130.0,6.663383197,196349130.0,6.663383197,2.1,997158227.0
1963,200997696.0,6.687659056,200997696.0,6.687659056,200997696.0,6.687659056,200997696.0,6.687659056,2.1,997158227.0
1964,205835402.0,6.711376346,205835402.0,6.711376346,205835402.0,6.711376346,205835402.0,6.711376346,2.1,997158227.0
1965,210865011.0,6.734717886,210865011.0,6.734717886,210865011.0,6.734717886,210865011.0,6.734717886,2.1,997158227.0
1966,216096182.0,6.757584271,216096182.0,6.757584271,216096182.0,6.757584271,216096182.0,6.757584271,2.1,997158227.0
1967,221539857.0,6.780470324,221539857.0,6.780470324,221539857.0,6.780470324,221539857.0,6.780470324,2.1,997158227.0
1968,227201766.0,6.802998439,227201766.0,6.802998439,227201766.0,6.802998439,227201766.0,6.802998439,2.1,997158227.0
1969,233087196.0,6.824519187,233087196.0,6.824519187,233087196.0,6.824519187,233087196.0,6.824519187,2.1,997158227.0
1970,239204922.0,6.844832234,239204922.0,6.844832234,239204922.0,6.844832234,239204922.0,6.844832234,2.1,997158227.0
1971,245537967.0,6.863989859,245537967.0,6.863989859,245537967.0,6.863989859,245537967.0,6.863989859,2.1,997158227.0
1972,252097876.0,6.881893087,252097876.0,6.881893087,252097876.0,6.881893087,252097876.0,6.881893087,2.1,997158227.0
1973,258953399.0,6.897796178,258953399.0,6.897796178,258953399.0,6.897796178,258953399.0,6.897796178,2.1,997158227.0
1974,266195192.0,6.910860742,266195192.0,6.910860742,266195192.0,6.910860742,266195192.0,6.910860742,2.1,997158227.0
1975,273877853.0,6.92087241,273877853.0,6.92087241,273877853.0,6.92087241,273877853.0,6.92087241,2.1,997158227.0
1976,282049633.0,6.926702419,282049633.0,6.926702419,282049633.0,6.926702419,282049633.0,6.926702419,2.1,997158227.0
1977,290664978.0,6.928308282,290664978.0,6.928308282,290664978.0,6.928308282,290664978.0,6.928308282,2.1,997158227.0
1978,299570039.0,6.925319781,299570039.0,6.925319781,299570039.0,6.925319781,299570039.0,6.925319781,2.1,997158227.0
1979,308551498.0,6.917675444,308551498.0,6.917675444,308551498.0,6.917675444,308551498.0,6.917675444,2.1,997158227.0
